symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NWL,2000-01-03 00:00:00+00:00,27.75,29.31,27.62,29.0,1010500,13.3762506832,14.1282128837,13.3135871664,13.9787844977,1010500,0.0,1.0
NWL,2000-01-04 00:00:00+00:00,28.44,29.19,27.5,27.5,1194700,13.7088493488,14.0703696375,13.2557439202,13.2557439202,1194700,0.0,1.0
NWL,2000-01-05 00:00:00+00:00,27.81,28.81,27.69,28.25,902200,13.4051723063,13.8871993579,13.3473290601,13.617264209,902200,0.0,1.0
NWL,2000-01-06 00:00:00+00:00,28.56,28.81,27.63,27.81,2052500,13.766692595,13.8871993579,13.318407437,13.4051723063,2052500,0.0,1.0
NWL,2000-01-07 00:00:00+00:00,29.5,29.5,28.75,28.94,1780600,14.2197980235,14.2197980235,13.8582777348,13.9498628746,1780600,0.0,1.0
NWL,2000-01-10 00:00:00+00:00,28.94,29.69,28.38,29.5,1312600,13.9498628746,14.3113831633,13.6799277257,14.2197980235,1312600,0.0,1.0
NWL,2000-01-11 00:00:00+00:00,28.63,29.88,28.56,28.94,834100,13.8004344886,14.4029683032,13.766692595,13.9498628746,834100,0.0,1.0
NWL,2000-01-12 00:00:00+00:00,28.25,29.0,27.63,28.88,878800,13.617264209,13.9787844977,13.318407437,13.9209412515,878800,0.0,1.0
NWL,2000-01-13 00:00:00+00:00,28.31,28.63,28.19,28.44,1297200,13.6461858321,13.8004344886,13.5883425859,13.7088493488,1297200,0.0,1.0
NWL,2000-01-14 00:00:00+00:00,28.75,29.88,28.5,29.5,2802000,13.8582777348,14.4029683032,13.7377709719,14.2197980235,2802000,0.0,1.0
NWL,2000-01-18 00:00:00+00:00,29.88,30.25,28.56,28.56,2117900,14.4029683032,14.5813183123,13.766692595,13.766692595,2117900,0.0,1.0
NWL,2000-01-19 00:00:00+00:00,29.5,29.81,28.75,29.75,1081200,14.2197980235,14.3692264095,13.8582777348,14.3403047864,1081200,0.0,1.0
NWL,2000-01-20 00:00:00+00:00,30.69,31.0,29.38,29.38,2006700,14.793410215,14.942838601,14.1619547773,14.1619547773,2006700,0.0,1.0
NWL,2000-01-21 00:00:00+00:00,31.0,31.75,30.69,31.75,1416500,14.942838601,15.3043588897,14.793410215,15.3043588897,1416500,0.0,1.0
NWL,2000-01-24 00:00:00+00:00,30.5,31.75,30.5,31.75,1375000,14.7018250752,15.3043588897,14.7018250752,15.3043588897,1375000,0.0,1.0
NWL,2000-01-25 00:00:00+00:00,30.56,30.88,30.5,30.5,1130300,14.7307466983,14.8849953548,14.7018250752,14.7018250752,1130300,0.0,1.0
NWL,2000-01-26 00:00:00+00:00,30.63,30.81,30.44,30.5,829700,14.7644885919,14.8512534612,14.6729034521,14.7018250752,829700,0.0,1.0
NWL,2000-01-27 00:00:00+00:00,31.25,31.5,30.56,30.81,554800,15.0633453639,15.1838521268,14.7307466983,14.8512534612,554800,0.0,1.0
NWL,2000-01-28 00:00:00+00:00,29.81,30.94,29.56,30.75,1032900,14.3692264095,14.9139169779,14.2487196466,14.8223318381,1032900,0.0,1.0
NWL,2000-01-31 00:00:00+00:00,29.94,30.44,29.75,29.88,736800,14.4318899263,14.6729034521,14.3403047864,14.4029683032,736800,0.0,1.0
NWL,2000-02-01 00:00:00+00:00,29.69,30.13,29.5,29.75,618400,14.3113831633,14.5234750661,14.2197980235,14.3403047864,618400,0.0,1.0
NWL,2000-02-02 00:00:00+00:00,30.56,30.69,29.69,29.69,863800,14.7307466983,14.793410215,14.3113831633,14.3113831633,863800,0.0,1.0
NWL,2000-02-03 00:00:00+00:00,27.5,31.88,27.0,31.38,3486000,13.2557439202,15.3670224064,13.0147303944,15.1260088806,3486000,0.0,1.0
NWL,2000-02-04 00:00:00+00:00,23.5,23.69,23.0,23.0,14708000,11.3276357137,11.4192208535,11.0866221878,11.0866221878,14708000,0.0,1.0
NWL,2000-02-07 00:00:00+00:00,25.94,26.25,24.38,24.5,6683000,12.5037817197,12.6532101057,11.7518195191,11.8096627653,6683000,0.0,1.0
NWL,2000-02-08 00:00:00+00:00,28.5,28.63,25.88,25.88,3148700,13.7377709719,13.8004344886,12.4748600966,12.4748600966,3148700,0.0,1.0
NWL,2000-02-09 00:00:00+00:00,26.13,27.94,26.06,27.0,3034800,12.5953668595,13.467835823,12.5616249659,13.0147303944,3034800,0.0,1.0
NWL,2000-02-10 00:00:00+00:00,26.44,26.94,26.31,26.94,2317100,12.7447952455,12.9858087713,12.6821317288,12.9858087713,2317100,0.0,1.0
NWL,2000-02-11 00:00:00+00:00,26.5,26.75,26.25,26.31,2473600,12.7737168686,12.8942236315,12.6532101057,12.6821317288,2473600,0.0,1.0
NWL,2000-02-14 00:00:00+00:00,27.5,27.81,26.5,26.5,2504600,13.2557439202,13.4051723063,12.7737168686,12.7737168686,2504600,0.0,1.0
NWL,2000-02-15 00:00:00+00:00,27.69,28.19,26.88,27.25,2349400,13.3473290601,13.5883425859,12.9568871482,13.1352371573,2349400,0.0,1.0
NWL,2000-02-16 00:00:00+00:00,27.63,27.94,27.25,27.44,2049100,13.4196331178,13.5701972244,13.2350706645,13.3273518911,2049100,0.21,1.0
NWL,2000-02-17 00:00:00+00:00,26.19,27.81,26.19,27.38,1812900,12.7202385579,13.5070574378,12.7202385579,13.2982104512,1812900,0.0,1.0
NWL,2000-02-18 00:00:00+00:00,24.69,26.06,24.06,26.06,2355900,11.991702558,12.6570987713,11.6857174381,12.6570987713,2355900,0.0,1.0
NWL,2000-02-22 00:00:00+00:00,25.19,25.5,24.44,24.5,951800,12.2345478913,12.385111998,11.8702798914,11.8994213314,951800,0.0,1.0
NWL,2000-02-23 00:00:00+00:00,24.38,25.75,24.38,25.13,1029700,11.8411384514,12.5065346646,11.8411384514,12.2054064513,1029700,0.0,1.0
NWL,2000-02-24 00:00:00+00:00,23.81,24.88,23.44,24.0,1653800,11.5642947714,12.0839837847,11.3845892248,11.6565759981,1653800,0.0,1.0
NWL,2000-02-25 00:00:00+00:00,23.5,25.0,23.31,24.38,1751600,11.4137306648,12.1422666647,11.3214494381,11.8411384514,1751600,0.0,1.0
NWL,2000-02-28 00:00:00+00:00,24.38,25.06,23.5,23.5,1128800,11.8411384514,12.1714081047,11.4137306648,11.4137306648,1128800,0.0,1.0
NWL,2000-02-29 00:00:00+00:00,23.25,24.75,23.13,24.38,1225900,11.2923079981,12.020843998,11.2340251182,11.8411384514,1225900,0.0,1.0
NWL,2000-03-01 00:00:00+00:00,23.69,24.0,22.69,23.13,2068500,11.5060118914,11.6565759981,11.0203212249,11.2340251182,2068500,0.0,1.0
NWL,2000-03-02 00:00:00+00:00,23.81,24.38,23.06,24.38,1070000,11.5642947714,11.8411384514,11.2000267715,11.8411384514,1070000,0.0,1.0
NWL,2000-03-03 00:00:00+00:00,24.19,24.44,23.38,23.5,789900,11.7488572247,11.8702798914,11.3554477848,11.4137306648,789900,0.0,1.0
NWL,2000-03-06 00:00:00+00:00,23.13,24.69,23.0,24.44,1154600,11.2340251182,11.991702558,11.1708853315,11.8702798914,1154600,0.0,1.0
NWL,2000-03-07 00:00:00+00:00,22.44,23.06,22.38,23.06,1911200,10.8988985582,11.2000267715,10.8697571182,11.2000267715,1911200,0.0,1.0
NWL,2000-03-08 00:00:00+00:00,23.06,23.25,22.31,22.44,1225000,11.2000267715,11.2923079981,10.8357587716,10.8988985582,1225000,0.0,1.0
NWL,2000-03-09 00:00:00+00:00,22.69,23.06,22.06,22.75,1041700,11.0203212249,11.2000267715,10.7143361049,11.0494626649,1041700,0.0,1.0
NWL,2000-03-10 00:00:00+00:00,21.5,22.44,21.13,22.19,1619300,10.4423493316,10.8988985582,10.262643785,10.7774758916,1619300,0.0,1.0
NWL,2000-03-13 00:00:00+00:00,22.06,22.31,21.31,21.5,1402500,10.7143361049,10.8357587716,10.350068105,10.4423493316,1402500,0.0,1.0
NWL,2000-03-14 00:00:00+00:00,21.63,21.94,21.19,21.94,1183600,10.5054891183,10.6560532249,10.291785225,10.6560532249,1183600,0.0,1.0
NWL,2000-03-15 00:00:00+00:00,23.06,23.69,21.25,21.25,1722400,11.2000267715,11.5060118914,10.320926665,10.320926665,1722400,0.0,1.0
NWL,2000-03-16 00:00:00+00:00,24.5,25.06,23.19,23.25,1305700,11.8994213314,12.1714081047,11.2631665582,11.2923079981,1305700,0.0,1.0
