symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NWSA,2013-06-19 00:00:00+00:00,15.8,16.25,15.2,15.28,31981500,14.2579392869,14.6640198362,13.7164985545,13.7886906522,31981500,0.0,1.0
NWSA,2013-06-20 00:00:00+00:00,15.3,16.37,15.25,16.37,9274200,13.8067386766,14.7723079827,13.7616186155,14.7723079827,9274200,0.0,1.0
NWSA,2013-06-21 00:00:00+00:00,15.62,15.8,15.4,15.7,8323500,14.0955070672,14.2579392869,13.8969787986,14.1676991648,8323500,0.0,1.0
NWSA,2013-06-24 00:00:00+00:00,15.53,15.84,15.2,15.64,4279700,14.0142909573,14.2940353357,13.7164985545,14.1135550916,4279700,0.0,1.0
NWSA,2013-06-25 00:00:00+00:00,15.72,15.74,15.35,15.55,3577300,14.1857471893,14.2037952137,13.8518587376,14.0323389817,3577300,0.0,1.0
NWSA,2013-06-26 00:00:00+00:00,15.4,15.69,15.18,15.69,14755100,13.8969787986,14.1586751526,13.6984505301,14.1586751526,14755100,0.0,1.0
NWSA,2013-06-27 00:00:00+00:00,15.5,15.87,14.85,15.34,12121700,13.9872189207,14.3211073724,13.4006581273,13.8428347254,12121700,0.0,1.0
NWSA,2013-06-28 00:00:00+00:00,15.25,15.77,15.25,15.5,16988100,13.7616186155,14.2308672503,13.7616186155,13.9872189207,16988100,0.0,1.0
NWSA,2013-07-01 00:00:00+00:00,14.79,15.59,14.75,15.59,25839400,13.346514054,14.0684350306,13.3104180052,14.0684350306,25839400,0.0,1.0
NWSA,2013-07-02 00:00:00+00:00,15.0,15.12,14.69,14.69,30520100,13.5360183104,13.6443064568,13.2562739319,13.2562739319,30520100,0.0,1.0
NWSA,2013-07-03 00:00:00+00:00,14.87,15.09,14.73,14.95,8542600,13.4187061517,13.6172344202,13.2923699808,13.4908982493,8542600,0.0,1.0
NWSA,2013-07-05 00:00:00+00:00,15.66,15.95,14.89,14.95,12427000,14.131603116,14.39329947,13.4367541761,13.4908982493,12427000,0.0,1.0
NWSA,2013-07-08 00:00:00+00:00,15.955,16.04,15.495,15.63,15345100,14.3978114761,14.4745155799,13.9827069146,14.1045310794,15345100,0.0,1.0
NWSA,2013-07-09 00:00:00+00:00,15.71,15.97,15.5,15.79,9936400,14.176723177,14.4113474944,13.9872189207,14.2489152747,9936400,0.0,1.0
NWSA,2013-07-10 00:00:00+00:00,15.39,15.57,15.145,15.5,16327000,13.8879547864,14.0503870062,13.6668664874,13.9872189207,16327000,0.0,1.0
NWSA,2013-07-11 00:00:00+00:00,15.13,15.6,14.96,15.6,17029600,13.653330469,14.0774590428,13.4999222615,14.0774590428,17029600,0.0,1.0
NWSA,2013-07-12 00:00:00+00:00,14.93,15.12,14.9,15.07,10426300,13.4728502249,13.6443064568,13.4457781883,13.5991863958,10426300,0.0,1.0
NWSA,2013-07-15 00:00:00+00:00,14.67,15.03,14.39,14.93,20636400,13.2382259075,13.563090347,12.9855535657,13.4728502249,20636400,0.0,1.0
NWSA,2013-07-16 00:00:00+00:00,15.28,15.34,14.57,14.57,9328500,13.7886906522,13.8428347254,13.1479857855,13.1479857855,9328500,0.0,1.0
NWSA,2013-07-17 00:00:00+00:00,15.89,15.96,15.29,15.36,13411100,14.3391553968,14.4023234822,13.7977146644,13.8608827498,13411100,0.0,1.0
NWSA,2013-07-18 00:00:00+00:00,15.47,16.1,15.33,15.94,10825700,13.9601468841,14.5286596531,13.8338107132,14.3842754578,10825700,0.0,1.0
NWSA,2013-07-19 00:00:00+00:00,15.97,16.08,15.26,15.35,11658700,14.4113474944,14.5106116287,13.7706426277,13.8518587376,11658700,0.0,1.0
NWSA,2013-07-22 00:00:00+00:00,15.73,16.125,15.61,16.09,6141600,14.1947712015,14.5512196836,14.086483055,14.5196356409,6141600,0.0,1.0
NWSA,2013-07-23 00:00:00+00:00,15.65,15.865,15.54,15.69,9298400,14.1225791038,14.3165953663,14.0233149695,14.1586751526,9298400,0.0,1.0
NWSA,2013-07-24 00:00:00+00:00,15.71,15.885,15.42,15.65,6205200,14.176723177,14.3346433907,13.915026823,14.1225791038,6205200,0.0,1.0
NWSA,2013-07-25 00:00:00+00:00,15.57,15.87,15.45,15.66,7069700,14.0503870062,14.3211073724,13.9420988597,14.131603116,7069700,0.0,1.0
NWSA,2013-07-26 00:00:00+00:00,15.89,15.97,15.31,15.54,5884800,14.3391553968,14.4113474944,13.8157626888,14.0233149695,5884800,0.0,1.0
NWSA,2013-07-29 00:00:00+00:00,15.51,15.87,15.4,15.87,9020200,13.9962429329,14.3211073724,13.8969787986,14.3211073724,9020200,0.0,1.0
NWSA,2013-07-30 00:00:00+00:00,15.95,15.955,15.46,15.6,12798200,14.39329947,14.3978114761,13.9511228719,14.0774590428,12798200,0.0,1.0
NWSA,2013-07-31 00:00:00+00:00,15.93,16.21,15.83,16.0,7681500,14.3752514456,14.6279237874,14.2850113235,14.438419531,7681500,0.0,1.0
