symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NXPI,2010-08-06 00:00:00+00:00,14.0,14.08,12.99,13.0,10678500,13.1641472483,13.2393709469,12.214448054,12.2238510163,10678500,0.0,1.0
NXPI,2010-08-09 00:00:00+00:00,14.0,14.0,13.7,14.0,1819500,13.1641472483,13.1641472483,12.8820583787,13.1641472483,1819500,0.0,1.0
NXPI,2010-08-10 00:00:00+00:00,13.6,13.84,13.58,13.77,1579300,12.7880287555,13.0136998512,12.7692228309,12.947879115,1579300,0.0,1.0
NXPI,2010-08-11 00:00:00+00:00,12.75,13.38,12.45,13.25,2588200,11.9887769583,12.5811635845,11.7066880887,12.4589250743,2588200,0.0,1.0
NXPI,2010-08-12 00:00:00+00:00,12.39,12.51,12.1,12.26,1780300,11.6502703148,11.7631058626,11.3775844075,11.5280318046,1780300,0.0,1.0
NXPI,2010-08-13 00:00:00+00:00,12.0,12.53,11.85,12.25,957600,11.2835547843,11.7819117873,11.1425103495,11.5186288423,957600,0.0,1.0
NXPI,2010-08-16 00:00:00+00:00,11.78,12.23,11.69,11.79,551600,11.0766896133,11.4998229177,10.9920629524,11.0860925756,551600,0.0,1.0
NXPI,2010-08-17 00:00:00+00:00,12.22,12.3,11.75,11.86,1086700,11.4904199553,11.5656436539,11.0484807263,11.1519133118,1086700,0.0,1.0
NXPI,2010-08-18 00:00:00+00:00,12.0,12.6,12.0,12.08,1010600,11.2835547843,11.8477325235,11.2835547843,11.3587784829,1010600,0.0,1.0
NXPI,2010-08-19 00:00:00+00:00,11.55,12.1,11.3104,11.95,746000,10.8604214799,11.3775844075,10.6351265027,11.2365399727,746000,0.0,1.0
NXPI,2010-08-20 00:00:00+00:00,11.15,11.5,11.03,11.45,450600,10.4843029871,10.8134066683,10.3714674392,10.7663918567,450600,0.0,1.0
NXPI,2010-08-23 00:00:00+00:00,10.98,11.5,10.46,11.28,761800,10.3244526276,10.8134066683,9.835498587,10.6065414972,761800,0.0,1.0
NXPI,2010-08-24 00:00:00+00:00,10.68,11.3,10.5,10.76,746700,10.042363758,10.6253474219,9.8731104363,10.1175874566,746700,0.0,1.0
NXPI,2010-08-25 00:00:00+00:00,10.75,11.13,10.23,10.5,1112200,10.1081844943,10.4654970624,9.6192304536,9.8731104363,1112200,0.0,1.0
NXPI,2010-08-26 00:00:00+00:00,11.0,11.15,10.8,10.94,581400,10.3432585523,10.4843029871,10.1551993059,10.2868407784,581400,0.0,1.0
NXPI,2010-08-27 00:00:00+00:00,11.11,11.49,10.99,11.15,370900,10.4466911378,10.804003706,10.33385559,10.4843029871,370900,0.0,1.0
NXPI,2010-08-30 00:00:00+00:00,11.095,11.27,11.01,11.01,226900,10.4325866943,10.5971385349,10.3526615146,10.3526615146,226900,0.0,1.0
NXPI,2010-08-31 00:00:00+00:00,11.075,11.23,10.87,11.01,236000,10.4137807697,10.5595266856,10.2210200421,10.3526615146,236000,0.0,1.0
NXPI,2010-09-01 00:00:00+00:00,11.73,11.95,10.76,11.08,412800,11.0296748017,11.2365399727,10.1175874566,10.4184822508,412800,0.0,1.0
NXPI,2010-09-02 00:00:00+00:00,11.87,11.91,11.08,11.08,98500,11.1613162741,11.1989281234,10.4184822508,10.4184822508,98500,0.0,1.0
