symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
O,2000-01-03 00:00:00+00:00,20.75,20.88,20.5,20.88,49400,2.7841575875,2.8016005025,2.7506135202,2.8016005025,101961,0.0,1.0
O,2000-01-04 00:00:00+00:00,20.5,20.81,20.19,20.56,59900,2.7506135202,2.7922081636,2.7090188767,2.7586640963,123633,0.0,1.0
O,2000-01-05 00:00:00+00:00,20.31,20.63,20.31,20.5,48200,2.725120029,2.7680564352,2.725120029,2.7506135202,99484,0.0,1.0
O,2000-01-06 00:00:00+00:00,20.63,20.63,20.25,20.5,32300,2.7680564352,2.7680564352,2.7170694528,2.7506135202,66667,0.0,1.0
O,2000-01-07 00:00:00+00:00,21.0,21.0,20.38,20.75,68800,2.8177016548,2.8177016548,2.7345123679,2.7841575875,142003,0.0,1.0
O,2000-01-10 00:00:00+00:00,21.38,21.44,21.0,21.0,58000,2.8686886371,2.8767392133,2.8177016548,2.8177016548,119712,0.0,1.0
O,2000-01-11 00:00:00+00:00,21.44,21.75,21.31,21.31,72500,2.8767392133,2.9183338568,2.8592962983,2.8592962983,149640,0.0,1.0
O,2000-01-12 00:00:00+00:00,21.56,21.88,21.38,21.56,49900,2.8928403656,2.9357767718,2.8686886371,2.8928403656,102993,0.0,1.0
O,2000-01-13 00:00:00+00:00,21.56,21.69,21.25,21.69,35600,2.8928403656,2.9102832806,2.8512457221,2.9102832806,73478,0.0,1.0
O,2000-01-14 00:00:00+00:00,21.69,22.0,21.5,21.56,57300,2.9102832806,2.9518779241,2.8847897894,2.8928403656,118267,0.0,1.0
O,2000-01-18 00:00:00+00:00,22.0,22.0,21.5,21.69,41200,2.9518779241,2.9518779241,2.8847897894,2.9102832806,85036,0.0,1.0
O,2000-01-19 00:00:00+00:00,21.81,21.94,21.56,21.75,59500,2.9263844329,2.9438273479,2.8928403656,2.9183338568,122808,0.0,1.0
O,2000-01-20 00:00:00+00:00,21.75,21.88,21.63,21.88,33200,2.9183338568,2.9357767718,2.9022327045,2.9357767718,68524,0.0,1.0
