symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ODFL,2000-01-03 00:00:00+00:00,11.25,11.25,10.75,10.75,3845,0.9644670668,0.9644670668,0.9216018638,0.9216018638,43796,0.0,1.0
ODFL,2000-01-04 00:00:00+00:00,11.0,11.0,11.0,11.0,13,0.9430344653,0.9430344653,0.9430344653,0.9430344653,148,0.0,1.0
ODFL,2000-01-05 00:00:00+00:00,12.38,12.38,12.38,12.38,13,1.0613424255,1.0613424255,1.0613424255,1.0613424255,148,0.0,1.0
ODFL,2000-01-06 00:00:00+00:00,11.25,11.25,11.25,11.25,171,0.9644670668,0.9644670668,0.9644670668,0.9644670668,1947,0.0,1.0
ODFL,2000-01-07 00:00:00+00:00,11.25,11.25,11.25,11.25,1435,0.9644670668,0.9644670668,0.9644670668,0.9644670668,16345,0.0,1.0
ODFL,2000-01-10 00:00:00+00:00,12.5,12.5,11.63,11.63,4556,1.0716300742,1.0716300742,0.997044621,0.997044621,51895,0.0,1.0
ODFL,2000-01-11 00:00:00+00:00,10.88,12.63,10.88,12.25,11378,0.9327468166,1.082775027,0.9327468166,1.0501974727,129602,0.0,1.0
ODFL,2000-01-12 00:00:00+00:00,11.13,11.13,11.13,11.13,2660,0.9541794181,0.9541794181,0.9541794181,0.9541794181,30299,0.0,1.0
ODFL,2000-01-13 00:00:00+00:00,11.62,11.62,11.62,11.62,0,0.996187317,0.996187317,0.996187317,0.996187317,0,0.0,1.0
ODFL,2000-01-14 00:00:00+00:00,11.38,11.75,11.38,11.75,1435,0.9756120196,1.0073322697,0.9756120196,1.0073322697,16345,0.0,1.0
ODFL,2000-01-18 00:00:00+00:00,12.0,12.0,11.38,11.38,5057,1.0287648712,1.0287648712,0.9756120196,0.9756120196,57602,0.0,1.0
ODFL,2000-01-19 00:00:00+00:00,12.38,12.38,11.88,11.88,6650,1.0613424255,1.0613424255,1.0184772225,1.0184772225,75747,0.0,1.0
ODFL,2000-01-20 00:00:00+00:00,12.75,12.75,12.25,12.25,790,1.0930626757,1.0930626757,1.0501974727,1.0501974727,8998,0.0,1.0
ODFL,2000-01-21 00:00:00+00:00,12.38,12.38,12.38,12.38,1857,1.0613424255,1.0613424255,1.0613424255,1.0613424255,21152,0.0,1.0
