symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ORLY,2000-01-03 00:00:00+00:00,21.5,22.12,20.06,22.12,124000,10.75,11.06,10.03,11.06,248000,0.0,1.0
ORLY,2000-01-04 00:00:00+00:00,19.94,21.0,19.56,21.0,147500,9.97,10.5,9.78,10.5,295000,0.0,1.0
ORLY,2000-01-05 00:00:00+00:00,20.06,20.63,19.75,20.0,389100,10.03,10.315,9.875,10.0,778200,0.0,1.0
ORLY,2000-01-06 00:00:00+00:00,18.94,20.25,18.81,20.25,409600,9.47,10.125,9.405,10.125,819200,0.0,1.0
ORLY,2000-01-07 00:00:00+00:00,16.63,19.5,16.19,19.25,1091300,8.315,9.75,8.095,9.625,2182600,0.0,1.0
ORLY,2000-01-10 00:00:00+00:00,16.81,17.13,16.44,17.0,1644800,8.405,8.565,8.22,8.5,3289600,0.0,1.0
ORLY,2000-01-11 00:00:00+00:00,16.56,17.06,16.44,17.0,937500,8.28,8.53,8.22,8.5,1875000,0.0,1.0
ORLY,2000-01-12 00:00:00+00:00,16.25,16.63,15.75,16.56,476800,8.125,8.315,7.875,8.28,953600,0.0,1.0
ORLY,2000-01-13 00:00:00+00:00,16.38,16.63,16.19,16.53,445300,8.19,8.315,8.095,8.265,890600,0.0,1.0
ORLY,2000-01-14 00:00:00+00:00,14.28,16.63,14.25,16.63,1276700,7.14,8.315,7.125,8.315,2553400,0.0,1.0
ORLY,2000-01-18 00:00:00+00:00,14.13,15.0,13.56,15.0,2111700,7.065,7.5,6.78,7.5,4223400,0.0,1.0
ORLY,2000-01-19 00:00:00+00:00,13.31,14.81,13.14,14.5,690900,6.655,7.405,6.57,7.25,1381800,0.0,1.0
ORLY,2000-01-20 00:00:00+00:00,13.31,13.88,13.19,13.75,602500,6.655,6.94,6.595,6.875,1205000,0.0,1.0
ORLY,2000-01-21 00:00:00+00:00,13.56,14.06,13.31,13.94,594800,6.78,7.03,6.655,6.97,1189600,0.0,1.0
ORLY,2000-01-24 00:00:00+00:00,13.5,14.38,13.5,13.84,465300,6.75,7.19,6.75,6.92,930600,0.0,1.0
ORLY,2000-01-25 00:00:00+00:00,13.75,14.06,13.25,14.0,478400,6.875,7.03,6.625,7.0,956800,0.0,1.0
ORLY,2000-01-26 00:00:00+00:00,12.63,13.88,12.38,13.81,754900,6.315,6.94,6.19,6.905,1509800,0.0,1.0
ORLY,2000-01-27 00:00:00+00:00,13.31,13.5,12.75,13.25,656400,6.655,6.75,6.375,6.625,1312800,0.0,1.0
ORLY,2000-01-28 00:00:00+00:00,13.0,13.38,13.0,13.38,871600,6.5,6.69,6.5,6.69,1743200,0.0,1.0
ORLY,2000-01-31 00:00:00+00:00,13.13,13.44,13.0,13.19,859000,6.565,6.72,6.5,6.595,1718000,0.0,1.0
