symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
OXY,2000-01-03 00:00:00+00:00,20.81,21.69,20.75,21.44,556300,4.998428066,5.2097984023,4.9840164522,5.1497500113,1112600,0.0,1.0
OXY,2000-01-04 00:00:00+00:00,20.38,21.0,20.31,20.44,755100,4.8951448335,5.0440648432,4.878331284,4.9095564474,1510200,0.0,1.0
OXY,2000-01-05 00:00:00+00:00,20.5,20.69,20.19,20.38,561500,4.9239680612,4.9696048384,4.8495080564,4.8951448335,1123000,0.0,1.0
OXY,2000-01-06 00:00:00+00:00,21.06,21.44,20.25,20.31,1598400,5.058476457,5.1497500113,4.8639196702,4.878331284,3196800,0.0,1.0
OXY,2000-01-07 00:00:00+00:00,21.69,22.5,21.31,21.56,1593100,5.2097984023,5.4043551891,5.118524848,5.178573239,3186200,0.0,1.0
OXY,2000-01-10 00:00:00+00:00,21.0,21.69,20.81,21.69,1081100,5.0440648432,5.2097984023,4.998428066,5.2097984023,2162200,0.0,1.0
OXY,2000-01-11 00:00:00+00:00,21.81,22.0,20.94,21.0,1049900,5.23862163,5.2842584071,5.0296532293,5.0440648432,2099800,0.0,1.0
OXY,2000-01-12 00:00:00+00:00,21.69,22.0,21.63,21.94,1011900,5.2097984023,5.2842584071,5.1953867885,5.2698467933,2023800,0.0,1.0
OXY,2000-01-13 00:00:00+00:00,22.38,22.5,21.63,21.69,1436400,5.3755319614,5.4043551891,5.1953867885,5.2097984023,2872800,0.0,1.0
OXY,2000-01-14 00:00:00+00:00,22.0,22.44,21.56,22.38,922200,5.2842584071,5.3899435753,5.178573239,5.3755319614,1844400,0.0,1.0
OXY,2000-01-18 00:00:00+00:00,22.0,22.13,21.25,21.5,1267100,5.2842584071,5.3154835705,5.1041132342,5.1641616252,2534200,0.0,1.0
OXY,2000-01-19 00:00:00+00:00,22.31,22.5,21.81,22.0,1450500,5.358718412,5.4043551891,5.23862163,5.2842584071,2901000,0.0,1.0
OXY,2000-01-20 00:00:00+00:00,22.13,22.63,21.88,22.63,789000,5.3154835705,5.4355803524,5.2554351795,5.4355803524,1578000,0.0,1.0
OXY,2000-01-21 00:00:00+00:00,21.69,22.25,21.5,22.13,1540800,5.2097984023,5.3443067981,5.1641616252,5.3154835705,3081600,0.0,1.0
OXY,2000-01-24 00:00:00+00:00,20.88,22.0,20.63,22.0,1302600,5.0152416155,5.2842584071,4.9551932245,5.2842584071,2605200,0.0,1.0
OXY,2000-01-25 00:00:00+00:00,19.81,21.75,19.75,21.75,2052400,4.7582345021,5.2242100161,4.7438228882,5.2242100161,4104800,0.0,1.0
OXY,2000-01-26 00:00:00+00:00,20.31,20.56,19.88,20.0,1291300,4.878331284,4.938379675,4.7750480515,4.8038712792,2582600,0.0,1.0
OXY,2000-01-27 00:00:00+00:00,20.13,20.56,19.94,20.56,1087600,4.8350964425,4.938379675,4.7894596654,4.938379675,2175200,0.0,1.0
