symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PAYX,2000-01-03 00:00:00+00:00,40.0,40.06,38.69,40.0,2012200,13.9039565723,13.9248125072,13.4486019946,13.9039565723,3018300,0.0,1.0
PAYX,2000-01-04 00:00:00+00:00,37.0,40.5,36.25,38.06,1977067,12.8611598294,14.0777560295,12.6004606437,13.2296146786,2965600,0.0,1.0
PAYX,2000-01-05 00:00:00+00:00,38.88,39.75,37.0,37.13,2706200,13.5146457883,13.8170568438,12.8611598294,12.9063476883,4059300,0.0,1.0
PAYX,2000-01-06 00:00:00+00:00,40.63,41.06,38.5,39.0,1734400,14.1229438884,14.2724114215,13.3825582009,13.556357658,2601600,0.0,1.0
PAYX,2000-01-07 00:00:00+00:00,41.44,41.44,39.38,40.56,1264400,14.4044990089,14.4044990089,13.6884452455,14.0986119644,1896600,0.0,1.0
PAYX,2000-01-10 00:00:00+00:00,42.13,42.63,40.88,42.0,1463667,14.6443422598,14.818141717,14.2098436169,14.599154401,2195500,0.0,1.0
PAYX,2000-01-11 00:00:00+00:00,40.75,42.38,40.31,41.25,1393867,14.1646557581,14.7312419884,14.0117122358,14.3384552152,2090800,0.0,1.0
PAYX,2000-01-12 00:00:00+00:00,40.19,41.75,39.63,40.63,1036800,13.9700003661,14.5122546724,13.775344974,14.1229438884,1555200,0.0,1.0
PAYX,2000-01-13 00:00:00+00:00,42.38,42.5,40.19,40.25,1427067,14.7312419884,14.7729538581,13.9700003661,13.9908563009,2140600,0.0,1.0
PAYX,2000-01-14 00:00:00+00:00,45.38,47.0,42.69,42.75,3016000,15.7740387313,16.3371489725,14.8389976518,14.8598535867,4524000,0.0,1.0
PAYX,2000-01-18 00:00:00+00:00,45.0,46.31,44.25,44.88,2018600,15.6419511439,16.0973057216,15.3812519582,15.6002392742,3027900,0.0,1.0
PAYX,2000-01-19 00:00:00+00:00,45.63,45.81,43.5,45.06,1290467,15.8609384599,15.9235062645,15.1205527724,15.6628070787,1935700,0.0,1.0
PAYX,2000-01-20 00:00:00+00:00,46.31,47.88,44.81,46.0,1555267,16.0973057216,16.6430360171,15.5759073502,15.9895500582,2332900,0.0,1.0
PAYX,2000-01-21 00:00:00+00:00,45.81,46.88,45.38,46.88,1840267,15.9235062645,16.2954371028,15.7740387313,16.2954371028,2760400,0.0,1.0
PAYX,2000-01-24 00:00:00+00:00,40.56,45.75,40.44,45.69,2081867,14.0986119644,15.9026503296,14.0569000946,15.8817943948,3122800,0.0,1.0
PAYX,2000-01-25 00:00:00+00:00,43.0,43.13,39.13,41.0,6386067,14.9467533153,14.9919411741,13.6015455169,14.2515554867,9579100,0.0,1.0
PAYX,2000-01-26 00:00:00+00:00,42.94,44.5,42.75,43.06,2105867,14.9258973804,15.4681516867,14.8598535867,14.9676092501,3158800,0.0,1.0
PAYX,2000-01-27 00:00:00+00:00,43.06,43.19,41.13,43.13,1795667,14.9676092501,15.012797109,14.2967433455,14.9919411741,2693500,0.0,1.0
PAYX,2000-01-28 00:00:00+00:00,42.0,44.13,41.63,42.75,1254467,14.6304383032,15.3724105315,14.5015511087,14.8916961301,1881700,0.09,1.0
PAYX,2000-01-31 00:00:00+00:00,44.06,44.06,42.0,42.06,1354867,15.3480264676,15.3480264676,14.6304383032,14.6513389294,2032300,0.0,1.0
PAYX,2000-02-01 00:00:00+00:00,44.0,44.88,42.75,44.0,1441067,15.3271258415,15.6336683583,14.8916961301,15.3271258415,2161600,0.0,1.0
PAYX,2000-02-02 00:00:00+00:00,43.75,44.13,42.5,44.0,945867,15.2400398992,15.3724105315,14.8046101878,15.3271258415,1418800,0.0,1.0
PAYX,2000-02-03 00:00:00+00:00,43.13,44.06,42.0,43.69,1371600,15.0240667624,15.3480264676,14.6304383032,15.2191392731,2057400,0.0,1.0
PAYX,2000-02-04 00:00:00+00:00,42.5,44.0,42.13,43.63,1058667,14.8046101878,15.3271258415,14.6757229932,15.1982386469,1588000,0.0,1.0
PAYX,2000-02-07 00:00:00+00:00,42.75,43.06,41.81,42.38,676200,14.8916961301,14.9996826985,14.5642529871,14.7628089355,1014300,0.0,1.0
PAYX,2000-02-08 00:00:00+00:00,42.63,43.44,42.13,43.19,1108867,14.8498948778,15.1320533308,14.6757229932,15.0449673885,1663300,0.0,1.0
PAYX,2000-02-09 00:00:00+00:00,41.5,42.63,41.5,42.25,1221467,14.4562664187,14.8498948778,14.4562664187,14.7175242455,1832200,0.0,1.0
PAYX,2000-02-10 00:00:00+00:00,44.25,44.81,41.44,41.63,1317200,15.4142117838,15.6092842945,14.4353657925,14.5015511087,1975800,0.0,1.0
