symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PCAR,2000-01-03 00:00:00+00:00,43.5,43.81,42.25,43.75,648000,2.6335079025,2.65227543,2.557832388,2.6486430053,4920740,0.0,1.0
PCAR,2000-01-04 00:00:00+00:00,41.5,44.06,41.25,43.31,336020,2.5124270794,2.6674105329,2.4972919765,2.6220052243,2551646,0.0,1.0
PCAR,2000-01-05 00:00:00+00:00,43.88,44.0,41.31,41.38,415842,2.6565132588,2.6637781082,2.5009244012,2.50516223,3157793,0.0,1.0
PCAR,2000-01-06 00:00:00+00:00,42.63,43.75,41.88,43.06,697363,2.5808377444,2.6486430053,2.5354324357,2.6068701214,5295589,0.0,1.0
PCAR,2000-01-07 00:00:00+00:00,44.25,44.25,41.5,42.56,528830,2.6789132111,2.6789132111,2.5124270794,2.5765999156,4015794,0.0,1.0
PCAR,2000-01-10 00:00:00+00:00,46.06,46.06,44.0,44.44,352375,2.788491356,2.788491356,2.6637781082,2.6904158893,2675842,0.0,1.0
PCAR,2000-01-11 00:00:00+00:00,42.63,45.56,41.81,45.56,390953,2.5808377444,2.7582211503,2.5311946069,2.7582211503,2968793,0.0,1.0
PCAR,2000-01-12 00:00:00+00:00,42.13,43.38,41.5,43.25,412385,2.5505675386,2.6262430531,2.5124270794,2.6183727996,3131542,0.0,1.0
PCAR,2000-01-13 00:00:00+00:00,43.63,44.0,41.88,42.0,264652,2.641378156,2.6637781082,2.5354324357,2.5426972851,2009697,0.0,1.0
PCAR,2000-01-14 00:00:00+00:00,43.75,45.06,42.81,44.25,275042,2.6486430053,2.7279509445,2.5917350185,2.6789132111,2088596,0.0,1.0
PCAR,2000-01-18 00:00:00+00:00,44.38,44.75,43.0,43.5,290568,2.6867834646,2.7091834169,2.6032376967,2.6335079025,2206496,0.0,1.0
PCAR,2000-01-19 00:00:00+00:00,44.06,45.06,42.81,45.06,398044,2.6674105329,2.7279509445,2.5917350185,2.7279509445,3022640,0.0,1.0
PCAR,2000-01-20 00:00:00+00:00,43.0,44.5,42.0,44.47,248000,2.6032376967,2.694048314,2.5426972851,2.6922321017,1883246,0.0,1.0
PCAR,2000-01-21 00:00:00+00:00,43.0,44.75,42.0,44.75,381235,2.6032376967,2.7091834169,2.5426972851,2.7091834169,2894997,0.0,1.0
PCAR,2000-01-24 00:00:00+00:00,41.31,43.25,40.88,43.13,517057,2.5009244012,2.6183727996,2.4748920242,2.6111079502,3926393,0.0,1.0
PCAR,2000-01-25 00:00:00+00:00,41.75,42.0,40.25,41.19,540267,2.5275621822,2.5426972851,2.4367515649,2.4936595518,4102644,0.0,1.0
PCAR,2000-01-26 00:00:00+00:00,41.0,42.5,40.69,42.38,233363,2.4821568736,2.5729674909,2.463389346,2.5657026415,1772096,0.0,1.0
PCAR,2000-01-27 00:00:00+00:00,41.88,42.5,40.63,40.91,384020,2.5354324357,2.5729674909,2.4597569213,2.4767082365,2916146,0.0,1.0
PCAR,2000-01-28 00:00:00+00:00,40.13,41.13,39.75,40.5,426153,2.4294867155,2.4900271271,2.4064813591,2.4518866678,3236092,0.0,1.0
PCAR,2000-01-31 00:00:00+00:00,41.44,41.88,40.44,40.63,465067,2.5087946547,2.5354324357,2.4482542431,2.4597569213,3531595,0.0,1.0
PCAR,2000-02-01 00:00:00+00:00,42.38,43.13,41.75,42.75,457778,2.5657026415,2.6111079502,2.5275621822,2.5881025938,3476244,0.0,1.0
PCAR,2000-02-02 00:00:00+00:00,41.63,42.5,41.0,42.5,337600,2.5202973329,2.5729674909,2.4821568736,2.5729674909,2563644,0.0,1.0
PCAR,2000-02-03 00:00:00+00:00,42.5,42.81,41.44,42.06,408000,2.5729674909,2.5917350185,2.5087946547,2.5463297098,3098243,0.0,1.0
PCAR,2000-02-04 00:00:00+00:00,42.0,43.13,41.88,42.88,376968,2.5426972851,2.6111079502,2.5354324357,2.5959728473,2862595,0.0,1.0
PCAR,2000-02-07 00:00:00+00:00,42.31,42.63,41.88,41.88,669235,2.5614648127,2.5808377444,2.5354324357,2.5354324357,5081993,0.0,1.0
PCAR,2000-02-08 00:00:00+00:00,43.06,43.13,42.5,42.75,431763,2.6068701214,2.6111079502,2.5729674909,2.5881025938,3278693,0.0,1.0
PCAR,2000-02-09 00:00:00+00:00,42.56,43.13,42.44,43.0,500385,2.5765999156,2.6111079502,2.5693350662,2.6032376967,3799790,0.0,1.0
PCAR,2000-02-10 00:00:00+00:00,42.88,43.0,42.19,42.75,443378,2.5959728473,2.6032376967,2.5541999633,2.5881025938,3366894,0.0,1.0
PCAR,2000-02-11 00:00:00+00:00,42.39,43.06,42.38,42.88,335842,2.5663080456,2.6068701214,2.5657026415,2.5959728473,2550295,0.0,1.0
PCAR,2000-02-14 00:00:00+00:00,43.38,43.5,41.5,42.31,348385,2.6262430531,2.6335079025,2.5124270794,2.5614648127,2645543,0.0,1.0
PCAR,2000-02-15 00:00:00+00:00,43.44,44.0,42.06,43.38,326953,2.6298754778,2.6637781082,2.5463297098,2.6262430531,2482794,0.0,1.0
PCAR,2000-02-16 00:00:00+00:00,44.81,45.0,43.5,43.5,518242,2.7309779651,2.7425576529,2.6511390645,2.6511390645,3935392,0.3,1.0
PCAR,2000-02-17 00:00:00+00:00,44.94,45.19,43.63,44.81,379990,2.7389009094,2.7541373408,2.6590620088,2.7309779651,2885543,0.0,1.0
PCAR,2000-02-18 00:00:00+00:00,44.75,44.94,44.0,44.63,734657,2.7273212215,2.7389009094,2.6816119273,2.7200077344,5578790,0.0,1.0
PCAR,2000-02-22 00:00:00+00:00,45.25,46.31,44.25,44.63,738035,2.7577940843,2.8223965535,2.6968483587,2.7200077344,5604442,0.0,1.0
PCAR,2000-02-23 00:00:00+00:00,44.56,46.13,43.94,45.13,587378,2.7157415337,2.8114263229,2.6779551838,2.7504805973,4460392,0.0,1.0
