symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PH,2000-01-03 00:00:00+00:00,48.81,51.31,48.5,51.31,395600,21.9914036559,23.1177816346,21.8517327865,23.1177816346,593399,0.0,1.0
PH,2000-01-04 00:00:00+00:00,46.88,49.25,46.88,48.81,145067,21.1218398563,22.1896461801,21.1218398563,21.9914036559,217600,0.0,1.0
PH,2000-01-05 00:00:00+00:00,47.06,47.75,46.63,47.06,280600,21.2029390708,21.5138193929,21.0092020585,21.2029390708,420899,0.0,1.0
PH,2000-01-06 00:00:00+00:00,47.75,47.75,46.13,47.0,802267,21.5138193929,21.5138193929,20.7839264627,21.1759059993,1203399,0.0,1.0
PH,2000-01-07 00:00:00+00:00,52.13,54.0,51.75,52.0,1753400,23.4872336116,24.3297643396,23.3160241588,23.4286619567,2630098,0.0,1.0
PH,2000-01-10 00:00:00+00:00,51.5,53.44,50.75,52.13,516600,23.2033863609,24.0774556724,22.8654729673,23.4872336116,774899,0.0,1.0
PH,2000-01-11 00:00:00+00:00,50.19,51.81,50.0,51.25,349000,22.6131643001,23.3430572303,22.5275595737,23.0907485631,523499,0.0,1.0
PH,2000-01-12 00:00:00+00:00,50.88,51.19,50.38,50.44,719267,22.9240446222,23.0637154916,22.6987690265,22.725802098,1078899,0.0,1.0
PH,2000-01-13 00:00:00+00:00,50.25,50.94,49.81,50.94,367667,22.6401973716,22.9510776937,22.4419548473,22.9510776937,551500,0.0,1.0
PH,2000-01-14 00:00:00+00:00,49.63,50.38,48.63,50.38,494067,22.3608556329,22.6987690265,21.9103044414,22.6987690265,741100,0.0,1.0
PH,2000-01-18 00:00:00+00:00,46.69,49.19,45.56,49.0,875200,21.0362351299,22.1626131086,20.5271122836,22.0770083823,1312799,0.0,1.0
PH,2000-01-19 00:00:00+00:00,47.88,47.88,45.75,46.0,599467,21.5723910478,21.5723910478,20.61271701,20.7253548078,899200,0.0,1.0
PH,2000-01-20 00:00:00+00:00,47.56,49.0,47.31,49.0,575200,21.4282146665,22.0770083823,21.3155768687,22.0770083823,862799,0.0,1.0
PH,2000-01-21 00:00:00+00:00,46.75,48.0,46.0,47.56,503467,21.0632682014,21.6264571908,20.7253548078,21.4282146665,755200,0.0,1.0
PH,2000-01-24 00:00:00+00:00,44.31,46.81,44.13,46.81,522600,19.9639232942,21.0903012729,19.8828240798,21.0903012729,783899,0.0,1.0
PH,2000-01-25 00:00:00+00:00,43.13,44.5,42.75,44.38,370667,19.4322728883,20.0495280206,19.2610634355,19.9954618776,556000,0.0,1.0
PH,2000-01-26 00:00:00+00:00,44.06,44.63,41.81,43.31,731800,19.8512854964,20.1080996755,18.8375453156,19.5133721028,1097699,0.0,1.0
PH,2000-01-27 00:00:00+00:00,43.88,45.0,43.5,44.0,295000,19.7701862819,20.2748036164,19.5989768291,19.8242524249,442499,0.0,1.0
PH,2000-01-28 00:00:00+00:00,42.19,43.63,42.0,43.63,378067,19.0087547683,19.657548484,18.9231500419,19.657548484,567100,0.0,1.0
PH,2000-01-31 00:00:00+00:00,43.25,43.63,41.69,42.13,258600,19.4863390313,19.657548484,18.7834791726,18.9817216968,387899,0.0,1.0
PH,2000-02-01 00:00:00+00:00,44.13,44.44,43.13,43.13,470267,19.8828240798,20.0224949491,19.4322728883,19.4322728883,705400,0.0,1.0
PH,2000-02-02 00:00:00+00:00,43.06,44.75,42.75,44.13,204067,19.4007343049,20.1621658185,19.2610634355,19.8828240798,306100,0.0,1.0
PH,2000-02-03 00:00:00+00:00,42.56,43.56,41.88,43.19,213600,19.1754587092,19.6260099006,18.869083899,19.4593059598,320399,0.0,1.0
PH,2000-02-04 00:00:00+00:00,41.94,42.81,41.44,42.81,269600,18.8961169704,19.288096507,18.6708413747,19.288096507,404399,0.0,1.0
PH,2000-02-07 00:00:00+00:00,40.94,42.44,40.25,42.0,435467,18.445565779,19.1213925662,18.1346854569,18.9231500419,653200,0.0,1.0
PH,2000-02-08 00:00:00+00:00,40.94,42.25,40.94,40.94,391800,18.445565779,19.0357878398,18.445565779,18.445565779,587699,0.0,1.0
PH,2000-02-09 00:00:00+00:00,38.69,41.19,38.19,41.13,701400,17.4318255982,18.5582035768,17.2065500024,18.5311705053,1052099,0.0,1.0
PH,2000-02-10 00:00:00+00:00,37.81,39.25,37.63,39.19,552400,17.0353405497,17.6841342654,16.9542413352,17.6571011939,828599,0.0,1.0
PH,2000-02-11 00:00:00+00:00,35.5,37.81,35.38,37.81,562200,15.9945672973,17.0353405497,15.9405011544,17.0353405497,843299,0.0,1.0
PH,2000-02-14 00:00:00+00:00,38.19,38.81,35.63,35.75,509067,17.2065500024,17.4858917411,16.0531389522,16.1072050952,763600,0.0,1.0
PH,2000-02-15 00:00:00+00:00,41.69,41.94,38.44,38.44,986667,18.7834791726,18.8961169704,17.3191878003,17.3191878003,1479999,0.0,1.0
