symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PHM,2000-01-03 00:00:00+00:00,21.12,22.5,20.12,22.5,230900,4.3807198421,4.666960059,4.173299395,4.666960059,923600,0.0,1.0
PHM,2000-01-04 00:00:00+00:00,20.13,20.88,20.0,20.88,49100,4.1753735995,4.3309389348,4.1484089413,4.3309389348,196400,0.0,1.0
PHM,2000-01-05 00:00:00+00:00,19.88,20.25,19.56,20.13,261200,4.1235184877,4.2002640531,4.0571439446,4.1753735995,1044800,0.0,1.0
PHM,2000-01-06 00:00:00+00:00,19.63,19.81,19.44,19.81,117300,4.0716633759,4.1089990564,4.032253491,4.1089990564,469200,0.0,1.0
PHM,2000-01-07 00:00:00+00:00,19.94,20.13,19.5,19.5,127400,4.1359637145,4.1753735995,4.0446987178,4.0446987178,509600,0.0,1.0
PHM,2000-01-10 00:00:00+00:00,19.56,20.06,19.56,19.81,279100,4.0571439446,4.1608541682,4.0571439446,4.1089990564,1116400,0.0,1.0
PHM,2000-01-11 00:00:00+00:00,18.75,19.81,18.5,19.75,383300,3.8891333825,4.1089990564,3.8372782707,4.0965538296,1533200,0.0,1.0
PHM,2000-01-12 00:00:00+00:00,18.13,19.0,17.88,19.0,385100,3.7605327053,3.9409884943,3.7086775936,3.9409884943,1540400,0.0,1.0
PHM,2000-01-13 00:00:00+00:00,19.0,19.0,18.19,18.19,363700,3.9409884943,3.9409884943,3.7729779322,3.7729779322,1454800,0.0,1.0
PHM,2000-01-14 00:00:00+00:00,18.88,19.38,18.44,19.25,173200,3.9160980406,4.0198082642,3.8248330439,3.992843606,692800,0.0,1.0
PHM,2000-01-18 00:00:00+00:00,18.69,18.81,18.56,18.75,88600,3.8766881557,3.9015786093,3.8497234976,3.8891333825,354400,0.0,1.0
PHM,2000-01-19 00:00:00+00:00,17.94,18.81,17.81,18.81,243400,3.7211228204,3.9015786093,3.6941581623,3.9015786093,973600,0.0,1.0
PHM,2000-01-20 00:00:00+00:00,18.13,18.44,17.31,18.0,474200,3.7605327053,3.8248330439,3.5904479387,3.7335680472,1896800,0.0,1.0
PHM,2000-01-21 00:00:00+00:00,18.38,19.38,18.13,19.25,311300,3.8123878171,4.0198082642,3.7605327053,3.992843606,1245200,0.0,1.0
PHM,2000-01-24 00:00:00+00:00,17.88,18.81,17.69,18.5,339700,3.7086775936,3.9015786093,3.6692677086,3.8372782707,1358800,0.0,1.0
PHM,2000-01-25 00:00:00+00:00,17.0,18.13,16.75,18.13,407900,3.5261476001,3.7605327053,3.4742924884,3.7605327053,1631600,0.0,1.0
PHM,2000-01-26 00:00:00+00:00,17.44,17.69,17.13,17.19,696400,3.6174125969,3.6692677086,3.5531122583,3.5655574851,2785600,0.0,1.0
PHM,2000-01-27 00:00:00+00:00,17.94,18.0,17.38,17.5,464700,3.7211228204,3.7335680472,3.60496737,3.6298578237,1858800,0.0,1.0
PHM,2000-01-28 00:00:00+00:00,17.75,18.25,17.75,18.06,311600,3.6817129354,3.785423159,3.6817129354,3.746013274,1246400,0.0,1.0
PHM,2000-01-31 00:00:00+00:00,17.44,17.94,17.31,17.94,307000,3.6174125969,3.7211228204,3.5904479387,3.7211228204,1228000,0.0,1.0
PHM,2000-02-01 00:00:00+00:00,17.19,17.75,17.13,17.63,199700,3.5655574851,3.6817129354,3.5531122583,3.6568224818,798800,0.0,1.0
PHM,2000-02-02 00:00:00+00:00,17.0,17.44,16.94,17.44,293100,3.5261476001,3.6174125969,3.5137023733,3.6174125969,1172400,0.0,1.0
PHM,2000-02-03 00:00:00+00:00,17.25,17.44,17.0,17.25,249900,3.5780027119,3.6174125969,3.5261476001,3.5780027119,999600,0.0,1.0
PHM,2000-02-04 00:00:00+00:00,17.25,17.56,17.06,17.31,1061800,3.5780027119,3.6423030505,3.538592827,3.5904479387,4247200,0.0,1.0
PHM,2000-02-07 00:00:00+00:00,16.56,17.31,16.44,17.25,376600,3.4348826034,3.5904479387,3.4099921498,3.5780027119,1506400,0.0,1.0
PHM,2000-02-08 00:00:00+00:00,17.81,18.06,16.94,17.0,349400,3.6941581623,3.746013274,3.5137023733,3.5261476001,1397600,0.0,1.0
PHM,2000-02-09 00:00:00+00:00,17.69,17.88,17.5,17.75,215100,3.6692677086,3.7086775936,3.6298578237,3.6817129354,860400,0.0,1.0
PHM,2000-02-10 00:00:00+00:00,17.44,17.94,17.31,17.69,234300,3.6174125969,3.7211228204,3.5904479387,3.6692677086,937200,0.0,1.0
PHM,2000-02-11 00:00:00+00:00,17.63,17.94,17.38,17.44,196300,3.6568224818,3.7211228204,3.60496737,3.6174125969,785200,0.0,1.0
PHM,2000-02-14 00:00:00+00:00,17.56,17.81,17.5,17.69,166200,3.6423030505,3.6941581623,3.6298578237,3.6692677086,664800,0.0,1.0
PHM,2000-02-15 00:00:00+00:00,18.5,19.13,17.44,17.44,338100,3.8372782707,3.9679531524,3.6174125969,3.6174125969,1352400,0.0,1.0
PHM,2000-02-16 00:00:00+00:00,17.69,18.5,17.56,18.5,169000,3.6692677086,3.8372782707,3.6423030505,3.8372782707,676000,0.0,1.0
PHM,2000-02-17 00:00:00+00:00,17.69,18.25,17.56,17.88,314600,3.6692677086,3.785423159,3.6423030505,3.7086775936,1258400,0.0,1.0
PHM,2000-02-18 00:00:00+00:00,17.75,17.75,16.88,17.62,199000,3.6817129354,3.6817129354,3.5012571465,3.6547482773,796000,0.0,1.0
