symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PKG,2000-01-28 00:00:00+00:00,12.0,12.19,12.0,12.0,11192000,6.3023175434,6.4021042378,6.3023175434,6.3023175434,11192000,0.0,1.0
PKG,2000-01-31 00:00:00+00:00,12.06,12.06,12.0,12.0,1880900,6.3338291311,6.3338291311,6.3023175434,6.3023175434,1880900,0.0,1.0
PKG,2000-02-01 00:00:00+00:00,12.0,12.06,12.0,12.0,367100,6.3023175434,6.3338291311,6.3023175434,6.3023175434,367100,0.0,1.0
PKG,2000-02-02 00:00:00+00:00,12.06,12.06,12.0,12.0,697400,6.3338291311,6.3338291311,6.3023175434,6.3023175434,697400,0.0,1.0
PKG,2000-02-03 00:00:00+00:00,12.0,12.06,12.0,12.0,579800,6.3023175434,6.3338291311,6.3023175434,6.3023175434,579800,0.0,1.0
PKG,2000-02-04 00:00:00+00:00,11.38,12.06,11.25,12.0,1681900,5.9766978036,6.3338291311,5.9084226969,6.3023175434,1681900,0.0,1.0
PKG,2000-02-07 00:00:00+00:00,10.81,11.12,10.5,11.12,927200,5.6773377203,5.8401475902,5.5145278504,5.8401475902,927200,0.0,1.0
PKG,2000-02-08 00:00:00+00:00,9.88,10.88,9.75,10.75,795400,5.1889081107,5.7141012393,5.120633004,5.6458261326,795400,0.0,1.0
PKG,2000-02-09 00:00:00+00:00,10.12,10.25,9.75,9.88,1710100,5.3149544616,5.3832295683,5.120633004,5.1889081107,1710100,0.0,1.0
PKG,2000-02-10 00:00:00+00:00,10.62,11.25,10.44,10.5,571500,5.5775510259,5.9084226969,5.4830162627,5.5145278504,571500,0.0,1.0
PKG,2000-02-11 00:00:00+00:00,10.06,10.94,10.0,10.75,1062000,5.2834428739,5.745612827,5.2519312861,5.6458261326,1062000,0.0,1.0
PKG,2000-02-14 00:00:00+00:00,9.81,10.31,9.75,10.19,289000,5.1521445917,5.414741156,5.120633004,5.3517179806,289000,0.0,1.0
PKG,2000-02-15 00:00:00+00:00,10.44,10.62,9.94,10.0,541400,5.4830162627,5.5775510259,5.2204196984,5.2519312861,541400,0.0,1.0
PKG,2000-02-16 00:00:00+00:00,10.56,10.62,10.25,10.56,360700,5.5460394382,5.5775510259,5.3832295683,5.5460394382,360700,0.0,1.0
PKG,2000-02-17 00:00:00+00:00,10.38,10.88,10.25,10.88,291600,5.451504675,5.7141012393,5.3832295683,5.7141012393,291600,0.0,1.0
PKG,2000-02-18 00:00:00+00:00,10.5,10.75,10.31,10.5,330700,5.5145278504,5.6458261326,5.414741156,5.5145278504,330700,0.0,1.0
PKG,2000-02-22 00:00:00+00:00,10.31,10.62,9.88,10.25,314500,5.414741156,5.5775510259,5.1889081107,5.3832295683,314500,0.0,1.0
PKG,2000-02-23 00:00:00+00:00,10.12,10.31,9.81,9.94,494300,5.3149544616,5.414741156,5.1521445917,5.2204196984,494300,0.0,1.0
PKG,2000-02-24 00:00:00+00:00,9.94,10.31,9.88,10.12,919900,5.2204196984,5.414741156,5.1889081107,5.3149544616,919900,0.0,1.0
