symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PKI,2000-01-03 00:00:00+00:00,41.44,42.0,40.75,41.75,141700,16.3674463098,16.5886280167,16.0949188496,16.4898861833,283400,0.0,1.0
PKI,2000-01-04 00:00:00+00:00,39.5,41.44,39.31,41.44,124600,15.6012096824,16.3674463098,15.526165889,16.3674463098,249200,0.0,1.0
PKI,2000-01-05 00:00:00+00:00,39.0,39.81,38.0,39.69,95200,15.4037260155,15.7236495559,15.0087586818,15.6762534758,190400,0.0,1.0
PKI,2000-01-06 00:00:00+00:00,39.56,40.5,39.13,39.31,200700,15.6249077224,15.9961770161,15.4550717689,15.526165889,401400,0.0,1.0
PKI,2000-01-07 00:00:00+00:00,40.06,40.06,39.25,39.94,226600,15.8223913893,15.8223913893,15.502467849,15.7749953092,453200,0.0,1.0
PKI,2000-01-10 00:00:00+00:00,41.69,42.94,39.81,39.81,205700,16.4661881433,16.9598973104,15.7236495559,15.7236495559,411400,0.0,1.0
PKI,2000-01-11 00:00:00+00:00,40.38,41.94,40.31,41.88,89400,15.9487809361,16.5649299767,15.9211332227,16.5412319367,178800,0.0,1.0
PKI,2000-01-12 00:00:00+00:00,40.44,40.88,39.81,40.13,102100,15.9724789761,16.146264603,15.7236495559,15.8500391027,204200,0.0,1.0
PKI,2000-01-13 00:00:00+00:00,41.56,41.69,40.19,40.19,198200,16.4148423899,16.4661881433,15.8737371427,15.8737371427,396400,0.0,1.0
PKI,2000-01-14 00:00:00+00:00,41.56,42.44,41.06,41.75,284600,16.4148423899,16.7624136436,16.217358723,16.4898861833,569200,0.0,1.0
PKI,2000-01-18 00:00:00+00:00,43.13,43.25,41.25,41.5,372800,17.0349411038,17.0823371839,16.2924025164,16.3911443499,745600,0.0,1.0
PKI,2000-01-19 00:00:00+00:00,43.75,44.5,42.0,43.0,331200,17.3351162775,17.6322896994,16.6417116264,17.0379428556,662400,0.14,1.0
PKI,2000-01-20 00:00:00+00:00,45.5,46.56,43.75,43.75,499200,18.0285209286,18.4485260315,17.3351162775,17.3351162775,998400,0.0,1.0
PKI,2000-01-21 00:00:00+00:00,47.13,49.0,45.75,46.13,573400,18.6743778322,19.4153302308,18.1275787359,18.278146603,1146800,0.0,1.0
PKI,2000-01-24 00:00:00+00:00,47.31,48.13,46.56,47.5,399100,18.7456994534,19.0706090614,18.4485260315,18.820983387,798200,0.0,1.0
PKI,2000-01-25 00:00:00+00:00,47.56,48.38,46.94,47.56,393100,18.8447572607,19.1696668687,18.5990938986,18.8447572607,786200,0.0,1.0
PKI,2000-01-26 00:00:00+00:00,47.69,48.0,47.31,47.5,235900,18.8962673205,19.0190990016,18.7456994534,18.820983387,471800,0.0,1.0
PKI,2000-01-27 00:00:00+00:00,49.19,50.44,48.94,49.63,450600,19.4906141643,19.9859032008,19.391556357,19.6649559052,901200,0.0,1.0
PKI,2000-01-28 00:00:00+00:00,49.81,50.94,49.31,49.38,520700,19.7362775264,20.1840188154,19.5381619118,19.5658980979,1041400,0.0,1.0
PKI,2000-01-31 00:00:00+00:00,50.06,50.56,49.63,49.69,358800,19.8353353337,20.0334509483,19.6649559052,19.6887297789,717600,0.0,1.0
PKI,2000-02-01 00:00:00+00:00,51.44,51.94,49.75,49.81,381200,20.38213443,20.5802500446,19.7125036527,19.7362775264,762400,0.0,1.0
PKI,2000-02-02 00:00:00+00:00,50.62,52.0,50.25,51.25,277900,20.0572248221,20.6040239184,19.9106192673,20.3068504965,555800,0.0,1.0
PKI,2000-02-03 00:00:00+00:00,50.94,51.56,50.75,50.81,275500,20.1840188154,20.4296821775,20.1087348819,20.1325087556,551000,0.0,1.0
PKI,2000-02-04 00:00:00+00:00,52.69,53.0,50.63,51.19,333500,20.8774234665,21.0002551476,20.0611871344,20.2830766227,667000,0.0,1.0
PKI,2000-02-07 00:00:00+00:00,53.31,53.63,52.5,53.25,291700,21.1230868286,21.249880822,20.802139533,21.0993129549,583400,0.0,1.0
PKI,2000-02-08 00:00:00+00:00,55.06,55.75,53.5,53.56,329100,21.8164914797,22.0898910279,21.1983707622,21.2221446359,658200,0.0,1.0
PKI,2000-02-09 00:00:00+00:00,54.5,55.44,54.13,55.06,359300,21.5946019914,21.9670593468,21.4479964366,21.8164914797,718600,0.0,1.0
PKI,2000-02-10 00:00:00+00:00,55.0,55.0,53.38,54.63,211200,21.792717606,21.792717606,21.1508230147,21.6461120512,422400,0.0,1.0
PKI,2000-02-11 00:00:00+00:00,56.5,58.0,55.5,56.88,519700,22.3870644498,22.9814112936,21.9908332206,22.5376323169,1039400,0.0,1.0
PKI,2000-02-14 00:00:00+00:00,59.75,60.31,56.81,56.94,700600,23.6748159447,23.896705433,22.5098961308,22.5614061906,1401200,0.0,1.0
PKI,2000-02-15 00:00:00+00:00,65.31,66.88,59.38,60.06,758700,25.877861579,26.4999446089,23.5282103899,23.7976476257,1517400,0.0,1.0
PKI,2000-02-16 00:00:00+00:00,67.06,68.94,63.63,65.06,545300,26.5712662301,27.316180941,25.212193114,25.7788037717,1090600,0.0,1.0
PKI,2000-02-17 00:00:00+00:00,76.13,84.5,67.06,67.06,1498100,30.165083479,33.4815388674,26.5712662301,26.5712662301,2996200,0.0,1.0
PKI,2000-02-18 00:00:00+00:00,68.0,76.44,66.0,76.44,1296400,26.9437235856,30.28791516,26.1512611272,30.28791516,2592800,0.0,1.0
PKI,2000-02-22 00:00:00+00:00,70.0,71.63,67.63,68.0,930100,27.736186044,28.3820429476,26.7971180308,26.9437235856,1860200,0.0,1.0
PKI,2000-02-23 00:00:00+00:00,68.69,70.38,67.69,70.25,254600,27.2171231337,27.8867539111,26.8208919045,27.8352438513,509200,0.0,1.0
PKI,2000-02-24 00:00:00+00:00,65.19,69.88,64.5,69.06,461300,25.8303138315,27.6886382965,25.5569142834,27.3637286885,922600,0.0,1.0
PKI,2000-02-25 00:00:00+00:00,63.0,65.13,62.0,65.13,562700,24.9625674396,25.8065399578,24.5663362104,25.8065399578,1125400,0.0,1.0
PKI,2000-02-28 00:00:00+00:00,60.38,62.94,56.81,62.5,773600,23.9244416191,24.9387935658,22.5098961308,24.764451825,1547200,0.0,1.0
PKI,2000-02-29 00:00:00+00:00,64.63,67.0,59.0,60.38,1003700,25.6084243432,26.5474923564,23.3776425228,23.9244416191,2007400,0.0,1.0
PKI,2000-03-01 00:00:00+00:00,68.0,72.63,64.5,64.5,640600,26.9437235856,28.7782741768,25.5569142834,25.5569142834,1281200,0.0,1.0
PKI,2000-03-02 00:00:00+00:00,72.56,74.31,68.13,69.88,522800,28.7505379907,29.4439426418,26.9952336454,27.6886382965,1045600,0.0,1.0
PKI,2000-03-03 00:00:00+00:00,77.13,78.0,73.75,74.75,667100,30.5613147082,30.9060358776,29.2220531535,29.6182843827,1334200,0.0,1.0
PKI,2000-03-06 00:00:00+00:00,79.25,82.0,76.38,78.75,538800,31.4013249141,32.4909607944,30.2641412863,31.2032092995,1077600,0.0,1.0
PKI,2000-03-07 00:00:00+00:00,77.88,82.0,76.63,81.0,647500,30.8584881301,32.4909607944,30.3631990936,32.0947295652,1295000,0.0,1.0
PKI,2000-03-08 00:00:00+00:00,71.31,78.75,69.19,78.5,594000,28.2552489542,31.2032092995,27.4152387483,31.1041514922,1188000,0.0,1.0
PKI,2000-03-09 00:00:00+00:00,71.13,73.19,67.0,73.0,620300,28.183927333,29.0001636651,26.5474923564,28.9248797316,1240600,0.0,1.0
PKI,2000-03-10 00:00:00+00:00,72.56,77.25,72.0,72.0,389400,28.7505379907,30.6088624557,28.5286485024,28.5286485024,778800,0.0,1.0
PKI,2000-03-13 00:00:00+00:00,69.44,74.0,68.56,72.63,361500,27.5142965556,29.3211109608,27.1656130739,28.7782741768,723000,0.0,1.0
PKI,2000-03-14 00:00:00+00:00,64.38,71.0,62.69,70.13,611700,25.5093665359,28.1324172732,24.8397357585,27.7876961038,1223400,0.0,1.0
PKI,2000-03-15 00:00:00+00:00,64.63,68.88,62.31,68.88,832100,25.6084243432,27.2924070673,24.6891678914,27.2924070673,1664200,0.0,1.0
PKI,2000-03-16 00:00:00+00:00,66.88,67.25,63.5,64.88,382400,26.4999446089,26.6465501637,25.1606830542,25.7074821505,764800,0.0,1.0
PKI,2000-03-17 00:00:00+00:00,69.81,70.94,64.5,64.5,746100,27.6609021104,28.1086433994,25.5569142834,25.5569142834,1492200,0.0,1.0
PKI,2000-03-20 00:00:00+00:00,70.5,72.75,69.69,69.69,678000,27.9343016586,28.8258219243,27.6133543629,27.6133543629,1356000,0.0,1.0
PKI,2000-03-21 00:00:00+00:00,68.13,70.31,65.63,70.25,299200,26.9952336454,27.859017725,26.0046555724,27.8352438513,598400,0.0,1.0
PKI,2000-03-22 00:00:00+00:00,68.75,70.13,67.81,68.38,231500,27.2408970075,27.7876961038,26.868439652,27.0942914527,463000,0.0,1.0
PKI,2000-03-23 00:00:00+00:00,67.5,69.56,66.0,68.75,221300,26.745607971,27.5618443031,26.1512611272,27.2408970075,442600,0.0,1.0
PKI,2000-03-24 00:00:00+00:00,66.12,69.25,65.12,68.5,292800,26.1988088747,27.4390126221,25.8025776455,27.1418392002,585600,0.0,1.0
PKI,2000-03-27 00:00:00+00:00,68.0,68.63,65.88,65.88,348400,26.9437235856,27.19334926,26.1037133797,26.1037133797,696800,0.0,1.0
PKI,2000-03-28 00:00:00+00:00,66.19,68.25,66.0,68.25,171100,26.2265450607,27.0427813929,26.1512611272,27.0427813929,342200,0.0,1.0
PKI,2000-03-29 00:00:00+00:00,66.69,67.5,65.56,65.94,264400,26.4246606753,26.745607971,25.9769193863,26.1274872534,528800,0.0,1.0
PKI,2000-03-30 00:00:00+00:00,64.25,67.5,63.06,66.75,448800,25.4578564761,26.745607971,24.9863413133,26.4484345491,897600,0.0,1.0
PKI,2000-03-31 00:00:00+00:00,66.5,67.5,63.0,65.0,503300,26.3493767418,26.745607971,24.9625674396,25.755029898,1006600,0.0,1.0
PKI,2000-04-03 00:00:00+00:00,63.75,66.38,62.5,66.38,256300,25.2597408615,26.3018289943,24.764451825,26.3018289943,512600,0.0,1.0
PKI,2000-04-04 00:00:00+00:00,61.0,64.63,57.38,64.5,469700,24.1701049812,25.6084243432,22.7357479315,25.5569142834,939400,0.0,1.0
PKI,2000-04-05 00:00:00+00:00,59.06,60.94,57.5,60.94,506700,23.4014163965,24.1463311074,22.783295679,24.1463311074,1013400,0.0,1.0
PKI,2000-04-06 00:00:00+00:00,59.63,62.25,58.63,61.44,345500,23.6272681972,24.6653940177,23.231036968,24.344446722,691000,0.0,1.0
PKI,2000-04-07 00:00:00+00:00,63.25,63.81,60.5,60.63,252600,25.0616252469,25.2835147352,23.9719893666,24.0234994264,505200,0.0,1.0
