symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PLD,2000-01-03 00:00:00+00:00,19.81,19.94,19.75,19.94,36200,6.3972931635,6.4392743908,6.3779172125,6.4392743908,36200,0.0,1.0
PLD,2000-01-04 00:00:00+00:00,19.5,19.94,19.0,19.94,148500,6.2971840832,6.4392743908,6.1357178247,6.4392743908,148500,0.0,1.0
PLD,2000-01-05 00:00:00+00:00,19.06,19.19,18.81,19.0,178700,6.1550937757,6.1970750029,6.0743606464,6.1357178247,178700,0.0,1.0
PLD,2000-01-06 00:00:00+00:00,19.63,19.81,19.38,19.38,452800,6.3391653105,6.3972931635,6.2584321812,6.2584321812,452800,0.0,1.0
PLD,2000-01-07 00:00:00+00:00,20.0,20.0,19.75,19.75,290700,6.4586503418,6.4586503418,6.3779172125,6.3779172125,290700,0.0,1.0
PLD,2000-01-10 00:00:00+00:00,20.13,20.19,19.94,20.0,158200,6.500631569,6.52000752,6.4392743908,6.4586503418,158200,0.0,1.0
PLD,2000-01-11 00:00:00+00:00,20.19,20.31,20.0,20.13,146000,6.52000752,6.5587594221,6.4586503418,6.500631569,146000,0.0,1.0
PLD,2000-01-12 00:00:00+00:00,20.0,20.25,20.0,20.25,120000,6.4586503418,6.5393834711,6.4586503418,6.5393834711,120000,0.0,1.0
PLD,2000-01-13 00:00:00+00:00,19.94,20.19,19.94,20.0,85400,6.4392743908,6.52000752,6.4392743908,6.4586503418,85400,0.0,1.0
PLD,2000-01-14 00:00:00+00:00,19.75,20.0,19.75,20.0,80500,6.3779172125,6.4586503418,6.3779172125,6.4586503418,80500,0.0,1.0
PLD,2000-01-18 00:00:00+00:00,20.06,20.69,19.75,19.88,548000,6.4780262928,6.6814737786,6.3779172125,6.4198984397,548000,0.0,1.0
PLD,2000-01-19 00:00:00+00:00,20.19,20.31,20.06,20.13,77100,6.52000752,6.5587594221,6.4780262928,6.500631569,77100,0.0,1.0
PLD,2000-01-20 00:00:00+00:00,20.31,20.31,20.13,20.25,271000,6.5587594221,6.5587594221,6.500631569,6.5393834711,271000,0.0,1.0
PLD,2000-01-21 00:00:00+00:00,20.44,20.5,20.31,20.38,95000,6.6007406493,6.6201166003,6.5587594221,6.5813646983,95000,0.0,1.0
PLD,2000-01-24 00:00:00+00:00,20.38,20.5,20.38,20.5,34600,6.5813646983,6.6201166003,6.5813646983,6.6201166003,34600,0.0,1.0
PLD,2000-01-25 00:00:00+00:00,20.44,20.56,20.38,20.38,100400,6.6007406493,6.6394925514,6.5813646983,6.5813646983,100400,0.0,1.0
PLD,2000-01-26 00:00:00+00:00,20.5,20.56,20.44,20.5,151100,6.6201166003,6.6394925514,6.6007406493,6.6201166003,151100,0.0,1.0
PLD,2000-01-27 00:00:00+00:00,20.56,20.63,20.5,20.5,59100,6.6394925514,6.6620978275,6.6201166003,6.6201166003,59100,0.0,1.0
PLD,2000-01-28 00:00:00+00:00,20.5,20.63,20.44,20.63,118700,6.6201166003,6.6620978275,6.6007406493,6.6620978275,118700,0.0,1.0
PLD,2000-01-31 00:00:00+00:00,20.44,20.5,20.44,20.5,94800,6.6007406493,6.6201166003,6.6007406493,6.6201166003,94800,0.0,1.0
PLD,2000-02-01 00:00:00+00:00,20.56,20.63,20.44,20.5,366600,6.6394925514,6.6620978275,6.6007406493,6.6201166003,366600,0.0,1.0
PLD,2000-02-02 00:00:00+00:00,20.5,20.63,20.5,20.63,238200,6.6201166003,6.6620978275,6.6201166003,6.6620978275,238200,0.0,1.0
PLD,2000-02-03 00:00:00+00:00,20.56,20.63,20.5,20.56,380400,6.6394925514,6.6620978275,6.6201166003,6.6394925514,380400,0.0,1.0
PLD,2000-02-04 00:00:00+00:00,20.5,20.56,20.44,20.56,101300,6.6201166003,6.6394925514,6.6007406493,6.6394925514,101300,0.0,1.0
PLD,2000-02-07 00:00:00+00:00,20.56,20.63,20.38,20.38,230300,6.6394925514,6.6620978275,6.5813646983,6.5813646983,230300,0.0,1.0
PLD,2000-02-08 00:00:00+00:00,20.44,20.56,20.38,20.5,88000,6.6007406493,6.6394925514,6.5813646983,6.6201166003,88000,0.0,1.0
PLD,2000-02-09 00:00:00+00:00,20.44,20.69,20.25,20.38,143500,6.6007406493,6.6814737786,6.5393834711,6.5813646983,143500,0.0,1.0
PLD,2000-02-10 00:00:00+00:00,20.44,20.56,20.38,20.44,93300,6.6007406493,6.6394925514,6.5813646983,6.6007406493,93300,0.0,1.0
PLD,2000-02-11 00:00:00+00:00,20.06,20.69,20.06,20.5,43200,6.4780262928,6.6814737786,6.4780262928,6.6201166003,43200,0.0,1.0
PLD,2000-02-14 00:00:00+00:00,20.31,20.38,20.0,20.06,153200,6.5587594221,6.5813646983,6.4586503418,6.4780262928,153200,0.0,1.0
PLD,2000-02-15 00:00:00+00:00,20.63,20.63,20.38,20.56,144800,6.6620978275,6.6620978275,6.5813646983,6.6394925514,144800,0.0,1.0
PLD,2000-02-16 00:00:00+00:00,20.63,20.69,20.5,20.63,117900,6.6620978275,6.6814737786,6.6201166003,6.6620978275,117900,0.0,1.0
PLD,2000-02-17 00:00:00+00:00,20.56,20.56,20.44,20.5,102100,6.6394925514,6.6394925514,6.6007406493,6.6201166003,102100,0.0,1.0
PLD,2000-02-18 00:00:00+00:00,20.5,20.56,20.31,20.56,79300,6.6201166003,6.6394925514,6.5587594221,6.6394925514,79300,0.0,1.0
PLD,2000-02-22 00:00:00+00:00,20.56,20.56,20.25,20.25,195500,6.6394925514,6.6394925514,6.5393834711,6.5393834711,195500,0.0,1.0
PLD,2000-02-23 00:00:00+00:00,20.5,20.63,20.44,20.63,103200,6.6201166003,6.6620978275,6.6007406493,6.6620978275,103200,0.0,1.0
PLD,2000-02-24 00:00:00+00:00,20.44,20.5,20.19,20.5,235900,6.6007406493,6.6201166003,6.52000752,6.6201166003,235900,0.0,1.0
PLD,2000-02-25 00:00:00+00:00,20.25,20.25,20.13,20.25,43400,6.5393834711,6.5393834711,6.500631569,6.5393834711,43400,0.0,1.0
PLD,2000-02-28 00:00:00+00:00,20.13,20.25,20.0,20.13,135400,6.500631569,6.5393834711,6.4586503418,6.500631569,135400,0.0,1.0
PLD,2000-02-29 00:00:00+00:00,20.19,20.25,20.0,20.19,172000,6.52000752,6.5393834711,6.4586503418,6.52000752,172000,0.0,1.0
PLD,2000-03-01 00:00:00+00:00,20.19,20.25,20.06,20.25,169500,6.52000752,6.5393834711,6.4780262928,6.5393834711,169500,0.0,1.0
PLD,2000-03-02 00:00:00+00:00,20.13,20.25,20.06,20.25,73300,6.500631569,6.5393834711,6.4780262928,6.5393834711,73300,0.0,1.0
PLD,2000-03-03 00:00:00+00:00,20.06,20.19,20.06,20.19,103400,6.4780262928,6.52000752,6.4780262928,6.52000752,103400,0.0,1.0
PLD,2000-03-06 00:00:00+00:00,20.19,20.19,19.94,20.0,106600,6.52000752,6.52000752,6.4392743908,6.4586503418,106600,0.0,1.0
PLD,2000-03-07 00:00:00+00:00,20.19,20.19,20.06,20.06,170700,6.52000752,6.52000752,6.4780262928,6.4780262928,170700,0.0,1.0
PLD,2000-03-08 00:00:00+00:00,20.25,20.31,20.13,20.13,263200,6.5393834711,6.5587594221,6.500631569,6.500631569,263200,0.0,1.0
PLD,2000-03-09 00:00:00+00:00,20.19,20.38,20.06,20.38,184000,6.52000752,6.5813646983,6.4780262928,6.5813646983,184000,0.0,1.0
PLD,2000-03-10 00:00:00+00:00,20.19,20.25,20.0,20.25,201000,6.52000752,6.5393834711,6.4586503418,6.5393834711,201000,0.0,1.0
PLD,2000-03-13 00:00:00+00:00,20.19,20.25,20.06,20.13,681900,6.52000752,6.5393834711,6.4780262928,6.500631569,681900,0.0,1.0
PLD,2000-03-14 00:00:00+00:00,20.38,20.38,20.19,20.25,156800,6.5813646983,6.5813646983,6.52000752,6.5393834711,156800,0.0,1.0
PLD,2000-03-15 00:00:00+00:00,20.75,20.75,20.38,20.44,372100,6.7008497296,6.7008497296,6.5813646983,6.6007406493,372100,0.0,1.0
PLD,2000-03-16 00:00:00+00:00,20.94,20.94,20.75,20.75,337100,6.7622069078,6.7622069078,6.7008497296,6.7008497296,337100,0.0,1.0
