symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PM,2008-03-17 00:00:00+00:00,49.39,52.65,49.24,50.0,1988000,24.3858204516,25.9954129738,24.311759446,24.6870018744,1988000,0.0,1.0
PM,2008-03-18 00:00:00+00:00,49.6,52.0,47.75,49.85,8067600,24.4895058594,25.6744819494,23.5760867901,24.6129408688,8067600,0.0,1.0
PM,2008-03-19 00:00:00+00:00,50.1,51.0,46.9,49.6,3007700,24.7363758782,25.1807419119,23.1564077582,24.4895058594,3007700,0.0,1.0
PM,2008-03-20 00:00:00+00:00,49.15,50.2,48.87,50.2,3007700,24.2673228426,24.7857498819,24.1290756321,24.7857498819,3007700,0.0,1.0
PM,2008-03-24 00:00:00+00:00,51.0,51.0,49.81,49.81,1437000,25.1807419119,25.1807419119,24.5931912673,24.5931912673,1437000,0.0,1.0
PM,2008-03-25 00:00:00+00:00,51.75,51.75,50.6,51.4,1100800,25.5510469401,25.5510469401,24.9832458969,25.3782379269,1100800,0.0,1.0
PM,2008-03-26 00:00:00+00:00,50.3,52.47,50.3,51.7,2023200,24.8351238857,25.906539767,24.8351238857,25.5263599382,2023200,0.0,1.0
PM,2008-03-27 00:00:00+00:00,50.68,52.03,50.0,50.95,8653300,25.0227450999,25.6892941505,24.6870018744,25.1560549101,8653300,0.0,1.0
PM,2008-03-28 00:00:00+00:00,51.06,52.5,50.56,51.82,9961200,25.2103663142,25.9213519682,24.9634962954,25.5856087427,9961200,0.0,1.0
PM,2008-03-31 00:00:00+00:00,50.58,54.7,50.0,52.55,19408900,24.9733710962,27.0075800506,24.6870018744,25.94603897,19408900,0.0,1.0
PM,2008-04-01 00:00:00+00:00,50.58,52.19,49.01,51.11,23322500,24.9733710962,25.7682925565,24.1981992373,25.2350533161,23322500,0.0,1.0
PM,2008-04-02 00:00:00+00:00,51.21,52.07,50.15,51.24,12944700,25.2844273198,25.709043752,24.7610628801,25.2992395209,12944700,0.0,1.0
PM,2008-04-03 00:00:00+00:00,51.05,51.5,50.4001,51.0,12439100,25.2054289138,25.4276119307,24.8845472634,25.1807419119,12439100,0.0,1.0
PM,2008-04-04 00:00:00+00:00,51.37,51.48,50.8,51.34,6651000,25.3634257258,25.4177371299,25.0819939044,25.3486135247,6651000,0.0,1.0
PM,2008-04-07 00:00:00+00:00,50.67,51.6,50.5,51.3,7099300,25.0178076996,25.4769859344,24.9338718932,25.3288639232,7099300,0.0,1.0
PM,2008-04-08 00:00:00+00:00,50.6,51.01,50.21,50.21,8283300,24.9832458969,25.1856793123,24.7906872823,24.7906872823,8283300,0.0,1.0
