symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PNR,2000-01-03 00:00:00+00:00,36.19,38.5,34.75,38.5,367000,8.1180700208,8.636244703,7.7950520371,8.636244703,1092926,0.0,1.0
PNR,2000-01-04 00:00:00+00:00,35.62,36.38,34.88,36.38,175200,7.9902087356,8.1606904492,7.8242133829,8.1606904492,521745,0.0,1.0
PNR,2000-01-05 00:00:00+00:00,36.19,36.5,35.12,35.62,213800,8.1180700208,8.1876086145,7.8780497135,7.9902087356,636696,0.0,1.0
PNR,2000-01-06 00:00:00+00:00,36.0,36.12,35.31,35.94,511800,8.0754495924,8.1023677577,7.9206701419,8.0619905098,1524140,0.0,1.0
PNR,2000-01-07 00:00:00+00:00,37.44,37.75,35.94,36.25,339800,8.3984675761,8.4680061698,8.0619905098,8.1315291035,1011924,0.0,1.0
PNR,2000-01-10 00:00:00+00:00,36.38,38.12,36.25,38.12,297400,8.1606904492,8.5510038462,8.1315291035,8.5510038462,885657,0.0,1.0
PNR,2000-01-11 00:00:00+00:00,36.0,36.75,35.94,36.56,238600,8.0754495924,8.2436881256,8.0619905098,8.2010676972,710550,0.0,1.0
PNR,2000-01-12 00:00:00+00:00,36.0,36.88,35.69,36.19,187400,8.0754495924,8.2728494713,8.0059109987,8.1180700208,558077,0.0,1.0
PNR,2000-01-13 00:00:00+00:00,35.88,36.19,35.56,36.0,272600,8.0485314271,8.1180700208,7.9767496529,8.0754495924,811802,0.0,1.0
PNR,2000-01-14 00:00:00+00:00,35.44,36.19,35.0,36.0,330600,7.9498314876,8.1180700208,7.8511315482,8.0754495924,984526,0.0,1.0
PNR,2000-01-18 00:00:00+00:00,34.88,35.5,34.62,35.31,247000,7.8242133829,7.9632905703,7.7658906914,7.9206701419,735566,0.0,1.0
PNR,2000-01-19 00:00:00+00:00,34.88,35.25,34.69,34.94,162400,7.8242133829,7.9072110592,7.7815929545,7.8376724655,483627,0.0,1.0
PNR,2000-01-20 00:00:00+00:00,34.25,35.25,33.94,34.88,189800,7.682893015,7.9072110592,7.6133544213,7.8242133829,565224,0.0,1.0
PNR,2000-01-21 00:00:00+00:00,34.56,34.88,34.06,34.75,183200,7.7524316087,7.8242133829,7.6402725866,7.7950520371,545569,0.0,1.0
PNR,2000-01-24 00:00:00+00:00,33.0,34.5,32.56,34.31,476800,7.4024954597,7.7389725261,7.3037955202,7.6963520977,1419910,0.0,1.0
PNR,2000-01-25 00:00:00+00:00,31.94,33.5,31.25,33.5,716800,7.1647183328,7.5146544818,7.0099388823,7.5146544818,2134630,0.0,1.0
PNR,2000-01-26 00:00:00+00:00,31.81,32.5,31.56,32.12,289400,7.1535024306,7.308671141,7.0972818834,7.2232159092,861833,0.08,1.0
PNR,2000-01-27 00:00:00+00:00,32.88,33.62,31.88,32.06,661400,7.3941263728,7.5605391926,7.1692441838,7.2097229778,1969649,0.0,1.0
PNR,2000-01-28 00:00:00+00:00,32.75,33.12,32.12,32.88,260000,7.3648916882,7.4480980981,7.2232159092,7.3941263728,774280,0.0,1.0
PNR,2000-01-31 00:00:00+00:00,33.5,34.25,32.25,33.0,657200,7.5335533299,7.7022149717,7.2524505937,7.4211122355,1957141,0.0,1.0
PNR,2000-02-01 00:00:00+00:00,33.69,34.25,33.25,33.75,342600,7.5762809458,7.7022149717,7.4773327827,7.5897738772,1020262,0.0,1.0
PNR,2000-02-02 00:00:00+00:00,34.31,35.5,34.25,34.25,732200,7.715707903,7.9833177078,7.7022149717,7.7022149717,2180491,0.0,1.0
PNR,2000-02-03 00:00:00+00:00,34.44,34.88,33.81,34.12,589200,7.7449425876,7.8438907507,7.6032668085,7.6729802871,1754637,0.0,1.0
PNR,2000-02-04 00:00:00+00:00,34.56,34.88,34.38,34.38,271200,7.7719284502,7.8438907507,7.7314496562,7.7314496562,807633,0.0,1.0
PNR,2000-02-07 00:00:00+00:00,36.69,37.38,34.75,35.12,774800,8.2509275127,8.4060962231,7.8146560661,7.897862476,2307354,0.0,1.0
PNR,2000-02-08 00:00:00+00:00,36.0,38.0,35.62,36.94,526800,8.0957588023,8.5455231802,8.0103035705,8.3071480599,1568810,0.0,1.0
PNR,2000-02-09 00:00:00+00:00,36.06,36.38,35.25,36.0,396000,8.1092517337,8.1812140341,7.9270971606,8.0957588023,1179288,0.0,1.0
PNR,2000-02-10 00:00:00+00:00,35.88,36.0,35.31,35.94,414800,8.0687729396,8.0957588023,7.9405900919,8.082265871,1235274,0.0,1.0
PNR,2000-02-11 00:00:00+00:00,34.38,36.25,34.38,36.25,154200,7.7314496562,8.1519793496,7.7314496562,8.1519793496,459207,0.0,1.0
PNR,2000-02-14 00:00:00+00:00,35.88,35.94,34.62,34.75,376400,8.0687729396,8.082265871,7.7854213816,7.8146560661,1120919,0.0,1.0
PNR,2000-02-15 00:00:00+00:00,35.62,36.25,34.94,35.62,595000,8.0103035705,8.1519793496,7.857383682,8.0103035705,1771910,0.0,1.0
PNR,2000-02-16 00:00:00+00:00,36.12,36.69,35.69,35.69,388400,8.122744665,8.2509275127,8.0260453237,8.0260453237,1156655,0.0,1.0
PNR,2000-02-17 00:00:00+00:00,35.5,36.44,35.5,36.25,239600,7.9833177078,8.1947069655,7.9833177078,8.1519793496,713528,0.0,1.0
PNR,2000-02-18 00:00:00+00:00,35.94,36.25,35.31,35.38,278600,8.082265871,8.1519793496,7.9405900919,7.9563318452,829670,0.0,1.0
PNR,2000-02-22 00:00:00+00:00,36.62,37.62,36.31,37.44,390600,8.2351857595,8.4600679484,8.1654722809,8.4195891544,1163206,0.0,1.0
PNR,2000-02-23 00:00:00+00:00,36.75,36.75,35.75,36.5,260200,8.264420444,8.264420444,8.0395382551,8.2081998968,774875,0.0,1.0
PNR,2000-02-24 00:00:00+00:00,34.62,36.56,34.06,36.56,433600,7.7854213816,8.2216928281,7.6594873558,8.2216928281,1291260,0.0,1.0
PNR,2000-02-25 00:00:00+00:00,34.44,34.94,33.88,34.62,258800,7.7449425876,7.857383682,7.6190085617,7.7854213816,770706,0.0,1.0
PNR,2000-02-28 00:00:00+00:00,34.19,34.44,33.75,34.31,289400,7.6887220403,7.7449425876,7.5897738772,7.715707903,861833,0.0,1.0
PNR,2000-02-29 00:00:00+00:00,34.38,35.75,34.06,34.75,503400,7.7314496562,8.0395382551,7.6594873558,7.8146560661,1499125,0.0,1.0
PNR,2000-03-01 00:00:00+00:00,35.75,35.88,34.62,34.69,353600,8.0395382551,8.0687729396,7.7854213816,7.8011631348,1053020,0.0,1.0
PNR,2000-03-02 00:00:00+00:00,35.12,35.75,34.94,35.75,331000,7.897862476,8.0395382551,7.857383682,8.0395382551,985718,0.0,1.0
PNR,2000-03-03 00:00:00+00:00,36.25,36.56,35.06,35.19,212600,8.1519793496,8.2216928281,7.8843695447,7.9136042293,633122,0.0,1.0
PNR,2000-03-06 00:00:00+00:00,36.06,36.06,35.0,36.0,356400,8.1092517337,8.1092517337,7.8708766134,8.0957588023,1061359,0.0,1.0
PNR,2000-03-07 00:00:00+00:00,37.0,37.0,35.75,36.0,222000,8.3206409913,8.3206409913,8.0395382551,8.0957588023,661116,0.0,1.0
PNR,2000-03-08 00:00:00+00:00,36.25,36.5,35.75,36.5,319600,8.1519793496,8.2081998968,8.0395382551,8.2081998968,951768,0.0,1.0
PNR,2000-03-09 00:00:00+00:00,37.12,37.75,35.5,36.0,311000,8.3476268539,8.489302633,7.9833177078,8.0957588023,926158,0.0,1.0
PNR,2000-03-10 00:00:00+00:00,37.19,37.81,36.62,37.62,193200,8.3633686072,8.5027955643,8.2351857595,8.4600679484,575349,0.0,1.0
PNR,2000-03-13 00:00:00+00:00,36.0,37.38,35.75,37.38,329400,8.0957588023,8.4060962231,8.0395382551,8.4060962231,980953,0.0,1.0
PNR,2000-03-14 00:00:00+00:00,35.0,36.75,34.5,36.06,427800,7.8708766134,8.264420444,7.7584355189,8.1092517337,1273988,0.0,1.0
PNR,2000-03-15 00:00:00+00:00,36.5,36.5,34.62,34.75,502200,8.2081998968,8.2081998968,7.7854213816,7.8146560661,1495551,0.0,1.0
PNR,2000-03-16 00:00:00+00:00,39.44,39.88,37.12,37.25,674200,8.8693535323,8.9683016955,8.3476268539,8.3768615385,2007767,0.0,1.0
PNR,2000-03-17 00:00:00+00:00,37.94,39.0,37.88,38.0,307400,8.5320302489,8.7704053692,8.5185373176,8.5455231802,915437,0.0,1.0
PNR,2000-03-20 00:00:00+00:00,37.12,37.81,37.0,37.38,300800,8.3476268539,8.5027955643,8.3206409913,8.4060962231,895782,0.0,1.0
