symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
POOL,2000-01-03 00:00:00+00:00,26.31,26.66,25.88,26.63,65600,3.945611828,3.9981000127,3.8811263439,3.9936010254,332100,0.0,1.0
POOL,2000-01-04 00:00:00+00:00,25.81,26.31,25.75,26.0,30657,3.8706287069,3.945611828,3.8616307324,3.8991222929,155201,0.0,1.0
POOL,2000-01-05 00:00:00+00:00,25.81,26.0,25.75,25.88,32000,3.8706287069,3.8991222929,3.8616307324,3.8811263439,162000,0.0,1.0
POOL,2000-01-06 00:00:00+00:00,24.63,25.94,24.0,25.81,42390,3.6936685413,3.8901243184,3.5991898089,3.8706287069,214599,0.0,1.0
POOL,2000-01-07 00:00:00+00:00,24.5,25.0,24.47,24.75,64178,3.6741729299,3.7491560509,3.6696739426,3.7116644904,324901,0.0,1.0
POOL,2000-01-10 00:00:00+00:00,24.63,25.13,24.38,24.38,17244,3.6936685413,3.7686516624,3.6561769808,3.6561769808,87297,0.0,1.0
POOL,2000-01-11 00:00:00+00:00,24.44,24.75,24.38,24.38,129975,3.6651749553,3.7116644904,3.6561769808,3.6561769808,657998,0.0,1.0
POOL,2000-01-12 00:00:00+00:00,23.63,24.5,23.63,24.44,23052,3.5437022993,3.6741729299,3.5437022993,3.6651749553,116700,0.0,1.0
POOL,2000-01-13 00:00:00+00:00,22.88,24.19,22.38,24.19,50963,3.4312276178,3.6276833948,3.3562444968,3.6276833948,258000,0.0,1.0
POOL,2000-01-14 00:00:00+00:00,24.25,24.25,22.63,22.63,12978,3.6366813694,3.6366813694,3.3937360573,3.3937360573,65701,0.0,1.0
POOL,2000-01-18 00:00:00+00:00,24.13,24.25,23.5,24.06,9244,3.6186854203,3.6366813694,3.5242066878,3.6081877834,46797,0.0,1.0
POOL,2000-01-19 00:00:00+00:00,23.63,24.0,23.56,24.0,28800,3.5437022993,3.5991898089,3.5332046624,3.5991898089,145800,0.0,1.0
POOL,2000-01-20 00:00:00+00:00,23.5,23.75,23.5,23.75,57600,3.5242066878,3.5616982483,3.5242066878,3.5616982483,291600,0.0,1.0
POOL,2000-01-21 00:00:00+00:00,23.5,23.5,23.0,23.09,80790,3.5242066878,3.5242066878,3.4492235668,3.4627205286,408999,0.0,1.0
POOL,2000-01-24 00:00:00+00:00,24.94,25.69,23.13,23.5,19200,3.7401580764,3.8526327579,3.4687191783,3.5242066878,97200,0.0,1.0
POOL,2000-01-25 00:00:00+00:00,24.81,25.19,24.75,24.88,20267,3.7206624649,3.7776496369,3.7116644904,3.7311601018,102601,0.0,1.0
POOL,2000-01-26 00:00:00+00:00,25.88,26.0,25.38,25.44,58153,3.8811263439,3.8991222929,3.8061432229,3.8151411974,294399,0.0,1.0
