symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PPG,2000-01-03 00:00:00+00:00,60.0,62.63,59.69,62.63,550000,17.002940313,17.7482358634,16.9150917881,17.7482358634,1100000,0.0,1.0
PPG,2000-01-04 00:00:00+00:00,57.94,59.94,57.81,59.75,589800,16.4191726956,16.9859373727,16.3823329916,16.9320947284,1179600,0.0,1.0
PPG,2000-01-05 00:00:00+00:00,59.63,59.63,58.0,58.0,830200,16.8980888478,16.8980888478,16.4361756359,16.4361756359,1660400,0.0,1.0
PPG,2000-01-06 00:00:00+00:00,63.0,64.44,60.13,60.13,1075700,17.8530873287,18.2611578962,17.0397800171,17.0397800171,2151400,0.0,1.0
PPG,2000-01-07 00:00:00+00:00,64.13,64.5,63.25,63.44,812300,18.1733093713,18.2781608365,17.9239329133,17.9777755577,1624600,0.0,1.0
PPG,2000-01-10 00:00:00+00:00,62.13,63.88,61.81,63.88,572700,17.6065446942,18.1024637866,17.5158623458,18.1024637866,1145400,0.0,1.0
PPG,2000-01-11 00:00:00+00:00,61.88,62.13,60.94,61.88,559300,17.5356991095,17.6065446942,17.2693197113,17.5356991095,1118600,0.0,1.0
PPG,2000-01-12 00:00:00+00:00,62.81,63.63,61.88,61.88,581600,17.7992446844,18.031618202,17.5356991095,17.5356991095,1163200,0.0,1.0
PPG,2000-01-13 00:00:00+00:00,64.38,65.06,62.88,63.0,847200,18.2441549559,18.4368549461,17.8190814481,17.8530873287,1694400,0.0,1.0
PPG,2000-01-14 00:00:00+00:00,63.0,64.5,62.38,64.25,957800,17.8530873287,18.2781608365,17.6773902788,18.2073152519,1915600,0.0,1.0
PPG,2000-01-18 00:00:00+00:00,61.5,62.75,61.5,62.13,809900,17.4280138209,17.7822417441,17.4280138209,17.6065446942,1619800,0.0,1.0
PPG,2000-01-19 00:00:00+00:00,60.31,61.44,59.38,60.88,791300,17.090788838,17.4110108806,16.8272432631,17.252316771,1582600,0.0,1.0
PPG,2000-01-20 00:00:00+00:00,57.88,60.56,57.5,60.56,435100,16.4021697553,17.1616344226,16.2944844667,17.1616344226,870200,0.0,1.0
PPG,2000-01-21 00:00:00+00:00,58.63,59.31,57.13,58.13,766500,16.6147065092,16.8074064994,16.1896330014,16.47301534,1533000,0.0,1.0
PPG,2000-01-24 00:00:00+00:00,58.0,59.5,57.63,59.13,564600,16.4361756359,16.8612491438,16.3313241707,16.7563976785,1129200,0.0,1.0
PPG,2000-01-25 00:00:00+00:00,56.56,58.81,55.5,58.25,854300,16.0281050684,16.6657153302,15.7277197896,16.5070212206,1708600,0.0,1.0
PPG,2000-01-26 00:00:00+00:00,57.44,58.13,56.5,56.75,861500,16.2774815264,16.47301534,16.0111021281,16.0819477128,1723000,0.0,1.0
PPG,2000-01-27 00:00:00+00:00,58.13,58.81,57.81,58.0,759800,16.47301534,16.6657153302,16.3823329916,16.4361756359,1519600,0.0,1.0
PPG,2000-01-28 00:00:00+00:00,56.69,57.94,54.75,57.94,563100,16.0649447724,16.4191726956,15.5151830357,16.4191726956,1126200,0.0,1.0
PPG,2000-01-31 00:00:00+00:00,55.06,56.94,54.81,56.75,558400,15.6030315606,16.1357903571,15.532185976,16.0819477128,1116800,0.0,1.0
PPG,2000-02-01 00:00:00+00:00,56.06,56.25,55.13,55.31,590100,15.8864138992,15.9402565435,15.6228683243,15.6738771452,1180200,0.0,1.0
PPG,2000-02-02 00:00:00+00:00,55.06,55.81,54.63,55.75,270500,15.6030315606,15.8155683145,15.481177155,15.7985653742,541000,0.0,1.0
PPG,2000-02-03 00:00:00+00:00,54.75,55.25,54.13,55.06,313600,15.5151830357,15.6568742049,15.3394859858,15.6030315606,627200,0.0,1.0
PPG,2000-02-04 00:00:00+00:00,54.06,55.06,53.88,55.06,400400,15.3196492221,15.6030315606,15.2686404011,15.6030315606,800800,0.0,1.0
PPG,2000-02-07 00:00:00+00:00,52.31,54.13,52.0,54.13,663700,14.8237301296,15.3394859858,14.7358816046,15.3394859858,1327400,0.0,1.0
PPG,2000-02-08 00:00:00+00:00,51.88,52.75,51.63,52.5,418500,14.701875724,14.9484183586,14.6310301394,14.8775727739,837000,0.0,1.0
PPG,2000-02-09 00:00:00+00:00,51.0,51.88,51.0,51.5,591600,14.4524992661,14.701875724,14.4524992661,14.5941904354,1183200,0.0,1.0
PPG,2000-02-10 00:00:00+00:00,50.5,51.63,50.13,51.5,505300,14.3108080968,14.6310301394,14.2059566315,14.5941904354,1010600,0.0,1.0
PPG,2000-02-11 00:00:00+00:00,48.63,50.88,48.19,50.75,700900,13.7808831237,14.4184933855,13.6561948948,14.3816536815,1401800,0.0,1.0
PPG,2000-02-14 00:00:00+00:00,50.63,50.63,48.31,49.13,793800,14.3476478008,14.3476478008,13.6902007754,13.922574293,1587600,0.0,1.0
PPG,2000-02-15 00:00:00+00:00,52.5,52.81,50.38,50.63,697100,14.8775727739,14.9654212989,14.2768022162,14.3476478008,1394200,0.0,1.0
PPG,2000-02-16 00:00:00+00:00,53.0,53.5,52.19,53.5,543400,15.0192639432,15.1609551125,14.789724249,15.1609551125,1086800,0.0,1.0
PPG,2000-02-17 00:00:00+00:00,52.5,53.5,51.75,53.0,595900,14.9909257093,15.2764671514,14.7767696278,15.1336964304,1191800,0.4,1.0
PPG,2000-02-18 00:00:00+00:00,51.06,52.31,50.63,52.31,463700,14.5797460327,14.9366728353,14.4569632126,14.9366728353,927400,0.0,1.0
PPG,2000-02-22 00:00:00+00:00,52.63,53.56,51.06,51.06,359400,15.0280460968,15.2935996379,14.5797460327,14.5797460327,718800,0.0,1.0
PPG,2000-02-23 00:00:00+00:00,53.38,53.81,51.63,52.06,589300,15.2422021784,15.3649849985,14.7425046547,14.8652874748,1178600,0.0,1.0
PPG,2000-02-24 00:00:00+00:00,50.25,53.13,49.69,53.13,661600,14.3484574646,15.1708168178,14.1885542571,15.1708168178,1323200,0.0,1.0
PPG,2000-02-25 00:00:00+00:00,49.06,50.31,48.56,50.31,694800,14.0086631486,14.3655899512,13.8658924275,14.3655899512,1389600,0.0,1.0
PPG,2000-02-28 00:00:00+00:00,49.06,50.25,48.63,49.31,782900,14.0086631486,14.3484574646,13.8858803285,14.0800485091,1565800,0.0,1.0
PPG,2000-02-29 00:00:00+00:00,49.38,49.38,48.19,49.0,694300,14.10003641,14.10003641,13.760242094,13.991530662,1388600,0.0,1.0
PPG,2000-03-01 00:00:00+00:00,48.31,49.13,47.56,49.13,406300,13.794507067,14.0286510495,13.5803509854,14.0286510495,812600,0.0,1.0
PPG,2000-03-02 00:00:00+00:00,47.13,48.19,46.63,47.75,288000,13.4575681654,13.760242094,13.3147974443,13.6346038594,576000,0.0,1.0
PPG,2000-03-03 00:00:00+00:00,49.06,50.63,47.0,47.19,965200,14.0086631486,14.4569632126,13.4204477779,13.4747006519,1930400,0.0,1.0
PPG,2000-03-06 00:00:00+00:00,48.0,48.5,46.81,48.25,493800,13.70598922,13.848759941,13.3661949039,13.7773745805,987600,0.0,1.0
PPG,2000-03-07 00:00:00+00:00,46.5,47.63,46.0,47.25,457100,13.2776770568,13.6003388864,13.1349063358,13.4918331384,914200,0.0,1.0
PPG,2000-03-08 00:00:00+00:00,46.06,46.69,45.63,46.0,581400,13.1520388223,13.3319299308,13.0292560022,13.1349063358,1162800,0.0,1.0
PPG,2000-03-09 00:00:00+00:00,45.56,45.88,44.38,45.63,484800,13.0092681013,13.1006413627,12.6723291996,13.0292560022,969600,0.0,1.0
PPG,2000-03-10 00:00:00+00:00,46.69,47.19,45.13,45.63,389700,13.3319299308,13.4747006519,12.8864852812,13.0292560022,779400,0.0,1.0
PPG,2000-03-13 00:00:00+00:00,45.94,46.69,45.13,46.0,368100,13.1177738493,13.3319299308,12.8864852812,13.1349063358,736200,0.0,1.0
PPG,2000-03-14 00:00:00+00:00,46.0,46.94,45.56,46.13,344900,13.1349063358,13.4033152914,13.0092681013,13.1720267233,689800,0.0,1.0
PPG,2000-03-15 00:00:00+00:00,50.19,50.38,45.25,45.5,714500,14.3313249781,14.3855778521,12.9207502542,12.9921356148,1429000,0.0,1.0
PPG,2000-03-16 00:00:00+00:00,52.81,52.81,49.88,49.94,713500,15.0794435564,15.0794435564,14.2428071311,14.2599396176,1427000,0.0,1.0
PPG,2000-03-17 00:00:00+00:00,50.06,51.56,49.63,51.25,626000,14.2942045907,14.7225167538,14.1714217706,14.6339989067,1252000,0.0,1.0
PPG,2000-03-20 00:00:00+00:00,51.06,52.0,50.25,50.25,382500,14.5797460327,14.8481549883,14.3484574646,14.3484574646,765000,0.0,1.0
