symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PRU,2001-12-13 00:00:00+00:00,29.3,30.0,29.0,29.1,49466000,16.2740880472,16.6628887856,16.1074591594,16.163002122,49466000,0.0,1.0
PRU,2001-12-14 00:00:00+00:00,29.68,30.1,29.52,29.9,9676300,16.4851513052,16.7184317482,16.396282565,16.607345823,9676300,0.0,1.0
PRU,2001-12-17 00:00:00+00:00,29.45,29.95,29.4,29.95,5110900,16.3574024912,16.6351173043,16.3296310099,16.6351173043,5110900,0.0,1.0
PRU,2001-12-18 00:00:00+00:00,29.95,29.95,29.39,29.5,5167700,16.6351173043,16.6351173043,16.3240767136,16.3851739725,5167700,0.0,1.0
PRU,2001-12-19 00:00:00+00:00,30.15,30.19,29.62,29.85,3693200,16.7462032295,16.7684204145,16.4518255276,16.5795743416,3693200,0.0,1.0
PRU,2001-12-20 00:00:00+00:00,30.17,30.98,30.12,30.25,3914200,16.757311822,17.2072098192,16.7295403407,16.8017461921,3914200,0.0,1.0
PRU,2001-12-21 00:00:00+00:00,30.99,30.99,30.25,30.4,3429100,17.2127641155,17.2127641155,16.8017461921,16.885060636,3429100,0.0,1.0
PRU,2001-12-24 00:00:00+00:00,31.45,31.49,30.75,30.75,976900,17.4682617435,17.4904789286,17.0794610052,17.0794610052,976900,0.0,1.0
PRU,2001-12-26 00:00:00+00:00,32.2,32.74,31.5,31.5,2456300,17.8848339632,18.1847659613,17.4960332249,17.4960332249,2456300,0.0,1.0
PRU,2001-12-27 00:00:00+00:00,32.85,32.97,31.52,32.2,4447500,18.2458632202,18.3125147753,17.5071418174,17.8848339632,4447500,0.0,1.0
PRU,2001-12-28 00:00:00+00:00,32.94,33.1,32.58,32.86,4174800,18.2958518866,18.3847206267,18.0958972211,18.2514175165,4174800,0.0,1.0
PRU,2001-12-31 00:00:00+00:00,33.19,33.74,32.72,33.11,5532800,18.4347092931,18.7401955875,18.1736573688,18.390274923,5532800,0.0,1.0
PRU,2002-01-02 00:00:00+00:00,31.3,32.8,31.12,32.61,5168900,17.3849472996,18.2180917389,17.2849699669,18.1125601099,5168900,0.0,1.0
PRU,2002-01-03 00:00:00+00:00,31.25,32.75,30.82,32.75,2906500,17.3571758183,18.1903202576,17.118341079,18.1903202576,2906500,0.0,1.0
PRU,2002-01-04 00:00:00+00:00,31.95,32.0,31.1,32.0,3086000,17.7459765566,17.7737480379,17.2738613744,17.7737480379,3086000,0.0,1.0
PRU,2002-01-07 00:00:00+00:00,31.95,32.05,31.37,31.75,2449300,17.7459765566,17.8015195193,17.4238273734,17.6348906314,2449300,0.0,1.0
PRU,2002-01-08 00:00:00+00:00,31.78,31.85,31.25,31.25,1766500,17.6515535202,17.690433594,17.3571758183,17.3571758183,1766500,0.0,1.0
PRU,2002-01-09 00:00:00+00:00,31.3,31.95,31.25,31.95,1639100,17.3849472996,17.7459765566,17.3571758183,17.7459765566,1639100,0.0,1.0
PRU,2002-01-10 00:00:00+00:00,31.01,31.68,31.01,31.12,1689400,17.223872708,17.5960105576,17.223872708,17.2849699669,1689400,0.0,1.0
PRU,2002-01-11 00:00:00+00:00,30.9,31.15,30.75,31.01,1966200,17.1627754491,17.3016328557,17.0794610052,17.223872708,1966200,0.0,1.0
PRU,2002-01-14 00:00:00+00:00,30.05,30.75,29.53,30.75,3160000,16.6906602669,17.0794610052,16.4018368613,17.0794610052,3160000,0.0,1.0
PRU,2002-01-15 00:00:00+00:00,30.78,31.12,29.92,30.4,1962400,17.096123894,17.2849699669,16.6184544155,16.885060636,1962400,0.0,1.0
PRU,2002-01-16 00:00:00+00:00,30.68,31.15,30.45,30.58,1881100,17.0405809314,17.3016328557,16.9128321174,16.9850379688,1881100,0.0,1.0
PRU,2002-01-17 00:00:00+00:00,30.52,31.0,30.3,30.88,1739800,16.9517121912,17.2183184118,16.8295176734,17.1516668566,1739800,0.0,1.0
PRU,2002-01-18 00:00:00+00:00,30.25,30.45,29.75,30.4,1531400,16.8017461921,16.9128321174,16.524031379,16.885060636,1531400,0.0,1.0
PRU,2002-01-22 00:00:00+00:00,31.25,31.25,30.4,30.49,2322700,17.3571758183,17.3571758183,16.885060636,16.9350493024,2322700,0.0,1.0
PRU,2002-01-23 00:00:00+00:00,30.52,31.7,30.52,31.7,2460800,16.9517121912,17.6071191501,16.9517121912,17.6071191501,2460800,0.0,1.0
PRU,2002-01-24 00:00:00+00:00,30.25,30.67,30.0,30.6,3064100,16.8017461921,17.0350266351,16.6628887856,16.9961465613,3064100,0.0,1.0
