symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PSA,2000-01-03 00:00:00+00:00,22.75,22.94,22.69,22.69,229000,9.5801502401,9.6601602861,9.5548839098,9.5548839098,229000,0.0,1.0
PSA,2000-01-04 00:00:00+00:00,22.75,22.75,22.56,22.63,138400,9.5801502401,9.5801502401,9.5001401942,9.5296175795,138400,0.0,1.0
PSA,2000-01-05 00:00:00+00:00,22.81,22.94,22.69,22.69,236300,9.6054165704,9.6601602861,9.5548839098,9.5548839098,236300,0.0,1.0
PSA,2000-01-06 00:00:00+00:00,23.81,23.94,22.75,22.81,285900,10.0265220755,10.0812657912,9.5801502401,9.6054165704,285900,0.0,1.0
PSA,2000-01-07 00:00:00+00:00,24.13,24.13,23.88,23.88,185300,10.1612758371,10.1612758371,10.0559994609,10.0559994609,185300,0.0,1.0
PSA,2000-01-10 00:00:00+00:00,24.63,24.81,24.0,24.13,163900,10.3718285896,10.4476275806,10.1065321215,10.1612758371,163900,0.0,1.0
PSA,2000-01-11 00:00:00+00:00,24.38,24.63,24.31,24.5,146800,10.2665522134,10.3718285896,10.237074828,10.317084874,146800,0.0,1.0
PSA,2000-01-12 00:00:00+00:00,24.44,24.56,24.19,24.19,143500,10.2918185437,10.3423512043,10.1865421674,10.1865421674,143500,0.0,1.0
PSA,2000-01-13 00:00:00+00:00,24.19,24.5,24.0,24.38,210700,10.1865421674,10.317084874,10.1065321215,10.2665522134,210700,0.0,1.0
PSA,2000-01-14 00:00:00+00:00,24.13,24.38,24.0,24.25,136000,10.1612758371,10.2665522134,10.1065321215,10.2118084977,136000,0.0,1.0
PSA,2000-01-18 00:00:00+00:00,23.75,24.0,23.75,24.0,145100,10.0012557452,10.1065321215,10.0012557452,10.1065321215,145100,0.0,1.0
PSA,2000-01-19 00:00:00+00:00,23.56,23.75,23.38,23.75,127900,9.9212456992,10.0012557452,9.8454467083,10.0012557452,127900,0.0,1.0
PSA,2000-01-20 00:00:00+00:00,23.38,23.56,23.25,23.38,116300,9.8454467083,9.9212456992,9.7907029927,9.8454467083,116300,0.0,1.0
PSA,2000-01-21 00:00:00+00:00,22.88,23.31,22.88,23.25,164700,9.6348939558,9.815969323,9.6348939558,9.7907029927,164700,0.0,1.0
PSA,2000-01-24 00:00:00+00:00,23.0,23.25,22.81,22.81,117200,9.6854266164,9.7907029927,9.6054165704,9.6054165704,117200,0.0,1.0
PSA,2000-01-25 00:00:00+00:00,22.88,23.0,22.75,22.94,275500,9.6348939558,9.6854266164,9.5801502401,9.6601602861,275500,0.0,1.0
PSA,2000-01-26 00:00:00+00:00,23.13,23.13,22.75,22.75,103200,9.7401703321,9.7401703321,9.5801502401,9.5801502401,103200,0.0,1.0
PSA,2000-01-27 00:00:00+00:00,22.88,23.06,22.81,23.06,119900,9.6348939558,9.7106929467,9.6054165704,9.7106929467,119900,0.0,1.0
PSA,2000-01-28 00:00:00+00:00,22.63,22.94,22.56,22.94,262300,9.5296175795,9.6601602861,9.5001401942,9.6601602861,262300,0.0,1.0
PSA,2000-01-31 00:00:00+00:00,22.69,22.88,22.63,22.63,153100,9.5548839098,9.6348939558,9.5296175795,9.5296175795,153100,0.0,1.0
PSA,2000-02-01 00:00:00+00:00,23.06,23.13,22.69,22.69,366400,9.7106929467,9.7401703321,9.5548839098,9.5548839098,366400,0.0,1.0
PSA,2000-02-02 00:00:00+00:00,22.94,23.06,22.88,22.94,98300,9.6601602861,9.7106929467,9.6348939558,9.6601602861,98300,0.0,1.0
PSA,2000-02-03 00:00:00+00:00,22.88,23.0,22.75,22.94,136100,9.6348939558,9.6854266164,9.5801502401,9.6601602861,136100,0.0,1.0
PSA,2000-02-04 00:00:00+00:00,22.88,23.06,22.81,22.81,136900,9.6348939558,9.7106929467,9.6054165704,9.6054165704,136900,0.0,1.0
PSA,2000-02-07 00:00:00+00:00,22.63,22.81,22.56,22.75,129100,9.5296175795,9.6054165704,9.5001401942,9.5801502401,129100,0.0,1.0
PSA,2000-02-08 00:00:00+00:00,22.69,22.81,22.63,22.75,86900,9.5548839098,9.6054165704,9.5296175795,9.5801502401,86900,0.0,1.0
PSA,2000-02-09 00:00:00+00:00,22.69,22.81,22.63,22.75,347200,9.5548839098,9.6054165704,9.5296175795,9.5801502401,347200,0.0,1.0
PSA,2000-02-10 00:00:00+00:00,22.63,22.94,22.56,22.56,100900,9.5296175795,9.6601602861,9.5001401942,9.5001401942,100900,0.0,1.0
