symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PSX,2012-04-12 00:00:00+00:00,34.0,34.21,32.0,33.25,654700,23.9715840189,24.1196438026,22.5614908413,23.4427990773,654700,0.0,1.0
PSX,2012-04-13 00:00:00+00:00,37.0,37.45,33.91,34.0,1685000,26.0867237853,26.4039947503,23.9081298259,23.9715840189,1685000,0.0,1.0
PSX,2012-04-16 00:00:00+00:00,36.55,37.0,35.99,37.0,550200,25.7694528203,26.0867237853,25.3746267306,26.0867237853,550200,0.0,1.0
PSX,2012-04-17 00:00:00+00:00,36.0,36.75,36.0,36.4,179600,25.3816771965,25.9104621381,25.3816771965,25.663695832,179600,0.0,1.0
PSX,2012-04-18 00:00:00+00:00,36.0,36.44,34.5,36.0,207100,25.3816771965,25.6918976956,24.3241073133,25.3816771965,207100,0.0,1.0
PSX,2012-04-19 00:00:00+00:00,36.0,37.22,35.8,36.0,598100,25.3816771965,26.2418340348,25.2406678787,25.3816771965,598100,0.0,1.0
PSX,2012-04-20 00:00:00+00:00,36.32,37.0,36.1,36.1,149700,25.6072921049,26.0867237853,25.4521818554,25.4521818554,149700,0.0,1.0
PSX,2012-04-23 00:00:00+00:00,35.68,36.24,35.42,36.24,95700,25.1560622881,25.5508883778,24.972750175,25.5508883778,95700,0.0,1.0
PSX,2012-04-24 00:00:00+00:00,34.75,36.0,34.68,36.0,124500,24.5003689605,25.3816771965,24.4510156993,25.3816771965,124500,0.0,1.0
PSX,2012-04-25 00:00:00+00:00,34.75,35.5,34.5,34.8,266200,24.5003689605,25.0291539021,24.3241073133,24.53562129,266200,0.0,1.0
PSX,2012-04-26 00:00:00+00:00,34.95,34.99,34.44,34.61,183900,24.6413782783,24.6695801418,24.281804518,24.4016624381,183900,0.0,1.0
PSX,2012-04-27 00:00:00+00:00,34.11,35.25,33.97,35.25,536000,24.0491391437,24.8528922549,23.9504326213,24.8528922549,536000,0.0,1.0
PSX,2012-04-30 00:00:00+00:00,34.05,34.9,34.0,34.34,4105700,24.0068363484,24.6061259488,23.9715840189,24.2112998591,4105700,0.0,1.0
PSX,2012-05-01 00:00:00+00:00,32.76,34.1,32.58,33.74,6878600,23.0973262488,24.0420886778,22.9704178628,23.7882719058,6878600,0.0,1.0
PSX,2012-05-02 00:00:00+00:00,32.0,32.665,31.63,32.6,11287600,22.5614908413,23.0303468229,22.3006236035,22.9845187946,11287600,0.0,1.0
PSX,2012-05-03 00:00:00+00:00,31.39,31.98,31.05,31.93,11800000,22.1314124222,22.5473899096,21.891696582,22.5121375801,11800000,0.0,1.0
PSX,2012-05-04 00:00:00+00:00,30.16,31.09,30.12,30.85,10881000,21.264205118,21.9198984455,21.2360032544,21.7506872642,10881000,0.0,1.0
PSX,2012-05-07 00:00:00+00:00,29.35,30.55,29.25,30.1,12257200,20.693117381,21.5391732876,20.6226127222,21.2219023226,12257200,0.0,1.0
PSX,2012-05-08 00:00:00+00:00,30.1,30.41,28.75,29.09,14601300,21.2219023226,21.4404667652,20.2700894278,20.509805268,14601300,0.0,1.0
PSX,2012-05-09 00:00:00+00:00,32.49,32.89,29.73,29.81,13990000,22.9069636698,23.1889823054,20.9610350848,21.0174388119,13990000,0.0,1.0
PSX,2012-05-10 00:00:00+00:00,32.48,33.35,31.5199,33.05,8862000,22.899913204,23.5133037362,22.2229979741,23.3017897596,8862000,0.0,1.0
PSX,2012-05-11 00:00:00+00:00,31.83,32.15,31.4,31.73,4460100,22.4416329212,22.6672478297,22.1384628881,22.3711282624,4460100,0.0,1.0
PSX,2012-05-14 00:00:00+00:00,31.32,31.58,30.765,31.19,6398200,22.082059161,22.265371274,21.6907583042,21.9904031044,6398200,0.0,1.0
PSX,2012-05-15 00:00:00+00:00,31.67,32.32,31.06,31.35,6362800,22.328825467,22.7871057498,21.8987470479,22.1032105586,6362800,0.0,1.0
PSX,2012-05-16 00:00:00+00:00,32.1,32.39,31.25,31.46,6118600,22.6319955002,22.836459011,22.0327058997,22.1807656834,6118600,0.0,1.0
PSX,2012-05-17 00:00:00+00:00,31.26,32.0,31.2,31.89,5850500,22.0397563656,22.5614908413,21.9974535703,22.4839357166,5850500,0.0,1.0
PSX,2012-05-18 00:00:00+00:00,31.38,31.685,30.99,31.43,7940800,22.1243619563,22.3394011659,21.8493937867,22.1596142857,7940800,0.0,1.0
PSX,2012-05-21 00:00:00+00:00,32.19,32.34,30.95,31.23,5480100,22.6954496932,22.8012066815,21.8211919231,22.018604968,5480100,0.0,1.0
PSX,2012-05-22 00:00:00+00:00,31.63,32.27,31.33,31.88,5415000,22.3006236035,22.7518534203,22.0891096268,22.4768852507,5415000,0.0,1.0
PSX,2012-05-23 00:00:00+00:00,31.41,31.49,30.88,31.35,5268900,22.145513354,22.2019170811,21.7718386619,22.1032105586,5268900,0.0,1.0
PSX,2012-05-24 00:00:00+00:00,31.13,31.44,30.75,31.42,4210400,21.9481003091,22.1666647516,21.6801826053,22.1525638198,4210400,0.0,1.0
PSX,2012-05-25 00:00:00+00:00,31.3,31.41,30.83,31.01,3217900,22.0679582292,22.145513354,21.7365863325,21.8634947184,3217900,0.0,1.0
PSX,2012-05-29 00:00:00+00:00,31.01,31.72,30.86,31.28,3979600,21.8634947184,22.3640777965,21.7577377301,22.0538572974,3979600,0.0,1.0
PSX,2012-05-30 00:00:00+00:00,30.44,30.83,30.175,30.79,6000600,21.4616181628,21.7365863325,21.2747808168,21.7083844689,6000600,0.0,1.0
PSX,2012-05-31 00:00:00+00:00,30.03,30.35,29.72,30.26,8098000,21.1725490614,21.3981639698,20.9539846189,21.3347097768,8098000,0.0,1.0
PSX,2012-06-01 00:00:00+00:00,29.92,30.17,29.38,29.5,5701700,21.0949939367,21.2712555838,20.7142687787,20.7988743694,5701700,0.0,1.0
PSX,2012-06-04 00:00:00+00:00,29.53,30.19,29.25,29.3,4844900,20.820025767,21.2853565156,20.6226127222,20.6578650516,4844900,0.0,1.0
