symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PTC,2000-01-03 00:00:00+00:00,25.13,27.19,24.25,27.06,6071500,62.825,67.975,60.625,67.65,2428600,0.0,1.0
PTC,2000-01-04 00:00:00+00:00,20.0,21.56,17.88,17.88,35728500,50.0,53.9,44.7,44.7,14291400,0.0,1.0
PTC,2000-01-05 00:00:00+00:00,20.0,20.63,18.63,20.0,10122500,50.0,51.575,46.575,50.0,4049000,0.0,1.0
PTC,2000-01-06 00:00:00+00:00,19.19,21.0,18.56,19.56,6169000,47.975,52.5,46.4,48.9,2467600,0.0,1.0
PTC,2000-01-07 00:00:00+00:00,19.31,20.0,18.69,19.19,4340500,48.275,50.0,46.725,47.975,1736200,0.0,1.0
PTC,2000-01-10 00:00:00+00:00,19.38,19.75,18.88,19.69,6787250,48.45,49.375,47.2,49.225,2714900,0.0,1.0
PTC,2000-01-11 00:00:00+00:00,19.06,20.06,18.94,19.19,5475500,47.65,50.15,47.35,47.975,2190200,0.0,1.0
PTC,2000-01-12 00:00:00+00:00,19.25,19.44,18.19,19.44,4624500,48.125,48.6,45.475,48.6,1849800,0.0,1.0
PTC,2000-01-13 00:00:00+00:00,20.63,20.75,19.0,19.63,5272250,51.575,51.875,47.5,49.075,2108900,0.0,1.0
PTC,2000-01-14 00:00:00+00:00,19.81,21.13,19.69,20.94,3882000,49.525,52.825,49.225,52.35,1552800,0.0,1.0
PTC,2000-01-18 00:00:00+00:00,19.94,20.75,19.56,19.81,7438000,49.85,51.875,48.9,49.525,2975200,0.0,1.0
PTC,2000-01-19 00:00:00+00:00,22.0,23.0,20.13,20.5,8035000,55.0,57.5,50.325,51.25,3214000,0.0,1.0
PTC,2000-01-20 00:00:00+00:00,22.06,23.0,21.13,22.75,4013500,55.15,57.5,52.825,56.875,1605400,0.0,1.0
PTC,2000-01-21 00:00:00+00:00,21.44,22.5,21.25,22.38,4270000,53.6,56.25,53.125,55.95,1708000,0.0,1.0
PTC,2000-01-24 00:00:00+00:00,21.0,22.5,20.5,22.0,3396500,52.5,56.25,51.25,55.0,1358600,0.0,1.0
PTC,2000-01-25 00:00:00+00:00,22.88,23.63,21.25,21.25,5455750,57.2,59.075,53.125,53.125,2182300,0.0,1.0
PTC,2000-01-26 00:00:00+00:00,22.44,24.31,22.38,23.0,3190000,56.1,60.775,55.95,57.5,1276000,0.0,1.0
PTC,2000-01-27 00:00:00+00:00,22.19,23.38,20.75,23.19,2895750,55.475,58.45,51.875,57.975,1158300,0.0,1.0
PTC,2000-01-28 00:00:00+00:00,20.81,22.5,20.44,21.69,3650750,52.025,56.25,51.1,54.225,1460300,0.0,1.0
PTC,2000-01-31 00:00:00+00:00,21.44,21.75,19.94,20.56,4074750,53.6,54.375,49.85,51.4,1629900,0.0,1.0
PTC,2000-02-01 00:00:00+00:00,22.75,22.81,21.63,21.75,2909250,56.875,57.025,54.075,54.375,1163700,0.0,1.0
PTC,2000-02-02 00:00:00+00:00,22.13,22.88,21.19,22.88,3241750,55.325,57.2,52.975,57.2,1296700,0.0,1.0
PTC,2000-02-03 00:00:00+00:00,23.31,23.69,22.0,22.63,4328250,58.275,59.225,55.0,56.575,1731300,0.0,1.0
PTC,2000-02-04 00:00:00+00:00,22.88,24.19,22.25,23.44,3804500,57.2,60.475,55.625,58.6,1521800,0.0,1.0
PTC,2000-02-07 00:00:00+00:00,22.88,24.06,22.31,23.88,3173500,57.2,60.15,55.775,59.7,1269400,0.0,1.0
PTC,2000-02-08 00:00:00+00:00,22.88,24.0,22.69,23.13,3466500,57.2,60.0,56.725,57.825,1386600,0.0,1.0
PTC,2000-02-09 00:00:00+00:00,21.56,23.81,21.06,23.25,4102500,53.9,59.525,52.65,58.125,1641000,0.0,1.0
