symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PWR,2000-01-03 00:00:00+00:00,28.19,28.25,27.75,28.25,64000,18.5130718252,18.5524753126,18.2241129177,18.5524753126,96000,0.0,1.0
PWR,2000-01-04 00:00:00+00:00,28.13,28.13,27.5,27.94,164267,18.4736683378,18.4736683378,18.0599317202,18.3488906278,246400,0.0,1.0
PWR,2000-01-05 00:00:00+00:00,28.63,28.88,27.75,27.88,146600,18.8020307327,18.9662119302,18.2241129177,18.3094871404,219900,0.0,1.0
PWR,2000-01-06 00:00:00+00:00,27.99,28.75,27.99,28.44,106600,18.3817268673,18.8808377075,18.3817268673,18.6772530227,159900,0.0,1.0
PWR,2000-01-07 00:00:00+00:00,27.88,28.63,27.38,28.63,65467,18.3094871404,18.8020307327,17.9811247455,18.8020307327,98200,0.0,1.0
PWR,2000-01-10 00:00:00+00:00,28.06,28.06,26.88,27.75,61467,18.4276976025,18.4276976025,17.6527623505,18.2241129177,92200,0.0,1.0
PWR,2000-01-11 00:00:00+00:00,29.31,30.31,28.31,28.31,179267,19.2486035898,19.9053283797,18.5918788,18.5918788,268900,0.0,1.0
PWR,2000-01-12 00:00:00+00:00,29.75,30.13,29.19,29.44,87067,19.5375624974,19.7871179175,19.169796615,19.3339778125,130600,0.0,1.0
PWR,2000-01-13 00:00:00+00:00,29.88,29.94,29.44,29.88,169400,19.62293672,19.6623402074,19.3339778125,19.62293672,254100,0.0,1.0
PWR,2000-01-14 00:00:00+00:00,30.38,30.5,29.94,30.0,155800,19.9512991149,20.0301060897,19.6623402074,19.7017436948,233700,0.0,1.0
PWR,2000-01-18 00:00:00+00:00,29.31,30.31,29.25,30.31,76000,19.2486035898,19.9053283797,19.2092001024,19.9053283797,114000,0.0,1.0
PWR,2000-01-19 00:00:00+00:00,29.81,29.88,28.06,29.25,82667,19.5769659847,19.62293672,18.4276976025,19.2092001024,124000,0.0,1.0
PWR,2000-01-20 00:00:00+00:00,36.06,38.0,34.06,34.88,1298700,23.6814959212,24.9555420134,22.3680463415,22.9065606692,1948050,0.0,1.0
PWR,2000-01-21 00:00:00+00:00,35.25,37.38,34.5,36.31,318000,23.1495488414,24.5483726437,22.657005249,23.8456771186,477000,0.0,1.0
PWR,2000-01-24 00:00:00+00:00,35.25,36.13,34.63,35.5,163400,23.1495488414,23.7274666564,22.7423794717,23.3137300389,245100,0.0,1.0
PWR,2000-01-25 00:00:00+00:00,35.69,36.75,35.06,35.38,134667,23.4385077489,24.1346360261,23.0247711313,23.2349230641,202000,0.0,1.0
PWR,2000-01-26 00:00:00+00:00,35.69,35.69,35.19,35.63,90667,23.4385077489,23.4385077489,23.110145354,23.3991042615,136000,0.0,1.0
PWR,2000-01-27 00:00:00+00:00,34.13,35.75,34.0,35.75,51667,22.4140170768,23.4779112363,22.3286428541,23.4779112363,77500,0.0,1.0
PWR,2000-01-28 00:00:00+00:00,33.63,34.13,33.38,34.13,47600,22.0856546819,22.4140170768,21.9214734844,22.4140170768,71400,0.0,1.0
PWR,2000-01-31 00:00:00+00:00,32.75,33.38,32.44,33.38,40800,21.5077368668,21.9214734844,21.304152182,21.9214734844,61200,0.0,1.0
PWR,2000-02-01 00:00:00+00:00,33.56,34.13,32.5,32.63,136867,22.0396839466,22.4140170768,21.3435556694,21.4289298921,205300,0.0,1.0
PWR,2000-02-02 00:00:00+00:00,34.88,34.88,33.38,33.63,275667,22.9065606692,22.9065606692,21.9214734844,22.0856546819,413500,0.0,1.0
PWR,2000-02-03 00:00:00+00:00,35.06,35.75,34.5,34.81,224000,23.0247711313,23.4779112363,22.657005249,22.8605899339,336000,0.0,1.0
PWR,2000-02-04 00:00:00+00:00,34.13,35.19,34.0,35.19,118867,22.4140170768,23.110145354,22.3286428541,23.110145354,178300,0.0,1.0
PWR,2000-02-07 00:00:00+00:00,34.5,34.75,34.25,34.25,65600,22.657005249,22.8211864465,22.4928240516,22.4928240516,98400,0.0,1.0
