symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PXD,2000-01-03 00:00:00+00:00,8.438,8.563,8.313,8.563,149600,6.8122836494,6.9132003898,6.7113669089,6.9132003898,149600,0.0,1.0
PXD,2000-01-04 00:00:00+00:00,8.563,8.563,8.125,8.375,140100,6.9132003898,6.9132003898,6.5595881312,6.7614216122,140100,0.0,1.0
PXD,2000-01-05 00:00:00+00:00,8.563,8.75,8.125,8.625,199900,6.9132003898,7.0641718336,6.5595881312,6.9632550931,199900,0.0,1.0
PXD,2000-01-06 00:00:00+00:00,8.5,8.75,8.313,8.313,216200,6.8623383526,7.0641718336,6.7113669089,6.7113669089,216200,0.0,1.0
PXD,2000-01-07 00:00:00+00:00,8.75,8.813,8.5,8.563,164900,7.0641718336,7.1150338708,6.8623383526,6.9132003898,164900,0.0,1.0
PXD,2000-01-10 00:00:00+00:00,8.5,8.625,8.375,8.625,107300,6.8623383526,6.9632550931,6.7614216122,6.9632550931,107300,0.0,1.0
PXD,2000-01-11 00:00:00+00:00,8.625,8.688,8.313,8.375,80900,6.9632550931,7.0141171303,6.7113669089,6.7614216122,80900,0.0,1.0
PXD,2000-01-12 00:00:00+00:00,8.188,8.688,8.188,8.625,186600,6.6104501684,7.0141171303,6.6104501684,6.9632550931,186600,0.0,1.0
PXD,2000-01-13 00:00:00+00:00,8.438,8.438,8.313,8.438,153100,6.8122836494,6.8122836494,6.7113669089,6.8122836494,153100,0.0,1.0
PXD,2000-01-14 00:00:00+00:00,8.688,8.813,8.313,8.375,391900,7.0141171303,7.1150338708,6.7113669089,6.7614216122,391900,0.0,1.0
PXD,2000-01-18 00:00:00+00:00,9.313,9.313,8.688,8.938,449100,7.5187008327,7.5187008327,7.0141171303,7.2159506113,449100,0.0,1.0
PXD,2000-01-19 00:00:00+00:00,9.125,9.625,8.75,9.375,490600,7.366922055,7.7705890169,7.0641718336,7.568755536,490600,0.0,1.0
PXD,2000-01-20 00:00:00+00:00,9.0,9.0,8.688,9.0,279300,7.2660053146,7.2660053146,7.0141171303,7.2660053146,279300,0.0,1.0
PXD,2000-01-21 00:00:00+00:00,9.438,9.438,9.0,9.0,449000,7.6196175732,7.6196175732,7.2660053146,7.2660053146,449000,0.0,1.0
PXD,2000-01-24 00:00:00+00:00,9.5,10.19,9.438,9.438,390900,7.6696722765,8.2267326839,7.6196175732,7.6196175732,390900,0.0,1.0
PXD,2000-01-25 00:00:00+00:00,9.75,9.875,9.375,9.625,208800,7.8715057574,7.9724224979,7.568755536,7.7705890169,208800,0.0,1.0
PXD,2000-01-26 00:00:00+00:00,9.813,10.19,9.813,10.13,331700,7.9223677946,8.2267326839,7.9223677946,8.1782926485,331700,0.0,1.0
PXD,2000-01-27 00:00:00+00:00,8.813,9.875,8.813,9.813,215000,7.1150338708,7.9724224979,7.1150338708,7.9223677946,215000,0.0,1.0
PXD,2000-01-28 00:00:00+00:00,8.625,9.125,8.625,8.875,190000,6.9632550931,7.366922055,6.9632550931,7.1650885741,190000,0.0,1.0
PXD,2000-01-31 00:00:00+00:00,8.563,8.813,8.563,8.625,164200,6.9132003898,7.1150338708,6.9132003898,6.9632550931,164200,0.0,1.0
PXD,2000-02-01 00:00:00+00:00,8.938,8.938,8.438,8.625,134100,7.2159506113,7.2159506113,6.8122836494,6.9632550931,134100,0.0,1.0
PXD,2000-02-02 00:00:00+00:00,9.188,9.5,9.0,9.0,232100,7.4177840922,7.6696722765,7.2660053146,7.2660053146,232100,0.0,1.0
PXD,2000-02-03 00:00:00+00:00,9.0,9.438,8.75,9.438,137100,7.2660053146,7.6196175732,7.0641718336,7.6196175732,137100,0.0,1.0
PXD,2000-02-04 00:00:00+00:00,8.875,9.125,8.563,9.125,99400,7.1650885741,7.366922055,6.9132003898,7.366922055,99400,0.0,1.0
PXD,2000-02-07 00:00:00+00:00,8.688,8.938,8.313,8.938,133900,7.0141171303,7.2159506113,6.7113669089,7.2159506113,133900,0.0,1.0
PXD,2000-02-08 00:00:00+00:00,8.375,8.688,8.313,8.688,189200,6.7614216122,7.0141171303,6.7113669089,7.0141171303,189200,0.0,1.0
PXD,2000-02-09 00:00:00+00:00,8.125,8.375,8.125,8.375,108500,6.5595881312,6.7614216122,6.5595881312,6.7614216122,108500,0.0,1.0
PXD,2000-02-10 00:00:00+00:00,8.313,8.375,7.938,8.063,155800,6.7113669089,6.7614216122,6.4086166874,6.5095334279,155800,0.0,1.0
PXD,2000-02-11 00:00:00+00:00,8.125,8.313,8.0,8.313,154300,6.5595881312,6.7113669089,6.4586713907,6.7113669089,154300,0.0,1.0
PXD,2000-02-14 00:00:00+00:00,7.875,8.063,7.75,8.0,206900,6.3577546502,6.5095334279,6.2568379098,6.4586713907,206900,0.0,1.0
PXD,2000-02-15 00:00:00+00:00,8.063,8.125,7.75,8.0,665400,6.5095334279,6.5595881312,6.2568379098,6.4586713907,665400,0.0,1.0
PXD,2000-02-16 00:00:00+00:00,7.75,8.0,7.688,8.0,617200,6.2568379098,6.4586713907,6.2067832065,6.4586713907,617200,0.0,1.0
PXD,2000-02-17 00:00:00+00:00,7.688,7.938,7.5,7.813,211200,6.2067832065,6.4086166874,6.0550044288,6.307699947,211200,0.0,1.0
PXD,2000-02-18 00:00:00+00:00,6.875,7.813,6.75,7.75,630400,5.5504207264,6.307699947,5.4495039859,6.2568379098,630400,0.0,1.0
PXD,2000-02-22 00:00:00+00:00,7.438,7.688,7.063,7.125,411400,6.0049497255,6.2067832065,5.7021995041,5.7522542074,411400,0.0,1.0
PXD,2000-02-23 00:00:00+00:00,7.688,7.875,7.25,7.625,468400,6.2067832065,6.3577546502,5.8531709478,6.1559211693,468400,0.0,1.0
PXD,2000-02-24 00:00:00+00:00,7.75,7.75,7.438,7.563,273800,6.2568379098,6.2568379098,6.0049497255,6.105866466,273800,0.0,1.0
PXD,2000-02-25 00:00:00+00:00,7.438,7.938,7.375,7.688,210700,6.0049497255,6.4086166874,5.9540876883,6.2067832065,210700,0.0,1.0
PXD,2000-02-28 00:00:00+00:00,7.688,7.75,7.188,7.25,146600,6.2067832065,6.2568379098,5.8031162446,5.8531709478,146600,0.0,1.0
PXD,2000-02-29 00:00:00+00:00,8.313,8.375,7.5,7.625,363300,6.7113669089,6.7614216122,6.0550044288,6.1559211693,363300,0.0,1.0
PXD,2000-03-01 00:00:00+00:00,8.438,9.0,7.875,8.188,387800,6.8122836494,7.2660053146,6.3577546502,6.6104501684,387800,0.0,1.0
PXD,2000-03-02 00:00:00+00:00,8.75,8.813,8.25,8.313,385300,7.0641718336,7.1150338708,6.6605048717,6.7113669089,385300,0.0,1.0
PXD,2000-03-03 00:00:00+00:00,8.188,8.75,8.188,8.688,217400,6.6104501684,7.0641718336,6.6104501684,7.0141171303,217400,0.0,1.0
PXD,2000-03-06 00:00:00+00:00,8.375,8.5,8.188,8.313,200300,6.7614216122,6.8623383526,6.6104501684,6.7113669089,200300,0.0,1.0
