symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
QRVO,2015-01-02 00:00:00+00:00,70.4,71.9995,68.01,69.0,4218773,70.4,71.9995,68.01,69.0,4218773,0.0,1.0
QRVO,2015-01-05 00:00:00+00:00,67.63,71.3,67.06,71.23,4534786,67.63,71.3,67.06,71.23,4534786,0.0,1.0
QRVO,2015-01-06 00:00:00+00:00,64.67,67.9899,63.02,67.93,3749900,64.67,67.9899,63.02,67.93,3749900,0.0,1.0
QRVO,2015-01-07 00:00:00+00:00,66.65,66.76,63.51,65.01,2122624,66.65,66.76,63.51,65.01,2122624,0.0,1.0
QRVO,2015-01-08 00:00:00+00:00,67.69,69.69,67.13,67.95,2514567,67.69,69.69,67.13,67.95,2514567,0.0,1.0
QRVO,2015-01-09 00:00:00+00:00,67.11,68.45,66.61,68.45,890633,67.11,68.45,66.61,68.45,890633,0.0,1.0
QRVO,2015-01-12 00:00:00+00:00,65.52,67.99,64.8,67.39,1259246,65.52,67.99,64.8,67.39,1259246,0.0,1.0
QRVO,2015-01-13 00:00:00+00:00,65.02,67.59,63.61,65.74,1230742,65.02,67.59,63.61,65.74,1230742,0.0,1.0
QRVO,2015-01-14 00:00:00+00:00,64.59,65.45,63.11,64.65,980702,64.59,65.45,63.11,64.65,980702,0.0,1.0
QRVO,2015-01-15 00:00:00+00:00,64.39,64.94,63.6,64.23,1246849,64.39,64.94,63.6,64.23,1246849,0.0,1.0
QRVO,2015-01-16 00:00:00+00:00,65.81,66.42,63.81,64.02,1392888,65.81,66.42,63.81,64.02,1392888,0.0,1.0
QRVO,2015-01-20 00:00:00+00:00,67.96,68.2,65.23,65.75,1096239,67.96,68.2,65.23,65.75,1096239,0.0,1.0
QRVO,2015-01-21 00:00:00+00:00,68.84,70.8,67.57,67.61,1451616,68.84,70.8,67.57,67.61,1451616,0.0,1.0
QRVO,2015-01-22 00:00:00+00:00,70.61,70.68,67.03,69.54,1332703,70.61,70.68,67.03,69.54,1332703,0.0,1.0
QRVO,2015-01-23 00:00:00+00:00,73.37,74.34,70.57,70.72,1677595,73.37,74.34,70.57,70.72,1677595,0.0,1.0
QRVO,2015-01-26 00:00:00+00:00,73.15,74.0,72.3,72.4,1571826,73.15,74.0,72.3,72.4,1571826,0.0,1.0
QRVO,2015-01-27 00:00:00+00:00,73.75,73.88,71.5,73.0,1246687,73.75,73.88,71.5,73.0,1246687,0.0,1.0
QRVO,2015-01-28 00:00:00+00:00,75.5,78.05,74.22,75.0,3063005,75.5,78.05,74.22,75.0,3063005,0.0,1.0
QRVO,2015-01-29 00:00:00+00:00,75.76,75.88,72.2,72.7,2636706,75.76,75.88,72.2,72.7,2636706,0.0,1.0
QRVO,2015-01-30 00:00:00+00:00,73.87,75.26,73.31,74.64,1623369,73.87,75.26,73.31,74.64,1623369,0.0,1.0
QRVO,2015-02-02 00:00:00+00:00,68.72,74.0,66.88,73.08,3348309,68.72,74.0,66.88,73.08,3348309,0.0,1.0
QRVO,2015-02-03 00:00:00+00:00,68.52,70.0,67.05,68.74,2551794,68.52,70.0,67.05,68.74,2551794,0.0,1.0
QRVO,2015-02-04 00:00:00+00:00,68.33,69.3999,66.76,67.53,1499558,68.33,69.3999,66.76,67.53,1499558,0.0,1.0
QRVO,2015-02-05 00:00:00+00:00,67.39,68.73,66.5,67.66,1322918,67.39,68.73,66.5,67.66,1322918,0.0,1.0
QRVO,2015-02-06 00:00:00+00:00,65.89,68.5,65.53,67.5,1302192,65.89,68.5,65.53,67.5,1302192,0.0,1.0
QRVO,2015-02-09 00:00:00+00:00,63.74,65.8245,63.35,65.2,1563602,63.74,65.8245,63.35,65.2,1563602,0.0,1.0
QRVO,2015-02-10 00:00:00+00:00,65.02,65.12,63.67,63.87,1306622,65.02,65.12,63.67,63.87,1306622,0.0,1.0
QRVO,2015-02-11 00:00:00+00:00,64.75,65.65,63.17,64.93,1096587,64.75,65.65,63.17,64.93,1096587,0.0,1.0
QRVO,2015-02-12 00:00:00+00:00,66.2,66.33,65.0,65.63,1159026,66.2,66.33,65.0,65.63,1159026,0.0,1.0
QRVO,2015-02-13 00:00:00+00:00,70.03,70.27,65.6301,66.35,1870878,70.03,70.27,65.6301,66.35,1870878,0.0,1.0
QRVO,2015-02-17 00:00:00+00:00,69.44,70.0,68.06,70.0,973963,69.44,70.0,68.06,70.0,973963,0.0,1.0
QRVO,2015-02-18 00:00:00+00:00,67.54,70.0,67.31,69.15,1056656,67.54,70.0,67.31,69.15,1056656,0.0,1.0
QRVO,2015-02-19 00:00:00+00:00,65.3,68.17,65.25,67.0,1225397,65.3,68.17,65.25,67.0,1225397,0.0,1.0
QRVO,2015-02-20 00:00:00+00:00,65.17,65.77,64.04,65.57,1463428,65.17,65.77,64.04,65.57,1463428,0.0,1.0
QRVO,2015-02-23 00:00:00+00:00,65.05,65.88,64.3,65.16,889737,65.05,65.88,64.3,65.16,889737,0.0,1.0
QRVO,2015-02-24 00:00:00+00:00,69.34,69.35,65.2,65.36,1700103,69.34,69.35,65.2,65.36,1700103,0.0,1.0
QRVO,2015-02-25 00:00:00+00:00,67.21,69.28,66.6,68.95,965173,67.21,69.28,66.6,68.95,965173,0.0,1.0
QRVO,2015-02-26 00:00:00+00:00,71.53,71.72,67.89,68.0,2116352,71.53,71.72,67.89,68.0,2116352,0.0,1.0
QRVO,2015-02-27 00:00:00+00:00,69.4,71.428,69.2,70.75,1400857,69.4,71.428,69.2,70.75,1400857,0.0,1.0
QRVO,2015-03-02 00:00:00+00:00,69.35,70.8,68.8,69.39,1127924,69.35,70.8,68.8,69.39,1127924,0.0,1.0
QRVO,2015-03-03 00:00:00+00:00,70.84,70.96,68.35,69.36,1509044,70.84,70.96,68.35,69.36,1509044,0.0,1.0
QRVO,2015-03-04 00:00:00+00:00,72.02,73.25,70.11,70.23,1397547,72.02,73.25,70.11,70.23,1397547,0.0,1.0
QRVO,2015-03-05 00:00:00+00:00,74.51,75.16,72.02,72.2,1621943,74.51,75.16,72.02,72.2,1621943,0.0,1.0
QRVO,2015-03-06 00:00:00+00:00,72.98,74.5,72.75,73.41,988083,72.98,74.5,72.75,73.41,988083,0.0,1.0
QRVO,2015-03-09 00:00:00+00:00,74.83,75.45,73.13,73.24,1076610,74.83,75.45,73.13,73.24,1076610,0.0,1.0
