symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
RE,2000-01-03 00:00:00+00:00,21.88,22.81,21.69,22.81,163600,14.7835040257,15.4118705131,14.6551280766,15.4118705131,163600,0.0,1.0
RE,2000-01-04 00:00:00+00:00,21.81,22.13,20.69,22.13,220900,14.7362076234,14.9524197481,13.979465187,14.9524197481,220900,0.0,1.0
RE,2000-01-05 00:00:00+00:00,23.44,23.69,22.19,22.19,661100,15.8375381335,16.006453856,14.9929595215,14.9929595215,661100,0.0,1.0
RE,2000-01-06 00:00:00+00:00,24.31,24.69,23.19,23.19,624600,16.4253648475,16.6821167456,15.6686224111,15.6686224111,624600,0.0,1.0
RE,2000-01-07 00:00:00+00:00,25.63,25.69,24.38,24.38,373500,17.3172398619,17.3577796353,16.4726612498,16.4726612498,373500,0.0,1.0
RE,2000-01-10 00:00:00+00:00,25.5,26.0,25.0,25.63,786400,17.2294036862,17.5672351311,16.8915722414,17.3172398619,786400,0.0,1.0
RE,2000-01-11 00:00:00+00:00,25.56,25.63,25.5,25.63,225300,17.2699434596,17.3172398619,17.2294036862,17.3172398619,225300,0.0,1.0
RE,2000-01-12 00:00:00+00:00,25.63,26.0,25.56,25.56,209700,17.3172398619,17.5672351311,17.2699434596,17.2699434596,209700,0.0,1.0
RE,2000-01-13 00:00:00+00:00,25.75,26.0,25.69,25.69,222700,17.3983194087,17.5672351311,17.3577796353,17.3577796353,222700,0.0,1.0
RE,2000-01-14 00:00:00+00:00,26.44,27.13,25.88,25.88,290600,17.8645268025,18.3307341964,17.4861555843,17.4861555843,290600,0.0,1.0
RE,2000-01-18 00:00:00+00:00,26.44,26.5,26.25,26.5,215300,17.8645268025,17.9050665759,17.7361508535,17.9050665759,215300,0.0,1.0
RE,2000-01-19 00:00:00+00:00,26.06,26.44,25.88,26.44,236800,17.6077749044,17.8645268025,17.4861555843,17.8645268025,236800,0.0,1.0
RE,2000-01-20 00:00:00+00:00,26.06,26.19,26.0,26.06,149800,17.6077749044,17.6956110801,17.5672351311,17.6077749044,149800,0.0,1.0
RE,2000-01-21 00:00:00+00:00,26.56,26.63,25.63,26.13,189800,17.9456063493,17.9929027515,17.3172398619,17.6550713067,189800,0.0,1.0
RE,2000-01-24 00:00:00+00:00,25.44,26.31,25.38,26.31,178000,17.1888639129,17.7766906269,17.1483241395,17.7766906269,178000,0.0,1.0
RE,2000-01-25 00:00:00+00:00,25.19,25.69,24.81,25.38,589000,17.0199481904,17.3577796353,16.7631962924,17.1483241395,589000,0.0,1.0
RE,2000-01-26 00:00:00+00:00,24.75,25.19,24.31,24.94,247000,16.722656519,17.0199481904,16.4253648475,16.851032468,247000,0.0,1.0
RE,2000-01-27 00:00:00+00:00,25.25,25.44,25.0,25.0,215000,17.0604879638,17.1888639129,16.8915722414,16.8915722414,215000,0.0,1.0
RE,2000-01-28 00:00:00+00:00,25.13,25.5,24.75,25.5,135400,16.9794084171,17.2294036862,16.722656519,17.2294036862,135400,0.0,1.0
RE,2000-01-31 00:00:00+00:00,25.19,25.25,24.81,25.0,145700,17.0199481904,17.0604879638,16.7631962924,16.8915722414,145700,0.0,1.0
RE,2000-02-01 00:00:00+00:00,25.31,25.38,24.94,25.25,167600,17.1010277372,17.1483241395,16.851032468,17.0604879638,167600,0.0,1.0
RE,2000-02-02 00:00:00+00:00,25.0,25.44,24.88,25.31,207700,16.8915722414,17.1888639129,16.8104926946,17.1010277372,207700,0.0,1.0
RE,2000-02-03 00:00:00+00:00,24.81,25.13,24.63,25.0,277600,16.7631962924,16.9794084171,16.6415769722,16.8915722414,277600,0.0,1.0
RE,2000-02-04 00:00:00+00:00,24.94,25.19,24.62,24.69,89100,16.851032468,17.0199481904,16.6348203433,16.6821167456,89100,0.0,1.0
RE,2000-02-07 00:00:00+00:00,25.0,25.19,24.94,24.94,107100,16.8915722414,17.0199481904,16.851032468,16.851032468,107100,0.0,1.0
RE,2000-02-08 00:00:00+00:00,25.06,25.13,24.75,24.94,389100,16.9321120148,16.9794084171,16.722656519,16.851032468,389100,0.0,1.0
RE,2000-02-09 00:00:00+00:00,25.06,25.06,24.75,25.0,202100,16.9321120148,16.9321120148,16.722656519,16.8915722414,202100,0.0,1.0
RE,2000-02-10 00:00:00+00:00,23.38,24.88,23.13,24.88,260700,15.7969983602,16.8104926946,15.6280826378,16.8104926946,260700,0.0,1.0
RE,2000-02-11 00:00:00+00:00,22.38,23.38,22.06,23.38,479700,15.1213354705,15.7969983602,14.9051233458,15.7969983602,479700,0.0,1.0
RE,2000-02-14 00:00:00+00:00,22.0,22.38,21.69,22.31,261200,14.8645835724,15.1213354705,14.6551280766,15.0740390682,261200,0.0,1.0
RE,2000-02-15 00:00:00+00:00,22.44,23.5,21.25,21.25,362400,15.1618752439,15.8780779069,14.3578364052,14.3578364052,362400,0.0,1.0
RE,2000-02-16 00:00:00+00:00,24.0,24.38,22.44,22.44,444500,16.2159093518,16.4726612498,15.1618752439,15.1618752439,444500,0.0,1.0
RE,2000-02-17 00:00:00+00:00,27.0,27.0,24.5,24.5,778600,18.2428980207,18.2428980207,16.5537407966,16.5537407966,778600,0.0,1.0
RE,2000-02-18 00:00:00+00:00,26.13,27.63,25.38,27.0,600400,17.6550713067,18.6685656412,17.1483241395,18.2428980207,600400,0.0,1.0
RE,2000-02-22 00:00:00+00:00,25.0,25.38,24.5,25.0,437700,16.8915722414,17.1483241395,16.5537407966,16.8915722414,437700,0.0,1.0
RE,2000-02-23 00:00:00+00:00,25.88,25.94,24.75,25.0,219600,17.4861555843,17.5266953577,16.722656519,16.8915722414,219600,0.0,1.0
RE,2000-02-24 00:00:00+00:00,24.0,25.94,23.31,25.94,551100,16.2159093518,17.5266953577,15.7497019579,17.5266953577,551100,0.0,1.0
RE,2000-02-25 00:00:00+00:00,23.31,24.25,23.06,24.25,404300,15.7497019579,16.3848250742,15.5807862355,16.3848250742,404300,0.0,1.0
RE,2000-02-28 00:00:00+00:00,24.44,24.63,23.38,23.5,546500,16.5132010232,16.6415769722,15.7969983602,15.8780779069,546500,0.0,1.0
RE,2000-02-29 00:00:00+00:00,24.56,25.25,24.38,24.69,324000,16.59428057,17.0604879638,16.4726612498,16.6821167456,324000,0.0,1.0
RE,2000-03-01 00:00:00+00:00,25.38,25.56,24.5,24.81,226000,17.1483241395,17.2699434596,16.5537407966,16.7631962924,226000,0.0,1.0
RE,2000-03-02 00:00:00+00:00,25.0,25.38,24.5,25.31,395500,16.8915722414,17.1483241395,16.5537407966,17.1010277372,395500,0.0,1.0
RE,2000-03-03 00:00:00+00:00,26.56,26.81,25.13,25.19,373400,17.9456063493,18.1145220717,16.9794084171,17.0199481904,373400,0.0,1.0
RE,2000-03-06 00:00:00+00:00,25.88,26.44,25.88,26.44,262400,17.4861555843,17.8645268025,17.4861555843,17.8645268025,262400,0.0,1.0
RE,2000-03-07 00:00:00+00:00,25.69,26.44,25.69,26.0,509500,17.3577796353,17.8645268025,17.3577796353,17.5672351311,509500,0.0,1.0
RE,2000-03-08 00:00:00+00:00,24.38,25.75,24.31,25.75,320900,16.4726612498,17.3983194087,16.4253648475,17.3983194087,320900,0.0,1.0
RE,2000-03-09 00:00:00+00:00,24.69,25.13,24.56,24.63,141600,16.6821167456,16.9794084171,16.59428057,16.6415769722,141600,0.0,1.0
RE,2000-03-10 00:00:00+00:00,23.88,24.63,23.69,24.19,183200,16.134829805,16.6415769722,16.006453856,16.3442853008,183200,0.0,1.0
RE,2000-03-13 00:00:00+00:00,24.94,25.19,23.63,24.0,211500,16.851032468,17.0199481904,15.9659140826,16.2159093518,211500,0.0,1.0
RE,2000-03-14 00:00:00+00:00,25.13,25.44,24.75,24.75,170200,16.9794084171,17.1888639129,16.722656519,16.722656519,170200,0.0,1.0
RE,2000-03-15 00:00:00+00:00,26.5,27.25,24.94,25.13,341200,17.9050665759,18.4118137431,16.851032468,16.9794084171,341200,0.0,1.0
RE,2000-03-16 00:00:00+00:00,29.13,29.94,26.69,26.75,622100,19.6820599757,20.2293469163,18.0334425249,18.0739822983,622100,0.0,1.0
RE,2000-03-17 00:00:00+00:00,27.63,29.56,27.25,29.0,261300,18.6685656412,19.9725950182,18.4118137431,19.5942238,261300,0.0,1.0
RE,2000-03-20 00:00:00+00:00,28.0,28.0,27.56,27.63,132700,18.9185609104,18.9185609104,18.6212692389,18.6685656412,132700,0.0,1.0
RE,2000-03-21 00:00:00+00:00,28.25,28.5,27.63,27.75,242100,19.0874766328,19.2563923552,18.6685656412,18.749645188,242100,0.0,1.0
RE,2000-03-22 00:00:00+00:00,27.94,28.5,27.38,28.0,72800,18.878021137,19.2563923552,18.4996499188,18.9185609104,72800,0.0,1.0
RE,2000-03-23 00:00:00+00:00,29.13,30.0,28.06,28.19,133300,19.6820599757,20.2698866897,18.9591006838,19.0469368594,133300,0.0,1.0
RE,2000-03-24 00:00:00+00:00,29.25,30.44,29.06,29.13,82400,19.7631395224,20.5671783611,19.6347635734,19.6820599757,82400,0.0,1.0
RE,2000-03-27 00:00:00+00:00,28.13,29.69,28.13,29.25,98400,19.006397086,20.0604311939,19.006397086,19.7631395224,98400,0.0,1.0
RE,2000-03-28 00:00:00+00:00,28.81,29.44,28.31,28.38,367300,19.465847851,19.8915154715,19.1280164062,19.1753128084,367300,0.0,1.0
RE,2000-03-29 00:00:00+00:00,29.38,30.0,28.81,28.88,143200,19.8509756981,20.2698866897,19.465847851,19.5131442533,143200,0.0,1.0
RE,2000-03-30 00:00:00+00:00,30.25,30.88,29.38,29.44,396500,20.4388024121,20.8644700326,19.8509756981,19.8915154715,396500,0.0,1.0
RE,2000-03-31 00:00:00+00:00,32.63,32.63,29.63,29.63,344700,22.0468800895,22.0468800895,20.0198914205,20.0198914205,344700,0.0,1.0
RE,2000-04-03 00:00:00+00:00,31.25,32.44,30.63,32.44,233700,21.1144653018,21.9185041405,20.6955543102,21.9185041405,233700,0.0,1.0
RE,2000-04-04 00:00:00+00:00,30.75,31.75,30.31,31.63,237700,20.7766338569,21.4522967466,20.4793421855,21.3712171998,237700,0.0,1.0
RE,2000-04-05 00:00:00+00:00,30.69,31.06,30.38,30.5,183100,20.7360940836,20.9860893527,20.5266385878,20.6077181345,183100,0.0,1.0
RE,2000-04-06 00:00:00+00:00,30.25,30.69,29.88,30.69,335400,20.4388024121,20.7360940836,20.1888071429,20.7360940836,335400,0.0,1.0
RE,2000-04-07 00:00:00+00:00,30.13,31.75,29.81,30.63,140000,20.3577228653,21.4522967466,20.1415107407,20.6955543102,140000,0.0,1.0
RE,2000-04-10 00:00:00+00:00,29.81,30.38,29.69,30.25,166300,20.1415107407,20.5266385878,20.0604311939,20.4388024121,166300,0.0,1.0
RE,2000-04-11 00:00:00+00:00,29.5,30.38,29.38,30.38,104100,19.9320552449,20.5266385878,19.8509756981,20.5266385878,104100,0.0,1.0
RE,2000-04-12 00:00:00+00:00,29.44,30.13,29.38,29.38,248900,19.8915154715,20.3577228653,19.8509756981,19.8509756981,248900,0.0,1.0
RE,2000-04-13 00:00:00+00:00,29.63,29.69,28.94,29.63,106200,20.0198914205,20.0604311939,19.5536840267,20.0198914205,106200,0.0,1.0
RE,2000-04-14 00:00:00+00:00,27.75,29.63,27.44,29.63,137100,18.749645188,20.0198914205,18.5401896922,20.0198914205,137100,0.0,1.0
RE,2000-04-17 00:00:00+00:00,28.44,28.56,27.31,27.75,85500,19.2158525818,19.2969321286,18.4523535165,18.749645188,85500,0.0,1.0
RE,2000-04-18 00:00:00+00:00,29.0,29.88,28.31,28.31,219400,19.5942238,20.1888071429,19.1280164062,19.1280164062,219400,0.0,1.0
