symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
REGN,2000-01-03 00:00:00+00:00,12.75,12.75,12.75,12.75,153800,12.75,12.75,12.75,12.75,153800,0.0,1.0
REGN,2000-01-04 00:00:00+00:00,12.0,12.63,11.88,12.16,94100,12.0,12.63,11.88,12.16,94100,0.0,1.0
REGN,2000-01-05 00:00:00+00:00,11.75,12.13,11.25,12.06,82000,11.75,12.13,11.25,12.06,82000,0.0,1.0
REGN,2000-01-06 00:00:00+00:00,11.63,11.75,11.38,11.56,42100,11.63,11.75,11.38,11.56,42100,0.0,1.0
REGN,2000-01-07 00:00:00+00:00,13.0,13.0,11.38,11.56,113900,13.0,13.0,11.38,11.56,113900,0.0,1.0
REGN,2000-01-10 00:00:00+00:00,14.5,15.13,12.13,13.0,286800,14.5,15.13,12.13,13.0,286800,0.0,1.0
REGN,2000-01-11 00:00:00+00:00,14.09,14.38,13.88,14.19,198900,14.09,14.38,13.88,14.19,198900,0.0,1.0
REGN,2000-01-12 00:00:00+00:00,14.13,14.5,13.5,14.03,198000,14.13,14.5,13.5,14.03,198000,0.0,1.0
REGN,2000-01-13 00:00:00+00:00,14.19,14.38,14.0,14.25,102200,14.19,14.38,14.0,14.25,102200,0.0,1.0
REGN,2000-01-14 00:00:00+00:00,14.5,14.94,14.13,14.19,236200,14.5,14.94,14.13,14.19,236200,0.0,1.0
REGN,2000-01-18 00:00:00+00:00,17.0,17.88,14.5,14.56,351300,17.0,17.88,14.5,14.56,351300,0.0,1.0
REGN,2000-01-19 00:00:00+00:00,16.25,18.25,16.25,18.0,314800,16.25,18.25,16.25,18.0,314800,0.0,1.0
REGN,2000-01-20 00:00:00+00:00,15.25,16.63,15.0,16.31,189800,15.25,16.63,15.0,16.31,189800,0.0,1.0
REGN,2000-01-21 00:00:00+00:00,14.63,15.06,14.19,15.03,393200,14.63,15.06,14.19,15.03,393200,0.0,1.0
REGN,2000-01-24 00:00:00+00:00,14.59,16.25,14.56,14.81,292200,14.59,16.25,14.56,14.81,292200,0.0,1.0
REGN,2000-01-25 00:00:00+00:00,14.56,15.06,14.19,14.78,98100,14.56,15.06,14.19,14.78,98100,0.0,1.0
REGN,2000-01-26 00:00:00+00:00,14.06,14.88,14.06,14.56,97500,14.06,14.88,14.06,14.56,97500,0.0,1.0
REGN,2000-01-27 00:00:00+00:00,13.38,14.5,12.88,14.5,184100,13.38,14.5,12.88,14.5,184100,0.0,1.0
REGN,2000-01-28 00:00:00+00:00,12.56,13.5,12.5,13.5,211000,12.56,13.5,12.5,13.5,211000,0.0,1.0
REGN,2000-01-31 00:00:00+00:00,12.31,12.56,10.95,12.5,312000,12.31,12.56,10.95,12.5,312000,0.0,1.0
REGN,2000-02-01 00:00:00+00:00,12.63,12.81,12.03,12.03,168200,12.63,12.81,12.03,12.03,168200,0.0,1.0
REGN,2000-02-02 00:00:00+00:00,13.5,13.56,12.25,12.28,129800,13.5,13.56,12.25,12.28,129800,0.0,1.0
REGN,2000-02-03 00:00:00+00:00,12.88,13.5,12.88,13.5,157100,12.88,13.5,12.88,13.5,157100,0.0,1.0
REGN,2000-02-04 00:00:00+00:00,13.13,13.19,12.75,12.75,247700,13.13,13.19,12.75,12.75,247700,0.0,1.0
REGN,2000-02-07 00:00:00+00:00,13.06,13.25,12.81,12.88,147700,13.06,13.25,12.81,12.88,147700,0.0,1.0
REGN,2000-02-08 00:00:00+00:00,14.63,15.0,12.69,13.13,349900,14.63,15.0,12.69,13.13,349900,0.0,1.0
REGN,2000-02-09 00:00:00+00:00,13.63,15.25,13.38,15.13,272000,13.63,15.25,13.38,15.13,272000,0.0,1.0
REGN,2000-02-10 00:00:00+00:00,14.56,14.69,13.5,13.88,226900,14.56,14.69,13.5,13.88,226900,0.0,1.0
REGN,2000-02-11 00:00:00+00:00,15.75,16.38,14.5,14.63,303800,15.75,16.38,14.5,14.63,303800,0.0,1.0
REGN,2000-02-14 00:00:00+00:00,16.0,16.5,15.75,16.25,110600,16.0,16.5,15.75,16.25,110600,0.0,1.0
REGN,2000-02-15 00:00:00+00:00,15.0,16.03,14.25,15.91,245800,15.0,16.03,14.25,15.91,245800,0.0,1.0
REGN,2000-02-16 00:00:00+00:00,15.06,15.44,15.0,15.03,152200,15.06,15.44,15.0,15.03,152200,0.0,1.0
REGN,2000-02-17 00:00:00+00:00,18.13,18.25,15.5,15.56,595100,18.13,18.25,15.5,15.56,595100,0.0,1.0
REGN,2000-02-18 00:00:00+00:00,21.75,24.0,18.75,18.75,762300,21.75,24.0,18.75,18.75,762300,0.0,1.0
REGN,2000-02-22 00:00:00+00:00,20.88,23.88,18.5,22.56,421300,20.88,23.88,18.5,22.56,421300,0.0,1.0
REGN,2000-02-23 00:00:00+00:00,36.63,38.75,22.75,22.75,4523500,36.63,38.75,22.75,22.75,4523500,0.0,1.0
REGN,2000-02-24 00:00:00+00:00,36.75,37.13,32.63,35.44,2311400,36.75,37.13,32.63,35.44,2311400,0.0,1.0
REGN,2000-02-25 00:00:00+00:00,45.88,48.0,34.13,36.13,2159500,45.88,48.0,34.13,36.13,2159500,0.0,1.0
REGN,2000-02-28 00:00:00+00:00,45.13,45.88,40.0,45.84,825100,45.13,45.88,40.0,45.84,825100,0.0,1.0
REGN,2000-02-29 00:00:00+00:00,56.5,57.38,45.25,45.47,904800,56.5,57.38,45.25,45.47,904800,0.0,1.0
REGN,2000-03-01 00:00:00+00:00,53.44,55.88,47.25,55.88,647100,53.44,55.88,47.25,55.88,647100,0.0,1.0
REGN,2000-03-02 00:00:00+00:00,50.41,54.0,46.31,53.59,466700,50.41,54.0,46.31,53.59,466700,0.0,1.0
REGN,2000-03-03 00:00:00+00:00,50.3,56.0,48.88,51.88,762000,50.3,56.0,48.88,51.88,762000,0.0,1.0
REGN,2000-03-06 00:00:00+00:00,50.63,54.0,46.75,49.81,514400,50.63,54.0,46.75,49.81,514400,0.0,1.0
REGN,2000-03-07 00:00:00+00:00,46.94,51.0,46.5,50.31,353300,46.94,51.0,46.5,50.31,353300,0.0,1.0
REGN,2000-03-08 00:00:00+00:00,41.75,48.0,35.13,47.25,749700,41.75,48.0,35.13,47.25,749700,0.0,1.0
REGN,2000-03-09 00:00:00+00:00,41.06,43.25,35.81,41.5,553300,41.06,43.25,35.81,41.5,553300,0.0,1.0
REGN,2000-03-10 00:00:00+00:00,40.0,49.0,39.63,43.94,562700,40.0,49.0,39.63,43.94,562700,0.0,1.0
REGN,2000-03-13 00:00:00+00:00,36.84,39.0,36.06,36.91,252900,36.84,39.0,36.06,36.91,252900,0.0,1.0
REGN,2000-03-14 00:00:00+00:00,29.56,38.75,28.0,37.75,622300,29.56,38.75,28.0,37.75,622300,0.0,1.0
REGN,2000-03-15 00:00:00+00:00,29.34,32.13,28.5,32.0,376400,29.34,32.13,28.5,32.0,376400,0.0,1.0
REGN,2000-03-16 00:00:00+00:00,27.25,31.5,25.63,30.31,351300,27.25,31.5,25.63,30.31,351300,0.0,1.0
REGN,2000-03-17 00:00:00+00:00,30.63,32.19,27.13,27.13,212400,30.63,32.19,27.13,27.13,212400,0.0,1.0
REGN,2000-03-20 00:00:00+00:00,27.38,31.75,27.25,31.5,246000,27.38,31.75,27.25,31.5,246000,0.0,1.0
REGN,2000-03-21 00:00:00+00:00,24.44,27.06,20.5,27.0,538200,24.44,27.06,20.5,27.0,538200,0.0,1.0
REGN,2000-03-22 00:00:00+00:00,31.5,31.75,23.5,24.5,403500,31.5,31.75,23.5,24.5,403500,0.0,1.0
REGN,2000-03-23 00:00:00+00:00,37.0,38.06,32.25,32.56,800100,37.0,38.06,32.25,32.56,800100,0.0,1.0
REGN,2000-03-24 00:00:00+00:00,36.06,42.0,35.94,37.63,772100,36.06,42.0,35.94,37.63,772100,0.0,1.0
REGN,2000-03-27 00:00:00+00:00,37.56,38.75,35.63,36.13,404100,37.56,38.75,35.63,36.13,404100,0.0,1.0
REGN,2000-03-28 00:00:00+00:00,33.75,38.06,32.38,37.63,412800,33.75,38.06,32.38,37.63,412800,0.0,1.0
REGN,2000-03-29 00:00:00+00:00,29.69,34.13,28.56,34.13,410500,29.69,34.13,28.56,34.13,410500,0.0,1.0
REGN,2000-03-30 00:00:00+00:00,28.69,29.0,27.0,28.0,1786400,28.69,29.0,27.0,28.0,1786400,0.0,1.0
REGN,2000-03-31 00:00:00+00:00,29.56,30.25,28.5,28.94,498800,29.56,30.25,28.5,28.94,498800,0.0,1.0
REGN,2000-04-03 00:00:00+00:00,28.5,30.25,28.5,29.38,228600,28.5,30.25,28.5,29.38,228600,0.0,1.0
REGN,2000-04-04 00:00:00+00:00,22.25,29.0,20.5,28.63,640800,22.25,29.0,20.5,28.63,640800,0.0,1.0
REGN,2000-04-05 00:00:00+00:00,21.56,23.13,20.75,21.25,1412600,21.56,23.13,20.75,21.25,1412600,0.0,1.0
REGN,2000-04-06 00:00:00+00:00,26.38,27.0,22.38,23.25,876700,26.38,27.0,22.38,23.25,876700,0.0,1.0
REGN,2000-04-07 00:00:00+00:00,27.69,28.0,25.5,27.56,368900,27.69,28.0,25.5,27.56,368900,0.0,1.0
REGN,2000-04-10 00:00:00+00:00,23.5,27.75,23.5,27.38,182600,23.5,27.75,23.5,27.38,182600,0.0,1.0
REGN,2000-04-11 00:00:00+00:00,22.19,23.0,21.0,22.88,523000,22.19,23.0,21.0,22.88,523000,0.0,1.0
REGN,2000-04-12 00:00:00+00:00,19.25,22.25,18.81,22.25,257500,19.25,22.25,18.81,22.25,257500,0.0,1.0
REGN,2000-04-13 00:00:00+00:00,19.31,20.63,19.13,19.13,248400,19.31,20.63,19.13,19.13,248400,0.0,1.0
REGN,2000-04-14 00:00:00+00:00,17.44,19.44,17.0,19.19,434800,17.44,19.44,17.0,19.19,434800,0.0,1.0
REGN,2000-04-17 00:00:00+00:00,17.69,18.0,15.13,17.0,279600,17.69,18.0,15.13,17.0,279600,0.0,1.0
REGN,2000-04-18 00:00:00+00:00,24.88,25.88,17.73,17.75,443600,24.88,25.88,17.73,17.75,443600,0.0,1.0
REGN,2000-04-19 00:00:00+00:00,25.0,26.94,24.75,24.75,319200,25.0,26.94,24.75,24.75,319200,0.0,1.0
REGN,2000-04-20 00:00:00+00:00,24.06,25.88,23.75,25.88,287500,24.06,25.88,23.75,25.88,287500,0.0,1.0
REGN,2000-04-24 00:00:00+00:00,23.19,23.38,21.25,22.25,207200,23.19,23.38,21.25,22.25,207200,0.0,1.0
REGN,2000-04-25 00:00:00+00:00,25.5,25.63,24.13,24.25,91200,25.5,25.63,24.13,24.25,91200,0.0,1.0
REGN,2000-04-26 00:00:00+00:00,26.13,26.5,25.13,25.63,176500,26.13,26.5,25.13,25.63,176500,0.0,1.0
REGN,2000-04-27 00:00:00+00:00,26.0,26.13,23.5,24.5,218100,26.0,26.13,23.5,24.5,218100,0.0,1.0
REGN,2000-04-28 00:00:00+00:00,28.56,29.0,25.88,25.88,213300,28.56,29.0,25.88,25.88,213300,0.0,1.0
REGN,2000-05-01 00:00:00+00:00,29.94,32.63,28.56,28.63,370500,29.94,32.63,28.56,28.63,370500,0.0,1.0
