symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
RF,2000-01-03 00:00:00+00:00,23.5,25.25,23.5,25.25,1042996,9.2882978619,9.9799796176,9.2882978619,9.9799796176,1288100,0.0,1.0
RF,2000-01-04 00:00:00+00:00,22.81,23.56,22.44,23.56,1266559,9.0155776268,9.3120126649,8.8693363413,9.3120126649,1564200,0.0,1.0
RF,2000-01-05 00:00:00+00:00,22.81,23.81,22.44,22.75,513765,9.0155776268,9.4108243443,8.8693363413,8.9918628237,634499,0.0,1.0
RF,2000-01-06 00:00:00+00:00,22.75,23.06,22.19,22.38,774899,8.9918628237,9.1143893062,8.7705246619,8.8456215383,957000,0.0,1.0
RF,2000-01-07 00:00:00+00:00,23.0,23.19,22.5,22.81,594089,9.0906745031,9.1657713795,8.8930511444,9.0155776268,733699,0.0,1.0
RF,2000-01-10 00:00:00+00:00,22.0,23.5,21.88,23.38,866478,8.6954277856,9.2882978619,8.6479981795,9.2408682558,1070100,0.0,1.0
RF,2000-01-11 00:00:00+00:00,22.38,22.5,22.25,22.25,698462,8.8456215383,8.8930511444,8.794239465,8.794239465,862600,0.0,1.0
RF,2000-01-12 00:00:00+00:00,22.75,22.88,22.38,22.56,399919,8.9918628237,9.043244897,8.8456215383,8.9167659474,493899,0.0,1.0
RF,2000-01-13 00:00:00+00:00,23.63,23.88,22.75,22.81,613441,9.3396799352,9.4384916145,8.9918628237,9.0155776268,757599,0.0,1.0
RF,2000-01-14 00:00:00+00:00,24.13,24.31,23.63,23.69,705425,9.5373032939,9.6084477031,9.3396799352,9.3633947382,871199,0.0,1.0
RF,2000-01-18 00:00:00+00:00,24.06,24.19,24.06,24.06,710931,9.5096360237,9.561018097,9.5096360237,9.5096360237,877999,0.0,1.0
RF,2000-01-19 00:00:00+00:00,24.31,24.5,24.13,24.13,575951,9.6084477031,9.6835445794,9.5373032939,9.5373032939,711299,0.0,1.0
RF,2000-01-20 00:00:00+00:00,23.06,24.19,22.63,23.88,508097,9.1143893062,9.561018097,8.9444332176,9.4384916145,627499,0.0,1.0
RF,2000-01-21 00:00:00+00:00,23.06,23.81,22.94,23.5,781700,9.1143893062,9.4108243443,9.0669597001,9.2882978619,965399,0.0,1.0
RF,2000-01-24 00:00:00+00:00,22.72,23.19,22.38,22.94,560486,8.9800054222,9.1657713795,8.8456215383,9.0669597001,692200,0.0,1.0
RF,2000-01-25 00:00:00+00:00,22.88,23.25,22.31,22.81,483320,9.043244897,9.1894861825,8.817954268,9.0155776268,596900,0.0,1.0
RF,2000-01-26 00:00:00+00:00,23.63,23.63,22.75,23.0,484130,9.3396799352,9.3396799352,8.9918628237,9.0906745031,597900,0.0,1.0
RF,2000-01-27 00:00:00+00:00,23.69,23.81,23.38,23.56,608259,9.3633947382,9.4108243443,9.2408682558,9.3120126649,751199,0.0,1.0
RF,2000-01-28 00:00:00+00:00,22.75,23.69,22.5,23.69,733036,8.9918628237,9.3633947382,8.8930511444,9.3633947382,905299,0.0,1.0
RF,2000-01-31 00:00:00+00:00,24.25,24.31,22.88,23.13,674170,9.5847329,9.6084477031,9.043244897,9.1420565764,832599,0.0,1.0
RF,2000-02-01 00:00:00+00:00,24.25,24.38,23.88,24.0,461134,9.5847329,9.6361149733,9.4384916145,9.4859212207,569500,0.0,1.0
RF,2000-02-02 00:00:00+00:00,23.88,24.13,23.75,23.94,576275,9.4384916145,9.5373032939,9.3871095413,9.4622064176,711699,0.0,1.0
RF,2000-02-03 00:00:00+00:00,23.94,24.25,23.69,23.81,454899,9.4622064176,9.5847329,9.3633947382,9.4108243443,561800,0.0,1.0
RF,2000-02-04 00:00:00+00:00,23.5,24.0,23.5,23.91,453927,9.2882978619,9.4859212207,9.2882978619,9.4503490161,560599,0.0,1.0
RF,2000-02-07 00:00:00+00:00,23.31,23.56,23.25,23.5,341862,9.2132009856,9.3120126649,9.1894861825,9.2882978619,422199,0.0,1.0
RF,2000-02-08 00:00:00+00:00,23.59,23.81,23.38,23.5,371255,9.3238700665,9.4108243443,9.2408682558,9.2882978619,458499,0.0,1.0
RF,2000-02-09 00:00:00+00:00,23.94,24.06,23.5,23.63,967530,9.4622064176,9.5096360237,9.2882978619,9.3396799352,1194899,0.0,1.0
RF,2000-02-10 00:00:00+00:00,23.81,24.06,23.44,23.75,1076113,9.4108243443,9.5096360237,9.2645830588,9.3871095413,1328999,0.0,1.0
RF,2000-02-11 00:00:00+00:00,23.63,24.06,23.5,23.69,531579,9.3396799352,9.5096360237,9.2882978619,9.3633947382,656500,0.0,1.0
RF,2000-02-14 00:00:00+00:00,23.25,23.75,23.13,23.63,691903,9.1894861825,9.3871095413,9.1420565764,9.3396799352,854500,0.0,1.0
RF,2000-02-15 00:00:00+00:00,23.44,23.56,22.94,23.25,522591,9.2645830588,9.3120126649,9.0669597001,9.1894861825,645399,0.0,1.0
RF,2000-02-16 00:00:00+00:00,23.44,23.63,23.25,23.38,437085,9.2645830588,9.3396799352,9.1894861825,9.2408682558,539799,0.0,1.0
RF,2000-02-17 00:00:00+00:00,22.88,23.56,22.5,23.5,451498,9.043244897,9.3120126649,8.8930511444,9.2882978619,557600,0.0,1.0
RF,2000-02-18 00:00:00+00:00,21.75,22.63,21.75,22.56,798138,8.5966161062,8.9444332176,8.5966161062,8.9167659474,985700,0.0,1.0
RF,2000-02-22 00:00:00+00:00,21.81,22.0,21.69,21.88,530121,8.6203309093,8.6954277856,8.5729013032,8.6479981795,654699,0.0,1.0
RF,2000-02-23 00:00:00+00:00,21.25,21.88,21.25,21.88,671903,8.3989927475,8.6479981795,8.3989927475,8.6479981795,829800,0.0,1.0
RF,2000-02-24 00:00:00+00:00,20.81,21.38,20.38,21.25,844696,8.2250841917,8.4503748207,8.0551281032,8.3989927475,1043199,0.0,1.0
RF,2000-02-25 00:00:00+00:00,20.31,21.13,20.25,20.81,873198,8.027460833,8.3515631413,8.0037460299,8.2250841917,1078399,0.0,1.0
RF,2000-02-28 00:00:00+00:00,21.25,21.25,20.25,20.31,800081,8.3989927475,8.3989927475,8.0037460299,8.027460833,988100,0.0,1.0
RF,2000-02-29 00:00:00+00:00,20.25,21.25,20.0,21.25,863320,8.0037460299,8.3989927475,7.9049343505,8.3989927475,1066200,0.0,1.0
RF,2000-03-01 00:00:00+00:00,19.88,20.38,19.63,20.38,503563,7.8575047444,8.0551281032,7.7586930651,8.0551281032,621900,0.0,1.0
RF,2000-03-02 00:00:00+00:00,19.25,20.0,19.19,20.0,801134,7.6084993124,7.9049343505,7.5847845093,7.9049343505,989400,0.0,1.0
RF,2000-03-03 00:00:00+00:00,19.31,19.63,19.13,19.56,1228421,7.6322141154,7.7586930651,7.5610697063,7.7310257948,1517099,0.0,1.0
RF,2000-03-06 00:00:00+00:00,19.38,19.5,19.0,19.25,1351741,7.6598813857,7.7073109918,7.509687633,7.6084993124,1669400,0.0,1.0
RF,2000-03-07 00:00:00+00:00,19.13,19.56,19.0,19.56,676923,7.5610697063,7.7310257948,7.509687633,7.7310257948,835999,0.0,1.0
RF,2000-03-08 00:00:00+00:00,18.44,19.19,18.31,19.13,1022267,7.2883494712,7.5847845093,7.2369673979,7.5610697063,1262499,0.0,1.0
RF,2000-03-09 00:00:00+00:00,19.25,19.38,18.31,18.44,754980,7.6084993124,7.6598813857,7.2369673979,7.2883494712,932400,0.0,1.0
RF,2000-03-10 00:00:00+00:00,19.06,19.5,18.94,19.25,407206,7.5334024361,7.7073109918,7.48597283,7.6084993124,502899,0.0,1.0
RF,2000-03-13 00:00:00+00:00,19.38,19.63,18.88,19.25,725587,7.6598813857,7.7586930651,7.4622580269,7.6084993124,896099,0.0,1.0
RF,2000-03-14 00:00:00+00:00,19.38,19.56,19.25,19.31,411498,7.6598813857,7.7310257948,7.6084993124,7.6322141154,508200,0.0,1.0
RF,2000-03-15 00:00:00+00:00,20.56,21.0,19.19,19.38,969879,8.2329891261,8.4091815004,7.6843901425,7.7604732132,1197800,0.27,1.0
RF,2000-03-16 00:00:00+00:00,23.44,23.69,20.75,20.75,1104534,9.3862483033,9.4863576069,8.3090721968,8.3090721968,1364099,0.0,1.0
RF,2000-03-17 00:00:00+00:00,22.63,24.0,22.5,23.06,1181457,9.0618941597,9.6104931433,9.0098373218,9.2340821618,1459099,0.0,1.0
RF,2000-03-20 00:00:00+00:00,21.81,22.63,21.25,22.5,450283,8.733535644,9.0618941597,8.509290804,9.0098373218,556099,0.0,1.0
RF,2000-03-21 00:00:00+00:00,22.72,22.75,21.69,21.75,571012,9.097933509,9.1099466254,8.6854831783,8.7095094111,705199,0.0,1.0
RF,2000-03-22 00:00:00+00:00,22.75,23.0,22.06,22.69,465911,9.1099466254,9.210055929,8.8336449475,9.0859203926,575400,0.0,1.0
RF,2000-03-23 00:00:00+00:00,23.06,23.13,21.5,22.94,365830,9.2340821618,9.2621127669,8.6094001075,9.1860296961,451800,0.0,1.0
RF,2000-03-24 00:00:00+00:00,22.75,23.06,22.75,22.88,326559,9.1099466254,9.2340821618,9.1099466254,9.1620034633,403300,0.0,1.0
RF,2000-03-27 00:00:00+00:00,22.0,23.11,21.88,22.94,407854,8.8096187147,9.2541040226,8.761566249,9.1860296961,503699,0.0,1.0
RF,2000-03-28 00:00:00+00:00,22.19,22.69,21.44,21.94,434089,8.8857017854,9.0859203926,8.5853738747,8.7855924818,536099,0.0,1.0
RF,2000-03-29 00:00:00+00:00,22.38,22.69,22.0,22.31,352146,8.9617848561,9.0859203926,8.8096187147,8.9337542511,434900,0.0,1.0
RF,2000-03-30 00:00:00+00:00,21.94,22.5,21.69,22.38,290931,8.7855924818,9.0098373218,8.6854831783,8.9617848561,359299,0.0,1.0
RF,2000-03-31 00:00:00+00:00,22.81,23.25,21.52,22.0,478300,9.1339728583,9.3101652326,8.6174088518,8.8096187147,590700,0.0,1.0
RF,2000-04-03 00:00:00+00:00,24.5,25.5,22.81,22.88,1091336,9.8107117504,10.2111489648,9.1339728583,9.1620034633,1347799,0.0,1.0
RF,2000-04-04 00:00:00+00:00,24.0,24.63,23.31,24.25,605263,9.6104931433,9.8627685883,9.3341914654,9.7106024469,747499,0.0,1.0
RF,2000-04-05 00:00:00+00:00,23.33,24.13,23.13,23.88,601134,9.3422002097,9.6625499812,9.2621127669,9.5624406776,742400,0.0,1.0
RF,2000-04-06 00:00:00+00:00,22.94,23.75,22.56,23.44,478704,9.1860296961,9.5103838397,9.0338635547,9.3862483033,591199,0.0,1.0
RF,2000-04-07 00:00:00+00:00,21.94,23.06,21.81,23.06,499433,8.7855924818,9.2340821618,8.733535644,9.2340821618,616799,0.0,1.0
RF,2000-04-10 00:00:00+00:00,22.06,22.5,21.88,22.44,326316,8.8336449475,9.0098373218,8.761566249,8.985811089,403000,0.0,1.0
RF,2000-04-11 00:00:00+00:00,21.94,22.44,21.81,22.0,348664,8.7855924818,8.985811089,8.733535644,8.8096187147,430600,0.0,1.0
RF,2000-04-12 00:00:00+00:00,22.11,22.94,21.81,22.13,669555,8.8536668083,9.1860296961,8.733535644,8.8616755525,826900,0.0,1.0
RF,2000-04-13 00:00:00+00:00,21.84,22.13,21.56,21.94,341457,8.7455487604,8.8616755525,8.6334263404,8.7855924818,421699,0.0,1.0
RF,2000-04-14 00:00:00+00:00,20.64,21.63,20.25,21.52,457409,8.2650241032,8.6614569454,8.1088535897,8.6174088518,564900,0.0,1.0
RF,2000-04-17 00:00:00+00:00,20.58,20.94,19.94,20.63,765344,8.2409978704,8.3851552675,7.9847180532,8.2610197311,945199,0.0,1.0
RF,2000-04-18 00:00:00+00:00,21.25,21.31,20.13,20.63,575547,8.509290804,8.5333170368,8.0608011239,8.2610197311,710800,0.0,1.0
RF,2000-04-19 00:00:00+00:00,20.94,21.44,20.75,21.38,367611,8.3851552675,8.5853738747,8.3090721968,8.5613476418,453999,0.0,1.0
RF,2000-04-20 00:00:00+00:00,21.13,21.38,20.69,21.0,376518,8.4612383382,8.5613476418,8.2850459639,8.4091815004,464999,0.0,1.0
RF,2000-04-24 00:00:00+00:00,21.69,22.13,20.81,20.94,735547,8.6854831783,8.8616755525,8.3330984297,8.3851552675,908400,0.0,1.0
RF,2000-04-25 00:00:00+00:00,22.0,22.19,21.69,21.69,1198300,8.8096187147,8.8857017854,8.6854831783,8.6854831783,1479900,0.0,1.0
RF,2000-04-26 00:00:00+00:00,21.69,22.0,21.63,22.0,433522,8.6854831783,8.8096187147,8.6614569454,8.8096187147,535399,0.0,1.0
RF,2000-04-27 00:00:00+00:00,20.88,21.63,20.38,21.63,419757,8.3611290347,8.6614569454,8.1609104275,8.6614569454,518399,0.0,1.0
RF,2000-04-28 00:00:00+00:00,20.44,21.06,20.13,21.03,487530,8.1849366604,8.4332077332,8.0608011239,8.4211946168,602099,0.0,1.0
