symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
RJF,2000-01-03 00:00:00+00:00,17.62,18.44,17.25,18.44,103067,3.7670220027,3.9423317667,3.6879188165,3.9423317667,347851,0.0,1.0
RJF,2000-01-04 00:00:00+00:00,17.0,17.56,16.69,17.38,326800,3.6344707177,3.754194459,3.5681950752,3.7157118279,1102950,0.0,1.0
RJF,2000-01-05 00:00:00+00:00,16.81,16.81,16.34,16.75,119867,3.5938501626,3.5938501626,3.4933677369,3.5810226189,404551,0.0,1.0
RJF,2000-01-06 00:00:00+00:00,16.81,17.25,16.75,17.06,156267,3.5938501626,3.6879188165,3.5810226189,3.6472982614,527401,0.0,1.0
RJF,2000-01-07 00:00:00+00:00,17.0,17.06,16.5,16.56,240267,3.6344707177,3.6472982614,3.5275745201,3.5404020638,810901,0.0,1.0
RJF,2000-01-10 00:00:00+00:00,17.13,17.5,17.0,17.13,81200,3.6622637291,3.7413669153,3.6344707177,3.6622637291,274050,0.0,1.0
RJF,2000-01-11 00:00:00+00:00,17.31,17.44,17.0,17.13,100578,3.7007463602,3.7285393716,3.6344707177,3.6622637291,339450,0.0,1.0
RJF,2000-01-12 00:00:00+00:00,17.5,17.56,17.19,17.5,80400,3.7413669153,3.754194459,3.6750912728,3.7413669153,271350,0.0,1.0
RJF,2000-01-13 00:00:00+00:00,18.56,18.63,17.5,17.5,134667,3.9679868541,3.9829523218,3.7413669153,3.7413669153,454501,0.0,1.0
RJF,2000-01-14 00:00:00+00:00,17.5,18.75,17.5,18.25,209644,3.7413669153,4.0086074092,3.7413669153,3.9017112116,707548,0.0,1.0
RJF,2000-01-18 00:00:00+00:00,18.13,18.5,17.25,17.31,143778,3.8760561242,3.9551593104,3.6879188165,3.7007463602,485250,0.0,1.0
RJF,2000-01-19 00:00:00+00:00,17.56,18.75,17.5,18.25,181778,3.754194459,4.0086074092,3.7413669153,3.9017112116,613500,0.0,1.0
RJF,2000-01-20 00:00:00+00:00,17.38,17.88,17.0,17.75,254044,3.7157118279,3.8226080254,3.6344707177,3.7948150141,857398,0.0,1.0
RJF,2000-01-21 00:00:00+00:00,17.19,17.5,16.81,17.38,403600,3.6750912728,3.7413669153,3.5938501626,3.7157118279,1362150,0.0,1.0
RJF,2000-01-24 00:00:00+00:00,17.5,17.63,17.0,17.0,137200,3.7413669153,3.7691599266,3.6344707177,3.6344707177,463050,0.0,1.0
RJF,2000-01-25 00:00:00+00:00,18.0,18.0,17.31,17.63,278178,3.8482631129,3.8482631129,3.7007463602,3.7691599266,938850,0.0,1.0
RJF,2000-01-26 00:00:00+00:00,18.25,19.69,17.63,17.94,394000,3.9017112116,4.2095722607,3.7691599266,3.8354355691,1329750,0.0,1.0
RJF,2000-01-27 00:00:00+00:00,19.56,20.44,18.5,18.5,690578,4.1817792493,4.369916557,3.9551593104,3.9551593104,2330700,0.0,1.0
RJF,2000-01-28 00:00:00+00:00,18.75,19.44,18.75,19.38,126578,4.0086074092,4.1561241619,4.0086074092,4.1432966182,427200,0.0,1.0
RJF,2000-01-31 00:00:00+00:00,19.0,19.06,18.5,18.63,186667,4.062055508,4.0748830517,3.9551593104,3.9829523218,630001,0.0,1.0
RJF,2000-02-01 00:00:00+00:00,18.63,19.0,18.31,19.0,89244,3.9829523218,4.062055508,3.9145387554,4.062055508,301198,0.0,1.0
RJF,2000-02-02 00:00:00+00:00,18.75,18.94,18.38,18.56,84578,4.0086074092,4.0492279643,3.929504223,3.9679868541,285450,0.0,1.0
RJF,2000-02-03 00:00:00+00:00,19.19,19.19,18.94,18.94,90000,4.1026760631,4.1026760631,4.0492279643,4.0492279643,303750,0.0,1.0
RJF,2000-02-04 00:00:00+00:00,19.88,19.94,19.19,19.19,166178,4.2501928158,4.2630203595,4.1026760631,4.1026760631,560850,0.0,1.0
RJF,2000-02-07 00:00:00+00:00,19.69,19.94,19.25,19.81,110800,4.2095722607,4.2630203595,4.1155036068,4.2352273481,373950,0.0,1.0
RJF,2000-02-08 00:00:00+00:00,19.25,19.75,19.19,19.69,106978,4.1155036068,4.2223998044,4.1026760631,4.2095722607,361050,0.0,1.0
RJF,2000-02-09 00:00:00+00:00,18.75,19.38,18.63,19.19,102667,4.0086074092,4.1432966182,3.9829523218,4.1026760631,346501,0.0,1.0
RJF,2000-02-10 00:00:00+00:00,18.88,19.44,18.25,18.88,92667,4.0364004206,4.1561241619,3.9017112116,4.0364004206,312751,0.0,1.0
RJF,2000-02-11 00:00:00+00:00,18.44,19.31,18.19,18.69,126800,3.9423317667,4.1283311505,3.8888836679,3.9957798655,427950,0.0,1.0
RJF,2000-02-14 00:00:00+00:00,18.38,19.0,18.06,18.56,76844,3.929504223,4.062055508,3.8610906566,3.9679868541,259348,0.0,1.0
RJF,2000-02-15 00:00:00+00:00,18.88,19.06,18.06,18.5,84844,4.0364004206,4.0748830517,3.8610906566,3.9551593104,286348,0.0,1.0
RJF,2000-02-16 00:00:00+00:00,18.69,18.81,18.38,18.81,50578,3.9957798655,4.0214349529,3.929504223,4.0214349529,170700,0.0,1.0
