symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
RL,2000-01-03 00:00:00+00:00,17.44,17.5,17.31,17.31,217000,13.8039867465,13.8514775266,13.7010900563,13.7010900563,217000,0.0,1.0
RL,2000-01-04 00:00:00+00:00,16.75,17.25,16.63,17.19,92700,13.2578427755,13.6535992763,13.1628612153,13.6061084962,92700,0.0,1.0
RL,2000-01-05 00:00:00+00:00,17.0,17.13,16.5,16.69,237600,13.4557210259,13.5586177161,13.0599645251,13.2103519954,237600,0.0,1.0
RL,2000-01-06 00:00:00+00:00,17.06,17.13,17.0,17.06,238100,13.503211806,13.5586177161,13.4557210259,13.503211806,238100,0.0,1.0
RL,2000-01-07 00:00:00+00:00,17.5,17.5,16.81,17.06,368400,13.8514775266,13.8514775266,13.3053335556,13.503211806,368400,0.0,1.0
RL,2000-01-10 00:00:00+00:00,18.25,18.44,17.63,18.31,241100,14.4451122778,14.5954997481,13.9543742168,14.4926030579,241100,0.0,1.0
RL,2000-01-11 00:00:00+00:00,17.63,18.19,17.44,18.13,196500,13.9543742168,14.3976214977,13.8039867465,14.3501307176,196500,0.0,1.0
RL,2000-01-12 00:00:00+00:00,16.75,17.5,16.63,17.0,135600,13.2578427755,13.8514775266,13.1628612153,13.4557210259,135600,0.0,1.0
RL,2000-01-13 00:00:00+00:00,16.44,16.44,15.31,16.0,909000,13.012473745,13.012473745,12.1180640533,12.6642080244,909000,0.0,1.0
RL,2000-01-14 00:00:00+00:00,16.31,16.81,16.25,16.63,266300,12.9095770548,13.3053335556,12.8620862747,13.1628612153,266300,0.0,1.0
RL,2000-01-18 00:00:00+00:00,16.0,16.13,15.88,16.13,137200,12.6642080244,12.7671047146,12.5692264642,12.7671047146,137200,0.0,1.0
RL,2000-01-19 00:00:00+00:00,16.25,16.25,15.75,15.75,165200,12.8620862747,12.8620862747,12.466329774,12.466329774,165200,0.0,1.0
RL,2000-01-20 00:00:00+00:00,15.75,16.44,15.75,16.38,301600,12.466329774,13.012473745,12.466329774,12.9649829649,301600,0.0,1.0
RL,2000-01-21 00:00:00+00:00,15.5,15.88,15.5,15.88,285000,12.2684515236,12.5692264642,12.2684515236,12.5692264642,285000,0.0,1.0
RL,2000-01-24 00:00:00+00:00,15.06,15.75,14.94,15.63,268600,11.9201858029,12.466329774,11.8252042427,12.3713482138,268600,0.0,1.0
RL,2000-01-25 00:00:00+00:00,14.75,15.13,14.56,14.94,80200,11.6748167725,11.975591713,11.5244293022,11.8252042427,80200,0.0,1.0
RL,2000-01-26 00:00:00+00:00,15.13,15.5,14.75,14.81,211200,11.975591713,12.2684515236,11.6748167725,11.7223075525,211200,0.0,1.0
RL,2000-01-27 00:00:00+00:00,15.5,15.69,15.13,15.25,170200,12.2684515236,12.4188389939,11.975591713,12.0705732732,170200,0.0,1.0
RL,2000-01-28 00:00:00+00:00,15.38,16.13,15.38,15.88,283000,12.1734699634,12.7671047146,12.1734699634,12.5692264642,283000,0.0,1.0
RL,2000-01-31 00:00:00+00:00,14.88,15.5,14.75,15.25,131800,11.7777134626,12.2684515236,11.6748167725,12.0705732732,131800,0.0,1.0
