symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
RMD,2000-01-03 00:00:00+00:00,40.88,42.25,40.5,42.25,96300,4.3575356668,4.5035685401,4.3170301982,4.5035685401,770400,0.0,1.0
RMD,2000-01-04 00:00:00+00:00,40.69,41.0,40.38,40.5,77600,4.3372829325,4.3703268673,4.3042389976,4.3170301982,620800,0.0,1.0
RMD,2000-01-05 00:00:00+00:00,40.69,40.88,39.94,40.62,105700,4.3372829325,4.3575356668,4.2573379288,4.3298213988,845600,0.0,1.0
RMD,2000-01-06 00:00:00+00:00,40.75,41.0,40.5,40.69,33200,4.3436785328,4.3703268673,4.3170301982,4.3372829325,265600,0.0,1.0
RMD,2000-01-07 00:00:00+00:00,40.88,41.19,40.75,40.88,126600,4.3575356668,4.3905796016,4.3436785328,4.3575356668,1012800,0.0,1.0
RMD,2000-01-10 00:00:00+00:00,41.38,41.38,40.5,41.12,121700,4.4108323359,4.4108323359,4.3170301982,4.3831180679,973600,0.0,1.0
RMD,2000-01-11 00:00:00+00:00,41.62,43.0,41.38,42.25,37600,4.436414737,4.5835135438,4.4108323359,4.5035685401,300800,0.0,1.0
RMD,2000-01-12 00:00:00+00:00,40.88,41.75,40.5,41.75,52400,4.3575356668,4.450271871,4.3170301982,4.450271871,419200,0.0,1.0
RMD,2000-01-13 00:00:00+00:00,43.38,43.5,40.88,40.88,133200,4.6240190123,4.6368102129,4.3575356668,4.3575356668,1065600,0.0,1.0
RMD,2000-01-14 00:00:00+00:00,42.44,44.0,42.38,43.0,124900,4.5238212744,4.690106882,4.5174256741,4.5835135438,999200,0.0,1.0
RMD,2000-01-18 00:00:00+00:00,44.88,44.88,43.0,43.0,112900,4.7839090197,4.7839090197,4.5835135438,4.5835135438,903200,0.0,1.0
RMD,2000-01-19 00:00:00+00:00,45.88,45.94,45.0,45.0,124600,4.8905023579,4.8968979582,4.7967002203,4.7967002203,996800,0.0,1.0
RMD,2000-01-20 00:00:00+00:00,48.38,48.38,46.38,46.62,70400,5.1569857035,5.1569857035,4.943799027,4.9693814282,563200,0.0,1.0
RMD,2000-01-21 00:00:00+00:00,54.5,55.12,49.0,49.0,188000,5.8093369334,5.8754248031,5.2230735732,5.2230735732,1504000,0.0,1.0
RMD,2000-01-24 00:00:00+00:00,54.88,57.0,54.25,54.5,125400,5.8498424019,6.075820279,5.7826885989,5.8093369334,1003200,0.0,1.0
RMD,2000-01-25 00:00:00+00:00,49.94,55.0,49.38,55.0,252500,5.3232713111,5.8626336025,5.2635790417,5.8626336025,2020000,0.0,1.0
RMD,2000-01-26 00:00:00+00:00,47.88,50.06,46.62,50.06,156500,5.1036890343,5.3360625117,4.9693814282,5.3360625117,1252000,0.0,1.0
RMD,2000-01-27 00:00:00+00:00,44.75,47.88,44.0,47.88,106100,4.7700518857,5.1036890343,4.690106882,5.1036890343,848800,0.0,1.0
RMD,2000-01-28 00:00:00+00:00,44.0,46.44,43.25,44.75,272900,4.690106882,4.9501946273,4.6101618784,4.7700518857,2183200,0.0,1.0
RMD,2000-01-31 00:00:00+00:00,43.0,44.0,42.12,44.0,120600,4.5835135438,4.690106882,4.4897114062,4.690106882,964800,0.0,1.0
RMD,2000-02-01 00:00:00+00:00,44.38,44.5,42.5,42.75,133600,4.7306123506,4.7434035511,4.5302168747,4.5568652092,1068800,0.0,1.0
RMD,2000-02-02 00:00:00+00:00,42.75,45.62,42.5,44.31,39000,4.5568652092,4.86278809,4.5302168747,4.7231508169,312000,0.0,1.0
RMD,2000-02-03 00:00:00+00:00,51.06,52.0,48.0,49.88,311800,5.4426558499,5.5428535878,5.1164802349,5.3168757108,2494400,0.0,1.0
RMD,2000-02-04 00:00:00+00:00,54.56,55.75,51.88,52.0,282300,5.8157325337,5.9425786062,5.5300623873,5.5428535878,2258400,0.0,1.0
RMD,2000-02-07 00:00:00+00:00,55.5,59.75,54.62,54.62,162900,5.9159302716,6.3689519591,5.822128134,5.822128134,1303200,0.0,1.0
RMD,2000-02-08 00:00:00+00:00,56.0,56.75,53.75,55.5,127300,5.9692269408,6.0491719444,5.7293919297,5.9159302716,1018400,0.0,1.0
RMD,2000-02-09 00:00:00+00:00,58.56,59.75,57.0,57.0,206500,6.2421058866,6.3689519591,6.075820279,6.075820279,1652000,0.0,1.0
RMD,2000-02-10 00:00:00+00:00,61.0,61.0,58.56,58.56,102900,6.5021936319,6.5021936319,6.2421058866,6.2421058866,823200,0.0,1.0
RMD,2000-02-11 00:00:00+00:00,57.5,61.0,56.75,61.0,55800,6.1291169481,6.5021936319,6.0491719444,6.5021936319,446400,0.0,1.0
RMD,2000-02-14 00:00:00+00:00,57.69,58.0,57.5,57.5,49400,6.1493696824,6.1824136172,6.1291169481,6.1291169481,395200,0.0,1.0
RMD,2000-02-15 00:00:00+00:00,56.62,57.88,56.56,57.88,67000,6.0353148105,6.1696224166,6.0289192102,6.1696224166,536000,0.0,1.0
RMD,2000-02-16 00:00:00+00:00,56.56,57.12,56.0,56.88,29400,6.0289192102,6.0886114796,5.9692269408,6.0630290784,235200,0.0,1.0
RMD,2000-02-17 00:00:00+00:00,56.88,57.38,56.5,57.12,107500,6.0630290784,6.1163257475,6.0225236099,6.0886114796,860000,0.0,1.0
RMD,2000-02-18 00:00:00+00:00,57.25,57.56,56.75,56.88,84700,6.1024686135,6.1355125484,6.0491719444,6.0630290784,677600,0.0,1.0
RMD,2000-02-22 00:00:00+00:00,59.38,59.56,57.12,57.88,93400,6.329512424,6.3486992249,6.0886114796,6.1696224166,747200,0.0,1.0
RMD,2000-02-23 00:00:00+00:00,59.69,60.0,58.12,59.12,191900,6.3625563588,6.3956002937,6.1952048178,6.301798156,1535200,0.0,1.0
RMD,2000-02-24 00:00:00+00:00,68.62,70.0,60.38,60.38,213600,7.3144348692,7.461533676,6.4361057622,6.4361057622,1708800,0.0,1.0
RMD,2000-02-25 00:00:00+00:00,68.12,73.0,66.38,69.0,317200,7.2611382001,7.7813136906,7.0756657916,7.3549403377,2537600,0.0,1.0
RMD,2000-02-28 00:00:00+00:00,74.0,74.19,70.75,71.75,129900,7.8879070289,7.9081597631,7.5414786796,7.6480720178,1039200,0.0,1.0
RMD,2000-02-29 00:00:00+00:00,74.62,76.75,73.81,76.75,274200,7.9539948986,8.181038709,7.8676542946,8.181038709,2193600,0.0,1.0
RMD,2000-03-01 00:00:00+00:00,79.06,79.25,76.0,77.0,214500,8.4272693203,8.4475220546,8.1010937053,8.2076870435,1716000,0.0,1.0
RMD,2000-03-02 00:00:00+00:00,78.5,80.38,77.31,80.12,137500,8.3675770509,8.5679725268,8.2407309784,8.5402582588,1100000,0.0,1.0
RMD,2000-03-03 00:00:00+00:00,77.62,78.75,77.5,77.75,87100,8.2737749132,8.3942253854,8.2609837127,8.2876320472,696800,0.0,1.0
RMD,2000-03-06 00:00:00+00:00,78.94,78.94,77.0,77.62,88400,8.4144781197,8.4144781197,8.2076870435,8.2737749132,707200,0.0,1.0
RMD,2000-03-07 00:00:00+00:00,77.19,79.5,76.5,79.0,96000,8.2279397778,8.4741703891,8.1543903744,8.42087372,768000,0.0,1.0
RMD,2000-03-08 00:00:00+00:00,77.12,77.12,73.06,76.12,143000,8.2204782441,8.2204782441,7.7877092909,8.1138849059,1144000,0.0,1.0
RMD,2000-03-09 00:00:00+00:00,79.0,79.38,78.0,78.0,77900,8.42087372,8.4613791885,8.3142803818,8.3142803818,623200,0.0,1.0
RMD,2000-03-10 00:00:00+00:00,75.25,79.0,75.0,79.0,73300,8.0211487016,8.42087372,7.9945003671,8.42087372,586400,0.0,1.0
RMD,2000-03-13 00:00:00+00:00,72.75,74.88,72.19,74.25,80500,7.7546653561,7.9817091665,7.6949730867,7.9145553634,644000,0.0,1.0
RMD,2000-03-14 00:00:00+00:00,60.0,70.88,58.0,70.88,317800,6.3956002937,7.5553358136,6.1824136172,7.5553358136,2542400,0.0,1.0
RMD,2000-03-15 00:00:00+00:00,66.5,67.5,59.75,60.0,200800,7.0884569922,7.1950503304,6.3689519591,6.3956002937,1606400,0.0,1.0
