symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ROP,2000-01-03 00:00:00+00:00,35.56,37.94,35.38,37.81,44000,15.32546426,16.3511843089,15.2478887942,16.2951575836,88000,0.0,1.0
ROP,2000-01-04 00:00:00+00:00,33.94,35.38,33.5,35.0,76600,14.6272850671,15.2478887942,14.4376561505,15.0841183662,153200,0.0,1.0
ROP,2000-01-05 00:00:00+00:00,33.44,33.94,32.69,33.94,131100,14.4117976619,14.6272850671,14.088566554,14.6272850671,262200,0.0,1.0
ROP,2000-01-06 00:00:00+00:00,33.5,33.69,33.13,33.5,105900,14.4376561505,14.5195413645,14.2781954706,14.4376561505,211800,0.0,1.0
ROP,2000-01-07 00:00:00+00:00,34.0,34.0,33.25,33.38,90800,14.6531435557,14.6531435557,14.3299124479,14.3859391732,181600,0.0,1.0
ROP,2000-01-10 00:00:00+00:00,34.31,34.38,33.75,34.25,53500,14.786745747,14.8169139837,14.5453998531,14.7608872583,107000,0.0,1.0
ROP,2000-01-11 00:00:00+00:00,33.88,34.25,33.56,34.25,39500,14.6014265785,14.7608872583,14.4635146391,14.7608872583,79000,0.0,1.0
ROP,2000-01-12 00:00:00+00:00,34.06,34.06,33.38,34.0,50800,14.7091702811,14.7091702811,14.4155051081,14.6832586482,101600,0.07,1.0
ROP,2000-01-13 00:00:00+00:00,33.75,34.06,33.5,34.06,53700,14.5752935111,14.7091702811,14.4673283739,14.7091702811,107400,0.0,1.0
ROP,2000-01-14 00:00:00+00:00,33.69,33.94,33.5,33.75,55700,14.5493818782,14.6573470153,14.4673283739,14.5752935111,111400,0.0,1.0
ROP,2000-01-18 00:00:00+00:00,33.44,34.0,33.44,33.81,36600,14.441416741,14.6832586482,14.441416741,14.601205144,73200,0.0,1.0
ROP,2000-01-19 00:00:00+00:00,33.44,33.63,33.31,33.44,25900,14.441416741,14.5234702452,14.3852748697,14.441416741,51800,0.0,1.0
ROP,2000-01-20 00:00:00+00:00,34.56,34.56,33.13,33.31,50500,14.9251005553,14.9251005553,14.307539971,14.3852748697,101000,0.0,1.0
ROP,2000-01-21 00:00:00+00:00,36.5,36.56,34.56,34.56,98700,15.7629100194,15.7888216523,14.9251005553,14.9251005553,197400,0.0,1.0
ROP,2000-01-24 00:00:00+00:00,36.19,37.25,36.06,36.5,150800,15.6290332493,16.0868054307,15.572891378,15.7629100194,301600,0.0,1.0
ROP,2000-01-25 00:00:00+00:00,34.81,36.25,34.75,36.0,157600,15.0330656924,15.6549448822,15.0071540595,15.5469797451,315200,0.0,1.0
ROP,2000-01-26 00:00:00+00:00,35.75,36.44,34.94,34.94,59300,15.439014608,15.7369983865,15.0892075637,15.0892075637,118600,0.0,1.0
ROP,2000-01-27 00:00:00+00:00,34.56,35.56,34.56,35.5,66800,14.9251005553,15.3569611038,14.9251005553,15.3310494709,133600,0.0,1.0
ROP,2000-01-28 00:00:00+00:00,34.63,35.0,33.75,34.44,43200,14.9553307937,15.1151191967,14.5752935111,14.8732772895,86400,0.0,1.0
ROP,2000-01-31 00:00:00+00:00,33.56,34.44,32.75,34.44,59100,14.4932400068,14.8732772895,14.1434329626,14.8732772895,118200,0.0,1.0
ROP,2000-02-01 00:00:00+00:00,33.44,33.56,32.81,33.56,95900,14.441416741,14.4932400068,14.1693445955,14.4932400068,191800,0.0,1.0
ROP,2000-02-02 00:00:00+00:00,34.12,34.12,33.38,33.62,33900,14.735081914,14.735081914,14.4155051081,14.5191516398,67800,0.0,1.0
