symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ROST,2000-01-03 00:00:00+00:00,17.31,18.19,17.31,18.09,508400,1.6790651468,1.7644249,1.6790651468,1.7547249281,4067200,0.0,1.0
ROST,2000-01-04 00:00:00+00:00,16.63,17.31,16.56,17.25,876500,1.6131053374,1.6790651468,1.606315357,1.6732451636,7012000,0.0,1.0
ROST,2000-01-05 00:00:00+00:00,17.0,17.06,16.56,16.69,873800,1.6489952337,1.6548152169,1.606315357,1.6189253206,6990400,0.0,1.0
ROST,2000-01-06 00:00:00+00:00,15.19,17.0,14.81,16.81,3018300,1.4734257412,1.6489952337,1.4365658477,1.630565287,24146400,0.0,1.0
ROST,2000-01-07 00:00:00+00:00,15.0,15.13,14.63,15.06,1807000,1.4549957944,1.467605758,1.4191058982,1.4608157776,14456000,0.0,1.0
ROST,2000-01-10 00:00:00+00:00,15.25,15.5,14.94,15.0,1521000,1.4792457243,1.5034956542,1.4491758112,1.4549957944,12168000,0.0,1.0
ROST,2000-01-11 00:00:00+00:00,14.56,15.25,14.5,15.13,1606600,1.4123159178,1.4792457243,1.4064959346,1.467605758,12852800,0.0,1.0
ROST,2000-01-12 00:00:00+00:00,13.59,14.56,13.25,14.56,2419300,1.3182261897,1.4123159178,1.2852462851,1.4123159178,19354400,0.0,1.0
ROST,2000-01-13 00:00:00+00:00,13.06,13.75,12.88,13.53,2901200,1.2668163383,1.3337461449,1.2493563888,1.3124062066,23209600,0.0,1.0
ROST,2000-01-14 00:00:00+00:00,13.63,13.63,13.25,13.25,1906600,1.3221061785,1.3221061785,1.2852462851,1.2852462851,15252800,0.0,1.0
ROST,2000-01-18 00:00:00+00:00,12.81,13.69,12.75,13.56,2438900,1.2425664084,1.3279261617,1.2367464253,1.3153161982,19511200,0.0,1.0
ROST,2000-01-19 00:00:00+00:00,12.25,12.88,12.0,12.84,2940000,1.1882465654,1.2493563888,1.1639966355,1.2454764,23520000,0.0,1.0
ROST,2000-01-20 00:00:00+00:00,13.03,13.25,12.25,12.25,2399000,1.2639063468,1.2852462851,1.1882465654,1.1882465654,19192000,0.0,1.0
ROST,2000-01-21 00:00:00+00:00,13.44,13.63,13.13,13.5,2287300,1.3036762318,1.3221061785,1.2736063187,1.309496215,18298400,0.0,1.0
ROST,2000-01-24 00:00:00+00:00,12.56,13.5,12.38,13.41,2400200,1.2183164785,1.309496215,1.200856529,1.3007662402,19201600,0.0,1.0
ROST,2000-01-25 00:00:00+00:00,12.56,12.69,12.0,12.56,2085500,1.2183164785,1.2309264421,1.1639966355,1.2183164785,16684000,0.0,1.0
ROST,2000-01-26 00:00:00+00:00,13.19,13.31,12.25,12.38,1904500,1.2794263019,1.2910662683,1.1882465654,1.200856529,15236000,0.0,1.0
ROST,2000-01-27 00:00:00+00:00,12.94,13.56,12.63,13.41,2116300,1.255176372,1.3153161982,1.2251064589,1.3007662402,16930400,0.0,1.0
ROST,2000-01-28 00:00:00+00:00,12.88,13.13,12.56,12.97,779700,1.2493563888,1.2736063187,1.2183164785,1.2580863636,6237600,0.0,1.0
ROST,2000-01-31 00:00:00+00:00,12.75,13.06,12.25,12.88,941700,1.2367464253,1.2668163383,1.1882465654,1.2493563888,7533600,0.0,1.0
ROST,2000-02-01 00:00:00+00:00,12.69,13.13,12.13,13.06,858000,1.2309264421,1.2736063187,1.1766065991,1.2668163383,6864000,0.0,1.0
ROST,2000-02-02 00:00:00+00:00,12.56,13.0,12.5,12.97,1494700,1.2183164785,1.2609963552,1.2124964954,1.2580863636,11957600,0.0,1.0
ROST,2000-02-03 00:00:00+00:00,15.5,15.69,14.06,14.13,5922700,1.5034956542,1.521925601,1.363816058,1.3706060383,47381600,0.0,1.0
ROST,2000-02-04 00:00:00+00:00,15.0,15.31,14.75,15.25,2174100,1.4549957944,1.4850657075,1.4307458645,1.4792457243,17392800,0.0,1.0
ROST,2000-02-07 00:00:00+00:00,15.0,15.25,14.88,15.13,1735100,1.4549957944,1.4792457243,1.4433558281,1.467605758,13880800,0.0,1.0
ROST,2000-02-08 00:00:00+00:00,15.31,15.38,14.94,15.03,546800,1.4850657075,1.4918556879,1.4491758112,1.457905786,4374400,0.0,1.0
ROST,2000-02-09 00:00:00+00:00,15.13,15.31,15.06,15.31,1615200,1.467605758,1.4850657075,1.4608157776,1.4850657075,12921600,0.0,1.0
ROST,2000-02-10 00:00:00+00:00,14.88,15.25,14.75,15.19,1772000,1.4433558281,1.4792457243,1.4307458645,1.4734257412,14176000,0.0,1.0
ROST,2000-02-11 00:00:00+00:00,14.69,14.88,14.44,14.81,1575700,1.4249258813,1.4433558281,1.4006759514,1.4365658477,12605600,0.0,1.0
ROST,2000-02-14 00:00:00+00:00,14.69,15.13,14.5,14.78,830600,1.4249258813,1.467605758,1.4064959346,1.4336558561,6644800,0.0,1.0
ROST,2000-02-15 00:00:00+00:00,14.13,14.75,14.13,14.63,655400,1.3706060383,1.4307458645,1.3706060383,1.4191058982,5243200,0.0,1.0
ROST,2000-02-16 00:00:00+00:00,13.56,14.25,13.13,14.13,1235900,1.3153161982,1.3822460047,1.2736063187,1.3706060383,9887200,0.0,1.0
ROST,2000-02-17 00:00:00+00:00,12.75,13.63,12.56,13.56,797600,1.2367464253,1.3221061785,1.2183164785,1.3153161982,6380800,0.0,1.0
ROST,2000-02-18 00:00:00+00:00,13.06,13.31,12.88,12.88,1762100,1.2668163383,1.2910662683,1.2493563888,1.2493563888,14096800,0.0,1.0
ROST,2000-02-22 00:00:00+00:00,13.06,13.75,12.88,13.38,799000,1.2668163383,1.3337461449,1.2493563888,1.2978562486,6392000,0.0,1.0
ROST,2000-02-23 00:00:00+00:00,13.25,13.31,13.0,13.19,1143900,1.2852462851,1.2910662683,1.2609963552,1.2794263019,9151200,0.0,1.0
ROST,2000-02-24 00:00:00+00:00,13.13,13.31,12.88,13.13,1330400,1.2736063187,1.2910662683,1.2493563888,1.2736063187,10643200,0.0,1.0
ROST,2000-02-25 00:00:00+00:00,13.69,14.13,13.06,13.13,934100,1.3279261617,1.3706060383,1.2668163383,1.2736063187,7472800,0.0,1.0
ROST,2000-02-28 00:00:00+00:00,15.5,15.94,13.75,13.81,1386200,1.5034956542,1.5461755309,1.3337461449,1.3395661281,11089600,0.0,1.0
ROST,2000-02-29 00:00:00+00:00,14.5,15.5,14.44,15.38,1791900,1.4064959346,1.5034956542,1.4006759514,1.4918556879,14335200,0.0,1.0
ROST,2000-03-01 00:00:00+00:00,14.56,14.63,13.69,14.38,812400,1.4159534073,1.4227608756,1.3313463012,1.3984484888,6499200,0.0375,1.0
ROST,2000-03-02 00:00:00+00:00,17.56,17.69,14.75,15.06,2214500,1.7077020489,1.72034449,1.4344308212,1.4645781809,17716000,0.0,1.0
ROST,2000-03-03 00:00:00+00:00,16.88,17.63,16.88,17.47,1524800,1.6415723568,1.7145095172,1.6415723568,1.6989495896,12198400,0.0,1.0
ROST,2000-03-06 00:00:00+00:00,17.5,17.63,16.88,16.88,716800,1.7018670761,1.7145095172,1.6415723568,1.6415723568,5734400,0.0,1.0
ROST,2000-03-07 00:00:00+00:00,16.94,17.56,16.75,17.53,792800,1.6474073296,1.7077020489,1.6289299156,1.7047845625,6342400,0.0,1.0
ROST,2000-03-08 00:00:00+00:00,16.81,17.25,16.75,16.81,271800,1.6347648885,1.6775546893,1.6289299156,1.6347648885,2174400,0.0,1.0
ROST,2000-03-09 00:00:00+00:00,16.63,17.0,16.31,16.75,1251900,1.61725997,1.6532423025,1.5861401149,1.6289299156,10015200,0.0,1.0
ROST,2000-03-10 00:00:00+00:00,16.44,16.63,16.13,16.63,481400,1.598782556,1.61725997,1.5686351964,1.61725997,3851200,0.0,1.0
ROST,2000-03-13 00:00:00+00:00,16.53,16.63,16.38,16.44,330900,1.6075350153,1.61725997,1.5929475832,1.598782556,2647200,0.0,1.0
ROST,2000-03-14 00:00:00+00:00,17.44,17.5,16.5,16.63,1499500,1.6960321032,1.7018670761,1.6046175288,1.61725997,11996000,0.0,1.0
ROST,2000-03-15 00:00:00+00:00,18.94,19.0,17.31,17.48,2219500,1.841906424,1.8477413969,1.6833896621,1.6999220851,17756000,0.0,1.0
ROST,2000-03-16 00:00:00+00:00,22.06,22.13,18.81,18.88,3810400,2.1453250113,2.1521324796,1.8292639829,1.8360714512,30483200,0.0,1.0
ROST,2000-03-17 00:00:00+00:00,20.5,21.88,20.5,21.25,1395600,1.9936157177,2.1278200928,1.9936157177,2.0665528781,11164800,0.0,1.0
