symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SBUX,2000-01-03 00:00:00+00:00,24.66,24.69,23.25,23.88,3029000,2.4622015695,2.4651969485,2.3214187547,2.3843217145,24232000,0.0,1.0
SBUX,2000-01-04 00:00:00+00:00,23.88,24.88,23.75,24.06,2695600,2.3843217145,2.4841676824,2.3713417387,2.4022939887,21564800,0.0,1.0
SBUX,2000-01-05 00:00:00+00:00,23.94,24.63,23.69,23.94,3525800,2.3903124726,2.4592061905,2.3653509806,2.3903124726,28206400,0.0,1.0
SBUX,2000-01-06 00:00:00+00:00,25.06,25.63,24.0,24.0,3853200,2.5021399567,2.5590521584,2.3963032307,2.3963032307,30825600,0.0,1.0
SBUX,2000-01-07 00:00:00+00:00,24.94,25.0,24.25,24.75,3255600,2.4901584405,2.4961491986,2.4212647226,2.4711877066,26044800,0.0,1.0
SBUX,2000-01-10 00:00:00+00:00,26.0,26.75,25.81,25.88,3628900,2.5959951665,2.6708796425,2.5770244326,2.5840136504,29031200,0.0,1.0
SBUX,2000-01-11 00:00:00+00:00,25.25,26.06,25.19,25.94,2452900,2.5211106906,2.6019859246,2.5151199325,2.5900044085,19623200,0.0,1.0
SBUX,2000-01-12 00:00:00+00:00,25.31,25.75,24.75,25.38,2218200,2.5271014487,2.5710336746,2.4711877066,2.5340906664,17745600,0.0,1.0
SBUX,2000-01-13 00:00:00+00:00,27.13,27.25,25.38,25.38,2694500,2.7088211103,2.7208026265,2.5340906664,2.5340906664,21556000,0.0,1.0
SBUX,2000-01-14 00:00:00+00:00,26.44,27.56,26.31,27.19,2774600,2.6399273924,2.7517548765,2.6269474166,2.7148118684,22196800,0.0,1.0
SBUX,2000-01-18 00:00:00+00:00,26.06,26.63,25.31,26.19,1314200,2.6019859246,2.6588981263,2.5271014487,2.6149659004,10513600,0.0,1.0
SBUX,2000-01-19 00:00:00+00:00,25.5,26.63,25.44,26.06,1975100,2.5460721826,2.6588981263,2.5400814245,2.6019859246,15800800,0.0,1.0
SBUX,2000-01-20 00:00:00+00:00,25.06,25.75,24.56,25.56,2270900,2.5021399567,2.5710336746,2.4522169727,2.5520629406,18167200,0.0,1.0
SBUX,2000-01-21 00:00:00+00:00,24.97,25.38,24.75,25.31,1397000,2.4931538196,2.5340906664,2.4711877066,2.5271014487,11176000,0.0,1.0
SBUX,2000-01-24 00:00:00+00:00,24.56,25.56,24.5,25.0,3892500,2.4522169727,2.5520629406,2.4462262146,2.4961491986,31140000,0.0,1.0
SBUX,2000-01-25 00:00:00+00:00,26.0,27.0,23.81,24.31,5956300,2.5959951665,2.6958411345,2.3773324967,2.4272554807,47650400,0.0,1.0
SBUX,2000-01-26 00:00:00+00:00,29.0,29.38,26.94,26.94,9482900,2.8955330704,2.9334745382,2.6898503764,2.6898503764,75863200,0.0,1.0
SBUX,2000-01-27 00:00:00+00:00,28.88,29.13,28.31,28.88,4689700,2.8835515542,2.9085130462,2.8266393525,2.8835515542,37517600,0.0,1.0
