symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SCHW,2000-01-03 00:00:00+00:00,37.0,39.0,37.0,38.5,5825800,18.5488514089,19.5514920256,18.5488514089,19.3008318715,8738700,0.0,1.0
SCHW,2000-01-04 00:00:00+00:00,36.5,37.38,35.19,37.0,5816867,18.2981912548,18.7393531261,17.6414616508,18.5488514089,8725300,0.0,1.0
SCHW,2000-01-05 00:00:00+00:00,36.31,36.56,34.5,36.44,4469400,18.2029403962,18.3282704733,17.2955506381,18.2681120363,6704100,0.0,1.0
SCHW,2000-01-06 00:00:00+00:00,36.75,38.13,36.31,36.38,5045067,18.4235213319,19.1153433574,18.2029403962,18.2380328178,7567600,0.0,1.0
SCHW,2000-01-07 00:00:00+00:00,38.88,38.88,37.63,38.19,2863067,19.4913335886,19.4913335886,18.8646832032,19.1454225759,4294600,0.0,1.0
SCHW,2000-01-10 00:00:00+00:00,39.0,39.94,38.75,39.81,3854200,19.5514920256,20.0227331155,19.4261619486,19.9575614754,5781300,0.0,1.0
SCHW,2000-01-11 00:00:00+00:00,39.44,39.88,38.94,39.5,2673267,19.7720729613,19.992653897,19.5214128071,19.8021521798,4009900,0.0,1.0
SCHW,2000-01-12 00:00:00+00:00,37.63,39.0,37.56,39.0,2769600,18.8646832032,19.5514920256,18.8295907816,19.5514920256,4154400,0.0,1.0
SCHW,2000-01-13 00:00:00+00:00,40.5,41.0,33.88,34.0,15694800,20.3034724882,20.5541326423,16.9847320469,17.0448904839,23542200,0.0,1.0
SCHW,2000-01-14 00:00:00+00:00,41.0,43.25,40.69,41.94,9360000,20.5541326423,21.6821033361,20.3987233468,21.0253737322,14040000,0.0,1.0
SCHW,2000-01-18 00:00:00+00:00,39.0,40.63,38.81,40.56,4391800,19.5514920256,20.3686441283,19.4562411671,20.3335517067,6587700,0.0,1.0
SCHW,2000-01-19 00:00:00+00:00,40.0,41.0,39.31,39.94,4881067,20.052812334,20.5541326423,19.7069013212,20.0227331155,7321600,0.0,1.0
SCHW,2000-01-20 00:00:00+00:00,39.25,40.25,39.06,40.06,3130000,19.6768221027,20.1781424111,19.5815712442,20.0828915525,4695000,0.0,1.0
SCHW,2000-01-21 00:00:00+00:00,38.5,39.25,37.06,39.25,4846200,19.3008318715,19.6768221027,18.5789306275,19.6768221027,7269300,0.0,1.0
SCHW,2000-01-24 00:00:00+00:00,38.0,38.0,36.56,37.88,2268800,19.0501717173,19.0501717173,18.3282704733,18.9900132803,3403200,0.0,1.0
SCHW,2000-01-25 00:00:00+00:00,36.81,37.63,36.25,36.94,2625467,18.4536005504,18.8646832032,18.1728611777,18.5187721904,3938200,0.0,1.0
SCHW,2000-01-26 00:00:00+00:00,38.13,38.38,35.88,36.69,3755400,19.1153433574,19.2406734345,17.9873726636,18.3934421134,5633100,0.0,1.0
SCHW,2000-01-27 00:00:00+00:00,37.31,38.44,36.38,38.06,2872067,18.7042607045,19.270752653,18.2380328178,19.0802509358,4308100,0.0,1.0
SCHW,2000-01-28 00:00:00+00:00,38.0,38.0,35.06,37.06,2569067,19.0501717173,19.0501717173,17.5762900108,18.5789306275,3853600,0.0,1.0
SCHW,2000-01-31 00:00:00+00:00,35.88,36.13,35.0,35.25,3139000,17.9873726636,18.1127027407,17.5462107922,17.6715408693,4708500,0.0,1.0
SCHW,2000-02-01 00:00:00+00:00,35.63,37.0,34.81,36.44,2887400,17.8620425865,18.5488514089,17.4509599337,18.2681120363,4331100,0.0,1.0
SCHW,2000-02-02 00:00:00+00:00,35.75,36.13,33.69,35.5,5412267,17.9222010235,18.1127027407,16.8894811883,17.7968709464,8118400,0.0,1.0
SCHW,2000-02-03 00:00:00+00:00,35.63,36.13,34.5,36.0,3189000,17.8620425865,18.1127027407,17.2955506381,18.0475311006,4783500,0.0,1.0
SCHW,2000-02-04 00:00:00+00:00,37.94,38.13,35.69,35.69,7636200,19.0200924988,19.1153433574,17.892121805,17.892121805,11454300,0.0,1.0
SCHW,2000-02-07 00:00:00+00:00,40.5,40.75,37.63,38.44,4644267,20.3034724882,20.4288025653,18.8646832032,19.270752653,6966400,0.0,1.0
SCHW,2000-02-08 00:00:00+00:00,39.5,40.0,39.0,40.0,4645267,19.8091706641,20.0599196599,19.5584216684,20.0599196599,6967900,0.014,1.0
SCHW,2000-02-09 00:00:00+00:00,37.75,39.31,37.56,39.25,2511200,18.931549179,19.7138860458,18.8362645606,19.6837961663,3766800,0.0,1.0
SCHW,2000-02-10 00:00:00+00:00,38.5,38.88,38.0,38.63,3035467,19.3076726726,19.4982419094,19.0569236769,19.3728674115,4553200,0.0,1.0
SCHW,2000-02-11 00:00:00+00:00,39.0,39.88,38.5,38.88,3486000,19.5584216684,19.9997399009,19.3076726726,19.4982419094,5229000,0.0,1.0
SCHW,2000-02-14 00:00:00+00:00,38.19,39.94,37.63,39.94,2648467,19.1522082953,20.0298297804,18.87136942,20.0298297804,3972700,0.0,1.0
SCHW,2000-02-15 00:00:00+00:00,38.44,38.44,37.06,37.69,2308600,19.2775827932,19.2775827932,18.5855155649,18.9014592995,3462900,0.0,1.0
SCHW,2000-02-16 00:00:00+00:00,38.0,39.25,38.0,38.5,2157467,19.0569236769,19.6837961663,19.0569236769,19.3076726726,3236200,0.0,1.0
SCHW,2000-02-17 00:00:00+00:00,39.44,39.75,38.44,38.5,3784200,19.7790807847,19.934545162,19.2775827932,19.3076726726,5676300,0.0,1.0
SCHW,2000-02-18 00:00:00+00:00,38.25,39.44,38.0,39.44,2485800,19.1822981748,19.7790807847,19.0569236769,19.7790807847,3728700,0.0,1.0
SCHW,2000-02-22 00:00:00+00:00,37.5,38.5,36.06,38.25,3040067,18.8061746811,19.3076726726,18.0840175734,19.1822981748,4560100,0.0,1.0
SCHW,2000-02-23 00:00:00+00:00,39.56,40.06,37.06,37.69,4387200,19.8392605436,20.0900095394,18.5855155649,18.9014592995,6580800,0.0,1.0
SCHW,2000-02-24 00:00:00+00:00,37.94,39.38,37.69,39.38,4222400,19.0268337974,19.7489909052,18.9014592995,19.7489909052,6333600,0.0,1.0
SCHW,2000-02-25 00:00:00+00:00,38.0,38.31,36.56,38.31,2544467,19.0569236769,19.2123880543,18.3347665691,19.2123880543,3816700,0.0,1.0
SCHW,2000-02-28 00:00:00+00:00,37.31,38.69,37.31,38.5,4883600,18.7108900628,19.402957291,18.7108900628,19.3076726726,7325400,0.0,1.0
SCHW,2000-02-29 00:00:00+00:00,42.0,42.19,39.0,40.0,10078267,21.0629156429,21.1582002613,19.5584216684,20.0599196599,15117400,0.0,1.0
SCHW,2000-03-01 00:00:00+00:00,46.5,46.5,42.31,43.13,9346667,23.3196566046,23.3196566046,21.2183800202,21.6296083733,14020000,0.0,1.0
SCHW,2000-03-02 00:00:00+00:00,45.13,46.44,43.69,46.38,4773800,22.6326043563,23.2895667251,21.9104472485,23.2594768456,7160700,0.0,1.0
SCHW,2000-03-03 00:00:00+00:00,48.0,48.0,45.25,45.5,5188400,24.0719035919,24.0719035919,22.6927841153,22.8181586131,7782600,0.0,1.0
