symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SEE,2000-01-03 00:00:00+00:00,52.19,52.38,51.13,51.38,493800,19.2403966522,19.310442166,18.8496164175,18.9417815672,987600,0.0,1.0
SEE,2000-01-04 00:00:00+00:00,54.19,55.13,51.63,51.63,852300,19.9777178499,20.3242588128,19.0339467169,19.0339467169,1704600,0.0,1.0
SEE,2000-01-05 00:00:00+00:00,54.31,54.5,53.25,54.25,516900,20.0219571217,20.0920026355,19.631176887,19.9998374858,1033800,0.0,1.0
SEE,2000-01-06 00:00:00+00:00,55.63,55.88,54.25,54.38,462900,20.5085891122,20.6007542619,19.9998374858,20.0477633637,925800,0.0,1.0
SEE,2000-01-07 00:00:00+00:00,57.63,57.75,56.38,56.5,598700,21.2459103098,21.2901495817,20.7850845613,20.8293238331,1197400,0.0,1.0
SEE,2000-01-10 00:00:00+00:00,59.31,59.75,57.84,58.25,879700,21.8652601158,22.0274707793,21.3233290356,21.4744798811,1759400,0.0,1.0
SEE,2000-01-11 00:00:00+00:00,58.56,59.25,58.44,59.13,470200,21.5887646667,21.8431404799,21.5445253948,21.798901208,940400,0.0,1.0
SEE,2000-01-12 00:00:00+00:00,59.75,60.38,58.38,58.75,615700,22.0274707793,22.2597269566,21.5224057589,21.6588101805,1231400,0.0,1.0
SEE,2000-01-13 00:00:00+00:00,60.75,61.88,59.69,59.81,1947800,22.3961313781,22.8127178548,22.0053511434,22.0495904152,3895600,0.0,1.0
SEE,2000-01-14 00:00:00+00:00,60.19,61.13,58.94,61.0,1009500,22.1896814428,22.5362224057,21.7288556943,22.4882965278,2019000,0.0,1.0
SEE,2000-01-18 00:00:00+00:00,59.19,60.19,58.25,60.19,391800,21.821020844,22.1896814428,21.4744798811,22.1896814428,783600,0.0,1.0
SEE,2000-01-19 00:00:00+00:00,57.63,58.75,56.88,58.5,489800,21.2459103098,21.6588101805,20.9694148607,21.5666450308,979600,0.0,1.0
SEE,2000-01-20 00:00:00+00:00,55.44,57.5,54.5,57.38,679300,20.4385435984,21.197984432,20.0920026355,21.1537451601,1358600,0.0,1.0
SEE,2000-01-21 00:00:00+00:00,54.94,56.75,54.81,56.5,459200,20.254213299,20.9214889828,20.2062874211,20.8293238331,918400,0.0,1.0
SEE,2000-01-24 00:00:00+00:00,54.0,55.5,53.5,55.0,600500,19.9076723361,20.4606632343,19.7233420367,20.2763329349,1201000,0.0,1.0
SEE,2000-01-25 00:00:00+00:00,53.31,54.75,53.0,54.0,234500,19.6532965229,20.1841677852,19.5390117373,19.9076723361,469000,0.0,1.0
SEE,2000-01-26 00:00:00+00:00,56.06,57.0,54.75,55.0,709400,20.6671131697,21.0136541326,20.1841677852,20.2763329349,1418800,0.0,1.0
SEE,2000-01-27 00:00:00+00:00,57.25,57.94,55.88,55.88,457800,21.1058192823,21.3601950954,20.6007542619,20.6007542619,915600,0.0,1.0
SEE,2000-01-28 00:00:00+00:00,57.31,58.75,55.88,57.25,469600,21.1279389182,21.6588101805,20.6007542619,21.1058192823,939200,0.0,1.0
SEE,2000-01-31 00:00:00+00:00,56.13,57.06,54.25,57.06,461500,20.6929194116,21.0357737685,19.9998374858,21.0357737685,923000,0.0,1.0
SEE,2000-02-01 00:00:00+00:00,55.13,56.13,54.75,55.88,272100,20.3242588128,20.6929194116,20.1841677852,20.6007542619,544200,0.0,1.0
SEE,2000-02-02 00:00:00+00:00,54.38,56.0,54.19,55.38,302100,20.0477633637,20.6449935337,19.9777178499,20.4164239625,604200,0.0,1.0
SEE,2000-02-03 00:00:00+00:00,53.44,55.13,53.0,54.63,405400,19.7012224008,20.3242588128,19.5390117373,20.1399285134,810800,0.0,1.0
SEE,2000-02-04 00:00:00+00:00,52.5,53.94,52.0,53.69,430000,19.3546814379,19.8855527002,19.1703511385,19.7933875505,860000,0.0,1.0
SEE,2000-02-07 00:00:00+00:00,51.0,52.25,50.5,52.25,385200,18.8016905397,19.2625162882,18.6173602402,19.2625162882,770400,0.0,1.0
