symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SHW,2000-01-03 00:00:00+00:00,20.13,20.81,20.13,20.75,574100,4.6308678489,4.7873005433,4.6308678489,4.7734976585,1722300,0.0,1.0
SHW,2000-01-04 00:00:00+00:00,19.38,20.06,18.88,20.0,646800,4.458331789,4.6147644833,4.343307749,4.6009615985,1940400,0.0,1.0
SHW,2000-01-05 00:00:00+00:00,19.56,19.81,19.38,19.44,622800,4.4997404434,4.5572524633,4.458331789,4.4721346738,1868400,0.0,1.0
SHW,2000-01-06 00:00:00+00:00,19.75,20.25,19.56,20.06,583600,4.5434495785,4.6584736185,4.4997404434,4.6147644833,1750800,0.0,1.0
SHW,2000-01-07 00:00:00+00:00,19.5,20.06,19.13,19.63,949500,4.4859375586,4.6147644833,4.400819769,4.515843809,2848500,0.0,1.0
SHW,2000-01-10 00:00:00+00:00,19.06,20.0,19.06,19.5,1067900,4.3847164034,4.6009615985,4.3847164034,4.4859375586,3203700,0.0,1.0
SHW,2000-01-11 00:00:00+00:00,19.31,19.69,19.25,19.38,1181500,4.4422284234,4.5296466938,4.4284255386,4.458331789,3544500,0.0,1.0
SHW,2000-01-12 00:00:00+00:00,19.31,19.75,19.25,19.38,709000,4.4422284234,4.5434495785,4.4284255386,4.458331789,2127000,0.0,1.0
SHW,2000-01-13 00:00:00+00:00,19.13,19.38,19.0,19.31,813500,4.400819769,4.458331789,4.3709135186,4.4422284234,2440500,0.0,1.0
SHW,2000-01-14 00:00:00+00:00,18.88,19.38,18.75,19.31,937800,4.343307749,4.458331789,4.3134014986,4.4422284234,2813400,0.0,1.0
SHW,2000-01-18 00:00:00+00:00,18.56,18.88,18.25,18.63,691400,4.2696923634,4.343307749,4.1983774587,4.285795729,2074200,0.0,1.0
SHW,2000-01-19 00:00:00+00:00,18.38,18.69,18.31,18.56,642000,4.228283709,4.2995986138,4.2121803435,4.2696923634,1926000,0.0,1.0
SHW,2000-01-20 00:00:00+00:00,17.63,18.38,17.38,18.38,858700,4.0557476491,4.228283709,3.9982356291,4.228283709,2576100,0.0,1.0
SHW,2000-01-21 00:00:00+00:00,17.88,18.25,17.69,18.0,1121300,4.1132596691,4.1983774587,4.0695505339,4.1408654387,3363900,0.0,1.0
SHW,2000-01-24 00:00:00+00:00,17.94,18.31,17.66,17.88,651600,4.1270625539,4.2121803435,4.0626490915,4.1132596691,1954800,0.0,1.0
SHW,2000-01-25 00:00:00+00:00,18.0,18.44,17.63,17.88,835000,4.1408654387,4.2420865938,4.0557476491,4.1132596691,2505000,0.0,1.0
SHW,2000-01-26 00:00:00+00:00,17.81,18.38,17.75,18.0,526000,4.0971563035,4.228283709,4.0833534187,4.1408654387,1578000,0.0,1.0
SHW,2000-01-27 00:00:00+00:00,17.94,18.19,17.69,17.81,501700,4.1270625539,4.1845745739,4.0695505339,4.0971563035,1505100,0.0,1.0
SHW,2000-01-28 00:00:00+00:00,17.44,17.94,17.44,17.88,476100,4.0120385139,4.1270625539,4.0120385139,4.1132596691,1428300,0.0,1.0
SHW,2000-01-31 00:00:00+00:00,17.63,18.13,17.38,17.44,668900,4.0557476491,4.1707716891,3.9982356291,4.0120385139,2006700,0.0,1.0
SHW,2000-02-01 00:00:00+00:00,18.44,18.5,17.5,17.5,746000,4.2420865938,4.2558894786,4.0258413987,4.0258413987,2238000,0.0,1.0
SHW,2000-02-02 00:00:00+00:00,17.5,18.38,17.44,18.25,1205500,4.0258413987,4.228283709,4.0120385139,4.1983774587,3616500,0.0,1.0
SHW,2000-02-03 00:00:00+00:00,19.63,19.69,17.13,17.63,2110800,4.515843809,4.5296466938,3.9407236091,4.0557476491,6332400,0.0,1.0
SHW,2000-02-04 00:00:00+00:00,20.13,20.69,20.13,20.13,1715100,4.6308678489,4.7596947737,4.6308678489,4.6308678489,5145300,0.0,1.0
SHW,2000-02-07 00:00:00+00:00,20.19,20.19,20.0,20.19,577100,4.6446707337,4.6446707337,4.6009615985,4.6446707337,1731300,0.0,1.0
SHW,2000-02-08 00:00:00+00:00,19.38,20.0,19.13,20.0,710700,4.458331789,4.6009615985,4.400819769,4.6009615985,2132100,0.0,1.0
SHW,2000-02-09 00:00:00+00:00,19.19,19.44,18.75,19.38,763500,4.4146226538,4.4721346738,4.3134014986,4.458331789,2290500,0.0,1.0
SHW,2000-02-10 00:00:00+00:00,19.38,19.69,19.13,19.19,450400,4.458331789,4.5296466938,4.400819769,4.4146226538,1351200,0.0,1.0
SHW,2000-02-11 00:00:00+00:00,18.69,19.44,18.56,19.38,492800,4.2995986138,4.4721346738,4.2696923634,4.458331789,1478400,0.0,1.0
SHW,2000-02-14 00:00:00+00:00,18.94,19.13,18.56,19.0,735400,4.3571106338,4.400819769,4.2696923634,4.3709135186,2206200,0.0,1.0
SHW,2000-02-15 00:00:00+00:00,20.0,20.0,18.94,19.0,1031700,4.6009615985,4.6009615985,4.3571106338,4.3709135186,3095100,0.0,1.0
SHW,2000-02-16 00:00:00+00:00,19.63,20.0,19.38,20.0,464200,4.515843809,4.6009615985,4.458331789,4.6009615985,1392600,0.0,1.0
SHW,2000-02-17 00:00:00+00:00,20.25,20.38,19.56,19.63,618800,4.6584736185,4.6883798689,4.4997404434,4.515843809,1856400,0.0,1.0
SHW,2000-02-18 00:00:00+00:00,19.81,20.19,19.56,20.06,723800,4.5572524633,4.6446707337,4.4997404434,4.6147644833,2171400,0.0,1.0
SHW,2000-02-22 00:00:00+00:00,19.88,20.0,19.69,19.94,542000,4.5733558289,4.6009615985,4.5296466938,4.5871587137,1626000,0.0,1.0
SHW,2000-02-23 00:00:00+00:00,20.0,20.13,19.38,20.13,888100,4.6009615985,4.6308678489,4.458331789,4.6308678489,2664300,0.0,1.0
