symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SO,2000-01-03 00:00:00+00:00,22.75,23.31,22.75,23.06,3706300,3.1907950716,3.2693377196,3.1907950716,3.2342740375,5559447,0.0,1.0
SO,2000-01-04 00:00:00+00:00,23.0,23.13,22.63,22.63,2302300,3.2258587538,3.2440918684,3.1739645042,3.1739645042,3453448,0.0,1.0
SO,2000-01-05 00:00:00+00:00,24.31,24.38,23.13,23.13,3067600,3.409592448,3.419410279,3.2440918684,3.2440918684,4601397,0.0,1.0
SO,2000-01-06 00:00:00+00:00,24.25,24.69,24.19,24.44,2570600,3.4011771643,3.4628892448,3.3927618806,3.4278255627,3855898,0.0,1.0
SO,2000-01-07 00:00:00+00:00,24.69,24.81,24.44,24.56,2744300,3.4628892448,3.4797198122,3.4278255627,3.4446561301,4116447,0.0,1.0
SO,2000-01-10 00:00:00+00:00,24.5,24.81,24.38,24.56,1778100,3.4362408464,3.4797198122,3.419410279,3.4446561301,2667148,0.0,1.0
SO,2000-01-11 00:00:00+00:00,24.31,24.56,24.25,24.38,1359300,3.409592448,3.4446561301,3.4011771643,3.419410279,2038948,0.0,1.0
SO,2000-01-12 00:00:00+00:00,24.75,24.94,24.25,24.25,2019800,3.4713045285,3.4979529269,3.4011771643,3.4011771643,3029698,0.0,1.0
SO,2000-01-13 00:00:00+00:00,24.44,24.75,24.31,24.69,2112100,3.4278255627,3.4713045285,3.409592448,3.4628892448,3168148,0.0,1.0
SO,2000-01-14 00:00:00+00:00,24.13,24.5,23.94,24.38,1676000,3.3843465969,3.4362408464,3.3576981985,3.419410279,2513998,0.0,1.0
SO,2000-01-18 00:00:00+00:00,23.38,23.81,23.38,23.69,1491800,3.2791555506,3.3394650838,3.2791555506,3.3226345164,2237698,0.0,1.0
SO,2000-01-19 00:00:00+00:00,23.94,24.13,23.31,23.31,1401200,3.3576981985,3.3843465969,3.2693377196,3.2693377196,2101798,0.0,1.0
SO,2000-01-20 00:00:00+00:00,23.81,23.94,23.5,23.63,1964300,3.3394650838,3.3576981985,3.295986118,3.3142192327,2946448,0.0,1.0
SO,2000-01-21 00:00:00+00:00,24.5,24.75,23.94,24.13,2524700,3.4362408464,3.4713045285,3.3576981985,3.3843465969,3787048,0.0,1.0
SO,2000-01-24 00:00:00+00:00,25.13,25.25,24.63,24.63,2533800,3.5246013253,3.5414318927,3.4544739611,3.4544739611,3800698,0.0,1.0
SO,2000-01-25 00:00:00+00:00,25.38,25.38,24.75,25.06,3512600,3.5596650074,3.5596650074,3.4713045285,3.5147834943,5268897,0.0,1.0
SO,2000-01-26 00:00:00+00:00,25.5,25.63,25.25,25.38,2411300,3.5764955748,3.5947286895,3.5414318927,3.5596650074,3616948,0.0,1.0
SO,2000-01-27 00:00:00+00:00,25.56,25.88,25.5,25.5,1922900,3.5849108585,3.6297923716,3.5764955748,3.5764955748,2884348,0.0,1.0
SO,2000-01-28 00:00:00+00:00,25.31,25.75,25.13,25.56,3141400,3.5498471764,3.6115592569,3.5246013253,3.5849108585,4712097,0.0,1.0
SO,2000-01-31 00:00:00+00:00,25.69,25.75,25.25,25.31,2079800,3.6031439732,3.6115592569,3.5414318927,3.5498471764,3119698,0.0,1.0
SO,2000-02-01 00:00:00+00:00,25.38,25.88,25.38,25.63,2268700,3.5596650074,3.6297923716,3.5596650074,3.5947286895,3403048,0.0,1.0
SO,2000-02-02 00:00:00+00:00,25.19,25.38,25.13,25.25,3479700,3.533016609,3.5596650074,3.5246013253,3.5414318927,5219547,0.0,1.0
SO,2000-02-03 00:00:00+00:00,24.88,25.31,24.63,24.63,3331900,3.5365229772,3.597644556,3.5009871756,3.5009871756,4997847,0.335,1.0
SO,2000-02-04 00:00:00+00:00,24.31,25.13,24.31,25.13,2711000,3.4555013495,3.5720587788,3.4555013495,3.5720587788,4066497,0.0,1.0
SO,2000-02-07 00:00:00+00:00,24.31,24.44,24.19,24.19,1264600,3.4555013495,3.4739799664,3.4384441647,3.4384441647,1896899,0.0,1.0
SO,2000-02-08 00:00:00+00:00,24.44,24.94,24.25,24.25,1238100,3.4739799664,3.5450515696,3.4469727571,3.4469727571,1857149,0.0,1.0
SO,2000-02-09 00:00:00+00:00,24.25,24.63,24.19,24.38,2417900,3.4469727571,3.5009871756,3.4384441647,3.465451374,3626848,0.0,1.0
SO,2000-02-10 00:00:00+00:00,24.5,24.69,24.25,24.25,2449800,3.4825085587,3.509515768,3.4469727571,3.4469727571,3674698,0.0,1.0
SO,2000-02-11 00:00:00+00:00,24.38,24.56,24.25,24.56,2425200,3.465451374,3.4910371511,3.4469727571,3.4910371511,3637798,0.0,1.0
SO,2000-02-14 00:00:00+00:00,24.38,24.69,24.25,24.38,1210600,3.465451374,3.509515768,3.4469727571,3.465451374,1815899,0.0,1.0
SO,2000-02-15 00:00:00+00:00,24.31,24.5,24.19,24.38,2031500,3.4555013495,3.4825085587,3.4384441647,3.465451374,3047248,0.0,1.0
SO,2000-02-16 00:00:00+00:00,23.88,24.31,23.81,24.31,4646000,3.3943797707,3.4555013495,3.3844297463,3.4555013495,6968996,0.0,1.0
SO,2000-02-17 00:00:00+00:00,23.5,23.94,23.38,23.88,5012700,3.3403653523,3.4029083631,3.3233081675,3.3943797707,7519046,0.0,1.0
SO,2000-02-18 00:00:00+00:00,23.06,23.56,23.0,23.38,2217700,3.2778223414,3.3488939447,3.269293749,3.3233081675,3326548,0.0,1.0
SO,2000-02-22 00:00:00+00:00,23.06,23.44,23.06,23.13,3036800,3.2778223414,3.3318367599,3.2778223414,3.2877723659,4555197,0.0,1.0
SO,2000-02-23 00:00:00+00:00,22.75,23.19,22.75,23.0,3116000,3.2337579474,3.2963009583,3.2337579474,3.269293749,4673997,0.0,1.0
SO,2000-02-24 00:00:00+00:00,22.06,22.88,22.0,22.69,3596900,3.1356791349,3.2522365643,3.1271505425,3.225229355,5395347,0.0,1.0
SO,2000-02-25 00:00:00+00:00,21.75,22.44,21.75,22.06,3526100,3.0916147409,3.1896935534,3.0916147409,3.1356791349,5289147,0.0,1.0
SO,2000-02-28 00:00:00+00:00,22.69,22.81,21.63,21.81,2455300,3.225229355,3.2422865398,3.0745575562,3.1001433333,3682948,0.0,1.0
SO,2000-02-29 00:00:00+00:00,22.19,22.63,21.94,22.63,2303400,3.1541577518,3.2167007626,3.1186219502,3.2167007626,3455098,0.0,1.0
