symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SPGI,2001-01-02 00:00:00+00:00,56.75,58.5,56.38,58.5,296500,18.9928979416,19.5785820191,18.8690675938,19.5785820191,593000,0.0,1.0
SPGI,2001-01-03 00:00:00+00:00,57.25,57.88,55.81,56.56,783700,19.1602362494,19.3710825173,18.6783019228,18.9293093846,1567400,0.0,1.0
SPGI,2001-01-04 00:00:00+00:00,60.88,61.69,57.5,58.38,717100,20.3751123645,20.6462004232,19.2439054034,19.5384208252,1434200,0.0,1.0
SPGI,2001-01-05 00:00:00+00:00,59.88,60.88,59.69,60.75,526700,20.0404357487,20.3751123645,19.9768471918,20.3316044044,1053400,0.0,1.0
SPGI,2001-01-08 00:00:00+00:00,59.94,60.13,58.88,59.75,692500,20.0605163457,20.1241049027,19.705759133,19.9969277887,1385000,0.0,1.0
SPGI,2001-01-09 00:00:00+00:00,58.25,60.0,57.88,59.38,939700,19.4949128651,20.0805969426,19.3710825173,19.8730974409,1879400,0.0,1.0
SPGI,2001-01-10 00:00:00+00:00,59.0,59.56,58.31,58.31,471000,19.7459203269,19.9333392317,19.5149934621,19.5149934621,942000,0.0,1.0
SPGI,2001-01-11 00:00:00+00:00,59.81,60.0,58.88,58.88,456500,20.0170083856,20.0805969426,19.705759133,19.705759133,913000,0.0,1.0
SPGI,2001-01-12 00:00:00+00:00,60.0,60.0,59.06,59.81,600400,20.0805969426,20.0805969426,19.7660009239,20.0170083856,1200800,0.0,1.0
SPGI,2001-01-16 00:00:00+00:00,60.56,61.19,59.75,60.0,1114200,20.2680158474,20.4788621153,19.9969277887,20.0805969426,2228400,0.0,1.0
SPGI,2001-01-17 00:00:00+00:00,62.25,62.94,61.63,61.75,784800,20.833619328,21.0645461928,20.6261198262,20.6662810201,1569600,0.0,1.0
SPGI,2001-01-18 00:00:00+00:00,61.94,62.5,61.63,62.13,877300,20.7298695771,20.9172884819,20.6261198262,20.7934581341,1754600,0.0,1.0
SPGI,2001-01-19 00:00:00+00:00,62.06,62.44,60.94,62.13,553800,20.770030771,20.897207885,20.3951929614,20.7934581341,1107600,0.0,1.0
SPGI,2001-01-22 00:00:00+00:00,60.31,62.63,59.25,61.88,834700,20.1843466935,20.960796442,19.8295894809,20.7097889802,1669400,0.0,1.0
SPGI,2001-01-23 00:00:00+00:00,61.75,62.63,60.38,60.38,512200,20.6662810201,20.960796442,20.2077740566,20.2077740566,1024400,0.0,1.0
SPGI,2001-01-24 00:00:00+00:00,61.5,62.38,60.75,61.5,471200,20.5826118662,20.877127288,20.3316044044,20.5826118662,942400,0.0,1.0
SPGI,2001-01-25 00:00:00+00:00,62.75,63.0,60.44,61.63,831700,21.0009576358,21.0846267898,20.2278546535,20.6261198262,1663400,0.0,1.0
SPGI,2001-01-26 00:00:00+00:00,61.75,62.13,59.75,62.0,512100,20.6662810201,20.7934581341,19.9969277887,20.7499501741,1024200,0.0,1.0
SPGI,2001-01-29 00:00:00+00:00,61.45,61.99,61.15,61.75,615400,20.5658780354,20.7466034079,20.4654750507,20.6662810201,1230800,0.0,1.0
SPGI,2001-01-30 00:00:00+00:00,61.14,61.5,59.78,61.21,718200,20.4621282845,20.5826118662,20.0069680872,20.4855556476,1436400,0.0,1.0
SPGI,2001-01-31 00:00:00+00:00,63.85,64.0,61.6,62.2,710300,21.3691019131,21.4193034055,20.6160795278,20.8168854972,1420600,0.0,1.0
SPGI,2001-02-01 00:00:00+00:00,63.16,63.85,62.78,63.61,624900,21.1381750483,21.3691019131,21.0109979343,21.2887795253,1249800,0.0,1.0
SPGI,2001-02-02 00:00:00+00:00,64.08,64.6,63.23,63.25,539700,21.4460775347,21.6201093749,21.1616024114,21.1682959437,1079400,0.0,1.0
SPGI,2001-02-05 00:00:00+00:00,64.38,64.74,63.12,63.65,634500,21.5464805194,21.6669641011,21.1247879836,21.30216659,1269000,0.0,1.0
SPGI,2001-02-06 00:00:00+00:00,63.66,64.65,63.55,64.38,880900,21.3055133561,21.6368432057,21.2686989284,21.5464805194,1761800,0.0,1.0
SPGI,2001-02-07 00:00:00+00:00,61.66,63.33,61.3,63.25,785900,20.6361601247,21.1950700729,20.5156765431,21.1682959437,1571800,0.0,1.0
SPGI,2001-02-08 00:00:00+00:00,61.69,62.01,61.5,61.56,609400,20.6462004232,20.7532969402,20.5826118662,20.6026924631,1218800,0.0,1.0
SPGI,2001-02-09 00:00:00+00:00,62.34,62.8,61.0,62.25,437400,20.8637402234,21.0176914666,20.4152735583,20.833619328,874800,0.0,1.0
SPGI,2001-02-12 00:00:00+00:00,62.86,63.09,62.37,62.75,514000,21.0377720636,21.1147476852,20.8737805219,21.0009576358,1028000,0.0,1.0
SPGI,2001-02-13 00:00:00+00:00,62.55,62.73,61.5,61.5,1062300,20.9340223127,20.9942641035,20.5826118662,20.5826118662,2124600,0.0,1.0
