symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SRE,2000-01-03 00:00:00+00:00,17.31,17.31,17.13,17.25,512400,8.2238360122,8.2238360122,8.1383195199,8.1953305147,512400,0.0,1.0
SRE,2000-01-04 00:00:00+00:00,17.5,17.75,17.25,17.25,731100,8.3141034207,8.4328763268,8.1953305147,8.1953305147,731100,0.0,1.0
SRE,2000-01-05 00:00:00+00:00,18.0,18.19,17.69,17.75,1481700,8.5516492328,8.6419166413,8.4043708293,8.4328763268,1481700,0.0,1.0
SRE,2000-01-06 00:00:00+00:00,18.38,18.5,17.75,18.0,427300,8.7321840499,8.7891950448,8.4328763268,8.5516492328,427300,0.0,1.0
SRE,2000-01-07 00:00:00+00:00,18.0,18.5,17.88,18.44,460000,8.5516492328,8.7891950448,8.4946382379,8.7606895473,460000,0.0,1.0
SRE,2000-01-10 00:00:00+00:00,17.81,18.19,17.75,18.13,427700,8.4613818242,8.6419166413,8.4328763268,8.6134111439,427700,0.0,1.0
SRE,2000-01-11 00:00:00+00:00,16.88,17.06,16.25,17.06,1899000,8.0195466138,8.1050631062,7.7202388907,8.1050631062,1899000,0.0,1.0
SRE,2000-01-12 00:00:00+00:00,17.63,17.63,16.75,16.81,864200,8.3758653319,8.3758653319,7.9577847027,7.9862902002,864200,0.0,1.0
SRE,2000-01-13 00:00:00+00:00,17.5,17.69,17.19,17.44,437400,8.3141034207,8.4043708293,8.1668250173,8.2855979233,437400,0.0,1.0
SRE,2000-01-14 00:00:00+00:00,17.44,17.44,16.88,17.38,726000,8.2855979233,8.2855979233,8.0195466138,8.2570924259,726000,0.0,1.0
SRE,2000-01-18 00:00:00+00:00,17.31,17.44,17.06,17.31,699000,8.2238360122,8.2855979233,8.1050631062,8.2238360122,699000,0.0,1.0
SRE,2000-01-19 00:00:00+00:00,17.25,17.38,17.0,17.38,2051500,8.1953305147,8.2570924259,8.0765576087,8.2570924259,2051500,0.0,1.0
SRE,2000-01-20 00:00:00+00:00,17.19,17.19,17.06,17.06,545900,8.1668250173,8.1668250173,8.1050631062,8.1050631062,545900,0.0,1.0
SRE,2000-01-21 00:00:00+00:00,17.44,17.44,17.0,17.19,824500,8.2855979233,8.2855979233,8.0765576087,8.1668250173,824500,0.0,1.0
SRE,2000-01-24 00:00:00+00:00,17.19,17.38,17.13,17.19,559400,8.1668250173,8.2570924259,8.1383195199,8.1668250173,559400,0.0,1.0
SRE,2000-01-25 00:00:00+00:00,17.25,17.44,16.94,17.13,570200,8.1953305147,8.2855979233,8.0480521113,8.1383195199,570200,0.0,1.0
SRE,2000-01-26 00:00:00+00:00,18.63,19.13,18.0,18.81,4601100,8.8509569559,9.0885027679,8.5516492328,8.9364734482,4601100,0.0,1.0
SRE,2000-01-27 00:00:00+00:00,18.31,18.5,18.06,18.5,1234600,8.6989276362,8.7891950448,8.5801547302,8.7891950448,1234600,0.0,1.0
SRE,2000-01-28 00:00:00+00:00,18.13,18.31,17.94,18.25,899100,8.6134111439,8.6989276362,8.5231437353,8.6704221388,899100,0.0,1.0
SRE,2000-01-31 00:00:00+00:00,18.56,18.69,18.06,18.13,636700,8.8177005422,8.8794624534,8.5801547302,8.6134111439,636700,0.0,1.0
SRE,2000-02-01 00:00:00+00:00,18.69,18.69,18.44,18.44,484400,8.8794624534,8.8794624534,8.7606895473,8.7606895473,484400,0.0,1.0
SRE,2000-02-02 00:00:00+00:00,18.75,18.94,18.56,18.56,657700,8.9079679508,8.9982353594,8.8177005422,8.8177005422,657700,0.0,1.0
SRE,2000-02-03 00:00:00+00:00,19.0,19.25,18.81,18.88,838600,9.0267408568,9.1455137628,8.9364734482,8.9697298619,838600,0.0,1.0
SRE,2000-02-04 00:00:00+00:00,19.0,19.0,18.88,19.0,956100,9.0267408568,9.0267408568,8.9697298619,9.0267408568,956100,0.0,1.0
SRE,2000-02-07 00:00:00+00:00,19.06,19.19,18.94,19.0,967300,9.0552463543,9.1170082654,8.9982353594,9.0267408568,967300,0.0,1.0
SRE,2000-02-08 00:00:00+00:00,19.06,19.13,19.0,19.0,886200,9.0552463543,9.0885027679,9.0267408568,9.0267408568,886200,0.0,1.0
SRE,2000-02-09 00:00:00+00:00,18.75,19.19,18.75,19.06,840600,8.9079679508,9.1170082654,8.9079679508,9.0552463543,840600,0.0,1.0
SRE,2000-02-10 00:00:00+00:00,18.75,19.0,18.63,18.88,1013500,8.9079679508,9.0267408568,8.8509569559,8.9697298619,1013500,0.0,1.0
SRE,2000-02-11 00:00:00+00:00,18.81,18.88,18.63,18.75,536000,8.9364734482,8.9697298619,8.8509569559,8.9079679508,536000,0.0,1.0
SRE,2000-02-14 00:00:00+00:00,18.81,19.0,18.75,18.81,2229700,8.9364734482,9.0267408568,8.9079679508,8.9364734482,2229700,0.0,1.0
SRE,2000-02-15 00:00:00+00:00,18.88,18.94,18.75,18.81,684900,8.9697298619,8.9982353594,8.9079679508,8.9364734482,684900,0.0,1.0
SRE,2000-02-16 00:00:00+00:00,18.94,19.0,18.81,18.81,1193600,8.9982353594,9.0267408568,8.9364734482,8.9364734482,1193600,0.0,1.0
SRE,2000-02-17 00:00:00+00:00,18.75,19.06,18.75,18.94,1382500,8.9079679508,9.0552463543,8.9079679508,8.9982353594,1382500,0.0,1.0
SRE,2000-02-18 00:00:00+00:00,18.73,18.94,18.63,18.75,1003600,8.8984661183,8.9982353594,8.8509569559,8.9079679508,1003600,0.0,1.0
SRE,2000-02-22 00:00:00+00:00,18.56,18.75,18.5,18.63,1211300,8.8177005422,8.9079679508,8.7891950448,8.8509569559,1211300,0.0,1.0
SRE,2000-02-23 00:00:00+00:00,18.38,18.56,18.38,18.5,1479500,8.7321840499,8.8177005422,8.7321840499,8.7891950448,1479500,0.0,1.0
SRE,2000-02-24 00:00:00+00:00,18.25,18.5,18.13,18.38,2563500,8.6704221388,8.7891950448,8.6134111439,8.7321840499,2563500,0.0,1.0
SRE,2000-02-25 00:00:00+00:00,18.75,18.75,18.13,18.19,2577900,8.9079679508,8.9079679508,8.6134111439,8.6419166413,2577900,0.0,1.0
SRE,2000-02-28 00:00:00+00:00,18.13,18.69,17.75,18.69,2517600,8.6134111439,8.8794624534,8.4328763268,8.8794624534,2517600,0.0,1.0
SRE,2000-02-29 00:00:00+00:00,18.0,18.06,17.81,18.0,853100,8.5516492328,8.5801547302,8.4613818242,8.5516492328,853100,0.0,1.0
SRE,2000-03-01 00:00:00+00:00,18.0,18.0,17.56,18.0,779500,8.5516492328,8.5516492328,8.3426089182,8.5516492328,779500,0.0,1.0
SRE,2000-03-02 00:00:00+00:00,17.56,17.88,17.31,17.88,482400,8.3426089182,8.4946382379,8.2238360122,8.4946382379,482400,0.0,1.0
SRE,2000-03-03 00:00:00+00:00,17.63,17.75,17.5,17.63,853900,8.3758653319,8.4328763268,8.3141034207,8.3758653319,853900,0.0,1.0
SRE,2000-03-06 00:00:00+00:00,17.38,17.69,17.06,17.63,483200,8.2570924259,8.4043708293,8.1050631062,8.3758653319,483200,0.0,1.0
SRE,2000-03-07 00:00:00+00:00,17.25,17.44,17.13,17.25,748700,8.1953305147,8.2855979233,8.1383195199,8.1953305147,748700,0.0,1.0
SRE,2000-03-08 00:00:00+00:00,17.0,17.31,16.94,17.0,824800,8.0765576087,8.2238360122,8.0480521113,8.0765576087,824800,0.0,1.0
