symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
STLD,2000-01-03 00:00:00+00:00,15.94,16.13,15.94,16.06,66600,2.6500739912,2.6816620752,2.6500739912,2.67002436,266400,0.0,1.0
STLD,2000-01-04 00:00:00+00:00,15.06,15.88,14.75,15.75,267600,2.5037712866,2.6400988068,2.4522328338,2.6184859073,1070400,0.0,1.0
STLD,2000-01-05 00:00:00+00:00,16.31,16.31,15.06,15.19,226600,2.7115876284,2.7115876284,2.5037712866,2.5253841861,906400,0.0,1.0
STLD,2000-01-06 00:00:00+00:00,16.38,16.44,16.13,16.13,260500,2.7232253435,2.733200528,2.6816620752,2.6816620752,1042000,0.0,1.0
STLD,2000-01-07 00:00:00+00:00,16.94,16.94,16.38,16.44,410100,2.8163270647,2.8163270647,2.7232253435,2.733200528,1640400,0.0,1.0
STLD,2000-01-10 00:00:00+00:00,17.5,17.56,16.94,17.06,227600,2.9094287858,2.9194039702,2.8163270647,2.8362774335,910400,0.0,1.0
STLD,2000-01-11 00:00:00+00:00,16.75,17.56,16.75,17.38,65800,2.7847389807,2.9194039702,2.7847389807,2.889478417,263200,0.0,1.0
STLD,2000-01-12 00:00:00+00:00,17.63,19.0,17.56,18.5,1016300,2.9310416854,3.1588083961,2.9194039702,3.0756818593,4065200,0.0,1.0
STLD,2000-01-13 00:00:00+00:00,17.81,17.94,16.69,17.5,1782900,2.9609672386,2.9825801382,2.7747637963,2.9094287858,7131600,0.0,1.0
STLD,2000-01-14 00:00:00+00:00,17.88,18.06,17.5,17.5,458900,2.9726049538,3.002530507,2.9094287858,2.9094287858,1835600,0.0,1.0
STLD,2000-01-18 00:00:00+00:00,17.94,18.19,17.75,18.0,315000,2.9825801382,3.0241434065,2.9509920542,2.9925553226,1260000,0.0,1.0
STLD,2000-01-19 00:00:00+00:00,17.28,18.0,17.25,18.0,360900,2.8728531097,2.9925553226,2.8678655175,2.9925553226,1443600,0.0,1.0
STLD,2000-01-20 00:00:00+00:00,17.44,17.75,17.19,17.5,184600,2.8994536014,2.9509920542,2.8578903331,2.9094287858,738400,0.0,1.0
STLD,2000-01-21 00:00:00+00:00,17.44,17.5,17.13,17.44,178300,2.8994536014,2.9094287858,2.8479151486,2.8994536014,713200,0.0,1.0
STLD,2000-01-24 00:00:00+00:00,17.0,17.63,16.94,17.13,147300,2.8263022491,2.9310416854,2.8163270647,2.8479151486,589200,0.0,1.0
STLD,2000-01-25 00:00:00+00:00,16.19,17.06,16.0,16.88,161400,2.6916372596,2.8362774335,2.6600491756,2.8063518803,645600,0.0,1.0
STLD,2000-01-26 00:00:00+00:00,16.63,17.0,16.06,16.19,181000,2.7647886119,2.8263022491,2.67002436,2.6916372596,724000,0.0,1.0
STLD,2000-01-27 00:00:00+00:00,16.5,17.0,16.38,16.56,88200,2.7431757124,2.8263022491,2.7232253435,2.7531508968,352800,0.0,1.0
STLD,2000-01-28 00:00:00+00:00,16.44,16.63,16.0,16.5,110000,2.733200528,2.7647886119,2.6600491756,2.7431757124,440000,0.0,1.0
STLD,2000-01-31 00:00:00+00:00,15.56,16.31,15.5,16.25,213000,2.5868978233,2.7115876284,2.5769226389,2.701612444,852000,0.0,1.0
STLD,2000-02-01 00:00:00+00:00,17.19,17.31,15.56,15.69,165100,2.8578903331,2.8778407019,2.5868978233,2.6085107228,660400,0.0,1.0
STLD,2000-02-02 00:00:00+00:00,17.25,17.44,16.94,17.25,247200,2.8678655175,2.8994536014,2.8163270647,2.8678655175,988800,0.0,1.0
STLD,2000-02-03 00:00:00+00:00,16.63,17.25,16.38,17.0,119800,2.7647886119,2.8678655175,2.7232253435,2.8263022491,479200,0.0,1.0
STLD,2000-02-04 00:00:00+00:00,16.63,16.75,16.25,16.63,71700,2.7647886119,2.7847389807,2.701612444,2.7647886119,286800,0.0,1.0
STLD,2000-02-07 00:00:00+00:00,16.88,16.94,16.13,16.25,227900,2.8063518803,2.8163270647,2.6816620752,2.701612444,911600,0.0,1.0
STLD,2000-02-08 00:00:00+00:00,16.44,16.88,16.0,16.88,128700,2.733200528,2.8063518803,2.6600491756,2.8063518803,514800,0.0,1.0
STLD,2000-02-09 00:00:00+00:00,16.19,16.44,16.13,16.38,172900,2.6916372596,2.733200528,2.6816620752,2.7232253435,691600,0.0,1.0
STLD,2000-02-10 00:00:00+00:00,16.5,16.5,16.13,16.31,122400,2.7431757124,2.7431757124,2.6816620752,2.7115876284,489600,0.0,1.0
STLD,2000-02-11 00:00:00+00:00,15.56,16.63,15.25,16.38,115700,2.5868978233,2.7647886119,2.5353593705,2.7232253435,462800,0.0,1.0
STLD,2000-02-14 00:00:00+00:00,15.06,15.75,14.88,15.63,389300,2.5037712866,2.6184859073,2.4738457333,2.5985355384,1557200,0.0,1.0
STLD,2000-02-15 00:00:00+00:00,15.63,16.0,14.94,14.94,296100,2.5985355384,2.6600491756,2.4838209177,2.4838209177,1184400,0.0,1.0
STLD,2000-02-16 00:00:00+00:00,16.88,17.13,15.5,15.75,572300,2.8063518803,2.8479151486,2.5769226389,2.6184859073,2289200,0.0,1.0
STLD,2000-02-17 00:00:00+00:00,16.88,17.38,16.56,16.59,383000,2.8063518803,2.889478417,2.7531508968,2.758138489,1532000,0.0,1.0
STLD,2000-02-18 00:00:00+00:00,16.44,17.0,16.25,17.0,156500,2.733200528,2.8263022491,2.701612444,2.8263022491,626000,0.0,1.0
STLD,2000-02-22 00:00:00+00:00,16.56,16.63,16.0,16.5,111200,2.7531508968,2.7647886119,2.6600491756,2.7431757124,444800,0.0,1.0
STLD,2000-02-23 00:00:00+00:00,16.63,16.75,16.38,16.38,236000,2.7647886119,2.7847389807,2.7232253435,2.7232253435,944000,0.0,1.0
STLD,2000-02-24 00:00:00+00:00,16.44,16.75,16.38,16.5,220100,2.733200528,2.7847389807,2.7232253435,2.7431757124,880400,0.0,1.0
STLD,2000-02-25 00:00:00+00:00,16.06,16.44,15.94,16.38,123900,2.67002436,2.733200528,2.6500739912,2.7232253435,495600,0.0,1.0
STLD,2000-02-28 00:00:00+00:00,15.88,16.06,15.75,16.0,79600,2.6400988068,2.67002436,2.6184859073,2.6600491756,318400,0.0,1.0
STLD,2000-02-29 00:00:00+00:00,15.38,15.94,15.19,15.88,301100,2.5569722701,2.6500739912,2.5253841861,2.6400988068,1204400,0.0,1.0
STLD,2000-03-01 00:00:00+00:00,15.63,15.63,15.38,15.38,130600,2.5985355384,2.5985355384,2.5569722701,2.5569722701,522400,0.0,1.0
STLD,2000-03-02 00:00:00+00:00,15.56,15.69,15.25,15.38,51800,2.5868978233,2.6085107228,2.5353593705,2.5569722701,207200,0.0,1.0
STLD,2000-03-03 00:00:00+00:00,15.44,15.56,15.25,15.5,206300,2.5669474545,2.5868978233,2.5353593705,2.5769226389,825200,0.0,1.0
STLD,2000-03-06 00:00:00+00:00,14.13,15.38,13.88,15.25,271000,2.3491559282,2.5569722701,2.3075926599,2.5353593705,1084000,0.0,1.0
STLD,2000-03-07 00:00:00+00:00,13.38,14.25,13.13,14.25,362300,2.2244661231,2.369106297,2.1829028547,2.369106297,1449200,0.0,1.0
STLD,2000-03-08 00:00:00+00:00,13.5,14.0,13.38,13.44,288200,2.2444164919,2.3275430287,2.2244661231,2.2344413075,1152800,0.0,1.0
STLD,2000-03-09 00:00:00+00:00,13.25,13.94,12.94,13.94,749300,2.2028532236,2.3175678443,2.1513147708,2.3175678443,2997200,0.0,1.0
STLD,2000-03-10 00:00:00+00:00,13.06,13.44,13.0,13.19,122300,2.1712651396,2.2344413075,2.1612899552,2.1928780392,489200,0.0,1.0
STLD,2000-03-13 00:00:00+00:00,12.75,13.38,12.63,13.13,97300,2.1197266868,2.2244661231,2.099776318,2.1829028547,389200,0.0,1.0
STLD,2000-03-14 00:00:00+00:00,12.06,12.88,11.44,12.75,234000,2.0050120661,2.1413395864,1.9019351606,2.1197266868,936000,0.0,1.0
STLD,2000-03-15 00:00:00+00:00,11.69,12.44,11.13,12.38,685900,1.9434984289,2.068188234,1.8503967078,2.0582130496,2743600,0.0,1.0
STLD,2000-03-16 00:00:00+00:00,13.75,14.0,11.75,11.75,591600,2.2859797603,2.3275430287,1.9534736133,1.9534736133,2366400,0.0,1.0
STLD,2000-03-17 00:00:00+00:00,13.0,13.88,12.75,13.38,289400,2.1612899552,2.3075926599,2.1197266868,2.2244661231,1157600,0.0,1.0
STLD,2000-03-20 00:00:00+00:00,13.13,13.5,13.06,13.38,272700,2.1829028547,2.2444164919,2.1712651396,2.2244661231,1090800,0.0,1.0
STLD,2000-03-21 00:00:00+00:00,13.56,13.56,13.13,13.13,51000,2.2543916763,2.2543916763,2.1829028547,2.1829028547,204000,0.0,1.0
STLD,2000-03-22 00:00:00+00:00,14.0,14.19,13.38,13.5,226300,2.3275430287,2.3591311126,2.2244661231,2.2444164919,905200,0.0,1.0
STLD,2000-03-23 00:00:00+00:00,13.75,14.13,13.44,13.72,47100,2.2859797603,2.3491559282,2.2344413075,2.2809921681,188400,0.0,1.0
STLD,2000-03-24 00:00:00+00:00,13.38,13.88,13.38,13.75,51900,2.2244661231,2.3075926599,2.2244661231,2.2859797603,207600,0.0,1.0
STLD,2000-03-27 00:00:00+00:00,12.88,13.81,12.88,13.75,65800,2.1413395864,2.2959549447,2.1413395864,2.2859797603,263200,0.0,1.0
STLD,2000-03-28 00:00:00+00:00,12.19,13.19,12.06,13.16,170900,2.0266249657,2.1928780392,2.0050120661,2.1878904469,683600,0.0,1.0
STLD,2000-03-29 00:00:00+00:00,11.63,12.25,11.44,12.16,272000,1.9335232445,2.0366001501,1.9019351606,2.0216373735,1088000,0.0,1.0
STLD,2000-03-30 00:00:00+00:00,11.63,11.88,11.5,11.63,140400,1.9335232445,1.9750865129,1.911910345,1.9335232445,561600,0.0,1.0
STLD,2000-03-31 00:00:00+00:00,11.56,11.81,11.44,11.69,183400,1.9218855294,1.9634487978,1.9019351606,1.9434984289,733600,0.0,1.0
STLD,2000-04-03 00:00:00+00:00,11.25,11.75,11.19,11.63,281300,1.8703470766,1.9534736133,1.8603718922,1.9335232445,1125200,0.0,1.0
STLD,2000-04-04 00:00:00+00:00,11.84,11.94,11.06,11.31,721500,1.96843639,1.9850616973,1.8387589926,1.880322261,2886000,0.0,1.0
STLD,2000-04-05 00:00:00+00:00,11.38,12.25,11.0,11.56,222500,1.8919599762,2.0366001501,1.8287838082,1.9218855294,890000,0.0,1.0
STLD,2000-04-06 00:00:00+00:00,11.5,11.63,11.25,11.56,111200,1.911910345,1.9335232445,1.8703470766,1.9218855294,444800,0.0,1.0
STLD,2000-04-07 00:00:00+00:00,12.0,12.0,11.31,11.38,116500,1.9950368817,1.9950368817,1.880322261,1.8919599762,466000,0.0,1.0
STLD,2000-04-10 00:00:00+00:00,11.5,12.44,11.48,12.13,108900,1.911910345,2.068188234,1.9085852835,2.0166497813,435600,0.0,1.0
STLD,2000-04-11 00:00:00+00:00,11.56,12.0,11.5,11.63,148900,1.9218855294,1.9950368817,1.911910345,1.9335232445,595600,0.0,1.0
STLD,2000-04-12 00:00:00+00:00,12.63,12.88,12.0,12.13,179500,2.099776318,2.1413395864,1.9950368817,2.0166497813,718000,0.0,1.0
STLD,2000-04-13 00:00:00+00:00,12.69,12.88,12.33,12.44,104200,2.1097515024,2.1413395864,2.049900396,2.068188234,416800,0.0,1.0
STLD,2000-04-14 00:00:00+00:00,12.75,12.88,11.69,12.13,166800,2.1197266868,2.1413395864,1.9434984289,2.0166497813,667200,0.0,1.0
STLD,2000-04-17 00:00:00+00:00,12.38,12.94,12.0,12.5,115600,2.0582130496,2.1513147708,1.9950368817,2.0781634185,462400,0.0,1.0
STLD,2000-04-18 00:00:00+00:00,11.88,12.56,11.63,12.25,106900,1.9750865129,2.0881386029,1.9335232445,2.0366001501,427600,0.0,1.0
STLD,2000-04-19 00:00:00+00:00,11.69,12.5,11.5,12.19,165500,1.9434984289,2.0781634185,1.911910345,2.0266249657,662000,0.0,1.0
STLD,2000-04-20 00:00:00+00:00,11.63,11.72,11.25,11.69,283400,1.9335232445,1.9484860211,1.8703470766,1.9434984289,1133600,0.0,1.0
STLD,2000-04-24 00:00:00+00:00,11.0,11.56,10.88,11.34,174700,1.8287838082,1.9218855294,1.8088334394,1.8853098532,698800,0.0,1.0
STLD,2000-04-25 00:00:00+00:00,11.75,11.75,11.0,11.19,146700,1.9534736133,1.9534736133,1.8287838082,1.8603718922,586800,0.0,1.0
STLD,2000-04-26 00:00:00+00:00,11.5,11.88,11.0,11.63,151900,1.911910345,1.9750865129,1.8287838082,1.9335232445,607600,0.0,1.0
STLD,2000-04-27 00:00:00+00:00,11.5,11.56,11.0,11.19,65600,1.911910345,1.9218855294,1.8287838082,1.8603718922,262400,0.0,1.0
STLD,2000-04-28 00:00:00+00:00,11.38,11.5,11.06,11.13,79000,1.8919599762,1.911910345,1.8387589926,1.8503967078,316000,0.0,1.0
STLD,2000-05-01 00:00:00+00:00,11.5,11.75,11.13,11.13,115600,1.911910345,1.9534736133,1.8503967078,1.8503967078,462400,0.0,1.0
STLD,2000-05-02 00:00:00+00:00,11.31,11.75,11.25,11.5,51000,1.880322261,1.9534736133,1.8703470766,1.911910345,204000,0.0,1.0
STLD,2000-05-03 00:00:00+00:00,10.94,11.38,10.63,11.31,371700,1.8188086238,1.8919599762,1.7672701711,1.880322261,1486800,0.0,1.0
STLD,2000-05-04 00:00:00+00:00,10.75,10.88,10.38,10.81,153600,1.7872205399,1.8088334394,1.7257069027,1.7971957243,614400,0.0,1.0
STLD,2000-05-05 00:00:00+00:00,11.63,11.63,10.81,10.88,119300,1.9335232445,1.9335232445,1.7971957243,1.8088334394,477200,0.0,1.0
STLD,2000-05-08 00:00:00+00:00,11.38,11.75,11.19,11.63,107100,1.8919599762,1.9534736133,1.8603718922,1.9335232445,428400,0.0,1.0
STLD,2000-05-09 00:00:00+00:00,10.94,11.56,10.63,11.56,154000,1.8188086238,1.9218855294,1.7672701711,1.9218855294,616000,0.0,1.0
STLD,2000-05-10 00:00:00+00:00,10.41,11.0,10.25,11.0,164900,1.7306944949,1.8287838082,1.7040940031,1.8287838082,659600,0.0,1.0
STLD,2000-05-11 00:00:00+00:00,11.0,11.0,10.56,10.75,73600,1.8287838082,1.8287838082,1.7556324559,1.7872205399,294400,0.0,1.0
STLD,2000-05-12 00:00:00+00:00,10.81,11.38,10.75,11.06,103800,1.7971957243,1.8919599762,1.7872205399,1.8387589926,415200,0.0,1.0
STLD,2000-05-15 00:00:00+00:00,10.75,11.03,10.44,11.0,332000,1.7872205399,1.8337714004,1.7356820871,1.8287838082,1328000,0.0,1.0
STLD,2000-05-16 00:00:00+00:00,10.5,10.88,10.19,10.75,417800,1.7456572715,1.8088334394,1.6941188187,1.7872205399,1671200,0.0,1.0
STLD,2000-05-17 00:00:00+00:00,10.0,10.5,10.0,10.38,185900,1.6625307348,1.7456572715,1.6625307348,1.7257069027,743600,0.0,1.0
STLD,2000-05-18 00:00:00+00:00,10.06,10.25,10.0,10.13,188900,1.6725059192,1.7040940031,1.6625307348,1.6841436343,755600,0.0,1.0
STLD,2000-05-19 00:00:00+00:00,10.0,10.19,9.938,10.09,355400,1.6625307348,1.6941188187,1.6522230442,1.6774935114,1421600,0.0,1.0
STLD,2000-05-22 00:00:00+00:00,9.25,10.06,8.25,10.06,1456200,1.5378409297,1.6725059192,1.3715878562,1.6725059192,5824800,0.0,1.0
STLD,2000-05-23 00:00:00+00:00,9.813,10.44,9.313,9.375,297000,1.63144141,1.7356820871,1.5483148733,1.5586225638,1188000,0.0,1.0
STLD,2000-05-24 00:00:00+00:00,10.25,10.38,9.813,9.938,296000,1.7040940031,1.7257069027,1.63144141,1.6522230442,1184000,0.0,1.0
STLD,2000-05-25 00:00:00+00:00,9.875,10.5,9.875,10.25,1756200,1.6417491006,1.7456572715,1.6417491006,1.7040940031,7024800,0.0,1.0
STLD,2000-05-26 00:00:00+00:00,10.0,10.25,9.75,9.938,538200,1.6625307348,1.7040940031,1.6209674664,1.6522230442,2152800,0.0,1.0
