symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
STT,2000-01-03 00:00:00+00:00,69.75,73.0,68.44,73.0,647700,23.630231838,24.731282067,23.1864238995,24.731282067,1295400,0.0,1.0
STT,2000-01-04 00:00:00+00:00,65.88,69.5,65.13,69.5,658000,22.3191351037,23.5455356665,22.0650465893,23.5455356665,1316000,0.0,1.0
STT,2000-01-05 00:00:00+00:00,67.5,68.13,65.25,65.88,519700,22.8679662948,23.0814006469,22.1057007517,22.3191351037,1039400,0.0,1.0
STT,2000-01-06 00:00:00+00:00,69.88,70.38,66.81,67.0,678100,23.6742738471,23.8436661901,22.6342048616,22.6985739519,1356200,0.0,1.0
STT,2000-01-07 00:00:00+00:00,72.38,72.69,70.13,70.63,581200,24.5212355618,24.6262588144,23.7589700186,23.9283623615,1162400,0.0,1.0
STT,2000-01-10 00:00:00+00:00,71.94,72.81,71.63,71.75,518300,24.3721703,24.6669129767,24.2671470474,24.3078012097,1036600,0.0,1.0
STT,2000-01-11 00:00:00+00:00,73.38,74.19,71.81,72.0,690500,24.8600202476,25.1344358431,24.3281282908,24.3924973811,1381000,0.0,1.0
STT,2000-01-12 00:00:00+00:00,74.56,75.0,72.38,72.38,643900,25.2597861769,25.4088514387,24.5212355618,24.5212355618,1287800,0.0,1.0
STT,2000-01-13 00:00:00+00:00,76.38,76.81,75.19,75.75,708000,25.8763743052,26.0220517201,25.473220529,25.6629399531,1416000,0.0,1.0
STT,2000-01-14 00:00:00+00:00,79.06,79.38,76.38,77.25,610900,26.7843172632,26.8927283627,25.8763743052,26.1711169818,1221800,0.0,1.0
STT,2000-01-18 00:00:00+00:00,76.5,78.88,75.0,78.88,987500,25.9170284675,26.7233360198,25.4088514387,26.7233360198,1975000,0.0,1.0
STT,2000-01-19 00:00:00+00:00,76.38,77.5,75.88,76.5,541000,25.8763743052,26.2558131533,25.7069819622,25.9170284675,1082000,0.0,1.0
STT,2000-01-20 00:00:00+00:00,75.94,76.38,74.5,76.38,533600,25.7273090434,25.8763743052,25.2394590958,25.8763743052,1067200,0.0,1.0
STT,2000-01-21 00:00:00+00:00,76.94,77.25,75.19,76.44,659100,26.0660937292,26.1711169818,25.473220529,25.8967013863,1318200,0.0,1.0
STT,2000-01-24 00:00:00+00:00,75.19,77.38,74.75,77.0,476400,25.473220529,26.215158991,25.3241552672,26.0864208104,952800,0.0,1.0
STT,2000-01-25 00:00:00+00:00,77.94,78.0,75.06,75.19,583600,26.4048784151,26.4252054962,25.4291785198,25.473220529,1167200,0.0,1.0
STT,2000-01-26 00:00:00+00:00,80.81,80.81,77.06,77.5,404400,27.3771904635,27.3771904635,26.1067478915,26.2558131533,808800,0.0,1.0
STT,2000-01-27 00:00:00+00:00,82.75,82.75,80.75,81.44,631500,28.034432754,28.034432754,27.3568633823,27.5906248155,1263000,0.0,1.0
STT,2000-01-28 00:00:00+00:00,78.75,81.13,78.38,80.88,638000,26.6792940106,27.4856015629,26.5539436769,27.4009053915,1276000,0.0,1.0
STT,2000-01-31 00:00:00+00:00,80.19,80.5,77.5,77.88,742800,27.1671439582,27.2721672109,26.2558131533,26.3845513339,1485600,0.0,1.0
STT,2000-02-01 00:00:00+00:00,82.13,82.44,79.06,80.0,527500,27.8243862488,27.9294095014,26.7843172632,27.1027748679,1055000,0.0,1.0
STT,2000-02-02 00:00:00+00:00,82.25,82.5,80.31,81.88,604000,27.8650404111,27.9497365825,27.2077981205,27.7396900773,1208000,0.0,1.0
STT,2000-02-03 00:00:00+00:00,83.69,83.69,80.56,82.25,509400,28.3528903587,28.3528903587,27.292494292,27.8650404111,1018800,0.0,1.0
STT,2000-02-04 00:00:00+00:00,80.81,84.44,80.06,80.81,570000,27.3771904635,28.6069788731,27.1231019491,27.3771904635,1140000,0.0,1.0
STT,2000-02-07 00:00:00+00:00,80.06,81.25,79.69,81.06,238700,27.1231019491,27.5262557252,26.9977516153,27.4618866349,477400,0.0,1.0
STT,2000-02-08 00:00:00+00:00,84.19,84.19,80.63,81.0,613500,28.5222827016,28.5222827016,27.31620922,27.4415595538,1227000,0.0,1.0
STT,2000-02-09 00:00:00+00:00,80.5,82.75,80.38,82.75,322200,27.2721672109,28.034432754,27.2315130485,28.034432754,644400,0.0,1.0
STT,2000-02-10 00:00:00+00:00,79.13,80.69,78.25,80.25,372300,26.8080321912,27.3365363012,26.5099016677,27.1874710394,744600,0.0,1.0
STT,2000-02-11 00:00:00+00:00,78.56,80.75,78.13,79.38,296800,26.6149249203,27.3568633823,26.4692475054,26.8927283627,593600,0.0,1.0
STT,2000-02-14 00:00:00+00:00,78.75,79.0,76.88,78.31,460800,26.6792940106,26.7639901821,26.0457666481,26.5302287488,921600,0.0,1.0
STT,2000-02-15 00:00:00+00:00,80.19,80.44,78.13,79.0,483100,27.1671439582,27.2518401297,26.4692475054,26.7639901821,966200,0.0,1.0
STT,2000-02-16 00:00:00+00:00,79.31,80.0,78.75,79.5,286700,26.8690134347,27.1027748679,26.6792940106,26.933382525,573400,0.0,1.0
STT,2000-02-17 00:00:00+00:00,77.69,80.19,76.81,79.63,323300,26.3201822436,27.1671439582,26.0220517201,26.9774245342,646600,0.0,1.0
STT,2000-02-18 00:00:00+00:00,74.06,77.19,73.5,77.0,700300,25.090393834,26.1507899007,24.9006744099,26.0864208104,1400600,0.0,1.0
STT,2000-02-22 00:00:00+00:00,76.63,76.75,73.75,74.0,687900,25.9610704766,26.0017246389,24.9853705814,25.0700667528,1375800,0.0,1.0
STT,2000-02-23 00:00:00+00:00,74.13,75.69,74.13,75.5,503400,25.114108762,25.6426128719,25.114108762,25.5782437816,1006800,0.0,1.0
STT,2000-02-24 00:00:00+00:00,72.63,73.5,71.0,73.0,693200,24.6059317332,24.9006744099,24.0537126953,24.731282067,1386400,0.0,1.0
STT,2000-02-25 00:00:00+00:00,71.75,74.5,71.0,72.63,812900,24.3078012097,25.2394590958,24.0537126953,24.6059317332,1625800,0.0,1.0
STT,2000-02-28 00:00:00+00:00,73.69,75.44,71.75,71.75,674700,24.9650435002,25.5579167005,24.3078012097,24.3078012097,1349400,0.0,1.0
STT,2000-02-29 00:00:00+00:00,72.88,74.0,71.75,73.44,484500,24.6906279047,25.0700667528,24.3078012097,24.8803473288,969000,0.0,1.0
