symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
STX,2002-12-11 00:00:00+00:00,11.5,12.0,11.25,11.5,36719700,5.7797452574,6.0310385295,5.6540986214,5.7797452574,36719700,0.0,1.0
STX,2002-12-12 00:00:00+00:00,11.18,11.59,11.02,11.5,9195600,5.6189175633,5.8249780464,5.5385037162,5.7797452574,9195600,0.0,1.0
STX,2002-12-13 00:00:00+00:00,11.42,11.65,10.95,11.1,7739400,5.7395383339,5.855133239,5.5033226581,5.5787106397,7739400,0.0,1.0
STX,2002-12-16 00:00:00+00:00,11.61,11.62,11.13,11.32,3836400,5.8350297772,5.8400556427,5.5937882361,5.6892796794,3836400,0.0,1.0
STX,2002-12-17 00:00:00+00:00,11.5,11.78,11.45,11.6,2729900,5.7797452574,5.9204694897,5.7546159302,5.8300039118,2729900,0.0,1.0
STX,2002-12-18 00:00:00+00:00,11.2,11.43,11.13,11.42,2152800,5.6289692942,5.7445641993,5.5937882361,5.7395383339,2152800,0.0,1.0
STX,2002-12-19 00:00:00+00:00,10.76,11.2,10.71,11.15,6450800,5.4078312147,5.6289692942,5.3827018875,5.6038399669,6450800,0.0,1.0
STX,2002-12-20 00:00:00+00:00,10.81,10.94,10.56,10.85,2930900,5.4329605419,5.4982967927,5.3073139059,5.4530640037,2930900,0.0,1.0
STX,2002-12-23 00:00:00+00:00,10.4,10.71,10.2,10.71,3455900,5.2269000589,5.3827018875,5.12638275,5.3827018875,3455900,0.0,1.0
STX,2002-12-24 00:00:00+00:00,10.24,10.45,10.0,10.4,3302500,5.1464862118,5.2520293861,5.0258654412,5.2269000589,3302500,0.0,1.0
STX,2002-12-26 00:00:00+00:00,10.03,10.2,10.0,10.05,2019200,5.0409430375,5.12638275,5.0258654412,5.0509947684,2019200,0.0,1.0
STX,2002-12-27 00:00:00+00:00,10.13,10.13,9.86,10.0,1639400,5.0912016919,5.0912016919,4.955503325,5.0258654412,1639400,0.0,1.0
STX,2002-12-30 00:00:00+00:00,10.47,10.55,10.0,10.22,2742800,5.2620811169,5.3022880405,5.0258654412,5.1364344809,2742800,0.0,1.0
STX,2002-12-31 00:00:00+00:00,10.73,10.96,10.3,10.3,3730800,5.3927536184,5.5083485236,5.1766414044,5.1766414044,3730800,0.0,1.0
STX,2003-01-02 00:00:00+00:00,10.5,10.76,10.25,10.75,3473000,5.2771587133,5.4078312147,5.1515120772,5.4028053493,3473000,0.0,1.0
STX,2003-01-03 00:00:00+00:00,10.75,10.75,10.33,10.5,1716600,5.4028053493,5.4028053493,5.1917190008,5.2771587133,1716600,0.0,1.0
