symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SWK,2000-01-03 00:00:00+00:00,28.75,30.13,28.63,29.88,297300,16.2617205678,17.0422831551,16.1938455603,16.9008768893,297300,0.0,1.0
SWK,2000-01-04 00:00:00+00:00,28.13,28.94,27.94,28.5,127000,15.9110330286,16.3691893299,15.8035642666,16.120314302,127000,0.0,1.0
SWK,2000-01-05 00:00:00+00:00,27.69,28.25,27.63,28.13,121300,15.6621580008,15.9789080362,15.628220497,15.9110330286,121300,0.0,1.0
SWK,2000-01-06 00:00:00+00:00,27.63,28.5,27.38,27.56,225100,15.628220497,16.120314302,15.4868142312,15.5886267426,225100,0.0,1.0
SWK,2000-01-07 00:00:00+00:00,28.13,28.13,27.38,27.63,222500,15.9110330286,15.9110330286,15.4868142312,15.628220497,222500,0.0,1.0
SWK,2000-01-10 00:00:00+00:00,27.88,28.13,27.0,28.06,160800,15.7696267628,15.9110330286,15.2718767072,15.8714392742,160800,0.0,1.0
SWK,2000-01-11 00:00:00+00:00,27.56,28.13,27.38,27.75,142000,15.5886267426,15.9110330286,15.4868142312,15.6960955046,142000,0.0,1.0
SWK,2000-01-12 00:00:00+00:00,28.69,29.31,27.31,27.44,407000,16.2277830641,16.5784706033,15.4472204768,15.520751735,407000,0.0,1.0
SWK,2000-01-13 00:00:00+00:00,28.75,29.0,28.69,28.69,135700,16.2617205678,16.4031268337,16.2277830641,16.2277830641,135700,0.0,1.0
SWK,2000-01-14 00:00:00+00:00,27.88,28.38,27.38,28.38,258700,15.7696267628,16.0524392945,15.4868142312,16.0524392945,258700,0.0,1.0
SWK,2000-01-18 00:00:00+00:00,26.94,27.44,26.81,27.25,142700,15.2379392034,15.520751735,15.1644079452,15.413282973,142700,0.0,1.0
SWK,2000-01-19 00:00:00+00:00,27.69,28.06,26.56,26.69,353800,15.6621580008,15.8714392742,15.0230016794,15.0965329376,353800,0.0,1.0
SWK,2000-01-20 00:00:00+00:00,27.0,29.13,26.94,27.63,335600,15.2718767072,16.4766580919,15.2379392034,15.628220497,335600,0.0,1.0
SWK,2000-01-21 00:00:00+00:00,26.06,27.13,25.69,27.13,180300,14.7401891478,15.3454079654,14.5309078744,15.3454079654,180300,0.0,1.0
