symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SWKS,2000-01-03 00:00:00+00:00,62.81,63.0,57.69,58.13,256000,27.5871006037,27.6705514732,25.3383192776,25.5315739228,512000,0.0,1.0
SWKS,2000-01-04 00:00:00+00:00,59.13,61.75,57.19,61.63,146300,25.9707890256,27.1215325948,25.1187117262,27.0688267825,292600,0.0,1.0
SWKS,2000-01-05 00:00:00+00:00,60.66,60.88,57.13,59.19,205900,26.6427881328,26.7394154554,25.0923588201,25.9971419317,411800,0.0,1.0
SWKS,2000-01-06 00:00:00+00:00,54.75,60.81,52.63,58.25,192700,24.0470268755,26.7086703982,23.1158908577,25.5842797352,385400,0.0,1.0
SWKS,2000-01-07 00:00:00+00:00,60.38,60.94,52.5,54.38,268000,26.519807904,26.7657683616,23.0587928943,23.8845172875,536000,0.0,1.0
SWKS,2000-01-10 00:00:00+00:00,57.09,60.44,55.5,60.0,169900,25.074790216,26.5461608102,24.3764382026,26.352906165,339800,0.0,1.0
SWKS,2000-01-11 00:00:00+00:00,57.06,61.25,56.38,56.75,305700,25.0616137629,26.9019250434,24.762947493,24.925457081,611400,0.0,1.0
SWKS,2000-01-12 00:00:00+00:00,64.73,65.12,60.63,60.88,963600,28.430393601,28.601687491,26.6296116797,26.7394154554,1927200,0.0,1.0
SWKS,2000-01-13 00:00:00+00:00,69.0,69.37,64.81,64.81,826700,30.3058420897,30.4683516777,28.4655308092,28.4655308092,1653400,0.0,1.0
SWKS,2000-01-14 00:00:00+00:00,76.0,77.5,70.0,71.0,910100,33.380347809,34.0391704631,30.7450571925,31.1842722952,1820200,0.0,1.0
SWKS,2000-01-18 00:00:00+00:00,79.12,79.12,73.44,73.44,348600,34.7506989295,34.7506989295,32.2559571459,32.2559571459,697200,0.0,1.0
SWKS,2000-01-19 00:00:00+00:00,88.22,88.62,77.19,78.06,500000,38.7475563646,38.9232424057,33.9030137812,34.2851309206,1000000,0.0,1.0
SWKS,2000-01-20 00:00:00+00:00,90.5,93.0,84.81,88.62,272700,39.7489667988,40.8470045557,37.2498328642,38.9232424057,545400,0.0,1.0
SWKS,2000-01-21 00:00:00+00:00,91.94,94.94,89.37,91.81,333100,40.3814365468,41.699081855,39.2526537327,40.3243385834,666200,0.0,1.0
SWKS,2000-01-24 00:00:00+00:00,88.78,100.12,83.75,91.69,274800,38.9935168221,43.9742160873,36.7842648553,40.2716327711,549600,0.0,1.0
SWKS,2000-01-25 00:00:00+00:00,91.0,93.12,86.0,88.5,422700,39.9685743502,40.899710368,37.7724988365,38.8705365933,845400,0.0,1.0
SWKS,2000-01-26 00:00:00+00:00,86.62,92.25,83.75,91.75,220400,38.0448122002,40.5175932286,36.7842648553,40.2979856773,440800,0.0,1.0
SWKS,2000-01-27 00:00:00+00:00,87.0,92.37,86.0,86.31,453500,38.2117139392,40.570299041,37.7724988365,37.9086555183,907000,0.0,1.0
