symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SYK,2000-01-03 00:00:00+00:00,68.38,69.5,68.13,69.5,269500,13.9238466803,14.1519061755,13.8729405429,14.1519061755,1078000,0.0,1.0
SYK,2000-01-04 00:00:00+00:00,67.63,68.25,67.31,68.13,285200,13.7711282683,13.8973754889,13.7059684125,13.8729405429,1140800,0.0,1.0
SYK,2000-01-05 00:00:00+00:00,69.63,70.0,67.38,67.63,309800,14.1783773669,14.2537184501,13.720222131,13.7711282683,1239200,0.0,1.0
SYK,2000-01-06 00:00:00+00:00,71.19,71.75,69.0,69.5,359600,14.4960316638,14.6100614114,14.0500939008,14.1519061755,1438400,0.0,1.0
SYK,2000-01-07 00:00:00+00:00,77.75,78.5,71.13,71.13,778800,15.8318087071,15.9845271191,14.4838141908,14.4838141908,3115200,0.0,1.0
SYK,2000-01-10 00:00:00+00:00,76.88,81.31,76.5,77.75,556400,15.6546553492,16.5567121025,15.5772780205,15.8318087071,2225600,0.0,1.0
SYK,2000-01-11 00:00:00+00:00,77.63,80.0,75.75,76.25,180500,15.8073737612,16.289963943,15.4245596085,15.5263718832,722000,0.0,1.0
SYK,2000-01-12 00:00:00+00:00,76.0,77.63,75.56,77.63,203900,15.4754657458,15.8073737612,15.3858709441,15.8073737612,815600,0.0,1.0
SYK,2000-01-13 00:00:00+00:00,75.94,76.19,75.38,76.0,228600,15.4632482729,15.5141544102,15.3492185253,15.4754657458,914400,0.0,1.0
SYK,2000-01-14 00:00:00+00:00,77.19,77.5,75.75,76.44,223800,15.7177789595,15.7809025698,15.4245596085,15.5650605475,895200,0.0,1.0
SYK,2000-01-18 00:00:00+00:00,78.63,80.75,76.0,76.94,301600,16.0109983105,16.4426823549,15.4754657458,15.6668728222,1206400,0.0,1.0
SYK,2000-01-19 00:00:00+00:00,79.63,80.0,78.63,78.69,176600,16.2146228597,16.289963943,16.0109983105,16.0232157834,706400,0.0,1.0
SYK,2000-01-20 00:00:00+00:00,78.5,80.0,78.0,79.5,286900,15.9845271191,16.289963943,15.8827148444,16.1881516683,1147600,0.0,1.0
SYK,2000-01-21 00:00:00+00:00,78.38,78.63,77.69,78.44,166700,15.9600921731,16.0109983105,15.8195912341,15.9723096461,666800,0.0,1.0
SYK,2000-01-24 00:00:00+00:00,78.63,80.25,78.06,78.38,603100,16.0109983105,16.3408700803,15.8949323174,15.9600921731,2412400,0.0,1.0
SYK,2000-01-25 00:00:00+00:00,77.0,79.0,76.5,78.63,343300,15.6790902951,16.0863393937,15.5772780205,16.0109983105,1373200,0.0,1.0
SYK,2000-01-26 00:00:00+00:00,76.69,76.94,76.0,76.94,236800,15.6159666848,15.6668728222,15.4754657458,15.6668728222,947200,0.0,1.0
SYK,2000-01-27 00:00:00+00:00,76.38,76.5,75.94,76.5,147100,15.5528430746,15.5772780205,15.4632482729,15.5772780205,588400,0.0,1.0
SYK,2000-01-28 00:00:00+00:00,63.0,73.5,60.81,73.5,2051000,12.8283466051,14.9664043726,12.3824088422,14.9664043726,8204000,0.0,1.0
SYK,2000-01-31 00:00:00+00:00,63.25,64.25,58.31,63.38,1508700,12.8792527424,13.0828772917,11.8733474689,12.9057239338,6034800,0.0,1.0
SYK,2000-02-01 00:00:00+00:00,64.5,65.44,62.06,63.06,620200,13.133783429,13.3251905054,12.6369395288,12.8405640781,2480800,0.0,1.0
SYK,2000-02-02 00:00:00+00:00,65.25,67.0,63.94,67.0,641300,13.286501841,13.6428448022,13.0197536814,13.6428448022,2565200,0.0,1.0
