symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SYY,2000-01-03 00:00:00+00:00,38.12,39.0,38.0,39.0,616600,10.6437752078,10.8894867026,10.6102690948,10.8894867026,1233200,0.0,1.0
SYY,2000-01-04 00:00:00+00:00,36.94,38.31,36.88,37.5,527100,10.3142984306,10.6968265532,10.2975453741,10.4706602909,1054200,0.0,1.0
SYY,2000-01-05 00:00:00+00:00,37.44,38.19,37.0,37.0,667100,10.4874133474,10.6974977494,10.3641638316,10.3641638316,1334200,0.12,1.0
SYY,2000-01-06 00:00:00+00:00,38.81,39.0,36.75,37.0,778700,10.8711675217,10.9243889036,10.2941356976,10.3641638316,1557400,0.0,1.0
SYY,2000-01-07 00:00:00+00:00,38.88,38.94,38.19,38.81,578700,10.8907753992,10.9075821514,10.6974977494,10.8711675217,1157400,0.0,1.0
SYY,2000-01-10 00:00:00+00:00,39.0,39.0,38.13,38.94,700100,10.9243889036,10.9243889036,10.6806909972,10.9075821514,1400200,0.0,1.0
SYY,2000-01-11 00:00:00+00:00,39.0,39.13,38.63,38.88,681800,10.9243889036,10.9608035332,10.8207472652,10.8907753992,1363600,0.0,1.0
SYY,2000-01-12 00:00:00+00:00,40.44,40.75,39.0,39.0,861300,11.3277509554,11.4145858415,10.9243889036,10.9243889036,1722600,0.0,1.0
SYY,2000-01-13 00:00:00+00:00,40.13,40.38,39.69,40.0,414900,11.2409160692,11.3109442032,11.1176665534,11.2045014395,829800,0.0,1.0
SYY,2000-01-14 00:00:00+00:00,39.38,40.56,39.25,40.56,619600,11.0308316672,11.3613644597,10.9944170376,11.3613644597,1239200,0.0,1.0
SYY,2000-01-18 00:00:00+00:00,39.13,39.31,38.94,39.25,422000,10.9608035332,11.0112237897,10.9075821514,10.9944170376,844000,0.0,1.0
SYY,2000-01-19 00:00:00+00:00,38.19,39.13,38.13,39.0,442300,10.6974977494,10.9608035332,10.6806909972,10.9243889036,884600,0.0,1.0
SYY,2000-01-20 00:00:00+00:00,36.0,38.44,35.88,38.44,914000,10.0840512956,10.7675258834,10.0504377913,10.7675258834,1828000,0.0,1.0
SYY,2000-01-21 00:00:00+00:00,35.5,35.88,35.0,35.13,1351500,9.9439950276,10.0504377913,9.8039387596,9.8403533893,2703000,0.0,1.0
SYY,2000-01-24 00:00:00+00:00,34.0,37.19,33.88,36.88,1372100,9.5238262236,10.4173852134,9.4902127193,10.3305503273,2744200,0.0,1.0
SYY,2000-01-25 00:00:00+00:00,34.44,35.25,34.13,34.19,1001700,9.6470757394,9.8739668936,9.5602408533,9.5770476055,2003400,0.0,1.0
SYY,2000-01-26 00:00:00+00:00,34.94,35.31,34.38,34.5,646800,9.7871320074,9.8907736458,9.6302689873,9.6638824916,1293600,0.0,1.0
SYY,2000-01-27 00:00:00+00:00,34.5,35.81,34.06,34.94,693000,9.6638824916,10.0308299138,9.5406329758,9.7871320074,1386000,0.0,1.0
SYY,2000-01-28 00:00:00+00:00,34.06,34.25,33.38,34.0,807300,9.5406329758,9.5938543576,9.3501564513,9.5238262236,1614600,0.0,1.0
SYY,2000-01-31 00:00:00+00:00,35.56,35.56,33.69,34.06,791200,9.9608017798,9.9608017798,9.4369913375,9.5406329758,1582400,0.0,1.0
SYY,2000-02-01 00:00:00+00:00,35.25,35.31,34.56,35.31,1240900,9.8739668936,9.8907736458,9.6806892438,9.8907736458,2481800,0.0,1.0
SYY,2000-02-02 00:00:00+00:00,35.38,36.88,35.31,35.75,1030000,9.9103815233,10.3305503273,9.8907736458,10.0140231616,2060000,0.0,1.0
