symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TAP,2000-01-03 00:00:00+00:00,50.69,52.63,50.56,52.5,99900,15.9629418923,16.5738731859,15.9220031974,16.5329344909,199800,0.0,1.0
TAP,2000-01-04 00:00:00+00:00,50.06,51.25,50.0,50.44,86700,15.7645466784,16.1392931935,15.7456518961,15.8842136328,173400,0.0,1.0
TAP,2000-01-05 00:00:00+00:00,52.69,52.94,50.06,50.06,232400,16.5927679681,16.6714962276,15.7645466784,15.7645466784,464800,0.0,1.0
TAP,2000-01-06 00:00:00+00:00,51.81,53.75,51.81,52.19,100000,16.3156444948,16.9265757883,16.3156444948,16.4353114492,200000,0.0,1.0
TAP,2000-01-07 00:00:00+00:00,52.94,53.63,51.56,51.56,111100,16.6714962276,16.8887862238,16.2369162353,16.2369162353,222200,0.0,1.0
TAP,2000-01-10 00:00:00+00:00,50.88,52.69,50.56,52.69,156000,16.0227753695,16.5927679681,15.9220031974,16.5927679681,312000,0.0,1.0
TAP,2000-01-11 00:00:00+00:00,50.19,50.81,49.75,50.75,119300,15.8054853733,16.0007314569,15.6669236367,15.9818366746,238600,0.0,1.0
TAP,2000-01-12 00:00:00+00:00,50.69,50.75,50.13,50.25,157300,15.9629418923,15.9818366746,15.7865905911,15.8243801556,314600,0.0,1.0
TAP,2000-01-13 00:00:00+00:00,52.69,52.88,51.25,51.25,161200,16.5927679681,16.6526014454,16.1392931935,16.1392931935,322400,0.0,1.0
TAP,2000-01-14 00:00:00+00:00,51.19,52.5,51.19,52.44,138400,16.1203984113,16.5329344909,16.1203984113,16.5140397087,276800,0.0,1.0
TAP,2000-01-18 00:00:00+00:00,49.63,50.94,49.31,50.94,163600,15.6291340721,16.0416701518,15.5283619,16.0416701518,327200,0.0,1.0
TAP,2000-01-19 00:00:00+00:00,50.25,51.44,49.88,49.88,102300,15.8243801556,16.1991266707,15.7078623316,15.7078623316,204600,0.0,1.0
TAP,2000-01-20 00:00:00+00:00,49.81,50.44,49.5,50.19,72000,15.6858184189,15.8842136328,15.5881953772,15.8054853733,144000,0.0,1.0
TAP,2000-01-21 00:00:00+00:00,48.75,50.13,48.38,50.13,122000,15.3520105987,15.7865905911,15.2354927747,15.7865905911,244000,0.0,1.0
TAP,2000-01-24 00:00:00+00:00,47.5,49.31,47.13,48.81,122800,14.9583693013,15.5283619,14.8418514773,15.370905381,245600,0.0,1.0
TAP,2000-01-25 00:00:00+00:00,47.13,48.38,47.13,47.75,91800,14.8418514773,15.2354927747,14.8418514773,15.0370975608,183600,0.0,1.0
TAP,2000-01-26 00:00:00+00:00,46.56,47.19,45.75,47.13,170100,14.6623510457,14.8607462596,14.407271485,14.8418514773,340200,0.0,1.0
TAP,2000-01-27 00:00:00+00:00,47.06,47.19,46.38,46.5,102600,14.8198075646,14.8607462596,14.6056666989,14.6434562634,205200,0.0,1.0
TAP,2000-01-28 00:00:00+00:00,46.88,47.5,46.88,47.06,147100,14.7631232178,14.9583693013,14.7631232178,14.8198075646,294200,0.0,1.0
TAP,2000-01-31 00:00:00+00:00,48.5,48.63,46.69,46.81,107000,15.2732823393,15.3142210342,14.7032897406,14.7410793052,214000,0.0,1.0
TAP,2000-02-01 00:00:00+00:00,48.63,48.75,48.13,48.31,96100,15.3142210342,15.3520105987,15.1567645152,15.213448862,192200,0.0,1.0
TAP,2000-02-02 00:00:00+00:00,48.5,49.13,48.5,48.75,119800,15.2732823393,15.4716775531,15.2732823393,15.3520105987,239600,0.0,1.0
TAP,2000-02-03 00:00:00+00:00,49.31,50.13,48.5,48.5,238900,15.5283619,15.7865905911,15.2732823393,15.2732823393,477800,0.0,1.0
TAP,2000-02-04 00:00:00+00:00,47.5,49.19,47.0,49.19,205500,14.9583693013,15.4905723354,14.8009127824,15.4905723354,411000,0.0,1.0
TAP,2000-02-07 00:00:00+00:00,49.25,50.0,47.5,47.5,191200,15.5094671177,15.7456518961,14.9583693013,14.9583693013,382400,0.0,1.0
TAP,2000-02-08 00:00:00+00:00,46.81,49.69,46.56,49.25,93700,14.7410793052,15.6480288544,14.6623510457,15.5094671177,187400,0.0,1.0
TAP,2000-02-09 00:00:00+00:00,47.69,48.56,47.5,47.88,160400,15.0182027785,15.2921771215,14.9583693013,15.0780362557,320800,0.0,1.0
TAP,2000-02-10 00:00:00+00:00,49.13,49.25,47.31,47.94,250900,15.4716775531,15.5094671177,14.8985358241,15.096931038,501800,0.0,1.0
