symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TDY,2000-01-03 00:00:00+00:00,9.438,9.438,9.438,9.438,315400,9.438,9.438,9.438,9.438,315400,0.0,1.0
TDY,2000-01-04 00:00:00+00:00,9.125,9.375,8.938,9.375,444300,9.125,9.375,8.938,9.375,444300,0.0,1.0
TDY,2000-01-05 00:00:00+00:00,9.313,9.438,9.063,9.063,109100,9.313,9.438,9.063,9.063,109100,0.0,1.0
TDY,2000-01-06 00:00:00+00:00,9.25,9.625,9.125,9.625,120700,9.25,9.625,9.125,9.625,120700,0.0,1.0
TDY,2000-01-07 00:00:00+00:00,9.563,9.625,9.375,9.563,222100,9.563,9.625,9.375,9.563,222100,0.0,1.0
TDY,2000-01-10 00:00:00+00:00,9.75,9.813,9.5,9.563,97500,9.75,9.813,9.5,9.563,97500,0.0,1.0
TDY,2000-01-11 00:00:00+00:00,9.375,9.563,9.125,9.5,290600,9.375,9.563,9.125,9.5,290600,0.0,1.0
TDY,2000-01-12 00:00:00+00:00,9.375,9.5,9.313,9.375,60300,9.375,9.5,9.313,9.375,60300,0.0,1.0
TDY,2000-01-13 00:00:00+00:00,9.25,9.375,9.188,9.25,82400,9.25,9.375,9.188,9.25,82400,0.0,1.0
TDY,2000-01-14 00:00:00+00:00,9.563,9.625,9.188,9.25,36100,9.563,9.625,9.188,9.25,36100,0.0,1.0
TDY,2000-01-18 00:00:00+00:00,9.625,9.875,9.438,9.563,72300,9.625,9.875,9.438,9.563,72300,0.0,1.0
TDY,2000-01-19 00:00:00+00:00,9.688,10.0,9.563,9.75,429300,9.688,10.0,9.563,9.75,429300,0.0,1.0
TDY,2000-01-20 00:00:00+00:00,9.438,9.75,9.25,9.688,21800,9.438,9.75,9.25,9.688,21800,0.0,1.0
TDY,2000-01-21 00:00:00+00:00,9.75,9.75,9.375,9.375,16100,9.75,9.75,9.375,9.375,16100,0.0,1.0
TDY,2000-01-24 00:00:00+00:00,9.625,10.0,9.625,9.938,122900,9.625,10.0,9.625,9.938,122900,0.0,1.0
TDY,2000-01-25 00:00:00+00:00,9.563,9.813,9.5,9.75,40200,9.563,9.813,9.5,9.75,40200,0.0,1.0
