symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TECH,2000-01-03 00:00:00+00:00,58.5,59.06,55.63,56.5,292500,6.2058836828,6.2652904326,5.9014240901,5.9937167193,2340000,0.0,1.0
TECH,2000-01-04 00:00:00+00:00,54.81,56.75,53.5,56.75,234200,5.8144356351,6.0202375897,5.675466274,6.0202375897,1873600,0.0,1.0
TECH,2000-01-05 00:00:00+00:00,55.06,55.31,53.88,54.63,345700,5.8409565055,5.867477376,5.7157779971,5.7953406084,2765600,0.0,1.0
TECH,2000-01-06 00:00:00+00:00,52.06,54.69,51.13,54.22,94700,5.5227060603,5.8017056173,5.4240484222,5.7518463809,757600,0.0,1.0
TECH,2000-01-07 00:00:00+00:00,51.97,53.63,51.63,51.91,162400,5.5131585469,5.6892571266,5.4770901631,5.506793538,1299200,0.0,1.0
TECH,2000-01-10 00:00:00+00:00,58.94,60.44,53.06,54.38,372900,6.2525604148,6.4116856374,5.628789542,5.7688197379,2983200,0.0,1.0
TECH,2000-01-11 00:00:00+00:00,61.13,63.5,59.38,59.38,349100,6.4848832398,6.7363010916,6.2992371467,6.2992371467,2792800,0.0,1.0
TECH,2000-01-12 00:00:00+00:00,62.38,62.38,59.88,60.63,264100,6.617487592,6.617487592,6.3522788876,6.4318414989,2112800,0.0,1.0
TECH,2000-01-13 00:00:00+00:00,62.91,63.0,60.88,62.5,192900,6.6737118373,6.6832593507,6.4583623694,6.6302176098,1543200,0.0,1.0
TECH,2000-01-14 00:00:00+00:00,67.13,70.31,63.0,63.06,325800,7.1213841303,7.4587296023,6.6832593507,6.6896243596,2606400,0.0,1.0
TECH,2000-01-18 00:00:00+00:00,67.25,68.63,66.5,66.78,299000,7.1341141482,7.280509353,7.0545515368,7.0842549117,2392000,0.0,1.0
TECH,2000-01-19 00:00:00+00:00,69.13,69.44,66.0,67.31,181700,7.3335510939,7.3664369732,7.001509796,7.1404791571,1453600,0.0,1.0
