symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TER,2000-01-03 00:00:00+00:00,61.81,65.44,60.12,65.06,1353500,57.6325259541,61.0171897498,56.0567458398,60.6628723276,1353500,0.0,1.0
TER,2000-01-04 00:00:00+00:00,59.94,61.25,59.5,60.25,1611800,55.8889112714,57.1103739635,55.4786489932,56.1779596948,1611800,0.0,1.0
TER,2000-01-05 00:00:00+00:00,58.62,60.38,56.25,59.88,1855800,54.6581244366,56.2991735497,52.4483026196,55.8329664153,1855800,0.0,1.0
TER,2000-01-06 00:00:00+00:00,55.75,58.44,55.25,58.0,964700,51.9820954852,54.4902898682,51.5158883508,54.08002759,964700,0.0,1.0
TER,2000-01-07 00:00:00+00:00,56.94,57.12,54.88,55.75,809200,53.0916684651,53.2595030334,51.1708950713,51.9820954852,809200,0.0,1.0
TER,2000-01-10 00:00:00+00:00,61.94,63.38,58.25,58.25,1109800,57.753739809,59.0964163561,54.3131311572,54.3131311572,1109800,0.0,1.0
TER,2000-01-11 00:00:00+00:00,60.12,63.25,59.44,61.81,1933400,56.0567458398,58.9752025011,55.422704137,57.6325259541,1933400,0.0,1.0
TER,2000-01-12 00:00:00+00:00,61.06,62.38,57.75,58.81,1405400,56.9332152525,58.1640020873,53.8469240228,54.8352831477,1405400,0.0,1.0
TER,2000-01-13 00:00:00+00:00,60.75,61.69,59.5,61.12,1474900,56.6441668292,57.5206362418,55.4786489932,56.9891601086,1474900,0.0,1.0
TER,2000-01-14 00:00:00+00:00,68.0,72.25,64.5,64.5,3204300,63.4041702779,67.3669309203,60.1407203371,60.1407203371,3204300,0.0,1.0
TER,2000-01-18 00:00:00+00:00,69.69,72.38,67.81,68.31,1533900,64.9799503922,67.4881447752,63.2270115668,63.6932187012,1533900,0.0,1.0
TER,2000-01-19 00:00:00+00:00,77.25,78.25,74.5,75.88,3629200,72.0290022642,72.961416533,69.4648630251,70.751594716,3629200,0.0,1.0
TER,2000-01-20 00:00:00+00:00,74.31,78.06,74.0,77.0,3571000,69.287704314,72.784257822,68.9986558907,71.795898697,3571000,0.0,1.0
