symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TFX,2000-01-03 00:00:00+00:00,31.25,31.25,29.69,31.12,172200,22.3706110565,22.3706110565,21.2538701526,22.2775493145,172200,0.0,1.0
TFX,2000-01-04 00:00:00+00:00,30.56,31.56,30.44,31.12,138700,21.8766679644,22.5925275182,21.7907648179,22.2775493145,138700,0.0,1.0
TFX,2000-01-05 00:00:00+00:00,32.44,33.0,30.75,30.75,167400,23.2224839256,23.6233652757,22.0126812796,22.0126812796,167400,0.0,1.0
TFX,2000-01-06 00:00:00+00:00,32.44,32.75,32.19,32.19,240400,23.2224839256,23.4444003872,23.0435190371,23.0435190371,240400,0.0,1.0
TFX,2000-01-07 00:00:00+00:00,33.44,33.75,32.62,32.62,161100,23.9383434794,24.160259941,23.3513386452,23.3513386452,161100,0.0,1.0
TFX,2000-01-10 00:00:00+00:00,34.38,34.38,33.38,33.38,237600,24.6112514599,24.6112514599,23.8953919061,23.8953919061,237600,0.0,1.0
TFX,2000-01-11 00:00:00+00:00,33.88,34.25,33.75,34.25,171500,24.253321683,24.5181897179,24.160259941,24.5181897179,171500,0.0,1.0
TFX,2000-01-12 00:00:00+00:00,34.0,34.44,33.75,33.81,160600,24.3392248295,24.6542030332,24.160259941,24.2032115143,160600,0.0,1.0
TFX,2000-01-13 00:00:00+00:00,35.06,35.25,33.88,33.88,191500,25.0980359565,25.2340492718,24.253321683,24.253321683,191500,0.0,1.0
TFX,2000-01-14 00:00:00+00:00,35.25,35.81,35.19,35.31,167800,25.2340492718,25.6349306219,25.1910976985,25.277000845,167800,0.0,1.0
TFX,2000-01-18 00:00:00+00:00,35.81,36.19,34.69,35.5,112900,25.6349306219,25.9069572523,24.8331679216,25.4130141602,112900,0.0,1.0
TFX,2000-01-19 00:00:00+00:00,35.5,36.12,35.38,35.69,74900,25.4130141602,25.8568470836,25.3271110137,25.5490274754,74900,0.0,1.0
TFX,2000-01-20 00:00:00+00:00,34.62,35.69,34.31,35.62,106700,24.7830577529,25.5490274754,24.5611412912,25.4989173067,106700,0.0,1.0
TFX,2000-01-21 00:00:00+00:00,33.5,34.62,33.38,34.56,123100,23.9812950526,24.7830577529,23.8953919061,24.7401061796,123100,0.0,1.0
TFX,2000-01-24 00:00:00+00:00,32.31,33.44,32.0,33.44,179500,23.1294221836,23.9383434794,22.9075057219,23.9383434794,179500,0.0,1.0
TFX,2000-01-25 00:00:00+00:00,32.94,33.06,32.31,32.31,110900,23.5804137025,23.6663168489,23.1294221836,23.1294221836,110900,0.0,1.0
TFX,2000-01-26 00:00:00+00:00,32.19,33.06,31.88,33.0,98000,23.0435190371,23.6663168489,22.8216025754,23.6233652757,98000,0.0,1.0
TFX,2000-01-27 00:00:00+00:00,32.12,32.81,32.0,32.0,179500,22.9934088683,23.4873519605,22.9075057219,22.9075057219,179500,0.0,1.0
TFX,2000-01-28 00:00:00+00:00,32.0,32.25,31.69,32.12,189100,22.9075057219,23.0864706103,22.6855892602,22.9934088683,189100,0.0,1.0
TFX,2000-01-31 00:00:00+00:00,31.75,32.0,31.25,31.88,80700,22.7285408334,22.9075057219,22.3706110565,22.8216025754,80700,0.0,1.0
TFX,2000-02-01 00:00:00+00:00,31.19,31.81,31.06,31.75,177400,22.3276594833,22.7714924067,22.2345977413,22.7285408334,177400,0.0,1.0
TFX,2000-02-02 00:00:00+00:00,30.12,30.69,28.94,30.69,504700,21.5616897607,21.9697297064,20.7169754872,21.9697297064,504700,0.0,1.0
TFX,2000-02-03 00:00:00+00:00,30.62,30.94,30.25,30.5,175100,21.9196195376,22.1486945948,21.6547515027,21.8337163912,175100,0.0,1.0
TFX,2000-02-04 00:00:00+00:00,30.0,30.81,29.88,30.75,82900,21.4757866143,22.0556328528,21.3898834678,22.0126812796,82900,0.0,1.0
TFX,2000-02-07 00:00:00+00:00,29.56,30.31,29.25,30.12,162200,21.1608084106,21.6977030759,20.9388919489,21.5616897607,162200,0.0,1.0
TFX,2000-02-08 00:00:00+00:00,29.38,29.94,29.25,29.5,95200,21.0319536909,21.432835041,20.9388919489,21.1178568374,95200,0.0,1.0
TFX,2000-02-09 00:00:00+00:00,29.38,29.94,29.06,29.88,90200,21.0319536909,21.432835041,20.8028786337,21.3898834678,90200,0.0,1.0
TFX,2000-02-10 00:00:00+00:00,29.56,30.19,29.31,29.62,141000,21.1608084106,21.6117999295,20.9818435221,21.2037599838,141000,0.0,1.0
TFX,2000-02-11 00:00:00+00:00,28.62,29.69,28.44,29.44,97700,20.48790043,21.2538701526,20.3590457103,21.0749052641,97700,0.0,1.0
TFX,2000-02-14 00:00:00+00:00,29.5,29.88,28.69,28.81,159400,21.1178568374,21.3898834678,20.5380105988,20.6239137452,159400,0.0,1.0
TFX,2000-02-15 00:00:00+00:00,28.62,29.56,28.5,29.5,80200,20.48790043,21.1608084106,20.4019972835,21.1178568374,80200,0.0,1.0
TFX,2000-02-16 00:00:00+00:00,28.81,29.44,28.38,28.5,123900,20.6239137452,21.0749052641,20.3160941371,20.4019972835,123900,0.0,1.0
TFX,2000-02-17 00:00:00+00:00,28.56,29.19,28.25,29.06,131800,20.4449488568,20.8959403757,20.2230323951,20.8028786337,131800,0.0,1.0
TFX,2000-02-18 00:00:00+00:00,28.5,28.62,28.19,28.56,216900,20.4019972835,20.48790043,20.1800808219,20.4449488568,216900,0.0,1.0
TFX,2000-02-22 00:00:00+00:00,28.25,29.0,28.06,28.75,155900,20.2230323951,20.7599270604,20.0870190799,20.580962172,155900,0.0,1.0
TFX,2000-02-23 00:00:00+00:00,27.75,28.31,27.06,27.94,235300,19.9581643602,20.360923713,19.4619073004,20.0948148549,235300,0.13,1.0
TFX,2000-02-24 00:00:00+00:00,26.94,27.62,26.12,27.62,135400,19.3756017248,19.8646666533,18.7858469581,19.8646666533,135400,0.0,1.0
TFX,2000-02-25 00:00:00+00:00,27.19,27.81,26.44,26.81,107800,19.5554050073,20.001317148,19.0159951598,19.2821040179,107800,0.0,1.0
TFX,2000-02-28 00:00:00+00:00,27.12,27.75,26.62,27.44,119000,19.5050600882,19.9581643602,19.1454535232,19.7352082899,119000,0.0,1.0
TFX,2000-02-29 00:00:00+00:00,28.25,28.25,27.06,27.06,188200,20.3177709252,20.3177709252,19.4619073004,19.4619073004,188200,0.0,1.0
TFX,2000-03-01 00:00:00+00:00,29.44,30.19,28.0,28.0,223500,21.17363455,21.7130443976,20.1379676427,20.1379676427,223500,0.0,1.0
TFX,2000-03-02 00:00:00+00:00,28.75,29.75,28.62,29.44,110100,20.6773774903,21.3965906204,20.5838797834,21.17363455,110100,0.0,1.0
TFX,2000-03-03 00:00:00+00:00,28.44,29.19,28.38,29.12,126600,20.45442142,20.9938312675,20.4112686321,20.9434863484,126600,0.0,1.0
TFX,2000-03-06 00:00:00+00:00,27.88,28.38,27.62,28.19,147500,20.0516620671,20.4112686321,19.8646666533,20.2746181374,147500,0.0,1.0
TFX,2000-03-07 00:00:00+00:00,27.56,27.75,27.44,27.75,137400,19.8215138655,19.9581643602,19.7352082899,19.9581643602,137400,0.0,1.0
TFX,2000-03-08 00:00:00+00:00,27.88,28.31,27.56,27.62,65600,20.0516620671,20.360923713,19.8215138655,19.8646666533,65600,0.0,1.0
TFX,2000-03-09 00:00:00+00:00,28.62,28.94,27.75,27.75,63600,20.5838797834,20.814027985,19.9581643602,19.9581643602,63600,0.0,1.0
TFX,2000-03-10 00:00:00+00:00,28.75,29.0,28.12,28.56,100700,20.6773774903,20.8571807728,20.2242732183,20.5407269956,100700,0.0,1.0
TFX,2000-03-13 00:00:00+00:00,28.62,29.19,27.62,28.88,224100,20.5838797834,20.9938312675,19.8646666533,20.7708751972,224100,0.0,1.0
TFX,2000-03-14 00:00:00+00:00,27.88,28.69,27.75,28.62,105700,20.0516620671,20.6342247025,19.9581643602,20.5838797834,105700,0.0,1.0
