symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TJX,2000-01-03 00:00:00+00:00,20.31,20.5,20.06,20.38,1810500,1.9423532939,1.9605240041,1.9184444645,1.9490477661,14484000,0.0,1.0
TJX,2000-01-04 00:00:00+00:00,19.25,20.25,18.63,20.06,2277100,1.8409798575,1.9366151748,1.7816859608,1.9184444645,18216800,0.0,1.0
TJX,2000-01-05 00:00:00+00:00,18.69,19.44,18.69,19.25,3002800,1.7874240799,1.8591505678,1.7874240799,1.8409798575,24022400,0.0,1.0
TJX,2000-01-06 00:00:00+00:00,19.81,20.75,19.69,20.0,3374000,1.8945356352,1.9844328335,1.8830593971,1.9127063455,26992000,0.0,1.0
TJX,2000-01-07 00:00:00+00:00,20.31,20.81,19.5,19.88,2177500,1.9423532939,1.9901709525,1.8648886869,1.9012301074,17420000,0.0,1.0
TJX,2000-01-10 00:00:00+00:00,20.0,20.31,19.94,20.19,1904100,1.9127063455,1.9423532939,1.9069682265,1.9308770558,15232800,0.0,1.0
TJX,2000-01-11 00:00:00+00:00,19.69,20.19,19.63,20.0,2447300,1.8830593971,1.9308770558,1.8773212781,1.9127063455,19578400,0.0,1.0
TJX,2000-01-12 00:00:00+00:00,19.5,19.75,19.5,19.69,2047200,1.8648886869,1.8887975162,1.8648886869,1.8830593971,16377600,0.0,1.0
TJX,2000-01-13 00:00:00+00:00,19.5,19.69,19.06,19.5,2342200,1.8648886869,1.8830593971,1.8228091473,1.8648886869,18737600,0.0,1.0
TJX,2000-01-14 00:00:00+00:00,19.69,19.94,19.38,19.44,1158100,1.8830593971,1.9069682265,1.8534124488,1.8591505678,9264800,0.0,1.0
TJX,2000-01-18 00:00:00+00:00,19.06,19.56,18.94,19.44,986000,1.8228091473,1.8706268059,1.8113329092,1.8591505678,7888000,0.0,1.0
TJX,2000-01-19 00:00:00+00:00,18.44,19.38,18.38,19.31,1810700,1.7635152506,1.8534124488,1.7577771315,1.8467179766,14485600,0.0,1.0
TJX,2000-01-20 00:00:00+00:00,18.5,19.0,18.19,18.88,1154900,1.7692533696,1.8170710282,1.7396064212,1.8055947902,9239200,0.0,1.0
TJX,2000-01-21 00:00:00+00:00,17.25,18.31,16.88,18.25,5423700,1.649709223,1.7510826593,1.6143241556,1.7453445403,43389600,0.0,1.0
TJX,2000-01-24 00:00:00+00:00,16.63,17.19,16.5,16.75,3547800,1.5904153263,1.643971104,1.577982735,1.6018915644,28382400,0.0,1.0
TJX,2000-01-25 00:00:00+00:00,17.0,17.19,16.56,16.63,1645900,1.6258003937,1.643971104,1.5837208541,1.5904153263,13167200,0.0,1.0
TJX,2000-01-26 00:00:00+00:00,17.38,17.5,16.81,16.81,2058200,1.6621418142,1.6736180523,1.6076296834,1.6076296834,16465600,0.0,1.0
TJX,2000-01-27 00:00:00+00:00,17.13,17.81,16.88,17.31,1528600,1.6382329849,1.7032650007,1.6143241556,1.655447342,12228800,0.0,1.0
TJX,2000-01-28 00:00:00+00:00,16.31,16.94,16.25,16.88,1741500,1.5598120248,1.6200622746,1.5540739057,1.6143241556,13932000,0.0,1.0
TJX,2000-01-31 00:00:00+00:00,16.31,16.5,16.06,16.38,1412100,1.5598120248,1.577982735,1.5359031954,1.566506497,11296800,0.0,1.0
TJX,2000-02-01 00:00:00+00:00,16.63,16.69,16.06,16.06,1311900,1.5904153263,1.5961534453,1.5359031954,1.5359031954,10495200,0.0,1.0
TJX,2000-02-02 00:00:00+00:00,17.5,17.75,16.06,16.69,1490200,1.6736180523,1.6975268816,1.5359031954,1.5961534453,11921600,0.0,1.0
TJX,2000-02-03 00:00:00+00:00,18.19,18.56,17.0,17.25,2790200,1.7396064212,1.7749914886,1.6258003937,1.649709223,22321600,0.0,1.0
TJX,2000-02-04 00:00:00+00:00,18.31,18.63,17.25,18.31,2686100,1.7510826593,1.7816859608,1.649709223,1.7510826593,21488800,0.0,1.0
