symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TMO,2000-01-03 00:00:00+00:00,15.0,15.19,15.0,15.0,432200,12.3126951086,12.4686559133,12.3126951086,12.3126951086,432200,0.0,1.0
TMO,2000-01-04 00:00:00+00:00,14.44,14.94,14.31,14.88,568400,11.8530211579,12.2634443282,11.7463111336,12.2141935477,568400,0.0,1.0
TMO,2000-01-05 00:00:00+00:00,14.38,14.75,14.31,14.75,490800,11.8037703774,12.1074835234,11.7463111336,12.1074835234,490800,0.0,1.0
TMO,2000-01-06 00:00:00+00:00,14.56,14.56,14.31,14.38,561900,11.9515227187,11.9515227187,11.7463111336,11.8037703774,561900,0.0,1.0
TMO,2000-01-07 00:00:00+00:00,14.75,14.75,14.31,14.44,266600,12.1074835234,12.1074835234,11.7463111336,11.8530211579,266600,0.0,1.0
TMO,2000-01-10 00:00:00+00:00,14.63,14.75,14.5,14.56,470000,12.0089819626,12.1074835234,11.9022719383,11.9515227187,470000,0.0,1.0
TMO,2000-01-11 00:00:00+00:00,14.75,14.94,14.5,14.5,277900,12.1074835234,12.2634443282,11.9022719383,11.9022719383,277900,0.0,1.0
TMO,2000-01-12 00:00:00+00:00,14.38,14.81,14.0,14.75,432300,11.8037703774,12.1567343039,11.491848768,12.1074835234,432300,0.0,1.0
TMO,2000-01-13 00:00:00+00:00,14.88,14.94,14.25,14.25,477500,12.2141935477,12.2634443282,11.6970603532,11.6970603532,477500,0.0,1.0
TMO,2000-01-14 00:00:00+00:00,14.63,14.94,14.56,14.94,274400,12.0089819626,12.2634443282,11.9515227187,12.2634443282,274400,0.0,1.0
TMO,2000-01-18 00:00:00+00:00,14.44,14.75,14.31,14.75,520300,11.8530211579,12.1074835234,11.7463111336,12.1074835234,520300,0.0,1.0
TMO,2000-01-19 00:00:00+00:00,14.25,14.56,14.19,14.31,660200,11.6970603532,11.9515227187,11.6478095727,11.7463111336,660200,0.0,1.0
TMO,2000-01-20 00:00:00+00:00,14.5,14.63,14.31,14.31,556000,11.9022719383,12.0089819626,11.7463111336,11.7463111336,556000,0.0,1.0
TMO,2000-01-21 00:00:00+00:00,14.44,14.75,14.38,14.5,1097200,11.8530211579,12.1074835234,11.8037703774,11.9022719383,1097200,0.0,1.0
TMO,2000-01-24 00:00:00+00:00,14.63,14.81,14.44,14.5,658900,12.0089819626,12.1567343039,11.8530211579,11.9022719383,658900,0.0,1.0
TMO,2000-01-25 00:00:00+00:00,14.75,15.38,14.5,14.56,878400,12.1074835234,12.624616718,11.9022719383,11.9515227187,878400,0.0,1.0
TMO,2000-01-26 00:00:00+00:00,15.56,16.13,14.69,14.75,1525400,12.7723690593,13.2402514734,12.058232743,12.1074835234,1525400,0.0,1.0
