symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TRGP,2010-12-07 00:00:00+00:00,24.7,25.2,23.5,24.1,10577600,13.8196850827,14.0994357928,13.1482833782,13.4839842304,10577600,0.0,1.0
TRGP,2010-12-08 00:00:00+00:00,25.65,26.0,24.4,24.51,865200,14.351211432,14.5470369291,13.6518346565,13.7133798128,865200,0.0,1.0
TRGP,2010-12-09 00:00:00+00:00,25.57,26.25,25.34,25.35,877800,14.3064513184,14.6869122842,14.1777659917,14.1833610059,877800,0.0,1.0
TRGP,2010-12-10 00:00:00+00:00,25.64,25.79,25.29,25.37,436900,14.3456164178,14.4295416308,14.1497909207,14.1945510343,436900,0.0,1.0
TRGP,2010-12-13 00:00:00+00:00,26.52,26.69,25.49,25.5,397800,14.8379776677,14.9330929092,14.2616912047,14.2672862189,397800,0.0,1.0
TRGP,2010-12-14 00:00:00+00:00,26.54,26.6,25.79,26.4,250500,14.8491676961,14.8827377813,14.4295416308,14.7708374972,250500,0.0,1.0
TRGP,2010-12-15 00:00:00+00:00,26.06,27.14,25.48,26.56,396100,14.5806070143,15.1848685483,14.2560961905,14.8603577245,396100,0.0,1.0
TRGP,2010-12-16 00:00:00+00:00,26.81,26.93,25.95,25.96,133000,15.0002330796,15.06737325,14.5190618581,14.5246568723,133000,0.0,1.0
TRGP,2010-12-17 00:00:00+00:00,27.31,27.55,26.9,26.99,101600,15.2799837898,15.4142641307,15.0505882074,15.1009433353,101600,0.0,1.0
TRGP,2010-12-20 00:00:00+00:00,27.53,28.4,27.19,27.21,149300,15.4030741022,15.889840338,15.2128436193,15.2240336477,149300,0.0,1.0
TRGP,2010-12-21 00:00:00+00:00,27.05,27.7,26.6,27.63,139200,15.1345134205,15.4981893437,14.8827377813,15.4590242443,139200,0.0,1.0
TRGP,2010-12-22 00:00:00+00:00,26.88,26.88,26.21,26.85,157500,15.039398179,15.039398179,14.6645322274,15.0226131364,157500,0.0,1.0
TRGP,2010-12-23 00:00:00+00:00,26.86,26.86,26.7,26.73,135200,15.0282081506,15.0282081506,14.9386879234,14.955472966,135200,0.0,1.0
TRGP,2010-12-27 00:00:00+00:00,26.51,26.75,26.43,26.75,97000,14.8323826535,14.9666629944,14.7876225399,14.9666629944,97000,0.0,1.0
TRGP,2010-12-28 00:00:00+00:00,26.8,26.85,26.4,26.45,204000,14.9946380654,15.0226131364,14.7708374972,14.7988125683,204000,0.0,1.0
TRGP,2010-12-29 00:00:00+00:00,27.15,27.15,26.5,26.54,75200,15.1904635625,15.1904635625,14.8267876393,14.8491676961,75200,0.0,1.0
TRGP,2010-12-30 00:00:00+00:00,27.03,27.19,26.85,27.01,298000,15.1233233921,15.2128436193,15.0226131364,15.1121333637,298000,0.0,1.0
TRGP,2010-12-31 00:00:00+00:00,26.81,27.05,26.79,27.0,49800,15.0002330796,15.1345134205,14.9890430512,15.1065383495,49800,0.0,1.0
TRGP,2011-01-03 00:00:00+00:00,27.0,27.05,26.51,26.92,253500,15.1065383495,15.1345134205,14.8323826535,15.0617782358,253500,0.0,1.0
TRGP,2011-01-04 00:00:00+00:00,27.16,27.19,26.63,27.0,232300,15.1960585767,15.2128436193,14.8995228239,15.1065383495,232300,0.0,1.0
TRGP,2011-01-05 00:00:00+00:00,27.34,27.37,26.87,27.01,61800,15.2967688324,15.313553875,15.0338031648,15.1121333637,61800,0.0,1.0
TRGP,2011-01-06 00:00:00+00:00,27.99,28.16,26.95,27.28,116100,15.6604447556,15.7555599971,15.0785632784,15.2631987472,116100,0.0,1.0
TRGP,2011-01-07 00:00:00+00:00,27.8,28.13,27.41,27.9,288300,15.5541394857,15.7387749545,15.3359339318,15.6100896278,288300,0.0,1.0
TRGP,2011-01-10 00:00:00+00:00,27.4,27.97,27.07,27.5,121100,15.3303389176,15.6492547272,15.1457034489,15.3862890596,121100,0.0,1.0
TRGP,2011-01-11 00:00:00+00:00,27.59,27.64,27.12,27.43,188900,15.4366441875,15.4646192585,15.1736785199,15.3471239602,188900,0.0,1.0
TRGP,2011-01-12 00:00:00+00:00,28.35,28.48,27.43,27.68,172300,15.8618652669,15.9346004516,15.3471239602,15.4869993153,172300,0.0,1.0
TRGP,2011-01-13 00:00:00+00:00,28.03,28.46,27.89,28.11,130200,15.6828248124,15.9234104232,15.6044946136,15.727584926,130200,0.0,1.0
TRGP,2011-01-14 00:00:00+00:00,28.31,28.47,27.96,28.09,249000,15.8394852101,15.9290054374,15.643659713,15.7163948976,249000,0.0,1.0
TRGP,2011-01-18 00:00:00+00:00,29.34,30.25,28.42,28.6,692000,16.4157716731,16.9249179656,15.9010303664,16.001740622,692000,0.0,1.0
TRGP,2011-01-19 00:00:00+00:00,28.87,29.85,28.8,29.69,227700,16.1528060055,16.7011173975,16.1136409061,16.6115971702,227700,0.0,1.0
TRGP,2011-01-20 00:00:00+00:00,29.41,30.04,27.27,28.89,354600,16.4549367725,16.8074226673,15.257603733,16.1639960339,354600,0.0,1.0
TRGP,2011-01-21 00:00:00+00:00,29.41,29.58,28.21,29.5,118100,16.4549367725,16.550052014,15.7835350681,16.5052919003,118100,0.0,1.0
TRGP,2011-01-24 00:00:00+00:00,30.1,30.23,28.51,29.4,129400,16.8409927525,16.9137279372,15.9513854942,16.4493417583,129400,0.0,1.0
TRGP,2011-01-25 00:00:00+00:00,30.19,30.98,29.86,30.04,204000,16.8913478804,17.3333540025,16.7067124117,16.8074226673,204000,0.0,1.0
TRGP,2011-01-26 00:00:00+00:00,30.4,30.81,29.6,30.23,125200,17.0088431787,17.238238761,16.5612420424,16.9137279372,125200,0.0,1.0
TRGP,2011-01-27 00:00:00+00:00,30.39,30.6,30.0,30.24,37300,17.0032481644,17.1207434627,16.7850426105,16.9193229514,37300,0.0,1.0
TRGP,2011-01-28 00:00:00+00:00,30.58,30.76,28.98,30.21,256400,17.1095534343,17.21026369,16.2143511618,16.9025379088,256400,0.0,1.0
TRGP,2011-01-31 00:00:00+00:00,30.73,31.71,30.25,31.54,202900,17.1934786474,17.7417900393,16.9249179656,17.6466747979,202900,0.0,1.0
TRGP,2011-02-01 00:00:00+00:00,30.65,31.17,30.12,31.17,85500,17.1831838212,17.474709289,16.8860520945,17.474709289,85500,0.0616,1.0
TRGP,2011-02-02 00:00:00+00:00,30.16,31.42,30.04,30.44,88600,16.9084771305,17.6148657639,16.8412020225,17.0654523823,88600,0.0,1.0
TRGP,2011-02-03 00:00:00+00:00,29.38,30.56,29.25,30.35,287900,16.4711889288,17.1327274903,16.3983075619,17.0149960514,287900,0.0,1.0
TRGP,2011-02-04 00:00:00+00:00,30.02,30.07,29.38,29.57,131500,16.8299895045,16.8580207995,16.4711889288,16.5777078497,131500,0.0,1.0
TRGP,2011-02-07 00:00:00+00:00,30.0,30.74,30.0,30.19,97200,16.8187769865,17.2336401522,16.8187769865,16.9252959074,97200,0.0,1.0
TRGP,2011-02-08 00:00:00+00:00,31.2,31.58,29.95,30.04,270600,17.491528066,17.7045659078,16.7907456915,16.8412020225,270600,0.0,1.0
TRGP,2011-02-09 00:00:00+00:00,31.36,31.5,31.16,31.39,45100,17.5812282099,17.6597158359,17.46910303,17.5980469869,45100,0.0,1.0
TRGP,2011-02-10 00:00:00+00:00,30.98,31.73,30.53,31.25,74100,17.3681903681,17.7886597927,17.1159087133,17.519559361,74100,0.0,1.0
TRGP,2011-02-11 00:00:00+00:00,31.02,31.16,30.72,31.16,78300,17.3906154041,17.46910303,17.2224276342,17.46910303,78300,0.0,1.0
TRGP,2011-02-14 00:00:00+00:00,31.44,32.22,31.27,31.34,219900,17.6260782819,18.0633664835,17.530771879,17.5700156919,219900,0.0,1.0
TRGP,2011-02-15 00:00:00+00:00,31.88,31.92,31.5,31.6,201500,17.8727536777,17.8951787137,17.6597158359,17.7157784258,201500,0.0,1.0
TRGP,2011-02-16 00:00:00+00:00,32.22,32.4,32.0,32.26,220700,18.0633664835,18.1642791454,17.9400287856,18.0857915195,220700,0.0,1.0
TRGP,2011-02-17 00:00:00+00:00,32.1,32.29,31.61,32.25,91500,17.9960913756,18.1026102965,17.7213846848,18.0801852605,91500,0.0,1.0
