symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TRMB,2000-01-03 00:00:00+00:00,24.88,26.5,24.5,25.02,1337467,4.1466666667,4.4166666667,4.0833333333,4.17,8024802,0.0,1.0
TRMB,2000-01-04 00:00:00+00:00,24.44,25.25,23.88,25.25,827200,4.0733333333,4.2083333333,3.98,4.2083333333,4963200,0.0,1.0
TRMB,2000-01-05 00:00:00+00:00,23.63,24.38,23.63,24.19,321667,3.9383333333,4.0633333333,3.9383333333,4.0316666667,1930002,0.0,1.0
TRMB,2000-01-06 00:00:00+00:00,23.13,24.44,22.25,22.81,371800,3.855,4.0733333333,3.7083333333,3.8016666667,2230800,0.0,1.0
TRMB,2000-01-07 00:00:00+00:00,23.13,23.31,22.63,23.31,361067,3.855,3.885,3.7716666667,3.885,2166402,0.0,1.0
TRMB,2000-01-10 00:00:00+00:00,24.63,24.94,24.0,24.0,453867,4.105,4.1566666667,4.0,4.0,2723202,0.0,1.0
TRMB,2000-01-11 00:00:00+00:00,24.75,25.0,24.5,25.0,265600,4.125,4.1666666667,4.0833333333,4.1666666667,1593600,0.0,1.0
TRMB,2000-01-12 00:00:00+00:00,23.56,24.88,23.38,24.88,248867,3.9266666667,4.1466666667,3.8966666667,4.1466666667,1493202,0.0,1.0
TRMB,2000-01-13 00:00:00+00:00,24.56,24.63,23.5,24.06,365267,4.0933333333,4.105,3.9166666667,4.01,2191602,0.0,1.0
TRMB,2000-01-14 00:00:00+00:00,23.06,24.75,23.0,24.56,234200,3.8433333333,4.125,3.8333333333,4.0933333333,1405200,0.0,1.0
TRMB,2000-01-18 00:00:00+00:00,23.44,24.5,21.75,23.0,193867,3.9066666667,4.0833333333,3.625,3.8333333333,1163202,0.0,1.0
TRMB,2000-01-19 00:00:00+00:00,23.75,23.88,23.0,23.75,138200,3.9583333333,3.98,3.8333333333,3.9583333333,829200,0.0,1.0
TRMB,2000-01-20 00:00:00+00:00,24.13,24.25,23.63,24.09,214200,4.0216666667,4.0416666667,3.9383333333,4.015,1285200,0.0,1.0
TRMB,2000-01-21 00:00:00+00:00,24.06,24.38,23.13,23.5,342000,4.01,4.0633333333,3.855,3.9166666667,2052000,0.0,1.0
TRMB,2000-01-24 00:00:00+00:00,24.63,25.0,24.25,24.44,677800,4.105,4.1666666667,4.0416666667,4.0733333333,4066800,0.0,1.0
TRMB,2000-01-25 00:00:00+00:00,24.0,25.0,23.38,24.88,205667,4.0,4.1666666667,3.8966666667,4.1466666667,1234002,0.0,1.0
TRMB,2000-01-26 00:00:00+00:00,24.06,24.13,23.75,24.13,159867,4.01,4.0216666667,3.9583333333,4.0216666667,959202,0.0,1.0
TRMB,2000-01-27 00:00:00+00:00,23.0,26.25,21.75,24.0,715000,3.8333333333,4.375,3.625,4.0,4290000,0.0,1.0
TRMB,2000-01-28 00:00:00+00:00,20.66,23.69,20.13,23.63,278867,3.4433333333,3.9483333333,3.355,3.9383333333,1673202,0.0,1.0
TRMB,2000-01-31 00:00:00+00:00,19.0,20.38,18.13,20.31,478267,3.1666666667,3.3966666667,3.0216666667,3.385,2869602,0.0,1.0
TRMB,2000-02-01 00:00:00+00:00,20.56,20.88,19.06,19.44,345400,3.4266666667,3.48,3.1766666667,3.24,2072400,0.0,1.0
TRMB,2000-02-02 00:00:00+00:00,20.5,22.94,20.38,20.63,520000,3.4166666667,3.8233333333,3.3966666667,3.4383333333,3120000,0.0,1.0
TRMB,2000-02-03 00:00:00+00:00,20.81,23.0,20.5,21.88,197600,3.4683333333,3.8333333333,3.4166666667,3.6466666667,1185600,0.0,1.0
TRMB,2000-02-04 00:00:00+00:00,22.25,22.44,21.0,21.0,246467,3.7083333333,3.74,3.5,3.5,1478802,0.0,1.0
TRMB,2000-02-07 00:00:00+00:00,22.44,22.5,21.88,22.06,117800,3.74,3.75,3.6466666667,3.6766666667,706800,0.0,1.0
TRMB,2000-02-08 00:00:00+00:00,22.88,23.0,22.13,22.5,169200,3.8133333333,3.8333333333,3.6883333333,3.75,1015200,0.0,1.0
TRMB,2000-02-09 00:00:00+00:00,22.44,23.0,21.13,22.97,239467,3.74,3.8333333333,3.5216666667,3.8283333333,1436802,0.0,1.0
TRMB,2000-02-10 00:00:00+00:00,20.63,22.19,20.0,22.13,235067,3.4383333333,3.6983333333,3.3333333333,3.6883333333,1410402,0.0,1.0
TRMB,2000-02-11 00:00:00+00:00,19.63,21.0,18.5,20.88,344600,3.2716666667,3.5,3.0833333333,3.48,2067600,0.0,1.0
TRMB,2000-02-14 00:00:00+00:00,19.75,19.75,18.63,19.5,153667,3.2916666667,3.2916666667,3.105,3.25,922002,0.0,1.0
TRMB,2000-02-15 00:00:00+00:00,19.88,20.13,19.25,19.38,94000,3.3133333333,3.355,3.2083333333,3.23,564000,0.0,1.0
TRMB,2000-02-16 00:00:00+00:00,20.19,23.5,19.5,23.0,142200,3.365,3.9166666667,3.25,3.8333333333,853200,0.0,1.0
TRMB,2000-02-17 00:00:00+00:00,21.0,21.19,20.25,20.25,111267,3.5,3.5316666667,3.375,3.375,667602,0.0,1.0
TRMB,2000-02-18 00:00:00+00:00,20.0,21.25,20.0,20.69,108400,3.3333333333,3.5416666667,3.3333333333,3.4483333333,650400,0.0,1.0
TRMB,2000-02-22 00:00:00+00:00,20.88,21.0,20.0,20.38,161667,3.48,3.5,3.3333333333,3.3966666667,970002,0.0,1.0
TRMB,2000-02-23 00:00:00+00:00,21.44,21.63,20.19,20.38,164200,3.5733333333,3.605,3.365,3.3966666667,985200,0.0,1.0
TRMB,2000-02-24 00:00:00+00:00,22.75,23.0,21.44,21.63,333267,3.7916666667,3.8333333333,3.5733333333,3.605,1999602,0.0,1.0
TRMB,2000-02-25 00:00:00+00:00,23.31,24.25,22.38,22.69,410600,3.885,4.0416666667,3.73,3.7816666667,2463600,0.0,1.0
TRMB,2000-02-28 00:00:00+00:00,22.5,23.31,21.75,23.25,183800,3.75,3.885,3.625,3.875,1102800,0.0,1.0
TRMB,2000-02-29 00:00:00+00:00,24.0,24.06,22.81,23.0,411200,4.0,4.01,3.8016666667,3.8333333333,2467200,0.0,1.0
TRMB,2000-03-01 00:00:00+00:00,23.31,24.25,22.75,24.06,466467,3.885,4.0416666667,3.7916666667,4.01,2798802,0.0,1.0
TRMB,2000-03-02 00:00:00+00:00,22.88,24.63,22.81,23.0,275067,3.8133333333,4.105,3.8016666667,3.8333333333,1650402,0.0,1.0
TRMB,2000-03-03 00:00:00+00:00,24.5,24.5,23.13,23.13,824200,4.0833333333,4.0833333333,3.855,3.855,4945200,0.0,1.0
TRMB,2000-03-06 00:00:00+00:00,27.5,27.63,24.38,24.5,1219000,4.5833333333,4.605,4.0633333333,4.0833333333,7314000,0.0,1.0
TRMB,2000-03-07 00:00:00+00:00,30.25,31.44,28.5,29.0,2128067,5.0416666667,5.24,4.75,4.8333333333,12768402,0.0,1.0
TRMB,2000-03-08 00:00:00+00:00,28.94,30.94,26.88,30.88,676200,4.8233333333,5.1566666667,4.48,5.1466666667,4057200,0.0,1.0
TRMB,2000-03-09 00:00:00+00:00,28.38,29.94,27.75,29.25,280467,4.73,4.99,4.625,4.875,1682802,0.0,1.0
TRMB,2000-03-10 00:00:00+00:00,29.5,29.94,28.0,28.38,241200,4.9166666667,4.99,4.6666666667,4.73,1447200,0.0,1.0
TRMB,2000-03-13 00:00:00+00:00,29.38,30.0,27.25,27.75,324267,4.8966666667,5.0,4.5416666667,4.625,1945602,0.0,1.0
TRMB,2000-03-14 00:00:00+00:00,27.5,31.0,26.75,29.5,498667,4.5833333333,5.1666666667,4.4583333333,4.9166666667,2992002,0.0,1.0
TRMB,2000-03-15 00:00:00+00:00,26.56,28.0,26.13,27.06,180667,4.4266666667,4.6666666667,4.355,4.51,1084002,0.0,1.0
TRMB,2000-03-16 00:00:00+00:00,27.0,27.0,24.63,26.66,230267,4.5,4.5,4.105,4.4433333333,1381602,0.0,1.0
TRMB,2000-03-17 00:00:00+00:00,26.69,27.5,25.5,25.88,172200,4.4483333333,4.5833333333,4.25,4.3133333333,1033200,0.0,1.0
TRMB,2000-03-20 00:00:00+00:00,24.06,26.38,23.75,26.38,292200,4.01,4.3966666667,3.9583333333,4.3966666667,1753200,0.0,1.0
TRMB,2000-03-21 00:00:00+00:00,25.5,25.75,23.06,23.38,282600,4.25,4.2916666667,3.8433333333,3.8966666667,1695600,0.0,1.0
TRMB,2000-03-22 00:00:00+00:00,25.0,27.13,24.63,25.94,177000,4.1666666667,4.5216666667,4.105,4.3233333333,1062000,0.0,1.0
TRMB,2000-03-23 00:00:00+00:00,25.0,26.0,24.5,25.19,153200,4.1666666667,4.3333333333,4.0833333333,4.1983333333,919200,0.0,1.0
TRMB,2000-03-24 00:00:00+00:00,24.75,25.5,24.63,25.0,200200,4.125,4.25,4.105,4.1666666667,1201200,0.0,1.0
TRMB,2000-03-27 00:00:00+00:00,24.56,25.25,24.38,24.75,202867,4.0933333333,4.2083333333,4.0633333333,4.125,1217202,0.0,1.0
TRMB,2000-03-28 00:00:00+00:00,26.88,27.69,25.44,26.0,646867,4.48,4.615,4.24,4.3333333333,3881202,0.0,1.0
TRMB,2000-03-29 00:00:00+00:00,25.38,27.25,25.0,27.06,274267,4.23,4.5416666667,4.1666666667,4.51,1645602,0.0,1.0
TRMB,2000-03-30 00:00:00+00:00,24.75,26.25,24.0,24.38,290200,4.125,4.375,4.0,4.0633333333,1741200,0.0,1.0
TRMB,2000-03-31 00:00:00+00:00,25.75,25.94,24.5,25.0,197000,4.2916666667,4.3233333333,4.0833333333,4.1666666667,1182000,0.0,1.0
TRMB,2000-04-03 00:00:00+00:00,23.06,26.25,21.88,26.0,251000,3.8433333333,4.375,3.6466666667,4.3333333333,1506000,0.0,1.0
TRMB,2000-04-04 00:00:00+00:00,19.75,23.38,18.5,23.19,534000,3.2916666667,3.8966666667,3.0833333333,3.865,3204000,0.0,1.0
TRMB,2000-04-05 00:00:00+00:00,22.56,24.44,19.63,19.63,242400,3.76,4.0733333333,3.2716666667,3.2716666667,1454400,0.0,1.0
TRMB,2000-04-06 00:00:00+00:00,24.13,24.25,23.25,23.75,204067,4.0216666667,4.0416666667,3.875,3.9583333333,1224402,0.0,1.0
TRMB,2000-04-07 00:00:00+00:00,24.31,24.88,23.63,23.72,160067,4.0516666667,4.1466666667,3.9383333333,3.9533333333,960402,0.0,1.0
TRMB,2000-04-10 00:00:00+00:00,22.75,26.13,22.75,25.34,148867,3.7916666667,4.355,3.7916666667,4.2233333333,893202,0.0,1.0
TRMB,2000-04-11 00:00:00+00:00,20.81,23.0,20.25,22.44,261267,3.4683333333,3.8333333333,3.375,3.74,1567602,0.0,1.0
TRMB,2000-04-12 00:00:00+00:00,20.06,20.88,20.0,20.5,294800,3.3433333333,3.48,3.3333333333,3.4166666667,1768800,0.0,1.0
TRMB,2000-04-13 00:00:00+00:00,20.0,20.69,20.0,20.63,153200,3.3333333333,3.4483333333,3.3333333333,3.4383333333,919200,0.0,1.0
TRMB,2000-04-14 00:00:00+00:00,18.44,19.63,18.0,19.5,250800,3.0733333333,3.2716666667,3.0,3.25,1504800,0.0,1.0
