symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TT,2000-01-03 00:00:00+00:00,53.0,54.63,51.44,54.56,727150,14.3397216814,14.7807357633,13.9176468546,14.7617965083,1454300,0.0,1.0
TT,2000-01-04 00:00:00+00:00,51.94,53.25,51.38,52.75,999200,14.0529272478,14.407361878,13.9014132074,14.2720814848,1998400,0.0,1.0
TT,2000-01-05 00:00:00+00:00,52.75,53.25,51.25,51.88,816550,14.2720814848,14.407361878,13.8662403052,14.0366936006,1633100,0.0,1.0
TT,2000-01-06 00:00:00+00:00,54.69,54.75,51.13,52.13,1499350,14.7969694105,14.8132030577,13.8337730108,14.1043337972,2998700,0.0,1.0
TT,2000-01-07 00:00:00+00:00,57.25,57.25,55.94,57.0,1229050,15.4896050238,15.4896050238,15.1351703936,15.4219648272,2458100,0.0,1.0
TT,2000-01-10 00:00:00+00:00,56.06,57.75,55.25,57.75,917300,15.1676376879,15.624885417,14.9484834509,15.624885417,1834600,0.0,1.0
TT,2000-01-11 00:00:00+00:00,55.44,57.25,55.44,56.31,688950,14.9998900004,15.4896050238,14.9998900004,15.2352778846,1377900,0.0,1.0
TT,2000-01-12 00:00:00+00:00,54.56,56.38,54.38,55.19,745900,14.7617965083,15.2542171396,14.7130955667,14.9322498037,1491800,0.0,1.0
TT,2000-01-13 00:00:00+00:00,53.31,54.88,53.31,54.0,1011450,14.4235955252,14.8483759599,14.4235955252,14.6102824679,2022900,0.0,1.0
TT,2000-01-14 00:00:00+00:00,53.31,54.19,52.81,53.69,662550,14.4235955252,14.6616890173,14.288315132,14.5264086241,1325100,0.0,1.0
TT,2000-01-18 00:00:00+00:00,53.0,53.5,52.19,52.88,443800,14.3397216814,14.4750020747,14.1205674444,14.3072543871,887600,0.0,1.0
TT,2000-01-19 00:00:00+00:00,52.0,53.31,51.31,53.25,1420100,14.069160895,14.4235955252,13.8824739523,14.407361878,2840200,0.0,1.0
TT,2000-01-20 00:00:00+00:00,50.61,52.5,49.19,52.0,1347650,13.6930814018,14.2044412882,13.3088850851,14.069160895,2695300,0.0,1.0
TT,2000-01-21 00:00:00+00:00,48.19,49.69,47.5,49.56,1323200,13.0383242986,13.4441654783,12.851637356,13.4089925761,2646400,0.0,1.0
TT,2000-01-24 00:00:00+00:00,47.19,48.25,46.69,47.94,1412000,12.7677635122,13.0545579458,12.632483119,12.970684102,2824000,0.0,1.0
TT,2000-01-25 00:00:00+00:00,45.94,47.0,44.5,46.75,1557450,12.4295625292,12.7163569628,12.0399549967,12.6487167662,3114900,0.0,1.0
TT,2000-01-26 00:00:00+00:00,49.25,49.44,45.56,47.25,1845400,13.3251187323,13.3765252817,12.3267494303,12.7839971594,3690800,0.0,1.0
TT,2000-01-27 00:00:00+00:00,47.88,50.25,46.63,48.0,1150300,12.9544504548,13.5956795187,12.6162494718,12.9869177492,2300600,0.0,1.0
TT,2000-01-28 00:00:00+00:00,47.0,47.69,46.88,47.13,891750,12.7163569628,12.9030439054,12.6838896684,12.751529865,1783500,0.0,1.0
TT,2000-01-31 00:00:00+00:00,47.06,47.25,46.31,47.25,602800,12.73259061,12.7839971594,12.5296700201,12.7839971594,1205600,0.0,1.0
TT,2000-02-01 00:00:00+00:00,46.06,47.56,45.81,46.75,484600,12.4620298235,12.8678710032,12.3943896269,12.6487167662,969200,0.0,1.0
TT,2000-02-02 00:00:00+00:00,46.44,47.88,46.44,47.0,621700,12.5648429224,12.9544504548,12.5648429224,12.7163569628,1243400,0.0,1.0
TT,2000-02-03 00:00:00+00:00,45.81,47.25,45.38,46.44,964650,12.3943896269,12.7839971594,12.2780484887,12.5648429224,1929300,0.0,1.0
TT,2000-02-04 00:00:00+00:00,46.5,46.63,45.75,46.25,1336850,12.5810765696,12.6162494718,12.3781559797,12.5134363729,2673700,0.0,1.0
TT,2000-02-07 00:00:00+00:00,45.06,46.38,44.75,46.25,837950,12.1914690371,12.5486092752,12.1075951933,12.5134363729,1675900,0.0,1.0
TT,2000-02-08 00:00:00+00:00,44.38,45.75,44.19,45.06,892900,12.0074877023,12.3781559797,11.9560811529,12.1914690371,1785800,0.0,1.0
TT,2000-02-09 00:00:00+00:00,42.75,44.88,42.75,44.5,1183750,11.5664736204,12.1427680955,11.5664736204,12.0399549967,2367500,0.0,1.0
TT,2000-02-10 00:00:00+00:00,40.19,44.38,39.75,43.0,3722900,10.8738380071,12.0074877023,10.7547912611,11.634113817,7445800,0.0,1.0
TT,2000-02-11 00:00:00+00:00,38.94,40.94,38.25,40.69,1723250,10.5816323578,11.1251163001,10.3941303976,11.0571808073,3446500,0.17,1.0
TT,2000-02-14 00:00:00+00:00,41.13,41.19,38.94,39.13,1717100,11.1767472746,11.1930517929,10.5816323578,10.6332633323,3434200,0.0,1.0
TT,2000-02-15 00:00:00+00:00,43.13,43.75,40.69,41.38,1999050,11.720231217,11.8887112391,11.0571808073,11.2446827674,3998100,0.0,1.0
TT,2000-02-16 00:00:00+00:00,42.5,44.0,41.94,43.13,960250,11.5490337752,11.9566467319,11.3968582713,11.720231217,1920500,0.0,1.0
TT,2000-02-17 00:00:00+00:00,41.81,42.44,41.09,42.38,511650,11.361531815,11.5327292569,11.1658775958,11.5164247386,1023300,0.0,1.0
TT,2000-02-18 00:00:00+00:00,40.63,41.69,39.75,41.63,730250,11.040876289,11.3289227785,10.8017433544,11.3126182602,1460500,0.0,1.0
TT,2000-02-22 00:00:00+00:00,40.75,41.06,39.5,40.38,554250,11.0734853256,11.1577253367,10.7338078616,10.9729407963,1108500,0.0,1.0
TT,2000-02-23 00:00:00+00:00,37.31,40.13,37.0,40.0,1579100,10.1386929447,10.9050053035,10.0544529337,10.8696788472,3158200,0.0,1.0
TT,2000-02-24 00:00:00+00:00,35.75,38.31,35.63,38.31,2386400,9.7147754697,10.4104349159,9.6821664331,10.4104349159,4772800,0.0,1.0
TT,2000-02-25 00:00:00+00:00,35.38,36.56,35.13,36.5,1448150,9.6142309404,9.9348864663,9.5462954476,9.9185819481,2896300,0.0,1.0
TT,2000-02-28 00:00:00+00:00,37.13,37.88,35.19,35.38,1733500,10.0897793899,10.2935858683,9.5625999658,9.6142309404,3467000,0.0,1.0
TT,2000-02-29 00:00:00+00:00,38.31,38.81,36.88,36.88,1759800,10.4104349159,10.5463059015,10.0218438971,10.0218438971,3519600,0.0,1.0
TT,2000-03-01 00:00:00+00:00,37.81,38.25,37.0,38.13,733650,10.2745639303,10.3941303976,10.0544529337,10.3615213611,1467300,0.0,1.0
TT,2000-03-02 00:00:00+00:00,35.94,37.56,35.06,37.56,1153300,9.7664064442,10.2066284375,9.5272735096,10.2066284375,2306600,0.0,1.0
TT,2000-03-03 00:00:00+00:00,36.88,38.38,36.19,36.75,2057250,10.0218438971,10.4294568539,9.834341937,9.9865174409,4114500,0.0,1.0
TT,2000-03-06 00:00:00+00:00,37.31,38.81,36.5,37.5,1616800,10.1386929447,10.5463059015,9.9185819481,10.1903239193,3233600,0.0,1.0
TT,2000-03-07 00:00:00+00:00,34.88,38.13,34.81,37.88,1392850,9.4783599548,10.3615213611,9.4593380168,10.2935858683,2785700,0.0,1.0
TT,2000-03-08 00:00:00+00:00,35.0,36.63,35.0,35.13,1302050,9.5109689913,9.9539084043,9.5109689913,9.5462954476,2604100,0.0,1.0
TT,2000-03-09 00:00:00+00:00,35.88,36.19,34.13,35.0,946750,9.7501019259,9.834341937,9.2745534764,9.5109689913,1893500,0.0,1.0
TT,2000-03-10 00:00:00+00:00,36.0,36.88,35.5,36.19,666800,9.7827109625,10.0218438971,9.6468399769,9.834341937,1333600,0.0,1.0
TT,2000-03-13 00:00:00+00:00,35.5,35.75,35.13,35.5,960650,9.6468399769,9.7147754697,9.5462954476,9.6468399769,1921300,0.0,1.0
TT,2000-03-14 00:00:00+00:00,35.38,36.13,35.13,35.75,1006100,9.6142309404,9.8180374187,9.5462954476,9.7147754697,2012200,0.0,1.0
TT,2000-03-15 00:00:00+00:00,38.25,38.88,35.38,35.38,1238450,10.3941303976,10.5653278395,9.6142309404,9.6142309404,2476900,0.0,1.0
TT,2000-03-16 00:00:00+00:00,42.94,43.69,38.75,39.0,1606050,11.6686002425,11.8724067209,10.5300013832,10.597936876,3212100,0.0,1.0
TT,2000-03-17 00:00:00+00:00,40.5,42.94,40.19,42.94,978650,11.0055498328,11.6686002425,10.9213098217,11.6686002425,1957300,0.0,1.0
TT,2000-03-20 00:00:00+00:00,41.38,42.25,40.88,41.38,953500,11.2446827674,11.4810982824,11.1088117818,11.2446827674,1907000,0.0,1.0
TT,2000-03-21 00:00:00+00:00,42.69,43.81,40.25,41.38,1227450,11.6006647497,11.9050157574,10.93761434,11.2446827674,2454900,0.0,1.0
TT,2000-03-22 00:00:00+00:00,42.0,43.5,41.81,42.69,1104000,11.4131627896,11.8207757463,11.361531815,11.6006647497,2208000,0.0,1.0
TT,2000-03-23 00:00:00+00:00,42.38,42.75,41.31,41.75,1913050,11.5164247386,11.6169692679,11.2256608294,11.3452272968,3826100,0.0,1.0
TT,2000-03-24 00:00:00+00:00,42.31,42.69,41.56,42.13,836700,11.4974028006,11.6006647497,11.2935963222,11.4484892458,1673400,0.0,1.0
TT,2000-03-27 00:00:00+00:00,40.56,43.25,40.56,42.44,957400,11.0218543511,11.7528402535,11.0218543511,11.5327292569,1914800,0.0,1.0
TT,2000-03-28 00:00:00+00:00,41.56,43.5,41.0,42.0,1188000,11.2935963222,11.8207757463,11.1414208184,11.4131627896,2376000,0.0,1.0
TT,2000-03-29 00:00:00+00:00,42.94,43.0,41.56,42.38,1108850,11.6686002425,11.6849047607,11.2935963222,11.5164247386,2217700,0.0,1.0
TT,2000-03-30 00:00:00+00:00,45.44,47.88,43.0,43.25,1627300,12.3479551704,13.0110055801,11.6849047607,11.7528402535,3254600,0.0,1.0
TT,2000-03-31 00:00:00+00:00,44.25,46.06,44.25,45.38,1163350,12.0245822247,12.5164351926,12.0245822247,12.3316506522,2326700,0.0,1.0
TT,2000-04-03 00:00:00+00:00,44.25,44.56,43.25,44.5,905650,12.0245822247,12.1088222358,11.7528402535,12.0925177175,1811300,0.0,1.0
TT,2000-04-04 00:00:00+00:00,47.0,47.88,44.25,44.38,1837150,12.7718726455,13.0110055801,12.0245822247,12.059908681,3674300,0.0,1.0
