symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TXN,2000-01-03 00:00:00+00:00,102.9,103.0,98.38,99.5,5407800,34.5418412283,34.5754095871,33.0245514095,33.4005170283,10815600,0.0,1.0
TXN,2000-01-04 00:00:00+00:00,98.5,101.6,97.75,101.5,3976200,33.0648334401,34.1054525636,32.8130707489,34.0718842048,7952400,0.0,1.0
TXN,2000-01-05 00:00:00+00:00,96.69,99.25,96.13,98.5,6071200,32.4572461454,33.3165961313,32.269263336,33.0648334401,12142400,0.0,1.0
TXN,2000-01-06 00:00:00+00:00,93.5,97.5,90.5,96.38,5879200,31.386415499,32.7291498519,30.3793647343,32.353184233,11758400,0.0,1.0
TXN,2000-01-07 00:00:00+00:00,94.0,95.13,91.38,92.56,6469400,31.5542572931,31.9335797478,30.6747662919,31.070872926,12938800,0.0,1.0
TXN,2000-01-10 00:00:00+00:00,100.4,101.3,97.5,98.44,4685600,33.7026322577,34.0047474871,32.7291498519,33.0446924248,9371200,0.0,1.0
TXN,2000-01-11 00:00:00+00:00,99.06,102.9,98.56,100.5,3818200,33.2528162495,34.5418412283,33.0849744554,33.7362006165,7636400,0.0,1.0
TXN,2000-01-12 00:00:00+00:00,101.0,103.1,98.44,99.25,3348800,33.9040424106,34.6089779459,33.0446924248,33.3165961313,6697600,0.0,1.0
TXN,2000-01-13 00:00:00+00:00,102.4,103.8,98.63,102.5,3274100,34.3739994342,34.8439564577,33.1084723066,34.407567793,6548200,0.0,1.0
TXN,2000-01-14 00:00:00+00:00,107.9,108.1,104.8,104.9,4414500,36.2202591694,36.287395887,35.1796400459,35.2132084047,8829000,0.0,1.0
TXN,2000-01-18 00:00:00+00:00,110.4,111.4,105.0,105.0,4400400,37.05946814,37.3951517282,35.2467767635,35.2467767635,8800800,0.0,1.0
TXN,2000-01-19 00:00:00+00:00,109.5,112.0,108.9,111.9,3329200,36.7573529105,37.5965618811,36.5559427576,37.5629935223,6658400,0.0,1.0
TXN,2000-01-20 00:00:00+00:00,112.9,115.1,110.8,112.0,4687300,37.8986771105,38.6371810046,37.1937415752,37.5965618811,9374600,0.0,1.0
TXN,2000-01-21 00:00:00+00:00,110.8,115.1,109.9,114.8,4297300,37.1937415752,38.6371810046,36.8916263458,38.5364759281,8594600,0.0,1.0
TXN,2000-01-24 00:00:00+00:00,110.9,117.5,108.0,114.5,5132500,37.2273099341,39.4428216163,36.2538275282,38.4357708517,10265000,0.0,1.0
TXN,2000-01-25 00:00:00+00:00,113.9,117.3,111.1,112.9,7552400,38.2343606987,39.3756848987,37.2944466517,37.8986771105,15104800,0.0,1.0
TXN,2000-01-26 00:00:00+00:00,112.5,113.5,109.9,113.3,4319800,37.7644036752,38.1000872634,36.8916263458,38.0329505458,8639600,0.0,1.0
TXN,2000-01-27 00:00:00+00:00,113.0,116.5,109.7,112.3,4995400,37.9466798636,39.1220195054,36.8385024871,37.7116119353,9990800,0.043,1.0
TXN,2000-01-28 00:00:00+00:00,107.1,113.3,104.9,112.1,4996700,35.9653930389,38.0474232615,35.2266081212,37.64444967,9993400,0.0,1.0
TXN,2000-01-31 00:00:00+00:00,107.8,108.0,102.0,106.9,4801500,36.2004609672,36.2676232325,34.2527552751,35.8982307736,9603000,0.0,1.0
TXN,2000-02-01 00:00:00+00:00,113.1,113.4,105.9,107.6,3808300,37.9802609963,38.0810043941,35.5624194474,36.133298702,7616600,0.0,1.0
TXN,2000-02-02 00:00:00+00:00,119.4,120.4,114.4,115.4,5460400,40.0958723515,40.4316836777,38.4168157203,38.7526270466,10920800,0.0,1.0
TXN,2000-02-03 00:00:00+00:00,134.0,134.5,120.6,121.0,7451700,44.9987177144,45.1666233775,40.498845943,40.6331704734,14903400,0.0,1.0
TXN,2000-02-04 00:00:00+00:00,132.0,139.0,130.3,131.8,5973800,44.3270950619,46.6777743455,43.7562158074,44.2599327967,11947600,0.0,1.0
TXN,2000-02-07 00:00:00+00:00,134.5,135.4,131.3,131.3,3927200,45.1666233775,45.4688535711,44.0920271336,44.0920271336,7854400,0.0,1.0
TXN,2000-02-08 00:00:00+00:00,138.9,139.6,134.8,135.1,3819800,46.6441932129,46.8792611413,45.2673667754,45.3681101732,7639600,0.0,1.0
TXN,2000-02-09 00:00:00+00:00,140.9,143.1,138.1,139.1,4903800,47.3158158654,48.0546007831,46.3755441519,46.7113554781,9807600,0.0,1.0
TXN,2000-02-10 00:00:00+00:00,145.0,145.0,138.0,140.6,3400900,48.6926423029,48.6926423029,46.3419630193,47.2150724675,6801800,0.0,1.0
TXN,2000-02-11 00:00:00+00:00,137.6,143.3,136.0,143.0,4144300,46.2076384888,48.1217630483,45.6703403668,48.0210196504,8288600,0.0,1.0
TXN,2000-02-14 00:00:00+00:00,134.6,139.3,132.0,138.8,4125100,45.2002045101,46.7785177434,44.3270950619,46.6106120803,8250200,0.0,1.0
TXN,2000-02-15 00:00:00+00:00,134.9,135.8,130.3,134.6,3838800,45.300947908,45.6031781016,43.7562158074,45.2002045101,7677600,0.0,1.0
TXN,2000-02-16 00:00:00+00:00,135.8,139.8,135.3,135.9,4287000,45.6031781016,46.9464234065,45.4352724385,45.6367592342,8574000,0.0,1.0
TXN,2000-02-17 00:00:00+00:00,143.0,145.0,135.9,135.9,4229900,48.0210196504,48.6926423029,45.6367592342,45.6367592342,8459800,0.0,1.0
TXN,2000-02-18 00:00:00+00:00,134.0,145.0,134.0,145.0,4577300,44.9987177144,48.6926423029,44.9987177144,48.6926423029,9154600,0.0,1.0
TXN,2000-02-22 00:00:00+00:00,149.0,150.0,137.5,142.0,7773600,50.0358876078,50.371698934,46.1740573562,47.6852083242,15547200,0.0,1.0
TXN,2000-02-23 00:00:00+00:00,147.1,153.1,144.5,148.8,5994900,49.397846088,51.4127140453,48.5247366398,49.9687253425,11989800,0.0,1.0
TXN,2000-02-24 00:00:00+00:00,157.8,159.0,148.6,149.0,6725800,52.9910272786,53.3940008701,49.9015630773,50.0358876078,13451600,0.0,1.0
TXN,2000-02-25 00:00:00+00:00,153.3,160.8,152.8,157.4,4715100,51.4798763106,53.9984612573,51.3119706475,52.8567027481,9430200,0.0,1.0
TXN,2000-02-28 00:00:00+00:00,155.9,157.5,146.0,153.3,6102700,52.3529857588,52.8902838807,49.0284536291,51.4798763106,12205400,0.0,1.0
TXN,2000-02-29 00:00:00+00:00,166.1,169.7,157.0,157.0,5651100,55.7782612863,56.9871820607,52.7223782176,52.7223782176,11302200,0.0,1.0
TXN,2000-03-01 00:00:00+00:00,164.4,170.0,157.8,167.4,5062900,55.2073820317,57.0879254586,52.9910272786,56.2148160104,10125800,0.0,1.0
TXN,2000-03-02 00:00:00+00:00,173.0,175.4,160.0,164.1,5604100,58.0953594372,58.9013066202,53.7298121963,55.1066386338,11208200,0.0,1.0
TXN,2000-03-03 00:00:00+00:00,187.6,188.1,178.0,178.0,6605600,62.9982048001,63.1661104633,59.7744160684,59.7744160684,13211200,0.0,1.0
TXN,2000-03-06 00:00:00+00:00,186.0,199.6,181.5,192.3,6372500,62.4609066782,67.0279407149,60.9497557102,64.5765180334,12745000,0.0,1.0
TXN,2000-03-07 00:00:00+00:00,180.0,187.9,175.6,187.5,5458500,60.4460387208,63.098948198,58.9684688854,62.9646236675,10917000,0.0,1.0
TXN,2000-03-08 00:00:00+00:00,172.0,180.3,168.3,180.0,6043100,57.759548111,60.5467821187,56.517046204,60.4460387208,12086200,0.0,1.0
TXN,2000-03-09 00:00:00+00:00,180.0,180.9,167.6,172.0,4830000,60.4460387208,60.7482689144,56.2819782756,57.759548111,9660000,0.0,1.0
TXN,2000-03-10 00:00:00+00:00,184.0,184.0,173.5,180.4,4253000,61.7892840257,61.7892840257,58.2632651003,60.5803632513,8506000,0.0,1.0
TXN,2000-03-13 00:00:00+00:00,171.8,181.3,171.0,173.5,4405300,57.6923858458,60.8825934449,57.4237367848,58.2632651003,8810600,0.0,1.0
