symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TXT,2000-01-03 00:00:00+00:00,74.94,77.5,74.56,76.69,921000,28.9638145915,29.953237668,28.8169471035,29.6401780227,1842000,0.0,1.0
TXT,2000-01-04 00:00:00+00:00,73.69,76.25,73.38,74.94,524400,28.4806978549,29.4701209314,28.3608849042,28.9638145915,1048800,0.0,1.0
TXT,2000-01-05 00:00:00+00:00,72.69,74.0,72.63,73.69,452600,28.0942044656,28.6005108056,28.0710148623,28.4806978549,905200,0.0,1.0
TXT,2000-01-06 00:00:00+00:00,71.0,71.38,69.5,71.38,1069800,27.4410306378,27.5878981257,26.8612905539,27.5878981257,2139600,0.0,1.0
TXT,2000-01-07 00:00:00+00:00,72.75,72.75,70.31,70.88,567600,28.117394069,28.117394069,27.1743501992,27.394651431,1135200,0.0,1.0
TXT,2000-01-10 00:00:00+00:00,73.63,74.44,72.5,72.75,447000,28.4575082515,28.7705678968,28.0207707217,28.117394069,894000,0.0,1.0
TXT,2000-01-11 00:00:00+00:00,73.06,73.38,71.81,73.0,386700,28.2372070196,28.3608849042,27.7540902831,28.2140174163,773400,0.0,1.0
TXT,2000-01-12 00:00:00+00:00,71.69,73.19,71.31,73.0,398000,27.7077110764,28.2874511602,27.5608435884,28.2140174163,796000,0.0,1.0
TXT,2000-01-13 00:00:00+00:00,68.88,71.5,68.69,71.25,828400,26.6216646525,27.6342773324,26.5482309086,27.5376539851,1656800,0.0,1.0
TXT,2000-01-14 00:00:00+00:00,68.88,70.0,68.38,68.88,524600,26.6216646525,27.0545372485,26.4284179579,26.6216646525,1049200,0.0,1.0
TXT,2000-01-18 00:00:00+00:00,67.13,67.5,66.75,67.13,399800,25.9453012213,26.0883037753,25.7984337334,25.9453012213,799600,0.0,1.0
TXT,2000-01-19 00:00:00+00:00,63.25,65.5,62.88,63.0,1855600,24.445706871,25.3153169968,24.3027043169,24.3490835236,3711200,0.0,1.0
TXT,2000-01-20 00:00:00+00:00,57.88,63.38,57.0,63.25,3139000,22.3702373706,24.4959510116,22.0301231881,24.445706871,6278000,0.0,1.0
TXT,2000-01-21 00:00:00+00:00,60.38,61.5,57.88,57.94,1740800,23.3364708438,23.7693434397,22.3702373706,22.393426974,3481600,0.0,1.0
TXT,2000-01-24 00:00:00+00:00,60.88,62.25,60.31,61.88,1187800,23.5297175384,24.0592134817,23.3094163065,23.9162109277,2375600,0.0,1.0
TXT,2000-01-25 00:00:00+00:00,60.25,61.5,59.75,60.13,907700,23.2862267032,23.7693434397,23.0929800085,23.2398474965,1815400,0.0,1.0
TXT,2000-01-26 00:00:00+00:00,60.25,60.81,59.94,59.94,450100,23.2862267032,23.5026630012,23.1664137525,23.1664137525,900200,0.0,1.0
TXT,2000-01-27 00:00:00+00:00,60.75,62.19,59.75,60.75,631600,23.4794733978,24.0360238783,23.0929800085,23.4794733978,1263200,0.0,1.0
TXT,2000-01-28 00:00:00+00:00,59.0,60.19,58.88,59.63,1001400,22.8031099666,23.2630370998,22.7567307599,23.0466008018,2002800,0.0,1.0
TXT,2000-01-31 00:00:00+00:00,59.69,60.06,59.25,59.25,465700,23.0697904052,23.2127929592,22.8997333139,22.8997333139,931400,0.0,1.0
TXT,2000-02-01 00:00:00+00:00,60.0,60.31,59.38,59.56,779000,23.1896033559,23.3094163065,22.9499774545,23.0195462646,1558000,0.0,1.0
TXT,2000-02-02 00:00:00+00:00,61.69,61.75,59.75,59.75,903900,23.8427771837,23.8659667871,23.0929800085,23.0929800085,1807800,0.0,1.0
TXT,2000-02-03 00:00:00+00:00,61.69,62.56,61.0,61.69,714600,23.8427771837,24.1790264324,23.5760967451,23.8427771837,1429200,0.0,1.0
TXT,2000-02-04 00:00:00+00:00,61.75,61.88,61.56,61.75,465700,23.8659667871,23.9162109277,23.7925330431,23.8659667871,931400,0.0,1.0
TXT,2000-02-07 00:00:00+00:00,61.13,62.0,60.38,62.0,484400,23.6263408857,23.9625901344,23.3364708438,23.9625901344,968800,0.0,1.0
TXT,2000-02-08 00:00:00+00:00,61.5,62.44,60.94,61.13,711200,23.7693434397,24.1326472257,23.5529071418,23.6263408857,1422400,0.0,1.0
TXT,2000-02-09 00:00:00+00:00,61.13,61.25,60.31,61.25,632000,23.6263408857,23.6727200924,23.3094163065,23.6727200924,1264000,0.0,1.0
TXT,2000-02-10 00:00:00+00:00,60.94,61.75,60.56,60.63,609600,23.5529071418,23.8659667871,23.4060396538,23.4330941911,1219200,0.0,1.0
TXT,2000-02-11 00:00:00+00:00,59.88,61.06,59.69,60.94,486000,23.1432241491,23.5992863485,23.0697904052,23.5529071418,972000,0.0,1.0
TXT,2000-02-14 00:00:00+00:00,59.69,60.13,59.44,59.81,298400,23.0697904052,23.2398474965,22.9731670579,23.1161696119,596800,0.0,1.0
TXT,2000-02-15 00:00:00+00:00,60.38,60.88,58.5,60.63,383900,23.3364708438,23.5297175384,22.609863272,23.4330941911,767800,0.0,1.0
TXT,2000-02-16 00:00:00+00:00,59.94,60.38,58.5,60.25,300200,23.1664137525,23.3364708438,22.609863272,23.2862267032,600400,0.0,1.0
TXT,2000-02-17 00:00:00+00:00,59.31,60.13,58.0,59.38,298000,22.9229229173,23.2398474965,22.4166165773,22.9499774545,596000,0.0,1.0
TXT,2000-02-18 00:00:00+00:00,59.44,59.88,58.81,58.81,504700,22.9731670579,23.1432241491,22.7296762226,22.7296762226,1009400,0.0,1.0
TXT,2000-02-22 00:00:00+00:00,59.5,59.81,58.5,59.0,462900,22.9963566612,23.1161696119,22.609863272,22.8031099666,925800,0.0,1.0
TXT,2000-02-23 00:00:00+00:00,59.81,62.0,59.0,59.5,558600,23.1161696119,23.9625901344,22.8031099666,22.9963566612,1117200,0.0,1.0
TXT,2000-02-24 00:00:00+00:00,60.38,61.13,59.0,59.56,1449000,23.3364708438,23.6263408857,22.8031099666,23.0195462646,2898000,0.0,1.0
TXT,2000-02-25 00:00:00+00:00,59.56,61.38,59.56,60.38,730900,23.0195462646,23.722964233,23.0195462646,23.3364708438,1461800,0.0,1.0
TXT,2000-02-28 00:00:00+00:00,60.94,61.69,59.81,59.81,461400,23.5529071418,23.8427771837,23.1161696119,23.1161696119,922800,0.0,1.0
TXT,2000-02-29 00:00:00+00:00,61.0,61.69,60.5,60.5,605900,23.5760967451,23.8427771837,23.3828500505,23.3828500505,1211800,0.0,1.0
TXT,2000-03-01 00:00:00+00:00,59.13,60.31,57.5,60.13,602700,22.8533541072,23.3094163065,22.2233698827,23.2398474965,1205400,0.0,1.0
TXT,2000-03-02 00:00:00+00:00,57.63,59.63,57.63,59.56,492700,22.2736140233,23.0466008018,22.2736140233,23.0195462646,985400,0.0,1.0
TXT,2000-03-03 00:00:00+00:00,59.0,60.31,57.63,57.63,827300,22.8031099666,23.3094163065,22.2736140233,22.2736140233,1654600,0.0,1.0
TXT,2000-03-06 00:00:00+00:00,57.69,59.19,57.63,59.13,529800,22.2968036267,22.8765437105,22.2736140233,22.8533541072,1059600,0.0,1.0
TXT,2000-03-07 00:00:00+00:00,56.31,58.0,56.06,57.69,404700,21.7634427495,22.4166165773,21.6668194022,22.2968036267,809400,0.0,1.0
TXT,2000-03-08 00:00:00+00:00,55.88,56.63,54.88,55.19,779400,21.7228609436,22.0144168797,21.3341196955,21.4546294824,1558800,0.325,1.0
TXT,2000-03-09 00:00:00+00:00,53.88,54.88,53.25,54.25,755100,20.9453784474,21.3341196955,20.7004714611,21.0892127092,1510200,0.0,1.0
TXT,2000-03-10 00:00:00+00:00,52.56,53.81,51.0,53.38,1066900,20.4322399999,20.91816656,19.8258036529,20.7510078234,2133800,0.0,1.0
TXT,2000-03-13 00:00:00+00:00,52.69,54.25,51.0,51.0,878100,20.4827763622,21.0892127092,19.8258036529,19.8258036529,1756200,0.0,1.0
TXT,2000-03-14 00:00:00+00:00,51.5,53.5,51.44,52.75,600400,20.0201742769,20.7976567731,19.996849802,20.5061008371,1200800,0.0,1.0
TXT,2000-03-15 00:00:00+00:00,54.81,54.81,51.44,51.63,728800,21.3069078081,21.3069078081,19.996849802,20.0707106392,1457600,0.0,1.0
TXT,2000-03-16 00:00:00+00:00,59.31,59.63,55.5,58.0,1385000,23.0562434246,23.180640624,21.5751392693,22.5469923896,2770000,0.0,1.0
TXT,2000-03-17 00:00:00+00:00,60.0,60.69,59.25,59.5,806500,23.3244748857,23.5927063469,23.0329189497,23.1301042617,1613000,0.0,1.0
TXT,2000-03-20 00:00:00+00:00,60.38,62.0,59.31,61.75,796100,23.47219656,24.1019573819,23.0562434246,24.0047720699,1592200,0.0,1.0
TXT,2000-03-21 00:00:00+00:00,59.94,61.0,58.88,60.63,610800,23.3011504109,23.7132161338,22.8890846879,23.569381872,1221600,0.0,1.0
TXT,2000-03-22 00:00:00+00:00,59.88,60.19,59.13,60.0,796200,23.277825936,23.3983357229,22.9862699999,23.3244748857,1592400,0.0,1.0
TXT,2000-03-23 00:00:00+00:00,61.63,62.88,59.0,59.88,731500,23.9581231201,24.4440496803,22.9357336377,23.277825936,1463000,0.0,1.0
TXT,2000-03-24 00:00:00+00:00,59.44,61.88,59.06,60.13,535300,23.1067797868,24.0553084322,22.9590581125,23.375011248,1070600,0.0,1.0
TXT,2000-03-27 00:00:00+00:00,57.88,59.75,57.81,59.31,520500,22.5003434398,23.2272895737,22.4731315524,23.0562434246,1041000,0.0,1.0
TXT,2000-03-28 00:00:00+00:00,58.38,59.94,58.06,58.06,407200,22.6947140638,23.3011504109,22.5703168644,22.5703168644,814400,0.0,1.0
TXT,2000-03-29 00:00:00+00:00,58.44,58.75,57.81,57.88,310400,22.7180385387,22.8385483256,22.4731315524,22.5003434398,620800,0.0,1.0
TXT,2000-03-30 00:00:00+00:00,60.0,61.38,58.44,58.44,633400,23.3244748857,23.8609378081,22.7180385387,22.7180385387,1266800,0.0,1.0
TXT,2000-03-31 00:00:00+00:00,60.88,62.31,59.94,60.5,578500,23.6665671841,24.2224671689,23.3011504109,23.5188455098,1157000,0.0,1.0
TXT,2000-04-03 00:00:00+00:00,64.0,64.06,60.88,60.88,569700,24.8794398781,24.902764353,23.6665671841,23.6665671841,1139400,0.0,1.0
TXT,2000-04-04 00:00:00+00:00,64.38,65.75,63.56,65.5,614700,25.0271615524,25.5597370623,24.708393729,25.4625517503,1229400,0.0,1.0
TXT,2000-04-05 00:00:00+00:00,62.0,64.81,61.5,64.5,486200,24.1019573819,25.1943202891,23.9075867579,25.0738105022,972400,0.0,1.0
TXT,2000-04-06 00:00:00+00:00,62.0,62.69,61.81,62.0,279500,24.1019573819,24.3701888431,24.0280965448,24.1019573819,559000,0.0,1.0
TXT,2000-04-07 00:00:00+00:00,60.94,62.19,60.88,62.0,386700,23.689891659,24.1758182191,23.6665671841,24.1019573819,773400,0.0,1.0
TXT,2000-04-10 00:00:00+00:00,61.13,61.25,60.44,60.94,759000,23.7637524961,23.8104014459,23.4955210349,23.689891659,1518000,0.0,1.0
TXT,2000-04-11 00:00:00+00:00,61.0,63.06,60.75,61.13,708900,23.7132161338,24.5140231049,23.6160308218,23.7637524961,1417800,0.0,1.0
TXT,2000-04-12 00:00:00+00:00,63.88,65.0,61.0,61.25,800700,24.8327909284,25.2681811262,23.7132161338,23.8104014459,1601400,0.0,1.0
TXT,2000-04-13 00:00:00+00:00,62.19,64.5,61.81,64.5,328500,24.1758182191,25.0738105022,24.0280965448,25.0738105022,657000,0.0,1.0
TXT,2000-04-14 00:00:00+00:00,59.38,62.38,59.0,62.19,400100,23.0834553119,24.2496790562,22.9357336377,24.1758182191,800200,0.0,1.0
TXT,2000-04-17 00:00:00+00:00,59.88,60.5,59.06,59.38,396600,23.277825936,23.5188455098,22.9590581125,23.0834553119,793200,0.0,1.0
TXT,2000-04-18 00:00:00+00:00,58.56,59.5,57.88,59.25,346300,22.7646874885,23.1301042617,22.5003434398,23.0329189497,692600,0.0,1.0
TXT,2000-04-19 00:00:00+00:00,58.0,59.5,57.88,58.56,598000,22.5469923896,23.1301042617,22.5003434398,22.7646874885,1196000,0.0,1.0
TXT,2000-04-20 00:00:00+00:00,58.81,60.38,58.75,59.75,739700,22.8618728005,23.47219656,22.8385483256,23.2272895737,1479400,0.0,1.0
TXT,2000-04-24 00:00:00+00:00,61.38,61.88,58.75,58.75,896200,23.8609378081,24.0553084322,22.8385483256,22.8385483256,1792400,0.0,1.0
TXT,2000-04-25 00:00:00+00:00,64.06,65.0,60.75,61.25,857600,24.902764353,25.2681811262,23.6160308218,23.8104014459,1715200,0.0,1.0
TXT,2000-04-26 00:00:00+00:00,63.0,64.5,62.38,63.94,596700,24.49069863,25.0738105022,24.2496790562,24.8561154032,1193400,0.0,1.0
