symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
UHS,2000-01-03 00:00:00+00:00,37.25,37.25,37.25,37.25,133800,8.4299656974,8.4299656974,8.4299656974,8.4299656974,535200,0.0,1.0
UHS,2000-01-04 00:00:00+00:00,36.5,37.06,36.19,37.06,72700,8.2602348444,8.3869672146,8.1900794252,8.3869672146,290800,0.0,1.0
UHS,2000-01-05 00:00:00+00:00,37.63,37.69,36.63,36.63,133000,8.5159626629,8.5295411311,8.2896548589,8.2896548589,532000,0.0,1.0
UHS,2000-01-06 00:00:00+00:00,40.81,40.94,37.81,37.88,269600,9.2356214795,9.265041494,8.5566980676,8.5725396139,1078400,0.0,1.0
UHS,2000-01-07 00:00:00+00:00,44.19,45.0,41.0,41.0,363100,10.0005418569,10.1838511781,9.2786199622,9.2786199622,1452400,0.0,1.0
UHS,2000-01-10 00:00:00+00:00,46.31,47.0,44.63,44.63,308400,10.4803144012,10.636466786,10.1001172906,10.1001172906,1233600,0.0,1.0
UHS,2000-01-11 00:00:00+00:00,44.5,46.19,44.5,46.19,275100,10.0706972761,10.4531574648,10.0706972761,10.4531574648,1100400,0.0,1.0
UHS,2000-01-12 00:00:00+00:00,44.31,44.69,44.0,44.56,90100,10.0276987933,10.1136957588,9.9575433741,10.0842757443,360400,0.0,1.0
UHS,2000-01-13 00:00:00+00:00,46.0,46.0,44.25,44.25,139200,10.410158982,10.410158982,10.0141203251,10.0141203251,556800,0.0,1.0
UHS,2000-01-14 00:00:00+00:00,45.81,46.69,45.38,46.0,214700,10.3671604993,10.5663113668,10.2698481436,10.410158982,858800,0.0,1.0
UHS,2000-01-18 00:00:00+00:00,45.75,46.5,45.63,46.06,57600,10.353582031,10.523312884,10.3264250946,10.4237374503,230400,0.0,1.0
UHS,2000-01-19 00:00:00+00:00,44.56,45.69,43.5,45.63,195700,10.0842757443,10.3400035628,9.8443894721,10.3264250946,782800,0.0,1.0
UHS,2000-01-20 00:00:00+00:00,48.0,48.56,47.5,48.0,305200,10.8627745899,10.9895069602,10.749620688,10.8627745899,1220800,0.0,1.0
UHS,2000-01-21 00:00:00+00:00,48.0,49.13,47.88,48.06,420900,10.8627745899,11.1185024084,10.8356176535,10.8763530582,1683600,0.0,1.0
UHS,2000-01-24 00:00:00+00:00,48.0,48.19,47.75,47.88,277600,10.8627745899,10.9057730727,10.8061976389,10.8356176535,1110400,0.0,1.0
UHS,2000-01-25 00:00:00+00:00,47.44,49.0,47.38,48.06,249600,10.7360422197,11.0890823939,10.7224637515,10.8763530582,998400,0.0,1.0
UHS,2000-01-26 00:00:00+00:00,46.56,47.94,46.56,47.44,193800,10.5368913522,10.8491961217,10.5368913522,10.7360422197,775200,0.0,1.0
UHS,2000-01-27 00:00:00+00:00,46.0,47.5,46.0,46.56,203300,10.410158982,10.749620688,10.410158982,10.5368913522,813200,0.0,1.0
UHS,2000-01-28 00:00:00+00:00,45.0,46.56,44.75,46.0,131700,10.1838511781,10.5368913522,10.1272742271,10.410158982,526800,0.0,1.0
UHS,2000-01-31 00:00:00+00:00,44.69,45.56,44.25,45.13,94400,10.1136957588,10.3105835483,10.0141203251,10.2132711926,377600,0.0,1.0
UHS,2000-02-01 00:00:00+00:00,45.06,45.19,43.75,44.81,143700,10.1974296463,10.2268496608,9.9009664231,10.1408526953,574800,0.0,1.0
UHS,2000-02-02 00:00:00+00:00,46.0,46.38,44.88,45.06,134500,10.410158982,10.4961559475,10.1566942416,10.1974296463,538000,0.0,1.0
UHS,2000-02-03 00:00:00+00:00,48.06,48.38,46.0,46.0,203000,10.8763530582,10.9487715554,10.410158982,10.410158982,812000,0.0,1.0
UHS,2000-02-04 00:00:00+00:00,48.5,49.44,47.94,47.94,202200,10.9759284919,11.1886578276,10.8491961217,10.8491961217,808800,0.0,1.0
UHS,2000-02-07 00:00:00+00:00,47.75,48.5,47.5,48.5,59500,10.8061976389,10.9759284919,10.749620688,10.9759284919,238000,0.0,1.0
UHS,2000-02-08 00:00:00+00:00,47.13,48.94,47.06,47.75,106600,10.6658868005,11.0755039257,10.6500452542,10.8061976389,426400,0.0,1.0
UHS,2000-02-09 00:00:00+00:00,46.0,47.94,45.88,47.25,92900,10.410158982,10.8491961217,10.3830020455,10.693043737,371600,0.0,1.0
UHS,2000-02-10 00:00:00+00:00,45.56,45.75,43.31,45.75,191700,10.3105835483,10.353582031,9.8013909894,10.353582031,766800,0.0,1.0
UHS,2000-02-11 00:00:00+00:00,45.25,46.06,45.0,45.44,85600,10.2404281291,10.4237374503,10.1838511781,10.2834266118,342400,0.0,1.0
UHS,2000-02-14 00:00:00+00:00,44.19,45.0,44.06,44.88,75200,10.0005418569,10.1838511781,9.9711218423,10.1566942416,300800,0.0,1.0
UHS,2000-02-15 00:00:00+00:00,46.25,47.0,43.63,44.0,257300,10.466735933,10.636466786,9.8738094866,9.9575433741,1029200,0.0,1.0
UHS,2000-02-16 00:00:00+00:00,43.13,46.19,43.13,46.19,141400,9.7606555847,10.4531574648,9.7606555847,10.4531574648,565600,0.0,1.0
UHS,2000-02-17 00:00:00+00:00,42.5,43.38,42.19,43.38,193500,9.6180816682,9.8172325357,9.5479262489,9.8172325357,774000,0.0,1.0
