symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
UNP,2000-01-03 00:00:00+00:00,43.06,43.06,43.06,43.06,1025300,6.9480092793,6.9480092793,6.9480092793,6.9480092793,4101200,0.0,1.0
UNP,2000-01-04 00:00:00+00:00,43.0,43.38,42.63,43.06,1216300,6.9383278915,6.9996433473,6.8786260003,6.9480092793,4865200,0.0,1.0
UNP,2000-01-05 00:00:00+00:00,43.25,43.75,42.94,43.0,894900,6.9786670071,7.0593452384,6.9286465037,6.9383278915,3579600,0.0,1.0
UNP,2000-01-06 00:00:00+00:00,45.63,46.0,43.0,43.0,1554000,7.3626953881,7.4223972793,6.9383278915,6.9383278915,6216000,0.0,1.0
UNP,2000-01-07 00:00:00+00:00,45.31,45.69,44.63,45.63,814000,7.3110613201,7.3723767759,7.2013389255,7.3626953881,3256000,0.0,1.0
UNP,2000-01-10 00:00:00+00:00,46.38,46.75,45.5,46.38,1077900,7.4837127351,7.5434146262,7.341719048,7.4837127351,4311600,0.0,1.0
UNP,2000-01-11 00:00:00+00:00,46.75,47.19,46.25,46.25,596000,7.5434146262,7.6144114698,7.4627363949,7.4627363949,2384000,0.0,1.0
UNP,2000-01-12 00:00:00+00:00,45.81,46.81,45.63,46.5,574700,7.3917395514,7.553096014,7.3626953881,7.5030755106,2298800,0.0,1.0
UNP,2000-01-13 00:00:00+00:00,46.63,47.63,45.38,45.81,773100,7.5240518507,7.6854083133,7.3223562725,7.3917395514,3092400,0.0,1.0
UNP,2000-01-14 00:00:00+00:00,46.06,46.94,45.69,46.75,608900,7.432078667,7.5740723541,7.3723767759,7.5434146262,2435600,0.0,1.0
UNP,2000-01-18 00:00:00+00:00,44.38,45.88,44.25,45.56,741900,7.1609998099,7.4030345038,7.1400234697,7.3514004357,2967600,0.0,1.0
UNP,2000-01-19 00:00:00+00:00,43.63,43.69,42.25,43.13,1442900,7.0399824629,7.0496638507,6.8173105446,6.9593042316,5771600,0.0,1.0
UNP,2000-01-20 00:00:00+00:00,42.0,44.81,40.88,44.25,2017700,6.7769714289,7.2303830888,6.5962521908,7.1400234697,8070800,0.0,1.0
UNP,2000-01-21 00:00:00+00:00,43.75,44.19,42.5,42.56,1276300,7.0593452384,7.130342082,6.8576496602,6.867331048,5105200,0.0,1.0
UNP,2000-01-24 00:00:00+00:00,42.44,44.25,42.38,43.81,751000,6.8479682724,7.1400234697,6.8382868847,7.0690266262,3004000,0.0,1.0
UNP,2000-01-25 00:00:00+00:00,40.94,42.69,40.0,42.44,1264200,6.6059335786,6.8883073881,6.4542585037,6.8479682724,5056800,0.0,1.0
UNP,2000-01-26 00:00:00+00:00,41.81,41.81,39.94,41.0,962300,6.746313701,6.746313701,6.444577116,6.6156149663,3849200,0.0,1.0
UNP,2000-01-27 00:00:00+00:00,40.25,42.0,40.06,42.0,917600,6.4945976194,6.7769714289,6.4639398915,6.7769714289,3670400,0.0,1.0
UNP,2000-01-28 00:00:00+00:00,40.63,41.31,39.75,40.31,897600,6.5559130752,6.6656354697,6.4139193881,6.5042790071,3590400,0.0,1.0
UNP,2000-01-31 00:00:00+00:00,40.25,41.13,39.81,40.63,920600,6.4945976194,6.6365913065,6.4236007758,6.5559130752,3682400,0.0,1.0
UNP,2000-02-01 00:00:00+00:00,40.31,40.38,39.5,40.0,703300,6.5042790071,6.5155739595,6.3735802724,6.4542585037,2813200,0.0,1.0
UNP,2000-02-02 00:00:00+00:00,38.75,40.25,38.62,40.12,1055100,6.2525629255,6.4945976194,6.2315865853,6.4736212792,4220400,0.0,1.0
UNP,2000-02-03 00:00:00+00:00,39.31,39.56,39.0,39.25,900200,6.3429225445,6.3832616602,6.2929020411,6.3332411568,3600800,0.0,1.0
UNP,2000-02-04 00:00:00+00:00,40.31,40.88,39.75,39.75,1159300,6.5042790071,6.5962521908,6.4139193881,6.4139193881,4637200,0.0,1.0
UNP,2000-02-07 00:00:00+00:00,39.69,40.5,39.5,40.25,727800,6.4042380003,6.534936735,6.3735802724,6.4945976194,2911200,0.0,1.0
UNP,2000-02-08 00:00:00+00:00,38.75,40.0,38.63,39.94,918800,6.2525629255,6.4542585037,6.23320015,6.444577116,3675200,0.0,1.0
UNP,2000-02-09 00:00:00+00:00,38.94,40.63,38.81,39.25,1216400,6.2832206534,6.5559130752,6.2622443132,6.3332411568,4865600,0.0,1.0
UNP,2000-02-10 00:00:00+00:00,37.06,38.94,35.88,38.94,2084900,5.9798705037,6.2832206534,5.7894698778,6.2832206534,8339600,0.0,1.0
UNP,2000-02-11 00:00:00+00:00,36.75,37.38,36.63,37.13,891400,5.9298500003,6.0315045717,5.9104872248,5.9911654561,3565600,0.0,1.0
UNP,2000-02-14 00:00:00+00:00,38.0,38.0,36.88,37.25,1094400,6.1315455785,6.1315455785,5.9508263404,6.0105282316,4377600,0.0,1.0
UNP,2000-02-15 00:00:00+00:00,38.81,38.81,37.75,38.5,1812700,6.2622443132,6.2622443132,6.0912064629,6.2122238098,7250800,0.0,1.0
UNP,2000-02-16 00:00:00+00:00,37.38,39.38,37.0,39.0,1283600,6.0315045717,6.3542174969,5.9701891159,6.2929020411,5134400,0.0,1.0
UNP,2000-02-17 00:00:00+00:00,37.88,38.0,36.75,37.5,773400,6.112182803,6.1315455785,5.9298500003,6.0508673472,3093600,0.0,1.0
UNP,2000-02-18 00:00:00+00:00,37.75,38.25,37.75,38.0,851700,6.0912064629,6.1718846942,6.0912064629,6.1315455785,3406800,0.0,1.0
UNP,2000-02-22 00:00:00+00:00,38.81,39.38,37.88,37.94,778300,6.2622443132,6.3542174969,6.112182803,6.1218641908,3113200,0.0,1.0
UNP,2000-02-23 00:00:00+00:00,39.31,39.38,38.75,38.81,1010700,6.3429225445,6.3542174969,6.2525629255,6.2622443132,4042800,0.0,1.0
UNP,2000-02-24 00:00:00+00:00,37.25,39.56,36.25,39.5,1776200,6.0105282316,6.3832616602,5.849171769,6.3735802724,7104800,0.0,1.0
UNP,2000-02-25 00:00:00+00:00,37.44,37.5,36.56,37.25,759500,6.0411859595,6.0508673472,5.8991922724,6.0105282316,3038000,0.0,1.0
UNP,2000-02-28 00:00:00+00:00,38.5,38.75,36.81,37.44,800800,6.2122238098,6.2525629255,5.939531388,6.0411859595,3203200,0.0,1.0
UNP,2000-02-29 00:00:00+00:00,38.0,38.81,37.94,38.44,854300,6.1315455785,6.2622443132,6.1218641908,6.2025424221,3417200,0.0,1.0
UNP,2000-03-01 00:00:00+00:00,38.25,38.63,38.0,38.13,1653000,6.1718846942,6.23320015,6.1315455785,6.1525219187,6612000,0.0,1.0
UNP,2000-03-02 00:00:00+00:00,37.81,38.19,37.38,38.19,898300,6.1008878506,6.1622033064,6.0315045717,6.1622033064,3593200,0.0,1.0
UNP,2000-03-03 00:00:00+00:00,39.38,40.0,37.56,37.75,1407900,6.3542174969,6.4542585037,6.060548735,6.0912064629,5631600,0.0,1.0
UNP,2000-03-06 00:00:00+00:00,37.75,39.13,37.31,39.13,772500,6.0912064629,6.3138783813,6.0202096193,6.3138783813,3090000,0.0,1.0
UNP,2000-03-07 00:00:00+00:00,36.0,37.5,35.69,37.25,1314100,5.8088326533,6.0508673472,5.7588121499,6.0105282316,5256400,0.0,1.0
UNP,2000-03-08 00:00:00+00:00,36.31,37.06,36.25,36.5,1179500,5.8588531568,5.9798705037,5.849171769,5.8895108846,4718000,0.0,1.0
UNP,2000-03-09 00:00:00+00:00,35.94,36.5,34.56,36.5,1568900,5.7991512656,5.8895108846,5.5764793472,5.8895108846,6275600,0.0,1.0
UNP,2000-03-10 00:00:00+00:00,35.06,36.25,34.88,35.69,1628300,5.6571575785,5.849171769,5.6281134152,5.7588121499,6513200,0.0,1.0
UNP,2000-03-13 00:00:00+00:00,35.25,35.25,34.25,34.94,895500,5.7200865989,5.7200865989,5.5578146387,5.6697822912,3582000,0.2,1.0
UNP,2000-03-14 00:00:00+00:00,35.25,35.5,34.88,35.5,864300,5.7200865989,5.760654589,5.6600459736,5.760654589,3457200,0.0,1.0
UNP,2000-03-15 00:00:00+00:00,37.38,37.38,35.13,35.13,976300,6.0657258743,6.0657258743,5.7006139637,5.7006139637,3905200,0.0,1.0
UNP,2000-03-16 00:00:00+00:00,39.81,39.81,37.19,37.81,1750800,6.4600467377,6.4600467377,6.0348942018,6.1355028172,7003200,0.0,1.0
UNP,2000-03-17 00:00:00+00:00,40.25,40.63,39.75,40.0,1136700,6.5314464002,6.5931097451,6.4503104201,6.4908784101,4546800,0.0,1.0
UNP,2000-03-20 00:00:00+00:00,38.25,40.69,37.69,40.44,1008100,6.2069024797,6.6028460627,6.1160301819,6.5622780726,4032400,0.0,1.0
UNP,2000-03-21 00:00:00+00:00,40.0,40.13,37.75,37.75,1209400,6.4908784101,6.511973765,6.1257664996,6.1257664996,4837600,0.0,1.0
UNP,2000-03-22 00:00:00+00:00,38.63,40.44,38.31,40.25,987400,6.2685658246,6.5622780726,6.2166387973,6.5314464002,3949600,0.0,1.0
UNP,2000-03-23 00:00:00+00:00,38.69,38.75,37.63,38.0,745500,6.2783021422,6.2880384598,6.1062938643,6.1663344896,2982000,0.0,1.0
UNP,2000-03-24 00:00:00+00:00,38.12,38.88,37.75,38.56,719500,6.1858071248,6.3091338146,6.1257664996,6.2572067874,2878000,0.0,1.0
UNP,2000-03-27 00:00:00+00:00,38.69,38.88,38.0,38.0,558200,6.2783021422,6.3091338146,6.1663344896,6.1663344896,2232800,0.0,1.0
UNP,2000-03-28 00:00:00+00:00,37.19,38.69,37.0,38.38,825100,6.0348942018,6.2783021422,6.0040625294,6.2279978345,3300400,0.0,1.0
UNP,2000-03-29 00:00:00+00:00,37.88,37.88,37.0,37.19,780600,6.1468618544,6.1468618544,6.0040625294,6.0348942018,3122400,0.0,1.0
UNP,2000-03-30 00:00:00+00:00,37.19,38.0,37.0,38.0,710100,6.0348942018,6.1663344896,6.0040625294,6.1663344896,2840400,0.0,1.0
