symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
UPS,2000-01-03 00:00:00+00:00,67.06,69.75,67.0,69.69,1273200,37.7055019714,39.2179952655,37.6717660615,39.1842593556,1273200,0.0,1.0
UPS,2000-01-04 00:00:00+00:00,64.94,67.0,64.63,67.0,1385800,36.5134998214,37.6717660615,36.3391976202,37.6717660615,1385800,0.0,1.0
UPS,2000-01-05 00:00:00+00:00,65.94,66.5,64.75,64.88,1401700,37.0757649865,37.390633479,36.4066694401,36.4797639115,1401700,0.0,1.0
UPS,2000-01-06 00:00:00+00:00,68.0,68.13,65.0,65.88,1959100,38.2340312266,38.3071256981,36.5472357313,37.0420290766,1959100,0.0,1.0
UPS,2000-01-07 00:00:00+00:00,66.38,67.63,65.75,67.63,996000,37.3231616592,38.0259931155,36.9689346051,38.0259931155,996000,0.0,1.0
UPS,2000-01-10 00:00:00+00:00,67.06,67.44,66.44,66.88,1191700,37.7055019714,37.9191627342,37.3568975691,37.6042942417,1191700,0.0,1.0
UPS,2000-01-11 00:00:00+00:00,66.38,67.44,66.31,67.13,1020000,37.3231616592,37.9191627342,37.2838030976,37.744860533,1020000,0.0,1.0
UPS,2000-01-12 00:00:00+00:00,67.38,67.5,65.44,66.13,1097700,37.8854268243,37.9528986441,36.794632404,37.1825953679,1097700,0.0,1.0
UPS,2000-01-13 00:00:00+00:00,68.31,68.5,67.38,67.63,1071200,38.4083334278,38.5151638092,37.8854268243,38.0259931155,1071200,0.0,1.0
UPS,2000-01-14 00:00:00+00:00,69.06,69.25,68.31,68.88,1160000,38.8300323016,38.936862683,38.4083334278,38.7288245719,1160000,0.0,1.0
UPS,2000-01-18 00:00:00+00:00,68.69,69.0,67.38,69.0,980500,38.6219941905,38.7962963917,37.8854268243,38.7962963917,980500,0.0,1.0
UPS,2000-01-19 00:00:00+00:00,68.25,68.56,67.44,68.5,1087300,38.3745975179,38.5488997191,37.9191627342,38.5151638092,1087300,0.0,1.0
UPS,2000-01-20 00:00:00+00:00,68.88,69.13,68.13,68.13,1972000,38.7288245719,38.8693908632,38.3071256981,38.3071256981,1972000,0.0,1.0
UPS,2000-01-21 00:00:00+00:00,67.25,68.88,66.69,68.88,1270100,37.8123323528,38.7288245719,37.4974638603,38.7288245719,1270100,0.0,1.0
UPS,2000-01-24 00:00:00+00:00,66.0,68.25,66.0,67.88,831400,37.1095008964,38.3745975179,37.1095008964,38.1665594068,831400,0.0,1.0
UPS,2000-01-25 00:00:00+00:00,65.88,66.63,64.75,65.63,1263000,37.0420290766,37.4637279504,36.4066694401,36.9014627853,1263000,0.0,1.0
UPS,2000-01-26 00:00:00+00:00,65.13,65.63,64.5,65.25,933400,36.6203302028,36.9014627853,36.2661031488,36.6878020226,933400,0.0,1.0
UPS,2000-01-27 00:00:00+00:00,65.13,65.38,64.0,65.31,1128400,36.6203302028,36.7608964941,35.9849705662,36.7215379325,1128400,0.0,1.0
UPS,2000-01-28 00:00:00+00:00,64.94,65.88,64.0,65.13,1324700,36.5134998214,37.0420290766,35.9849705662,36.6203302028,1324700,0.0,1.0
UPS,2000-01-31 00:00:00+00:00,60.0,64.0,59.0,63.0,5745800,33.7359099058,35.9849705662,33.1736447407,35.4227054011,5745800,0.0,1.0
UPS,2000-02-01 00:00:00+00:00,61.38,61.5,58.31,59.69,4761000,34.5118358337,34.5793076535,32.7856817768,33.5616077047,4761000,0.0,1.0
UPS,2000-02-02 00:00:00+00:00,58.25,59.94,57.19,59.75,4740600,32.7519458669,33.7021739959,32.1559447919,33.5953436146,4740600,0.0,1.0
UPS,2000-02-03 00:00:00+00:00,57.63,59.5,57.38,59.25,1951900,32.4033414646,33.4547773233,32.2627751733,33.314211032,1951900,0.0,1.0
UPS,2000-02-04 00:00:00+00:00,56.38,58.19,56.06,58.19,1745200,31.7005100082,32.718209957,31.5205851554,32.718209957,1745200,0.0,1.0
UPS,2000-02-07 00:00:00+00:00,55.75,56.81,55.5,56.63,1480200,31.3462829542,31.9422840292,31.2057166629,31.8410762995,1480200,0.0,1.0
UPS,2000-02-08 00:00:00+00:00,59.38,59.38,55.75,56.25,2055100,33.3873055035,33.3873055035,31.3462829542,31.6274155367,2055100,0.0,1.0
UPS,2000-02-09 00:00:00+00:00,58.0,59.63,58.0,59.5,1209400,32.6113795756,33.5278717948,32.6113795756,33.4547773233,1209400,0.0,1.0
UPS,2000-02-10 00:00:00+00:00,57.06,58.5,56.5,58.06,995700,32.0828503205,32.8925121582,31.767981828,32.6451154856,995700,0.0,1.0
UPS,2000-02-11 00:00:00+00:00,55.13,57.0,55.13,56.81,1013900,30.9976785518,32.0491144105,30.9976785518,31.9422840292,1013900,0.0,1.0
UPS,2000-02-14 00:00:00+00:00,54.38,55.5,54.13,55.31,2052800,30.575979678,31.2057166629,30.4354133867,31.0988862815,2052800,0.0,1.0
UPS,2000-02-15 00:00:00+00:00,54.94,55.0,53.56,54.44,1182900,30.8908481704,30.9245840804,30.1149222426,30.6097155879,1182900,0.0,1.0
UPS,2000-02-16 00:00:00+00:00,56.0,56.44,54.5,55.19,1530000,31.4868492454,31.7342459181,30.6434514978,31.0314144617,1530000,0.0,1.0
UPS,2000-02-17 00:00:00+00:00,58.0,58.25,56.13,56.5,1036000,32.6113795756,32.7519458669,31.5599437169,31.767981828,1036000,0.0,1.0
