symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
URI,2000-01-03 00:00:00+00:00,16.69,17.5,16.62,17.38,170200,16.6359941405,17.4433731252,16.566220648,17.3237614238,170200,0.0,1.0
URI,2000-01-04 00:00:00+00:00,16.5,16.63,15.88,16.5,243800,16.4466089466,16.5761882898,15.8286151559,16.4466089466,243800,0.0,1.0
URI,2000-01-05 00:00:00+00:00,16.5,16.75,16.0,16.63,166200,16.4466089466,16.6957999913,15.9482268573,16.5761882898,166200,0.0,1.0
URI,2000-01-06 00:00:00+00:00,17.38,18.75,16.31,16.31,291600,17.3237614238,18.6893283484,16.2572237527,16.2572237527,291600,0.0,1.0
URI,2000-01-07 00:00:00+00:00,17.94,18.19,17.63,18.0,655500,17.8819493638,18.1311404084,17.5729524684,17.9417552145,655500,0.0,1.0
URI,2000-01-10 00:00:00+00:00,17.81,18.25,17.75,18.25,291600,17.7523700206,18.1909462591,17.6925641698,18.1909462591,291600,0.0,1.0
URI,2000-01-11 00:00:00+00:00,17.81,18.06,17.69,17.88,485900,17.7523700206,18.0015610652,17.6327583191,17.8221435131,485900,0.0,1.0
URI,2000-01-12 00:00:00+00:00,17.81,18.25,17.75,18.0,229600,17.7523700206,18.1909462591,17.6925641698,17.9417552145,229600,0.0,1.0
URI,2000-01-13 00:00:00+00:00,18.56,18.63,17.81,17.81,255900,18.4999431545,18.569716647,17.7523700206,17.7523700206,255900,0.0,1.0
URI,2000-01-14 00:00:00+00:00,18.75,19.19,18.5,18.75,331000,18.6893283484,19.127904587,18.4401373038,18.6893283484,331000,0.0,1.0
URI,2000-01-18 00:00:00+00:00,19.0,19.38,18.19,18.75,286600,18.9385193931,19.3172897809,18.1311404084,18.6893283484,286600,0.0,1.0
URI,2000-01-19 00:00:00+00:00,20.75,21.25,19.06,19.13,849900,20.6828567056,21.1812387949,18.9983252438,19.0680987363,849900,0.0,1.0
URI,2000-01-20 00:00:00+00:00,20.13,22.31,20.13,22.0,623200,20.0648629149,22.2378088242,20.0648629149,21.9288119288,623200,0.0,1.0
URI,2000-01-21 00:00:00+00:00,20.63,21.0,19.75,21.0,773300,20.5632450042,20.9320477502,19.686092527,20.9320477502,773300,0.0,1.0
