symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
V,2008-03-19 00:00:00+00:00,56.5,69.0,55.0,59.5,177121500,12.7051253801,15.515993827,12.3678211664,13.3797338073,708486000,0.0,1.0
V,2008-03-20 00:00:00+00:00,64.35,65.0,57.5,58.47,49746300,14.4703507647,14.616515924,12.9299948558,13.1481182473,198985200,0.0,1.0
V,2008-03-24 00:00:00+00:00,59.73,67.7,59.0,67.24,37391600,13.4314537868,15.2236635085,13.2672990695,15.1202235497,149566400,0.0,1.0
V,2008-03-25 00:00:00+00:00,63.25,64.25,59.82,60.63,21773000,14.2229943414,14.4478638172,13.4516920396,13.6338363149,87092000,0.0,1.0
V,2008-03-26 00:00:00+00:00,63.96,64.48,61.57,62.5,10777900,14.3826516692,14.4995837966,13.8452136221,14.0543422346,43111600,0.0,1.0
V,2008-03-27 00:00:00+00:00,62.91,64.74,62.65,64.05,9957400,14.1465387197,14.5580498603,14.088072656,14.402889922,39829600,0.0,1.0
V,2008-03-28 00:00:00+00:00,62.76,63.44,62.16,63.1,6168800,14.1128082983,14.2657195418,13.9778866128,14.18926392,24675200,0.0,1.0
V,2008-03-31 00:00:00+00:00,62.36,63.48,62.05,62.7,5539300,14.022860508,14.2747143208,13.9531509705,14.0993161297,22157200,0.0,1.0
V,2008-04-01 00:00:00+00:00,61.61,63.68,60.31,63.0,15102700,13.8542084012,14.319688216,13.5618780827,14.1667769725,60410800,0.0,1.0
V,2008-04-02 00:00:00+00:00,62.32,62.32,60.5,61.79,10959100,14.013865729,14.013865729,13.6046032831,13.8946849068,43836400,0.0,1.0
V,2008-04-03 00:00:00+00:00,65.5,66.29,61.82,61.93,25217000,14.7289506619,14.9065975477,13.9014309911,13.9261666334,100868000,0.0,1.0
V,2008-04-04 00:00:00+00:00,64.48,65.32,63.75,64.87,9098600,14.4995837966,14.6884741562,14.3354290793,14.5872828921,36394400,0.0,1.0
V,2008-04-07 00:00:00+00:00,65.04,65.8,64.02,65.02,7075400,14.625510703,14.7964115046,14.3961438377,14.6210133135,28301600,0.0,1.0
V,2008-04-08 00:00:00+00:00,68.09,68.24,64.81,65.2,13481400,15.3113626041,15.3450930254,14.5737907236,14.6614898191,53925600,0.0,1.0
V,2008-04-09 00:00:00+00:00,65.79,68.72,65.61,68.35,12081100,14.7941628098,15.4530303738,14.7536863042,15.3698286678,48324400,0.0,1.0
V,2008-04-10 00:00:00+00:00,66.11,66.73,65.11,66.67,5593000,14.8661210421,15.005540117,14.6412515663,14.9920479485,22372000,0.0,1.0
V,2008-04-11 00:00:00+00:00,66.11,66.77,65.25,65.25,6605400,14.8661210421,15.0145348961,14.6727332929,14.6727332929,26421600,0.0,1.0
V,2008-04-14 00:00:00+00:00,65.68,67.24,65.53,66.98,7110900,14.7694271675,15.1202235497,14.7356967461,15.061757486,28443600,0.0,1.0
V,2008-04-15 00:00:00+00:00,64.35,66.55,64.0,66.54,5972000,14.4703507647,14.9650636114,14.3916464482,14.9628149166,23888000,0.0,1.0
V,2008-04-16 00:00:00+00:00,66.14,66.95,64.56,65.0,6284200,14.8728671263,15.0550114017,14.5175733546,14.616515924,25136800,0.0,1.0
V,2008-04-17 00:00:00+00:00,67.04,67.75,66.01,66.47,5614900,15.0752496545,15.2349069823,14.8436340945,14.9470740533,22459600,0.0,1.0
V,2008-04-18 00:00:00+00:00,69.0,70.447,67.2,68.1,26024900,15.515993827,15.8413799584,15.1112287706,15.3136112988,104099600,0.0,1.0
V,2008-04-21 00:00:00+00:00,70.97,72.5,68.85,69.7,14712000,15.9589866942,16.3030369921,15.4822634056,15.67340246,58848000,0.0,1.0
V,2008-04-22 00:00:00+00:00,70.28,72.4,70.0,72.1,11839400,15.803826756,16.2805500446,15.7408633027,16.2130892018,47357600,0.0,1.0
V,2008-04-23 00:00:00+00:00,70.08,71.7,69.69,71.15,9329900,15.7588528608,16.1231414115,15.6711537653,15.9994631999,37319600,0.0,1.0
V,2008-04-24 00:00:00+00:00,72.3,72.99,70.04,71.2,9521700,16.258063097,16.4132230353,15.7498580818,16.0107066737,38086800,0.0,1.0
V,2008-04-25 00:00:00+00:00,75.1,76.08,73.91,76.0,25365000,16.8876976291,17.1080697153,16.6201029529,17.0900801573,101460000,0.0,1.0
V,2008-04-28 00:00:00+00:00,75.63,77.29,74.9,76.22,33129300,17.0068784512,17.380161781,16.8427237339,17.1395514419,132517200,0.0,1.0
V,2008-04-29 00:00:00+00:00,80.88,80.88,71.0,73.28,49327100,18.1874431989,18.1874431989,15.9657327785,16.4784351832,197308400,0.0,1.0
V,2008-04-30 00:00:00+00:00,83.45,84.81,81.07,81.21,36885900,18.7653577516,19.0711802387,18.2301683993,18.2616501259,147543600,0.0,1.0
V,2008-05-01 00:00:00+00:00,85.4,87.64,83.9,84.68,29098900,19.2038532294,19.707560855,18.8665490157,19.0419472068,116395600,0.0,1.0
V,2008-05-02 00:00:00+00:00,82.75,87.5,81.0,87.25,34162200,18.6079491186,19.6760791284,18.214427536,19.6198617595,136648800,0.0,1.0
V,2008-05-05 00:00:00+00:00,85.06,85.5,80.82,82.85,17594300,19.1273976076,19.2263401769,18.1739510304,18.6304360662,70377200,0.0,1.0
V,2008-05-06 00:00:00+00:00,87.53,88.15,84.75,85.39,18978300,19.6828252127,19.8222442877,19.0576880701,19.2016045346,75913200,0.0,1.0
V,2008-05-07 00:00:00+00:00,88.5,89.84,87.66,88.99,25116200,19.9009486042,20.2022737017,19.7120582446,20.0111346473,100464800,0.0,1.0
V,2008-05-08 00:00:00+00:00,87.3,89.75,85.94,89.5,23209100,19.6311052333,20.1820354489,19.3252827463,20.1258180799,92836400,0.0,1.0
V,2008-05-09 00:00:00+00:00,82.86,86.6699,82.52,85.77,23578000,18.6326847609,19.4894149766,18.5562291392,19.2870549354,94312000,0.0,1.0
V,2008-05-12 00:00:00+00:00,81.9,84.48,78.1,83.73,36867900,18.4168100642,18.9969733117,17.5623060564,18.8283212048,147471600,0.0,1.0
V,2008-05-13 00:00:00+00:00,82.38,83.5,80.79,81.75,13312400,18.5247474126,18.7766012254,18.1672049461,18.3830796429,53249600,0.0,1.0
V,2008-05-14 00:00:00+00:00,82.23,84.35,81.45,83.34,12850100,18.4910169912,18.9677402798,18.3156188001,18.7406221093,51400400,0.0,1.0
V,2008-05-15 00:00:00+00:00,82.25,82.93,81.11,82.45,9172200,18.4955143807,18.6484256242,18.2391631784,18.5404882759,36688800,0.0,1.0
V,2008-05-16 00:00:00+00:00,82.37,82.85,81.26,82.71,8516700,18.5224987178,18.6304360662,18.2728935997,18.5989543396,34066800,0.0,1.0
V,2008-05-19 00:00:00+00:00,83.32,84.74,82.15,82.31,11368300,18.7361247198,19.0554393754,18.4730274332,18.5090065493,45473200,0.0,1.0
V,2008-05-20 00:00:00+00:00,82.74,83.84,81.91,82.88,10175500,18.6057004238,18.8530568472,18.419058759,18.6371821505,40702000,0.0,1.0
V,2008-05-21 00:00:00+00:00,80.85,83.43,80.52,82.38,10457900,18.1806971147,18.7608603621,18.1064901877,18.5247474126,41831600,0.0,1.0
V,2008-05-22 00:00:00+00:00,77.31,80.6,76.16,80.57,21320900,17.3846591705,18.1244797457,17.1260592734,18.1177336615,85283600,0.0,1.0
V,2008-05-23 00:00:00+00:00,76.35,77.31,75.12,75.79,10549100,17.1687844738,17.3846591705,16.8921950186,17.0428575674,42196400,0.0,1.0
V,2008-05-27 00:00:00+00:00,78.74,78.94,74.36,76.92,15694100,17.7062225208,17.751196416,16.721294217,17.296960075,62776400,0.0,1.0
V,2008-05-28 00:00:00+00:00,81.92,81.95,79.55,80.29,13249000,18.4213074537,18.428053538,17.8883667962,18.0547702083,52996000,0.0,1.0
V,2008-05-29 00:00:00+00:00,85.25,86.95,83.01,83.28,25153300,19.170122808,19.5524009168,18.6664151823,18.7271299408,100613200,0.0,1.0
V,2008-05-30 00:00:00+00:00,86.36,87.56,85.81,86.01,18004000,19.4197279261,19.689571297,19.2960497144,19.3410236096,72016000,0.0,1.0
V,2008-06-02 00:00:00+00:00,86.07,86.95,84.6,86.21,9214000,19.3545157781,19.5524009168,19.0239576487,19.3859975047,36856000,0.0,1.0
V,2008-06-03 00:00:00+00:00,87.56,87.95,86.03,87.01,12102900,19.689571297,19.7772703925,19.3455209991,19.5658930853,48411600,0.0,1.0
V,2008-06-04 00:00:00+00:00,85.48,88.1,85.28,87.08,10171100,19.2218427874,19.8110008139,19.1768688923,19.5816339486,40684400,0.0,1.0
V,2008-06-05 00:00:00+00:00,87.24,87.24,85.59,86.46,6764900,19.6176130647,19.6176130647,19.2465784297,19.4422148737,27059600,0.0,1.0
V,2008-06-06 00:00:00+00:00,83.65,85.99,83.55,85.9,10437000,18.8103316468,19.33652622,18.7878446992,19.3162879672,41748000,0.0,1.0
V,2008-06-09 00:00:00+00:00,82.14,84.95,80.56,84.0,11310000,18.4707787384,19.1026619653,18.1154849667,18.8890359633,45240000,0.0,1.0
V,2008-06-10 00:00:00+00:00,80.31,82.87,79.61,80.05,9012100,18.0592675978,18.6349334557,17.9018589647,18.0008015341,36048400,0.0,1.0
V,2008-06-11 00:00:00+00:00,77.74,81.0,77.6,81.0,14249100,17.4813530451,18.214427536,17.4498713185,18.214427536,56996400,0.0,1.0
V,2008-06-12 00:00:00+00:00,79.56,80.77,78.55,78.95,11151400,17.890615491,18.1627075566,17.6634973204,17.7534451107,44605600,0.0,1.0
V,2008-06-13 00:00:00+00:00,81.53,81.81,80.15,80.15,7672300,18.3336083582,18.3965718114,18.0232884816,18.0232884816,30689200,0.0,1.0
V,2008-06-16 00:00:00+00:00,83.27,83.5,81.1,81.34,8596000,18.724881246,18.7766012254,18.2369144836,18.2908831578,34384000,0.0,1.0
V,2008-06-17 00:00:00+00:00,84.67,84.98,83.68,84.1,8319400,19.0396985121,19.1094080495,18.8170777311,18.9115229109,33277600,0.0,1.0
V,2008-06-18 00:00:00+00:00,83.86,84.7,83.44,83.7,8431000,18.8575542367,19.0464445963,18.7631090569,18.8215751206,33724000,0.0,1.0
V,2008-06-19 00:00:00+00:00,84.27,84.4,81.6201,83.48,9231300,18.9497507218,18.9789837536,18.353869098,18.7721038359,36925200,0.0,1.0
V,2008-06-20 00:00:00+00:00,83.57,84.5,82.75,83.3299,10636700,18.7923420887,19.0014707012,18.6079491186,18.7383509276,42546800,0.0,1.0
V,2008-06-23 00:00:00+00:00,81.06,84.35,81.02,83.81,7535300,18.2279197046,18.9677402798,18.2189249256,18.8463107629,30141200,0.0,1.0
V,2008-06-24 00:00:00+00:00,82.66,82.94,78.51,80.06,12472800,18.5877108658,18.650674319,17.6545025414,18.0030502288,49891200,0.0,1.0
V,2008-06-25 00:00:00+00:00,82.06,84.42,81.86,83.36,12677900,18.4527891803,18.9834811431,18.4078152852,18.7451194988,50711600,0.0,1.0
V,2008-06-26 00:00:00+00:00,79.1,80.74,78.02,80.6,19140700,17.7871755321,18.1559614723,17.5443164983,18.1244797457,76562800,0.0,1.0
V,2008-06-27 00:00:00+00:00,82.6,82.87,78.55,78.8,44005700,18.5742186972,18.6349334557,17.6634973204,17.7197146894,176022800,0.0,1.0
V,2008-06-30 00:00:00+00:00,81.31,82.84,80.3,82.0,12325300,18.2841370735,18.6281873714,18.057018903,18.4392970118,49301200,0.0,1.0
V,2008-07-01 00:00:00+00:00,81.41,81.41,79.2,79.2,11230400,18.3066240211,18.3066240211,17.8096624797,17.8096624797,44921600,0.0,1.0
V,2008-07-02 00:00:00+00:00,79.42,82.4,79.3,81.9,8451000,17.8591337643,18.5292448021,17.8321494273,18.4168100642,33804000,0.0,1.0
V,2008-07-03 00:00:00+00:00,78.07,79.81,77.25,79.36,7184700,17.5555599721,17.9468328599,17.371167002,17.8456415958,28738800,0.0,1.0
V,2008-07-07 00:00:00+00:00,75.62,79.94,74.0,78.5,19986100,17.0046297565,17.9760658917,16.6403412058,17.6522538467,79944400,0.0,1.0
V,2008-07-08 00:00:00+00:00,79.06,79.5,72.25,74.89,23949100,17.7781807531,17.8771233224,16.2468196232,16.8404750392,95796400,0.0,1.0
V,2008-07-09 00:00:00+00:00,75.87,79.1,75.4,79.0,13830500,17.0608471254,17.7871755321,16.9551584718,17.7646885845,55322000,0.0,1.0
V,2008-07-10 00:00:00+00:00,77.25,77.62,73.89,75.76,13203000,17.371167002,17.454368708,16.6156055634,17.0361114831,52812000,0.0,1.0
V,2008-07-11 00:00:00+00:00,74.55,77.45,74.0,75.6,13661300,16.7640194174,17.4161408971,16.6403412058,17.000132367,54645200,0.0,1.0
V,2008-07-14 00:00:00+00:00,72.58,76.18,72.5,75.6,10669900,16.3210265502,17.1305566629,16.3030369921,17.000132367,42679600,0.0,1.0
V,2008-07-15 00:00:00+00:00,68.42,71.31,67.29,71.26,21067200,15.3855695311,16.035442316,15.1314670235,16.0241988422,84268800,0.0,1.0
V,2008-07-16 00:00:00+00:00,72.23,72.56,66.51,68.33,23112200,16.2423222337,16.3165291607,14.9560688324,15.3653312782,92448800,0.0,1.0
V,2008-07-17 00:00:00+00:00,75.06,75.06,71.35,73.7,16817200,16.8787028501,16.8787028501,16.044437095,16.572880363,67268800,0.0,1.0
V,2008-07-18 00:00:00+00:00,73.4,74.49,72.12,74.24,11658000,16.5054195203,16.7505272489,16.2175865913,16.6943098799,46632000,0.0,1.0
V,2008-07-21 00:00:00+00:00,71.9,74.94,71.57,73.91,13234300,16.1681153067,16.851718513,16.0939083797,16.6201029529,52937200,0.0,1.0
V,2008-07-22 00:00:00+00:00,74.05,74.23,67.9,69.6,16352000,16.6515846795,16.6920611852,15.2686374037,15.6509155124,65408000,0.0,1.0
V,2008-07-23 00:00:00+00:00,73.25,75.0,72.6,73.5,12485700,16.4716890989,16.8652106815,16.3255239397,16.5279064679,49942800,0.0,1.0
V,2008-07-24 00:00:00+00:00,70.08,73.73,69.96,72.92,9156400,15.7588528608,16.5796264473,15.7318685237,16.3974821719,36625600,0.0,1.0
V,2008-07-25 00:00:00+00:00,71.96,72.35,69.07,70.54,9672700,16.1816074752,16.2693065708,15.5317346903,15.8622928197,38690800,0.0,1.0
V,2008-07-28 00:00:00+00:00,70.55,73.6,70.25,72.41,8924800,15.8645415144,16.5503934155,15.7970806717,16.2827987393,35699200,0.0,1.0
V,2008-07-29 00:00:00+00:00,75.97,75.97,71.01,71.03,12260100,17.083334073,17.083334073,15.9679814733,15.9724788628,49040400,0.0,1.0
V,2008-07-30 00:00:00+00:00,78.45,78.9,74.27,77.25,19022300,17.6410103729,17.742201637,16.7010559642,17.371167002,76089200,0.0,1.0
V,2008-07-31 00:00:00+00:00,73.06,78.15,71.49,76.22,37222200,16.4289638986,17.5735495301,16.0759188216,17.1395514419,148888800,0.0,1.0
V,2008-08-01 00:00:00+00:00,71.73,74.1,70.35,73.3,15428900,16.1298874958,16.6628281533,15.8195676193,16.4829325727,61715600,0.0,1.0
V,2008-08-04 00:00:00+00:00,72.5,73.6,71.5,71.76,10671500,16.3030369921,16.5503934155,16.0781675164,16.1366335801,42686000,0.0,1.0
V,2008-08-05 00:00:00+00:00,73.6,74.23,72.32,73.2,8588700,16.5503934155,16.6920611852,16.2625604865,16.4604456252,34354800,0.0,1.0
V,2008-08-06 00:00:00+00:00,71.48,72.81,71.07,72.8,10231000,16.0736701269,16.3727465296,15.9814736418,16.3704978349,40924000,0.0,1.0
V,2008-08-07 00:00:00+00:00,69.5,71.25,69.34,70.78,10961800,15.6284285649,16.0219501474,15.5924494487,15.9162614938,43847200,0.0,1.0
V,2008-08-08 00:00:00+00:00,72.6,72.85,69.11,69.77,9088600,16.3255239397,16.3817413086,15.5407294693,15.6891433233,36354400,0.0,1.0
V,2008-08-11 00:00:00+00:00,74.79,76.5,71.95,72.44,13822300,16.8179880916,17.2025148951,16.1793587805,16.2895448236,55289200,0.0,1.0
V,2008-08-12 00:00:00+00:00,72.8,74.8,72.6,74.2,8433600,16.3704978349,16.8202367864,16.3255239397,16.6853151009,33734400,0.0,1.0
